id,price,moonRank,💎 score (%),storeURL,accessory,attire,background,beak,body,eye,hat,shadow
817,4,507,56.96,https://magiceden.io/item-details/HgdtG1oYgEvb9WbUVDTGgmbe8gUcDX8WVsihkoWEsivt,empty,neck_strap,purple,long_gold,pink,top_right,peak_blue,shadow
837,2,667,71.11,https://magiceden.io/item-details/7yug8MbURGZEMCr7YroswJDekPXzV3emkv7ikdwByb4B,empty,empty,aqua,short_gold,blue,bottom_right,no_hat,shadow
838,1.9,318,84.87,https://alpha.art/t/KWRH1FFBCbGVfeTo1xCWxifimyF9wwoAaiseKiXVSVy,empty,empty,blue,long_aqua,purple,bottom_right,peak_green,shadow
858,4.099999999,276,64.41,https://alpha.art/t/BEAHSHfNT1EGreB27QedePi5DzC3gV2hfsTkFcwvKsi3,earring,empty,aqua,short_gold,blue,bottom_left,fedora_blue,shadow
909,2.5,252,81.29,https://alpha.art/t/EZq2oHX95oGVBUVQk9y3eijrWzoceKcyme2fjhABk8bL,earring,empty,pink,long_gold,blue,top_left,bandana_pink,shadow
916,3,444,69.27,https://magiceden.io/item-details/9sgzah4eud3X26kHgLWDx1JekDsrT9rbP1fx8MJQb9xM,empty,empty,pink,short_gold,aqua,top_left,fedora_purple,shadow
924,2,490,77.58,https://alpha.art/t/6yadg29253fF6B9a7Qkucht1wUSSJXihBrTL9WRfAJ2s,empty,neck_strap,green,short_gold,pink,top_right,fedora_blue,shadow
925,1.8,340,85.07,https://alpha.art/t/2LSMpuknexn7zCJ52LQjPGnKDcdCaob8X556YiPN3m5c,empty,scarf_blue,yellow,long_gold,purple,bottom_right,peak_purple,shadow
930,1.75,156,92.3,https://magiceden.io/item-details/8xmVrDJ2rSy2LKq5uiTEGeVcAmahm4TguANaYP7Vdx7K,empty,neck_chain,blue,short_gold,purple,top_left,bandana_multi,shadow
939,1.55,826,69.8,https://magiceden.io/item-details/5UEwjP9yunbjwXVevrLN8Esf82osmoHKarw3qo6S99Eg,empty,empty,green,long_gold,green,top_left,explorer_blue,shadow
962,10,1094,0,https://alpha.art/t/EiornTTQcZoLXsQFe1eoQgSg4rusQG3H6zn7dtU3CahR,empty,empty,yellow,short_gold,pink,top_right,fedora_blue,shadow
981,2.1,1068,55.45,https://magiceden.io/item-details/DvprSDGkfczPT1m6wHzoajK5wwzRj7sY5rJWVXRiq5tp,empty,empty,pink,long_gold,pink,top_right,bandana_pink,shadow
986,3.75,328,66.01,https://magiceden.io/item-details/Bm7oB4SEapkYfbZhFHmQBtg6oo9uxQzmjCvUGSS7ai8m,empty,empty,yellow,short_aqua,yellow,top_right,fedora_blue,shadow
988,19.99,63,0,https://magiceden.io/item-details/EhQAXrCm1VzvbtxL9SgN1YwM8X9M9vvkphsmtkJAapUz,empty,scarf_blue,aqua,short_gold,pink,bloodshot,no_hat,shadow
1006,1.7,250,89.36,https://magiceden.io/item-details/HdLfZ8wHUTnBKLPRo4D7enTYAzeZ6L1ozZNSgNPg6QHL,cig_blue,empty,yellow,short_gold,pink,top_right,fedora_green,shadow
1023,1.8,807,67.99,https://magiceden.io/item-details/GGMXnmPi3TT554t5rnAUSuxZAUAfMxsADtWs6RfJLETE,empty,empty,blue,long_gold,green,bottom_left,explorer_purple,shadow
1026,1.99,939,61.27,https://magiceden.io/item-details/ABgKfm19tNpCesrgijHkMXSfvFN9AVAYJJN9p3sWfmfo,empty,empty,purple,long_gold,green,bottom_right,fedora_blue,shadow
1031,3,576,64.44,https://magiceden.io/item-details/Ewk3zRxiVmRQ2MPm1d62VCtMCHAnDwzonKxNfjZiM7qF,empty,empty,yellow,long_gold,blue,top_left,cowboy,shadow
1036,4.99,228,57.26,https://magiceden.io/item-details/2TWJdTytZgjqKeHJforTNvxophQ6bRDxCkx852w3Qzd7,empty,neck_strap,aqua,short_gold,yellow,bottom_left,fedora_purple,shadow
1058,1.9,151,90.98,https://magiceden.io/item-details/B3GdmoypA3naGnNkm5wFkejMkaN1xDpHaQDZVXYNG6hu,empty,scarf_purple,aqua,long_gold,yellow,bottom_right,bandana_multi,shadow
1064,2.1,789,65.65,https://magiceden.io/item-details/eE6mtFK6AkdB69ftESu66RVSVdjNxeGr75dddG6Lj54,empty,empty,yellow,long_gold,blue,top_right,peak_red,shadow
1082,4.2,6,73.28,https://magiceden.io/item-details/iA8ZRxxvQ6M9JetXGTJvvpXHcmqrnyMZrG2qpvuts53,drinking_straw,neck_chain,yellow,short_gold,blue,top_right,peak_green,shadow
1084,2.49,700,65.01,https://magiceden.io/item-details/Fz5yh9cmJb7xQ3uhsaezwiT5pcUPiaNReXTB6FPSCvVu,empty,empty,purple,long_gold,purple,top_right,peak_purple,shadow
1106,11.99,41,0,https://magiceden.io/item-details/8xhMk6W2XpEoNsq4aGeej2AxYCqHrqDDpBVKUjLaPkVY,empty,scarf_blue,purple,long_gold,green,bloodshot,no_hat,shadow
1111,10,409,0.55,https://magiceden.io/item-details/66T58EPEx3Bif99WSr74t8m3u1fkfmJYMhAgPUxahPoW,empty,scarf_blue,purple,long_gold,purple,bottom_left,fedora_blue,shadow
1112,15,214,0,https://magiceden.io/item-details/7pebzzcagHue7WLuTtQEzMtyrobbVx3vc3mZYTn4LYkf,empty,empty,pink,long_gold,yellow,bloodshot,peak_blue,shadow
