id,price,moonRank,💎 score (%),storeURL,Background,Expression,Extras,Eyes,Face,Headgear,Lines,Name,Neck,Skull
2690,5,2159,47.02,https://solanart.io/nft/9dhL1Y1fwFzztuihQP22AoKH8AN7cTW7Dq8mJMkMyuQY,Teal,Fearsome,None,Blood,Chef's Knife,Royal Blue Durag,Worry Lines,Kevin the Aggro,None,Putting Green
2703,12,136,0,https://solanart.io/nft/5qku1wqo1Tn8fAM59SuitywUdCEWVUzBCWikFf2XoZVa,Red,Deadpan,None,Dead Xs,Orange Record,Captain's Hat,Divot,Faust the Annihilator,Black Bowtie,Bone
2750,5,1496,51.01,https://solanart.io/nft/CH7bas7Y9UB5GCGskiLToJpkuTiSXRHzVT7dSv5dW6Yg,Grey,Deadpan,None,Lightning,Razor Blade,Pit Vipers,Divot,Baron the Drop Dead Gorgeous,None,Hard Scrape
2758,8,4296,4.17,https://solanart.io/nft/4QKyThHpfK2EP3KmDR6AGL2zWCpPhAmAjWBqkPGqK7eD,Red,Deadpan,None,Blood,Chef's Knife,None,Cheeks,Malcolm the Brain Dead,None,Ramen
2761,2.03,5702,55.42,https://solanart.io/nft/A3ZAh3rr4GamWMNpXvHqnf7AHSbk8X1a5ae6tPXYNmKm,Yellow,Fearsome,None,Single Blue,Kunai,None,Worry Lines,Atlas the Skullcrusher,None,Hard Scrape
2770,10,144,9.13,https://alpha.art/t/9VE1dZFPjqUWDhMPeksVCrxn2GhA8wkrHdZ9Ve3bCgR8,Grey,Deadpan,None,Worms,Joker Grin,Tentacle,None,Magnus the Epic,None,Purple Marbled
2773,2.5,4236,59.53,https://solanart.io/nft/5wCo8SJoyt43fP7hEqWKcUs4q9tfTww8nTC9ycyJ6ivh,Fuschia,Fearsome,None,Blue Flames,Melon Hammer,None,Cheeks,Bruce the Unphased,None,Teal Bucket
2817,2.8,810,77.13,https://solanart.io/nft/GtQPffpANon4nRKSCDoExDS47azPvYGTVgCASSBBfam2,Mango,Deadpan,None,Eight Ball,Chef's Knife,Red Horns,None,Nero the Stone Cold,None,Purple Marbled
2832,1.95,4250,64.95,https://solanart.io/nft/CNErwr9zH6nLkgeuVfJeRyB2A8fGch4ANK31MujihnS7,Purple,Deadpan,None,Slime,Cleaver,None,None,Attila the Ooze,None,Purple Bucket
2876,2.1,1960,77.22,https://solanart.io/nft/AvHBsZ2PKzkhkXL2J3VYcrv2urKMX7oR7iu3mZnATDi7,Red,Deadpan,None,Lightning,Mango Hammer,Traffic Cone,Worry Lines,Keanu the Deadlifter,None,Purple Marbled
2877,4,357,67.85,https://solanart.io/nft/gAbvQVDJbgSHrC7jS1bisow5oqpYwJe9QCKSoWDtQ6o,Orange,Deadpan,None,Green Paint,Tongue with Eyeball,Red Durag,Squiggle,Jax the Juicy,None,Cerulean Sugar Skull
2885,3.5,4057,50.61,https://solanart.io/nft/DHh9SF5QZVf9Hz4e9nd1gC2DrWNAGSRtjRShbwirVXB1,Sky Blue,Fearsome,None,Twin Solana,None,None,Buttchin,Manolo the Death-defying,None,Brains
2910,29.1,376,0,https://solanart.io/nft/GTj53zDFJ5qAJszY1u6jFLc9BCdnSws6aMnMkvdqrnL6,Purple,Deadpan,None,Solana Pit Vipers,None,Emo Party Hat,None,Eduardo the Treacherous,None,Bowie
2912,10,3198,0,https://solanart.io/nft/GXt1ZWYk8kfXyis1WUKo2REWaFi1HJvZj67deFyxEi8A,Teal,Deadpan,None,Twin Red,Trench Knife,None,None,Cryus the Crypt Keeper,None,Purple Bucket
2913,8,283,28.3,https://solanart.io/nft/6hqxS5sggqtydqtAsqtXAgLBeY1gd3Ymnaf1ccfpe8ym,Red,Fearsome,None,Tentacle,Tongue with Eyeball,Tiny Wizard's Hat,Cheeks,Neo the Extremely Endowed,None,Yellow Spray Paint
2960,4.2,3288,48.23,https://solanart.io/nft/5uMPimwU6rm6VDwZ2Th2eUQM7RWBpe97XJV5wW1G7Dfk,Grey,Deadpan,None,Red Flames,Tongue with Eyeball,Pizza,Cheeks,Wade the Reincarnated,None,Green Spray Paint
2985,5,2567,44.57,https://solanart.io/nft/7vrXWRp9js79HRoyczC22YGNAAuzdZgLDswJsqDTLMgP,Orange,Fearsome,None,Joker Paint,Trench Knife,Blue Spiked Mohawk,Worry Lines,Cyrus the Steel-balled,None,Purple Day Of The Dead
3058,1.343,4183,71.42,https://solanart.io/nft/7MAwBijmp6njG8T8kvzQAmdFkk3t426pPVA7dWVGFgww,Teal,Deadpan,None,Single Green,Razor Blade,Royal Blue Durag,Worry Lines,Buffalo Bill the Ancient One,None,Purple Creepy Crawlies
3075,7,4011,15.88,https://solanart.io/nft/DbAJyTQketpsUztSiWBuEctEkusCDaBQj1SYPo77M7Kh,Mango,Fearsome,None,Dead Xs,Smoke,Green Baseball Cap,None,Cujo the Savage,None,Green Spray Paint
3079,5.6,4693,25.78,https://solanart.io/nft/DmRZUBNgoUP5i2V8BsxAWUkgQA5feFns2XB3VgZZ196E,Royal Blue,Deadpan,None,Twin Blue,Cleaver,None,Cheeks,Ajax the Dire,None,Pumpkin Bucket
3080,6,5059,19.58,https://solanart.io/nft/6H8cPbmDMzPUsPDu1rJL9Gnxer8EYVt1RjJMALboqkrs,Purple,Deadpan,None,Eight Ball,Trench Knife,None,Worry Lines,Benny the Unbalanced,None,Brains
3088,4,6076,33.47,https://solanart.io/nft/G1r575rXqLYw4qgEexgGcMqHnAXmAPVuBLbYAZtUNmev,Orange,Fearsome,None,Blood,None,Pizza,Worry Lines,Alfred the Drop Dead Gorgeous,None,Bone
3096,100,1875,0,https://solanart.io/nft/EZwBdnRGhKJHZmUEm4FJCJB8zVLqbLNspGdRVpstbW9x,Purple,Deadpan,None,Blood,Melon Hammer,Traffic Cone,Cheeks,Cash the Ungodly,None,Blue Marbled
3139,4,2532,54.78,https://solanart.io/nft/GJueiCAa2Kxatnw9rtogSXou4tmF7wwVW7NPYVkn6pKa,Mango,Deadpan,None,Third Eye,Fat Cigar,None,None,Chester the Unhallowed,None,Brains
3177,14,4131,0,https://solanart.io/nft/2JQZ1f1XvE9xuVUNTKGnNK9fN7a5rRDZSX9fT4Jvs61E,Mango,Deadpan,None,Red Flames,Kunai,Captain's Hat,Cheeks,Kramer the Indescribably Awful,None,Jungle
3203,2.98,2524,65.02,https://solanart.io/nft/KPnqNqebZuvNQioDcTqHL67BZ7GJnSzwhJvnXodrqVV,Orange,Fearsome,None,Matches,Hatchet,Green Baseball Cap,Cheeks,Judas the Evil,None,Candy Corn
3228,24,2560,0,https://solanart.io/nft/4rLNbsJvgkemDNe7Nm3G3Sb5xdVsierDURywPNe7t9qa,Red,Deadpan,None,Eight Ball,None,Purple Baseball Cap,Squiggle,Willard the Hater,None,Bloody Splatters
3307,3.9,2029,58.8,https://solanart.io/nft/FKx8vuZxb45n9ywQVyJYLLdigwp8fzvb9jvVrko2b9s5,Orange,Deadpan,None,Single Blue,Kunai,Fuschia Mohawk,Cheeks,"Cosmo the Very, Very Chill",None,Purple Marbled
3311,1.99,4673,62,https://solanart.io/nft/FDVz9S9yHxNignSXj4sMRhur4fiSpDmLRwWVfJafHQpX,Grey,Deadpan,None,Single Purple,Blue Record,None,Cheeks,Edmond the Loaded,None,Emptyheaded
3333,33,1373,0,https://solanart.io/nft/HVmMxYEzixovggSS8uLGG22e6PKzGAgCJKfrz24HjRYX,Fuschia,Deadpan,None,Twin Blue,Blue Poker Chip,Fez,Worry Lines,Hitchcock the HODLER,None,Pink Spray Paint
3345,8.9,6042,0,https://solanart.io/nft/4G7R7iDSFXrADoT2oC4vkowJcbV5PNjk2DawTyNHHgoP,Sky Blue,Fearsome,None,Blue Flames,Kunai,None,Cheeks,Romeo the Really Impressive,None,Teal Bucket
3435,2.5,4970,55.12,https://solanart.io/nft/8JBrRykkfBSq1egcq5A16ViHA4bdstNS3Bz2droHzom9,Teal,Fearsome,None,Single Solana,Kunai,None,Divot,Cryus the Adorable,None,Brains
3455,15,6437,0,https://solanart.io/nft/7vRRjrgpr9rWf5MyMaFQSyxkVigKf1FCuYWc2oHw2an9,Grey,Deadpan,None,Single Blue,None,None,None,Romeo the Beefcake,None,Empty Candy Bucket
3468,4,1338,61.96,https://solanart.io/nft/5ubF8CKKznXujFSFaRQBNnBkbHX3B3PUAq1pSjvYF53r,Grey,Fearsome,None,Slime,Tongue,Tentacle,Worry Lines,Hannibal the Blazed,None,Hard Scrape
3529,14,5234,0,https://solanart.io/nft/7z61NohMVpGKgornc3Cu6VCWKnu5ymuekJca21ko1R9X,Purple,Deadpan,None,Single Orange,None,Ice Scream Cone,Worry Lines,Xavier the Ravenous,None,Zombie
3551,2.5,1806,74.14,https://solanart.io/nft/8PuQAt4DyUgxXkZan3k9JHbrLrD2MSpNoR1kP7SwEQRi,Red,Deadpan,None,Eight Ball,Tongue,Green Baseball Cap,Buttchin,Dante the Doombringer,None,Purple Marbled
3557,5,5456,27.2,https://solanart.io/nft/BP9UYwud8YoFnCXVN7HxAyBFoK5XUyTquzYJMmoHkCu7,Red,Fearsome,None,Single Purple,Mango Hammer,None,Cheeks,Marco the Ravager,None,Crimson Cranium
