id,price,moonRank,💎 score (%),storeURL,Background,Expression,Extras,Eyes,Face,Headgear,Lines,Name,Neck,Skull
4334,1.2,2704,81.74,https://solanart.io/nft/2FYcbH6My6JftEp8taD6kKh4pBhdnZnon8tRMooDTFpF,Grey,Fearsome,None,Twin Blue,Mango Hammer,Royal Blue Durag,None,Tyler the Supersonic,None,Orange Spray Paint
4364,14,2332,0,https://solanart.io/nft/Hp74jHVAu1Cmy2HGjbkVFHNb5mht6kWrN2DqYSnHrb8L,Grey,Fearsome,None,Sunglasses,Razor Blade,Blue Spiked Mohawk,Cheeks,Manny the Aggro,None,Purple Day Of The Dead
4382,5,2620,44.25,https://solanart.io/nft/2Lsh8pJWA2JUddyez7eTxLTrqCvK72KKDqR9ks3SpebQ,Royal Blue,Fearsome,None,Single Purple,Mango Hammer,Blue Mohawk,Cheeks,Santiago the Stealthy,None,Pink Spray Paint
4401,10,3897,0,https://solanart.io/nft/AgR73jQL6YxB3k2GyxpQGeFpxmXtJ3iFzVfohjYYc7ER,Teal,Deadpan,None,Twin Green,Blue Poker Chip,Pizza,Cheeks,Rupert the Reincarnated,None,Orange Spray Paint
4412,4.9,3595,39.39,https://solanart.io/nft/7XnGfbubtnmrsPrLK1k5bDrAo7hAztwLeQFdcFY1TQoZ,Mango,Fearsome,None,Twin Blue,Green Poker Chip,Tophat,Worry Lines,Virgil the Prodigy,None,Pop Art
4413,3,4536,52.73,https://solanart.io/nft/iMCtqQYcPAiPvaqNDPgyiwbKtzGBTCZGM38cxiW86sP,Purple,Deadpan,None,Twin Green,None,Ice Scream Cone,Cheeks,Alistair the Mean Ol' Bastard,None,Jawbreaker
4429,8.99,701,15.89,https://alpha.art/t/5LE3phKFgc2UpdPUXDcwNZYJa4Za4MS6dUs5GQfuyV1M,Purple,Deadpan,Redacted,Single Purple,Orange Record,None,Cheeks,Cryus the Mutilator,None,Emptyheaded
4460,4,2826,53.01,https://alpha.art/t/GQy6o9sxo9iQSZjYZBu7SuCc8z89jhRnoshBLWgJES6T,Orange,Fearsome,None,Red Flames,Cleaver,Red Baseball Cap,Worry Lines,Hannibal the Prankster,None,KISS
4503,11,4295,0,https://solanart.io/nft/EARV9tpgV6aiqUhsaaQcreAmXicsDDJgVXFhaUYo4gFL,Orange,Deadpan,None,Dead Xs,Green Poker Chip,None,Divot,Seamus the Sinner,None,Pumpkin Bucket
4522,4.5,4840,35.9,https://solanart.io/nft/82fafsLoiFS9MKafrkQXCJFannYzR5wmJCEc63NLAgfL,Purple,Deadpan,None,Matches,Green Record,Horns,Worry Lines,Hannibal the Total Asshole,None,Green Spray Paint
4531,3,2886,62.65,https://alpha.art/t/F6Magc5wNor7PaNBWLcdbuiWDohu3qouVhaz8QhHwx5u,Mango,Deadpan,None,Matches,Green Record,Red Mohawk,Worry Lines,Norman the Undaunted,None,Green Spray Paint
4532,2.9,3704,58.73,https://alpha.art/t/Dbi6PoGWTMA86jRMCUL9VrNebPbYomBDMMkHv72bj3QK,Royal Blue,Deadpan,None,Red Flames,Kunai,Ice Scream Cone,None,Theodore the Wrathful,None,Purple Creepy Crawlies
4557,2.29,3180,67.98,https://solanart.io/nft/9bGiYCBNBbVQQmURkm4hhzmTZRtNEXxQvoz39TqWWuQy,Teal,Deadpan,None,Single Blue,Melon Hammer,Ice Scream Cone,Worry Lines,Tyler the Adorable,None,Jungle
4585,2.09,1229,81.71,https://solanart.io/nft/2hrMgDgwMRzTXPtSyWzvrU131JS6kHb6qbiAL6v8FaGB,Purple,Deadpan,None,Single Purple,Green Record,Toasted,Divot,Malcolm the Inferno,None,Graphic Lines
4601,5.5,5756,20.39,https://solanart.io/nft/37e5KMPBzzeQCGRXDk72VvpoJFLiMVyJbDhunWXBrJwf,Orange,Deadpan,None,Slime,Tongue with Eyeball,None,Cheeks,Willard the Masterless,None,Empty Candy Bucket
4612,1.5,6136,58.11,https://solanart.io/nft/BvSq8HoEEkLMvKRt5ZwNceXks926VB7oA3WQYsGJ21Xj,Red,Deadpan,None,Dead Xs,Tongue,Royal Blue Durag,Cheeks,Luciano the Tempter,None,Bone
4620,10,6193,0,https://solanart.io/nft/9i4DkCJDvsBYP2eEemiyQBVFLg8TZ4CzoBksyw7zqZrB,Orange,Fearsome,None,Blood,Orange Record,None,Worry Lines,Wade the Traitor,None,Teal Bucket
4625,1.49,6618,55.31,https://solanart.io/nft/9oBSeg4af8PNvqCUhkrzXXuJdnz4Vrx6ZbpWkkKtYKKb,Teal,Fearsome,None,Blood,None,None,Worry Lines,Stanley the Corrupt,None,Empty Candy Bucket
4675,3,5368,47.73,https://solanart.io/nft/9rwnYjcUZGseerovUoKNBFnLDZqt4JbPs1348LvSkdCV,Teal,Fearsome,None,Zombie Whites,Kunai,None,Worry Lines,Morpheus the Deathbringer,None,Empty Candy Bucket
4693,5,2578,44.5,https://solanart.io/nft/CXPasoPtxiPedXGsLJ8MvoVW37yrxpzqmmMhSgskHwvN,Grey,Fearsome,None,Blood,Razor Blade,Ice Scream Cone,Worry Lines,Propero the Savage,None,Nebula
4696,6.666,224,41.99,https://solanart.io/nft/2qkjaTSfRGd6diNCzT8NG9NTLdRYgtfztsthPJnmzWiK,Royal Blue,Deadpan,Censored,Blue Worms,Tongue,Halo,Cheeks,Dexter the Headbanger,None,Tie Dye Slime
4749,5,4308,34.1,https://solanart.io/nft/DnP7kjMFkwQjqjRK8FqnRJzTmhGvHYVmr3zsuBZ1PZng,Fuschia,Deadpan,None,Twin Blue,Razor Blade,Blue Mohawk,Cheeks,Ripley the Tempter,None,Green Spray Paint
4900,3,1132,73.19,https://solanart.io/nft/GLDHXEeZ1TxfJnSvSkb5htxVXrq2htvLfgqCTg68CfTw,Purple,Fearsome,None,Single Purple,Razor Blade,Possibly Opinionated Hat,Squiggle,Cyrus the Dude,None,Bone
4918,4,72,69.57,https://solanart.io/nft/3DWKfNsuPciXtE5fB1DuMw2QF7qrk4Re71dagu9pYFt8,Sky Blue,Deadpan,None,Single Solana,Chef's Knife,Horns,Cheeks,Charlie the Usurper,Red Bowtie,Bone
4933,19.91,5758,0,https://solanart.io/nft/CC6X5dPzFveki1dYVV9pW82HJBTRu3e3vhnAU97rx9qH,Orange,Fearsome,None,Single Green,Green Record,None,Cheeks,Tommy the Bareboned,None,Brainwave
4934,1,2466,85.17,https://solanart.io/nft/3R3jesdEXkEuDM3u4yvDfim6L27kmQ8QGyDC32efQwNv,Red,Deadpan,None,Matches,Melon Hammer,Red Mohawk,Worry Lines,Jason the Champion,None,Graphic Lines
4953,2.25,5010,57.38,https://solanart.io/nft/9rcdFx2poqXFjB6GZAVkntN2m8wZjj4cGdD6gbQNuxiM,Grey,Deadpan,None,Twin Blue,Tongue with Eyeball,None,Squiggle,Cujo the Damned,None,Empty Candy Bucket
4977,1.78,5739,57.7,https://solanart.io/nft/G6LAGGrRdKBXZnTynCfk1AuzpVFuzHHion9429HPmuWV,Mango,Deadpan,None,Slime,Melon Hammer,None,Worry Lines,Tyler the Reignited,None,Emptyheaded
4988,5,3635,38.15,https://solanart.io/nft/3g5gY8PDQSEkcb7XyTSPB1jZkWKduvpHH6DjpDG9CMb8,Orange,Deadpan,None,Zen,None,Headphones,Worry Lines,Theodore the Destroyer,None,Green Spray Paint
5045,4.5,6001,28.92,https://solanart.io/nft/J6aF7LV7B3TXq7TQFA1yHLPpa5FAPAbN1wvufSGkpj16,Yellow,Deadpan,None,Pills,Blue Poker Chip,None,Cheeks,Norman the Sinful,None,Bone
5066,5,914,54.5,https://solanart.io/nft/2DhgTh1oJJMFmTyxXSivDe98S9JmDeVDjqqtuPxDhvos,Orange,Deadpan,None,Lightning,Cleaver,Army Helmet,Squiggle,Derek the Aggro,None,Camo
5075,2.75,1452,73.77,https://solanart.io/nft/Bnf9upvsRnXBVBCKvdf5VwLDDgDGQPSVjsN6PL2TWUrL,Orange,Deadpan,None,Twin Green,Blue Poker Chip,Traffic Cone,None,Faust the Unspeakably Dreadful,None,Spalding
5078,2.49,4878,55.77,https://solanart.io/nft/By1L5MQo5KAsaJPH5bN7NVmypLBSbLPDdtcwvMsQFmMS,Red,Fearsome,None,Zen,Mango Hammer,None,Squiggle,Henry the Unspeakably Dreadful,None,Brains
5089,30,79,0,https://solanart.io/nft/7nvDYoH1MJPqYM8t8GY9iM2yeapjhAYPhd1P8L7vXczK,Orange,Deadpan,Redacted,Twin Green,Kunai,Red Baseball Cap,None,Augustus the Sick,None,Nebula
5098,1.55,2905,77.03,https://solanart.io/nft/r7KJi8tP74b3ebfdGekXdGTBggcPL5WW1yLohDRgnB5,Fuschia,Deadpan,None,Tiny Pupils,None,Tiny Wizard's Hat,Cheeks,Sam the Cunning,None,Purple Marbled
5101,3,2591,64.42,https://solanart.io/nft/5qUx6FHERSrLfTVr7E8KG5MXXJWX2dLjDyHq78ep7uTj,Sky Blue,Fearsome,None,One Yellow Coin,None,Royal Blue Durag,Divot,Cedric the Brutal,None,Green Spray Paint
5118,3,3261,60.39,https://alpha.art/t/FzSWb196CGw437yRpCP4tziEf27V2ApNxyK2t5tjcns1,Orange,Fearsome,None,Blue Flames,Kunai,Blue Spiked Mohawk,Worry Lines,Francisco the Decaying,None,Pink Spray Paint
5159,3.8,1414,63.5,https://solanart.io/nft/7ZgzvZi5y1UpTZfs4TT5Du3S9NacVghUZaRo95fY9YxV,Purple,Deadpan,None,One Yellow Coin,Smoke,None,Squiggle,Thaddeus the Diamond Handed,None,Purple Bucket
5160,150,1298,0,https://solanart.io/nft/Fk2xrLdAF8fqpo3q23PhWL98Xnb95oB11jbkA3aNq9Fq,Orange,Fearsome,None,Red Flames,Blue Poker Chip,Pit Vipers,None,Darius the Indescribably Awful,None,Cerulean Sugar Skull
5162,3.5,1872,63.74,https://solanart.io/nft/5qKCjKxD1tixcDGaot6nR5aEDTcozmTPDHCqKGBUGxQe,Red,Deadpan,None,Single Purple,None,Traffic Cone,Divot,Derek the Relentless,None,Putting Green
5182,8,1672,19.95,https://solanart.io/nft/4Ncmfcqcbi8243pRmJKm69yfVjTSogaFAtrhiM8HU1dx,Orange,Fearsome,None,Blood,Orange Record,Tophat,Cheeks,Alistair the Beefcake,None,Gold
5189,150,3794,0,https://solanart.io/nft/HctkZGcEJFAqc9bass7Yxps7zu9ZF81ebvUwxwH2ZL19,Mango,Deadpan,None,Blue Flames,Razor Blade,Red Baseball Cap,Worry Lines,Victor the Maggot,None,Jawbreaker
5204,7,559,36.64,https://solanart.io/nft/5eeGhTq9jnNYLRjDGVkR8CnVdaCAd79rGUYw6KFkU9L8,Purple,Fearsome,None,Single Red,Razor Blade,None,Worry Lines,Stanley the Elvis Impersonator,Black Bowtie,Emptyheaded
5220,3.5,3021,56.84,https://solanart.io/nft/4YmeByxtqBgWta2DXkLbKc6aRF1vcTFRosSijPuKKizZ,Orange,Deadpan,None,Lightning,Kunai,Headphones,Cheeks,Ajax the Reprobate,None,Green Spray Paint
5222,2.77,5516,49.14,https://solanart.io/nft/5vTMwA2kc95Je53iTGofCUbYChvRHjTr4DXkz2nmEYCu,Royal Blue,Deadpan,None,Twin Green,Tongue,Pizza,Cheeks,Attila the Schemer,None,Pop Art
5252,4,1929,58.4,https://solanart.io/nft/ATyuRqZjYisYYBC3N1JSZdyk5N88n69bZwc2N5hd5Zwd,Red,Fearsome,None,Red Flames,Money,Ice Scream Cone,Cheeks,Stanley the Relentless,None,Purple Creepy Crawlies
5256,2.03,2907,72.22,https://solanart.io/nft/6zAA29vwR3UsteUxPomCj9QfYKEtwDffmDp4B2oEjNHc,Orange,Fearsome,None,Twin Red,Joker Grin,Red Baseball Cap,Cheeks,Sam the Unspeakably Dreadful,None,Graphic Lines
5259,14,151,0,https://solanart.io/nft/uBCd6mg7w11nHzQth4TqX37eUY4bQQgHgK3XKdoJzgK,Purple,Fearsome,None,Single Solana,Smoke,Green Spiked Mohawk,Divot,Claus the Gravecrawler,None,KISS
5263,11,3490,0,https://solanart.io/nft/7Nh4SQQ9uPpL4cuNumyt36JwknSSU3CLisexbXNKS4rv,Yellow,Deadpan,None,Slime,Kunai,Royal Blue Durag,None,Luther the Crypt Keeper,None,Blue Marbled
5270,3.3,6494,37.96,https://solanart.io/nft/r63nMmPWyFaoZLTLAptUmV3D5c4dTMGrfqecd9cC3c3,Yellow,Deadpan,None,Dead Xs,Kunai,None,Worry Lines,Axel the Unphased,None,Wavy Blue
5280,2.5,2629,69.19,https://solanart.io/nft/4VAvwG9Lb3HiH29WUbqeanoLTU8yEKs4orkDRFvgScfM,Grey,Fearsome,None,Twin Red,Orange Record,Red Baseball Cap,Squiggle,Augustus the Amped,None,Wavy Blue
5293,7,5624,6.19,https://solanart.io/nft/6PMynPpRvGFegQUbaiBnhrTSzWg41zVJ1KZBrD4Zb3F8,Yellow,Fearsome,None,Twin Green,None,Horns,Cheeks,Jason the Rad,None,Red Pop Art
5314,4.2,4482,41.05,https://solanart.io/nft/D7VATczvwG6qYrDywMNqMJqFDsPKAtA37UcZJs4iHsWg,Red,Fearsome,None,Single Red,None,Blue Mohawk,Worry Lines,Dexter the Stone Cold,None,Graphic Lines
5325,9.99,739,5.66,https://alpha.art/t/7N2h31CsxkKJVMuYxJYenQRCRfjfnWi62TdiNYCpvoi7,Red,Deadpan,None,Diamonds,Orange Record,Halo,None,Charlie the Usurper,None,Purple Day Of The Dead
5352,3.5,465,72.2,https://solanart.io/nft/9aumvuMtWGKE3bXUba6Eh1GjTz1qFJFqxXF3wbzVQAy5,Blueberryish,Fearsome,None,Zombie Whites,Green Record,Toasted,Worry Lines,Morpheus the Baddest Bad of All Time,None,Bone
5396,5,5801,25.12,https://solanart.io/nft/Bi29H73PUBbqd47DZXUV1bABMUZjoAXWNJckGRrG3GNj,Purple,Deadpan,None,Single Purple,None,Horns,Divot,Richie the Forbidden,None,Blue Splash
5404,324,22,0,https://solanart.io/nft/6ABxRVvTM6H8xRWpLPsdhC6nmqbhoGSdEAie7j4tUogz,Seafoam Green,Deadpan,Redacted,Worms,Joker Grin,None,Cheeks,Jigsaw the Unreasonably Macho,None,Brains
5449,2,1730,79.6,https://solanart.io/nft/5WAUBs8RnyKKJsVss2ifUYUuP3NApSpqgbc65DpJbyWk,Yellow,Deadpan,None,Single Green,Green Poker Chip,Ice Scream Cone,Squiggle,Casper the Ultimate Blue Chip,None,Tie Dye Slime
5458,3,5987,44,https://solanart.io/nft/4cTczwcxieQPvMyegwKtJtbBuTU8wk1T33rjV3Gq8h8p,Red,Fearsome,None,Single Red,Green Record,None,Cheeks,Luther the Absolutely Humongous,None,Empty Candy Bucket
5465,4.98,2376,45.91,https://alpha.art/t/42Vc4EvWTkRY5wDC1A3irzBjoksfvfK3MgJV5DJUHGvh,Grey,Deadpan,None,None,Kunai,Blue Spiked Mohawk,Divot,Chad the Unhallowed,None,Green Spray Paint
5467,4.6,6124,27.18,https://alpha.art/t/3ppAARnyk8if5gtc4dKrFzsn32F4Lq72G9Jt6Pnx5VQP,Royal Blue,Deadpan,None,Single Purple,Green Poker Chip,None,Cheeks,Michelangelo the Unhinged,None,Empty Candy Bucket
5477,5,3298,40.17,https://solanart.io/nft/7qq5sBffGzpK1zRXJ2k83xxMzqHVSuv2RqtxFZTXzCb3,Grey,Deadpan,None,One Yellow Coin,Fat Cigar,None,Cheeks,Hector the Deathbringer,None,Candy Corn
5536,4.9,4640,33.1,https://solanart.io/nft/B7GJqcqQJEhjBXF29wRcwC7ALkn5zAPs576VY1kukXzb,Grey,Fearsome,None,Zen,Mango Hammer,None,Worry Lines,Hiro the Fury,None,Brains
5542,1.9,2963,73.19,https://solanart.io/nft/CYkyH8pxtL5AtsEFdqcubWBxwAkpxjMFbemNvwJ14wHZ,Teal,Deadpan,None,Single Purple,Green Record,Horns,Squiggle,Benedict the Champion,None,Blue Splash
5550,4,4104,45.33,https://solanart.io/nft/DWygCfvSXu8czZ12mr86dE9UQj3LpYVqZgyxzrXLbz7b,Red,Deadpan,None,Tiny Pupils,Kunai,None,Divot,Icarus the Impure,None,Cerulean Sugar Skull
5565,14,991,0,https://solanart.io/nft/5JDHDkGM7rpv4L1EHA2UcYcA6yv6dgsTPvnCqGoob4Vv,Orange,Deadpan,None,Single Blue,Money,Emo Party Hat,Worry Lines,Judas the Savage,None,Cerulean Sugar Skull
5568,1.77,2296,78.5,https://solanart.io/nft/2NfHiB8KAwtYmUVw5Da2LydXUaRHcjyNHrewXqkZLwet,Teal,Fearsome,None,Slime,Blue Poker Chip,Tentacle,Worry Lines,Hiroshi the Mean Ol' Bastard,None,Green Spray Paint
5569,10,3908,0,https://solanart.io/nft/46iZG3squ2Yv3DwX2j5x67dPoKFpJ3pxgJNavU2HRrDa,Royal Blue,Fearsome,None,Single Blue,None,Purple Baseball Cap,Divot,Wade the Boneheaded,None,Green Spray Paint
5621,2.6,1965,72.19,https://solanart.io/nft/9fcoT7arUXo61pTVWcec3kVtKqKoVagFTNmCMpwaD4Be,Sky Blue,Fearsome,None,Twin Green,None,Headphones,None,Rocky the Ferryman,None,Jawbreaker
5628,1.2,4657,70,https://solanart.io/nft/9wE2NpYZ824h5AeoNWMkwrqdGzSp1r1YRLwCEZz6MKYt,Red,Deadpan,None,Blood,Mango Hammer,Traffic Cone,Cheeks,Santiago the Corrupt,None,Green Spray Paint
5636,5,1403,51.56,https://solanart.io/nft/2bSMD2SvgeEfrVHQqkJMiURWERhstZmuyoYzKfmMEWwc,Orange,Fearsome,None,Single Red,Mango Hammer,Red Mohawk,None,Bruce the Rad,None,Bowie
5646,3.5,2387,60.65,https://solanart.io/nft/5PFdbyjq8Ad4yCSFGjnRFsntaTBnT5KHzHMCpsx8tj5Z,Royal Blue,Fearsome,None,Single Orange,Hatchet,Captain's Hat,Cheeks,Nikolai the Cosmic,None,Bloody Splatters
5666,25,1479,0,https://solanart.io/nft/6uFiv2MYybuysQkhykdQKDqXW4DGuvR11sKGWkky8rNK,Royal Blue,Deadpan,None,Dead Xs,Kunai,Tentacle,None,Logan the Deadlifter,None,Blue Splash
5693,6.66,187,42.28,https://solanart.io/nft/5NF4UDtxSAiTxWJ6PVGjEWFT7NPd873AmFrmTyppoRWK,Teal,Deadpan,None,Blue Flames,None,Fried Egg,Cheeks,Hector the Destroyer,Black Bowtie,Bloody Splatters
5698,3,2721,63.64,https://solanart.io/nft/GrLsVFet9yMm6PSG26tjwW1QWrp1Ld67HR2obCjvQhZS,Teal,Fearsome,None,Neon Spray Paint,None,Pizza,Divot,Hiroshi the Savage,None,Nebula
5703,14,3554,0,https://solanart.io/nft/9D8zetpV2MtqbJfrd73gE8XYew4958RfEaMGKytUtTeC,Orange,Fearsome,None,Dead Xs,Razor Blade,Red Baseball Cap,Worry Lines,Santiago the Cursed,None,Putting Green
5715,1.9,5892,55.58,https://solanart.io/nft/6xHpyahKTseikn5TLZHK3R1YgSGFArvv6edwHoMtaDbF,Grey,Fearsome,None,Lightning,Trench Knife,None,Cheeks,Manolo the Gravedigger,None,Emptyheaded
5750,20,5908,0,https://solanart.io/nft/HcQboVnrwbURupt69XwBt3bZU8jbSZj1piDJTV8T25Uw,Royal Blue,Fearsome,None,Single Purple,Kunai,Horns,Cheeks,Oscar the Inexorable,None,Bone
5767,6,1749,39.48,https://solanart.io/nft/ExquVfunY6NgzYjBMkcNu4ALk8bTLce9MApw3whcAEh3,Fuschia,Deadpan,None,Solana Pit Vipers,None,Red Baseball Cap,Divot,Chester the Near-death,None,Pink Spray Paint
5793,5,3080,41.48,https://solanart.io/nft/EUeoL35ondaRqfFp1f9LkYQngiCmaCSMYgBRu8iHShGx,Red,Fearsome,None,Twin Red,Cigarette,None,Worry Lines,Tommy the Total Asshole,None,Blue Marbled
5842,5,5187,28.81,https://alpha.art/t/GNEheiJDXwRabce5bD1QacszAL4E1p3wJzkZ2Hx7BDs1,Teal,Deadpan,None,Single Orange,Trench Knife,None,Divot,Apollo the Dope,None,Empty Candy Bucket
5844,3.9,5631,37.14,https://alpha.art/t/E95LDRLTd4j2c4Rp86HxFzxNvnVxkxUW82wPXV82LfX6,Mango,Fearsome,None,Dead Xs,Tongue,None,None,Mark the Chaos Bringer,None,Teal Bucket
5857,5,2637,44.15,https://solanart.io/nft/Mxg6nJFsqTBzoWqEqXwh3mwggK9YW8JGHiMZ5iN3z8j,Purple,Deadpan,None,Zombie Whites,Green Record,Royal Blue Durag,Divot,Rocco the Really Impressive,None,Graphic Lines
5897,1.89,5073,60.6,https://solanart.io/nft/5yWoNisRCkTyrQzAKxmqqaqekfY5sqvCLqc1SHM2keS4,Yellow,Fearsome,None,Worms,Green Record,None,Cheeks,Cronos the Conjured,None,Teal Bucket
5900,5,310,58.14,https://solanart.io/nft/GFStxSAN25A1puw3jcTeBZFKJwBbsQuXeKGwy2j7Cfhv,Grey,Deadpan,None,Tentacle,Mango Hammer,Cherry,Worry Lines,Hannibal the Gravecrawler,None,Fuschia Tie Dye
5913,3,917,74.49,https://solanart.io/nft/5SQf9auCXoeFY1EbXszqXwtRSCTSXiHSB35G47FJYekd,Seafoam Green,Deadpan,None,Neon Spray Paint,Joker Grin,Green Baseball Cap,Cheeks,Luscius the Unbalanced,None,Camo
5917,2.5,6295,47.15,https://alpha.art/t/CLe6qDGWp9qeQY12UBA7iRBPrTz8MAdN3HccZZTpEpoD,Teal,Deadpan,None,Nine Ball,None,None,Cheeks,Norman the Crypt Keeper,None,Emptyheaded
5937,3.6942,5974,37.14,https://solanart.io/nft/ECjXVhTtiADte57WSM28MffbToXMvNbP2C4uUMaVcRfU,Purple,Deadpan,None,Twin Blue,None,Halo,Worry Lines,Logan the Undead,None,Blue Crosshatch
5968,7,798,35.2,https://solanart.io/nft/NAZ7srovoDrQNJFzKVm8m1YKkZanhwhqRtckD4UuVCX,Royal Blue,Fearsome,None,Blue Flames,Razor Blade,Green Spiked Mohawk,Cheeks,Edmond the Aggro,None,Gold
6006,2,2686,73.85,https://solanart.io/nft/7HaJ4w5fUCaFiQ8qvfAViZCNz2hZHhr7pNYbdiT1zHXE,Red,Deadpan,None,Eight Ball,Tongue,Ice Scream Cone,Divot,Pascal the Inexorable,None,Bloody Splatters
6023,3.5,2762,58.39,https://solanart.io/nft/UWDGiv1sq6xNY6QgVhvW1kq327f4WVWmQMC4FBSWrMa,Grey,Fearsome,None,Zombie Whites,Orange Record,Horns,None,Manny the Mauler,None,Blue Marbled
6030,5,3863,36.77,https://alpha.art/t/35qpaao4zW1NFbr4HC2sTeHyVM7vefndUF3Skbs1ycoR,Teal,Fearsome,None,Joker Paint,None,Tentacle,Cheeks,Hagrid the Cursed,None,Purple Creepy Crawlies
6036,4,6024,33.78,https://solanart.io/nft/CFW1W4VwptTTtigvvBiNz68R72wpKNWhkmV3XTnEdbeA,Orange,Deadpan,None,Lightning,None,None,Divot,Santiago the Unbroken,None,Teal Bucket
6038,2.29,5129,56.26,https://solanart.io/nft/Egh8J8LVcHfg9wpkcPkPshpfX6Wkmaqi5KysdYm1HWaV,Red,Deadpan,None,Third Eye,Hatchet,None,None,Theodore the Terror,None,Emptyheaded
6046,2.25,6613,47.74,https://solanart.io/nft/EKkAQkSGUKcWkjuEFgkkQvzt93XapiF5Ya77o8rCT7b3,Yellow,Deadpan,None,Single Purple,Tongue,None,Cheeks,Eduardo the Adversary,None,Empty Candy Bucket
6065,3,3110,61.3,https://solanart.io/nft/E9E1E9tewZKt3JHnJxSdNM1KgRovio4G9Cw6oJXmGcmK,Blueberryish,Deadpan,None,Joker Paint,None,Green Baseball Cap,Cheeks,Raphael the Doombringer,None,Wavy Blue
6069,2.5,3871,61.73,https://solanart.io/nft/8XeprGohoZP69QVn3uYTzA7UySavjVedHro55DNoRryV,Royal Blue,Deadpan,None,Eight Ball,Blue Poker Chip,None,Worry Lines,Charlie the Ooze,None,Kabuki Mask
6103,3.3,3869,53.74,https://solanart.io/nft/8HirnUzwdXEyxkjw7DBwsyiG8aRzSt1EPnEW74cusDGT,Red,Fearsome,None,Neon Spray Paint,Tongue,Halo,Cheeks,Xavier the Secretive,None,Pop Art
6111,3.52,5147,43.85,https://solanart.io/nft/AFiFyfM2Sn2KZvR8EEbaoT8wbGsfTLd91izFJg2bojJx,Mango,Deadpan,None,Single Green,Tongue with Eyeball,None,None,Edmond the Reignited,None,Orange Spray Paint
6115,13,876,0,https://solanart.io/nft/H2NfkTdF9T4t8ZPT87n7uDXqazsUBxvJ3RTkS8hUBgue,Seafoam Green,Deadpan,None,Twin Green,Melon Hammer,Halo,Squiggle,Richie the Drop Dead Gorgeous,None,Wavy Pink
6116,4.5,3615,43.27,https://solanart.io/nft/BE6QFZtQaC4Fyk3vDF1XEneZCJVhvaefUCDJMAH8uBb3,Red,Fearsome,None,Twin Purple,Blue Poker Chip,None,Divot,Magnus the Unhallowed,None,Green Spray Paint
6126,6,1263,42.41,https://solanart.io/nft/8uLeAeXod1HEmCqGvzUBc3Ffrnfu8HyCLF4sT6eFgYGd,Teal,Fearsome,None,Glow Worms,None,Pit Vipers,Cheeks,Zeus the Unbalanced,None,Kabuki Mask
6149,9.8,6638,0,https://solanart.io/nft/FFMzHeE5RQkBu4TNERy4kEZaTarjeu884xNVosbHD72v,Grey,Fearsome,None,Red Flames,None,None,Cheeks,Dante the HODLER,None,Teal Bucket
6190,2.9,3487,60.04,https://solanart.io/nft/3qiALGqVJn86YfMQDC333fQXJWYksE3g2h5mzv8dybGk,Mango,Deadpan,None,Single Purple,Mango Hammer,Blue Mohawk,Cheeks,Elvis the Party Animal,None,Yellow Spray Paint
6192,7.77,314,30.41,https://solanart.io/nft/8H8ctUL3LbKHkSmy3xrudj9ewyspHeKN8oEgGFYs3nqb,Grey,Fearsome,None,Purple Worms,Tongue,Ice Scream Cone,Buttchin,Luciano the Brutal,None,Pop Art
6193,1.7,3244,73.5,https://solanart.io/nft/FwTuq1QQCf1kPnBSKcdEP8WC53NdeCP4SZo9mpQ4Z23d,Teal,Deadpan,None,Twin Red,Trench Knife,Horns,Cheeks,Elvis the Vigorous,None,Orange Spray Paint
6200,15,3981,0,https://solanart.io/nft/3wECNkhH9G3atMyrTr9RJvKWY2QuBhxvGWcu7ahNqCND,Yellow,Deadpan,None,Blue Flames,Kunai,Green Baseball Cap,Worry Lines,Randy the Metaphorical,None,Bloody Splatters
6227,7,4226,14.59,https://solanart.io/nft/3vnowQsAekaxYpb2tj8sX1VZ4DsWCr71Wu6kdtNzuSV3,Teal,Deadpan,None,Nine Ball,None,Horns,Cheeks,Andre the Humerus,None,Pop Art
6229,3,3579,58.48,https://solanart.io/nft/HTqxznN61MBpdBsnWQR5omUqPjzuUTcQb8tGPKBSKAFN,Red,Fearsome,None,Sunglasses,Money,None,None,Odin the Forbidden,None,Tie Dye Slime
6256,10,4921,0,https://solanart.io/nft/DXmKp5akrxqy4mVbAAdMJYBt1SigLB7EZKRr1raCiG9L,Orange,Deadpan,None,Slime,Orange Record,None,None,Nikolai the Deadhead,None,Crimson Cranium
6278,2.4,4518,58.84,https://solanart.io/nft/4wvpisv22k5c1DcdYie4RQtgzHWdpnsrgnHKtYVedktB,Grey,Fearsome,None,Dead Xs,Tongue with Eyeball,None,Buttchin,Curt the Sinner,None,Teal Bucket
6320,3.5,3361,54.79,https://solanart.io/nft/DaEmUKG9Wng7WKXest8B7t4heRupMgwfijK4HB75e8xR,Orange,Fearsome,None,Single Blue,Tongue with Eyeball,None,Worry Lines,Darius the Bonebreaker,None,Pumpkin Bucket
6338,25,4831,0,https://solanart.io/nft/HYNLzT1jynmXe2THcntzSnhQd5en7wZqwjEVg7MjMhKF,Grey,Deadpan,None,Single Orange,None,Headphones,Cheeks,Jigsaw the Insanely Huge,None,Zombie
