id,price,moonRank,💎 score (%),storeURL,Background,Direction,Element,Hat,House,Mask Eyes,Mouth,Nose Eyes,Sign,Skin
784,1,584,84.14,https://magiceden.io/item-details/HSNyCudVgUKzuNdzqVNRGmzpXdrKVBqmug7FsdnjM5gW,Background 67,,Water,Hat 15,11th House,Mask Eyes 33,Mouth 22,Nose Eyes 30,Cancer,Skin 25
789,1,1813,61.51,https://magiceden.io/item-details/555kzKBt6YUH9ZaRS8tct3YDEbuJubKmrEjUEb9QabYU,Background 4,,Fire,Hat 48,7th House,Mask Eyes 47,Mouth 34,Nose Eyes 22,Libra,Skin 51
792,1,1701,63.57,https://magiceden.io/item-details/51TXutnjrWKrypDYt2xLmxfkBqNadG3fNmEq6KJAPMSv,Background 66,,Water,Hat 10,7th House,Mask Eyes 42,Mouth 40,Nose Eyes 27,Aries,Skin 31
797,0.8,1695,65.68,https://magiceden.io/item-details/HTL3vYrBtqMvcCCiEV64oUY8PzZ8pbrWpKLpYiVvzQUt,Background 3,,Fire,Hat 53,10th House,Mask Eyes 17,Mouth 28,Nose Eyes 20,Leo,Skin 49
804,1,542,84.92,https://magiceden.io/item-details/GEVy9yAk18wPmjZymDRZ4ifHcxwtERcinYXkJzeGDwqt,Background 14,,Water,Hat 5,3rd House,Mask Eyes 5,Mouth 27,Nose Eyes 34,Aquarius,Skin 58
814,0.8,1478,69.68,https://magiceden.io/item-details/2694x7Z2QgwsHYgTZsTfBGMtLYgNfuf64hnBcia8mGhG,Background 69,,Fire,Hat 14,7th House,Mask Eyes 25,Mouth 15,Nose Eyes 32,Pisces,Skin 16
818,0.88,1355,71.15,https://magiceden.io/item-details/5QaAxj84pYTjjFHsBnm28Du5XvjXgYanipRnrrBJjCn8,Background 64,,Water,Hat 46,3rd House,Mask Eyes 47,Mouth 9,Nose Eyes 9,Pisces,Skin 49
859,4,457,56.48,https://magiceden.io/item-details/A7XmD3jtzLKHPhW4g1J1nMJQP3r4vSbGti7hxAwgfnWH,Background 75,,Water,Hat 34,12th House,Mask Eyes 59,Mouth 22,Nose Eyes 10,Aquarius,Skin 49
874,2,330,78.82,https://magiceden.io/item-details/7ZZaoYvohBYQK8ddqDobLaPXqU2FVmEGKBymg2HCSpFS,Background 12,,Air,Hat 49,5th House,Mask Eyes 59,Mouth 7,Nose Eyes 9,Virgo,Skin 5
891,2.5,1436,53.45,https://magiceden.io/item-details/Bz5MsM537YqDqsztg1vYVGYGKg5Dv6Zv4uojESW8fvhy,Background 69,,Fire,Hat 3,1st House,Mask Eyes 49,Mouth 40,Nose Eyes 9,Scorpio,Skin 43
910,0.97,1736,63.23,https://magiceden.io/item-details/4pyvvnLGnxXP4CdC7uPGr89mRjNC24aN78Ameuza25jB,Background 22,,Earth,Hat 21,1st House,Mask Eyes 56,Mouth 9,Nose Eyes 13,Pisces,Skin 12
913,2.69,638,66.25,https://magiceden.io/item-details/7EgedyXYgxwNgUMB1FgZ1J8MVQj4i7gWDo6ALxU93Aye,Background 7,,Fire,Hat 36,5th House,Mask Eyes 34,Mouth 32,Nose Eyes 6,Leo,Skin 30
917,0.5,1198,77.84,https://magiceden.io/item-details/CXMvXQj7vmmgQ8pFQW1QAvtuCDPwsZHicv6JqvriYmDz,Background 3,,Water,Hat 20,3rd House,Mask Eyes 42,Mouth 34,Nose Eyes 21,Scorpio,Skin 29
929,0.5,1942,64.14,https://magiceden.io/item-details/6whWV9Mh3yeppXGsAbxjRMmmqAZ5CEHM2UQioZyCCvvB,Background 65,,Air,Hat 4,4th House,Mask Eyes 1,Mouth 3,Nose Eyes 31,Pisces,Skin 12
938,0.65,1196,76.37,https://magiceden.io/item-details/AHcfPDZn5WDbxEoHrSMDcTLmmcsPxG61Mc17Q2ojTBhw,Background 75,,Earth,Hat 51,2nd House,Mask Eyes 43,Mouth 18,Nose Eyes 11,Pisces,Skin 54
