id,price,moonRank,score,storeURL
241,2.5,41,261,https://magiceden.io/item-details/7AKfbkHBceAKj8HXhJQGqJa1zhydFPauQDZDr8htNpy6
242,0.55,679,704,https://magiceden.io/item-details/GW2XwNt68SRCNmAQr1Ve49Zo8arEJ52SrVABYzSkqRms
249,1.5,196,316,https://magiceden.io/item-details/ANdMVyNjVmJsA75iDmfchn587qmKjS7L6s8DTkbfRAyy
250,2.5,1082,1302,https://magiceden.io/item-details/J2jWf61eujvQyEEW74RNDGSqNDa9kXGfNtjLG2zjeCKh
260,0.85,319,374,https://magiceden.io/item-details/9yEmEK1nKHZ4vAtJbFTSH5S64JT8Q1cEtzvYi2dbpBKZ
265,3.33,551,854,https://magiceden.io/item-details/4FDNHiqwjSFdr1r5b46kGK8yM5gbxg6WQTgXQaRMpa6r
266,1.49,285,404,https://magiceden.io/item-details/HyZ5UZrSS6LbRVAtWQZNLbmj95y7cy6Kp5oLrdKSryDC
277,2,126,296,https://magiceden.io/item-details/GioeGXEQ8fJDMRnJV753BNwuSFsETTnhuoPW3hZGjQzM
278,2.2,71,261,https://magiceden.io/item-details/2udymtpfnJyjJqN6LYcKBhHkYBJAaq6DdWaBVR9mFjp4
279,0.95,890,955,https://magiceden.io/item-details/8crpRFFGZE8hQsBo7XKin2xHNW6Kx7sZjZsrrp43exSg
281,1.1,295,375,https://magiceden.io/item-details/21bKTXeZE7qqmXiX7yJdAcpBEGLKLih3a5M8racXZJHi
289,0.65,225,260,https://magiceden.io/item-details/6qVGiiXgKGSsfiZCKvMVboXAuo648iPfabt8Uf9L2Hz1
291,0.85,28,83,https://magiceden.io/item-details/4magWbD47GFZQ1Jt9gFheNA6M6JJ4nz9aXp1LuT9Hcfq
294,3,226,496,https://magiceden.io/item-details/6MziSdKCAWXHcztSUPGR1ydyGfm3J18tgCyk6onncDnb
301,300,215,30185,https://magiceden.io/item-details/5trABqY2cfRi5hRcF1ay5aSL8MPwNY3xg9oTDsfVQdy9
304,304,423,30793,https://magiceden.io/item-details/AnLo3gyePwBgyHCCkukvsbkJVwxFnhsQoz8rkocM2FA
307,1,1073,1143,https://magiceden.io/item-details/4uqvgwJG1PqFTrRpwAAAtD9NcoeKuUusFb244J3mY6tX
317,3,579,849,https://magiceden.io/item-details/5hUfu35ntncAct6sUxcLcEXKQUdHuk5M6EinEWRsm7P7
318,2,125,295,https://magiceden.io/item-details/68PypoUC5jtiz4Q9YoVzjzj5GWe8aR4C5Qw9axHzMwdZ
326,1,506,576,https://magiceden.io/item-details/3PcyCJ3H695PdYBGzHw5XVtEgEvgVC6DCgWePVRfNk8C
332,1.28,897,995,https://magiceden.io/item-details/8YoQdHmZiuvQk5hScYmgMSTgLeWZBHAK3MN4qSN9sSG7
350,5,508,978,https://magiceden.io/item-details/CV1VxPNwSwsvsZEFxgMKKB4PaYUD7fEMTkPsYqhBJrk8
357,0.99,37,106,https://magiceden.io/item-details/7o8Zi1bcJ7LG12kazKGKHPpMDoH2X5HpPV6eeNRBt5eL
363,1.49,962,1081,https://magiceden.io/item-details/5uAmXnkesxgXkA99gd8SuC3VVCiugKFj8MMoH98t95xT
368,1.5,252,372,https://magiceden.io/item-details/9fCLJB2hGMYZ3MijqVLwX8tgsYUyskUB1oP5qwBVd7gB
389,2,480,650,https://magiceden.io/item-details/4ch14FwovfvQVsEJS5mafrQFcRppufdrCeJ8g65hSh5y
412,1.5,444,564,https://magiceden.io/item-details/BoS9Ho68scMZZwzAipw3YFBdvetcKVE3Vjbh8MHXNq81
417,3,830,1100,https://magiceden.io/item-details/D2hViRgmvydaBmAdq95inUAW9pkDCXuJn6vQNk7FQUiJ
424,0.75,118,163,https://magiceden.io/item-details/A9dm5er3Rt7BBF5sAyzWsEPPYhBdxYyfbVayNwVpkUu7
427,0.5,852,872,https://magiceden.io/item-details/EdMngcz8F9KPsEcZ8rbvx3V4qEKwkFqcfAQBnvrf4J95
431,2.5,986,1206,https://magiceden.io/item-details/5ZwYYEPcPNrJwyv27kqETSx6NRcGRQ3uCy89BZ7TJttJ
441,3,851,1121,https://magiceden.io/item-details/AzV8ybdHCKGRLwSYXqTrRZ9fN5gpT3rK5yH12ngJRE3h
443,0.365,369,375.5,https://magiceden.io/item-details/3g1jGFH5jsYhAdUa3bAJTax9S1v8NXZzBPVAaKJVNB49
449,0.95,691,756,https://magiceden.io/item-details/Ctq9VbTXcB8YmSveiXvjW77CJMJBNSaAS8TGo6MdX3zU
457,2.22,220,412,https://magiceden.io/item-details/9dbm4kySdBN9vQpi3YE9eQX4UNJq5iyQHvFztyeVTC2d
459,1,150,220,https://magiceden.io/item-details/FEtxWGdeiMrv5kXmdnAqVkkTg2uY6Szf7CCWY23uprak
462,2.22,115,307,https://magiceden.io/item-details/9WFYHt8cjZdX5pxAuKG3xpU3u8rgzP5kKc1jkAQYkHK3
467,134,276,13645.999999999998,https://magiceden.io/item-details/9RfLVbjhXibsYb1mG5kmAVPdx6qAWj691wAvoie1rZc4
471,1.8,1092,1242,https://magiceden.io/item-details/HwNPHqPU7j3LTKWdAKzmKh6KBGfrUXAR2ksFKQYZTV3Z
475,3.8,503,853,https://magiceden.io/item-details/8Gu2s8v9aqgSgdVqrL7BnHxpiRvmyfMaXfCeyQQC7nUi
483,1.2,535,625,https://magiceden.io/item-details/EfjfiqWzZzzKaaogsdARqpuup6R2HtiGAsDXLUZGf4Wh
486,0.39,469,478,https://magiceden.io/item-details/3SqtMs8wgMUwMDSnYbzrpLJC54Uvg9vecx8VvThSXsi1
499,0.3,1059,1059,https://magiceden.io/item-details/Fq6kFdmUuAks2JZ8zujpEqa2XDNF9AFfV7rsi6EowLE8
504,0.5,1098,1118,https://magiceden.io/item-details/5FK71T3F8QGqoHtChcXnd73XknmkJ8gQH29ppUttK5Q7
505,1,350,420,https://magiceden.io/item-details/3fNc5oYgBKc3joTnUbP6oKWxrhJfW3xkjShiVvdkBixZ
515,1.11,316,397,https://magiceden.io/item-details/61J1wcxf8hNE1YkoKoxoTyZNn6HFRjffSvLAwnw3NkJ1
521,21,1051,3121,https://magiceden.io/item-details/AdE4DQYrVW3mhiG84dn5JouEW39Kq9rgZcPTnfZaxG2m
529,10,945,1915,https://magiceden.io/item-details/GgHRdR711sH2sg73umefr9UpYxuhTF9yaXzfa5HqiC6V
530,1.5,114,234,https://magiceden.io/item-details/GXHzvgAEnGXdkwB6jSjVXpZnMzJz4rRs1wMu7uPEeLm9
533,1,1085,1155,https://magiceden.io/item-details/DKmLkBmjXkctyxwPE84MpGTU8m4vnZP3Si9oMNc5TcRD
535,0.7,827,867,https://magiceden.io/item-details/DZMm8e3FebxvTSUNiAjsvad4ZxV9cqU1zRncvUMJMqJ7
540,1.5,663,783,https://magiceden.io/item-details/CAkxQwM8ZpfWhoeopHEgrApEF11PsARsr2qz8AUUo88x
548,5,970,1440,https://magiceden.io/item-details/674kaLAucrQTMJ4bnv1zEG1DG5nQgtrYQJBvByYhHBVq
549,1,453,523,https://magiceden.io/item-details/57uvAb3ZUYmNGKomvMxqSiifyUnwExL998eNKidC9gQu
551,0.85,976,1031,https://magiceden.io/item-details/7MfMKqiua2eY8TLSJ85JZ6wUXHVpZZ3hJsoKABzP7RFh
555,1,686,756,https://magiceden.io/item-details/9TPwr2ahiGofi3TkTBbEVSQesmX9FUvtNG18s5R7hFR5
563,1.39,1033,1142,https://magiceden.io/item-details/3xj9YsEQq2ijgk4MfKEtQ8doLWqF1TvzFBLj1fBf2mhE
567,1,743,813,https://magiceden.io/item-details/DabDjzzhHgJ2CNSe9xShGTMWDpk6ZoZKPjRNLtYxjmS6
573,1.89,491,650,https://magiceden.io/item-details/EV393JDdLNeDtJjmNMteDGwZfmvnJV8VfWrDoeRhCqM7
592,1.8,956,1106,https://magiceden.io/item-details/4ZpPYTtmZ5M2mUDYwVa1BDgW6zEuzjGACdocfbjFFQHx
597,3.7,451,791,https://magiceden.io/item-details/7sS9LsNjcMU2Z1rHiNYY5hDsfsw7XEVm64RxnLKEqTp7
602,0.8,267,317,https://magiceden.io/item-details/HgvnpP6hqXpDYALk49k3BrPemKV7ePN8Qay6r5epBSPy
604,333,546,33816,https://magiceden.io/item-details/Bm1FjSHwbRKusWRj2kHd1AvDEAcNMAGuesKpsryT4zYg
608,1.2,479,569,https://magiceden.io/item-details/FFioLGzGH5xCfu8hdiTiaRqai6pEL2p7wyapD81rTk32
611,1,329,399,https://magiceden.io/item-details/8XKU5ZXPs5jgYoJXULFvDCjd1zsz9J4RftSfWxusCp1m
616,2,155,325,https://magiceden.io/item-details/GUxSeGQ4n9yXtx1LfvW8qqiYces17gQfGUQSw7PFbq39
617,1.9,1009,1169,https://magiceden.io/item-details/3F3n447ezZcv35ks9oGrwVJcZTvRYyCWgqj7PzgBW7WV
622,2.97,58,325.00000000000006,https://magiceden.io/item-details/42vV7RqWWj6AtBTd6vQciyFx7BCqSQmjZzkVqXnE5iqt
624,0.37,430,437,https://magiceden.io/item-details/8LfytkdACsKZqYX9dyvXwMnrf7JN5Hf8P6XKutSRjmGm
625,0.6,1023,1053,https://magiceden.io/item-details/3J16vQetpoEkJ9EmNvcWzrsfZBLqbQ7cr3ZcBTZwZRdP
632,1,606,676,https://magiceden.io/item-details/9UAPVVZ3fvzQpTeYmwduGfciEEnY4uFh75SA1QZoPzKP
638,1,254,324,https://magiceden.io/item-details/6BBjp8dnSfyLNKhDChzAGiA1Xzs22pYLyxgKJoBFQdED
644,0.99,595,664,https://magiceden.io/item-details/Ad2SrryDzvFEKdKyv5A9MQZXXtpmhijme9WzsnZtqAeN
646,0.6,250,280,https://magiceden.io/item-details/5sZT5XVi1Eww9bzBr1EZ3SLRH9ZYok3AEcnLu4oUiMoC
647,1,725,795,https://magiceden.io/item-details/8vEiotM6WS8SjBh3L2BmGcj5B9QC3vJKvQqjZpq4rBCz
649,1.5,722,842,https://magiceden.io/item-details/HrgiTbDEKxmP75BNdDYoAqcnXf9TXLFAnFNhtrfWjovk
650,25,363,2833,https://magiceden.io/item-details/2TjVRuZjeaeF8T9jrias3uoxrmQV7mpD9Y33wKskdJ38
651,0.35,670,675,https://magiceden.io/item-details/HmvSQoBcugRngZECKyvVExwyvjfaK3ybEbw9XXGhkKuU
655,0.87,668,725,https://magiceden.io/item-details/6S6ZpBYFY25BBR4wyAdmozDgsSRpLT9wzB5g8bW9gj5
664,7.77,5,752,https://magiceden.io/item-details/9b8Zf9CjeRkS1ZTmF8V3Pfg83Er7Nt6UdFkfTmsGGUEJ
667,10,719,1689,https://magiceden.io/item-details/oXACso4gabZPPaUieP2SrWb6NtjCMkBHc6PpT3hWyT9
668,2,536,706,https://magiceden.io/item-details/AB3rav5fTEwid4ykzE8tNErvaTVd6cHPi3g4CrmqCQxJ
672,1.15,1053,1138,https://magiceden.io/item-details/BN39yQLCciT7iiJDnJ9PV4ofdEhMC2dBYp2Zscio1gkq
673,0.75,605,650,https://magiceden.io/item-details/2K72AbxXVYn9GX8zx11Bs5j4AfBuSKHxK14vbd4YQ3bR
675,1,389,459,https://magiceden.io/item-details/7pvgzdFvo6bNbesHs51ezvbQHu7DRzRQqkRdyRvDe4at
677,1,136,206,https://magiceden.io/item-details/9u5iVBoQo19Vtsmmef6QsGoEVS1nQjVWvdL8rxviFpUN
680,1,1069,1139,https://magiceden.io/item-details/2WAPNWq7JreN1mbFcGc8qu5tFZMb9b9BFvT9QFB47rS9
685,2,652,822,https://magiceden.io/item-details/BpSy5WD4Dtv6nBpqWMWKZP8Syys15yFqUQcXLymbyW8N
686,1.89,622,781,https://magiceden.io/item-details/AiYWDe8DZUmt5d3D1kdscf6u5aBdhdXqXQR9FASPiXaA
687,0.98,655,723,https://magiceden.io/item-details/9qH11daPS7FnQpdbDR18kt2nszn4RHBSN2psLCaFqJJE
688,1,376,446,https://magiceden.io/item-details/F1GmYEgqcYpezXBeWbdD6syB1LBp78ZfHCzPsmkrg6Lg
689,2.8,676,926,https://magiceden.io/item-details/CfiuxRB9J6ygX2g8pCc7RnudweRsAara58v1mdX28cWU
694,1,324,394,https://magiceden.io/item-details/3tWc7zGDRGqW95yez8iApyijvSNcV25r5LHHGf7ps7v5
709,1,538,608,https://magiceden.io/item-details/7zT61czzQdYQFQDbytrLnULg4sPm5KsMD8Je1ygukWt6
710,1,893,963,https://magiceden.io/item-details/GrnfM94TrNpRJEHbGCgmcogeKqwLcxtizxmrkpPbCzig
711,11,718,1788,https://magiceden.io/item-details/72nVvuiGFfkVzRaK8YmZAiBXWHhwDHx6fC2DFopAubqz
713,1,492,562,https://magiceden.io/item-details/Gyw9cFDbSqrcJMQ4UvTKLLqEath8kgKZ2H96QdwAcNHJ
714,0.8,884,934,https://magiceden.io/item-details/2bNSiDh83G5f1MqemqZDoypSoJ3yre3xAbKmHVZw1iPF
717,1.69,534,673,https://magiceden.io/item-details/63xLam8PRpTCsuNECUWw178D9UUWc5xde46YkSKUkPiR
718,1.25,247,342,https://magiceden.io/item-details/2pU8ND3ZNMj1hRTUgzFpEGktnoyHPF2iDr352QeWjbcK
719,15,59,1529,https://magiceden.io/item-details/Dv7FdGKHHvjetLkaAMCs9crj8KTYJ8D3WKjQPvuqKRbg
722,1.3,200,300,https://magiceden.io/item-details/BZSevXMQCvCsGtVQrbKQM7tUa5ppQKeMArKBTHN8qjZt
723,1.2,716,806,https://magiceden.io/item-details/4tejHgCmLrsmXFZ2zXSj1VMRCk1L96StCWhCChHD3HEj
726,1,166,236,https://magiceden.io/item-details/F9fFBuWtJMy2Eeg25UVHgNuy1ZPQKAS9wMftZcc6wCHb
727,0.4,427,437,https://magiceden.io/item-details/5fugYeWW5ygU2YjV6f7cXYkPC3oK7JYWMkJMG4dV48CM
731,2,850,1020,https://magiceden.io/item-details/54RtKypr9iF1kYU3x6P1H621iC7fWcHEaxZSCVkgvmep
733,1,922,992,https://magiceden.io/item-details/ENQ2iw8beM3ankwJZa64Dypc3L9tY7LYV2KAuxvEtEN4
735,1,843,913,https://magiceden.io/item-details/CchAHfvP2EisgcARKtMgRYrePUrvt7BQYqSFHfb9JVS7
739,1,819,889,https://magiceden.io/item-details/FaQ3vGEAhsDo7qTsq4xhD8KGKeWeaGj9U8BKiVXztmVw
748,0.89,733,792,https://magiceden.io/item-details/DSgAxM73QGiorGj99cZZS1MWQuVV5nrRHb4PQ1TXtoYP
750,1,405,475,https://magiceden.io/item-details/EvGZ97dmQuQMuWssL74S2U8LFYiizzfHZVHFVcHi2y2S
752,2,206,376,https://magiceden.io/item-details/2cuDRZRqoxc6PMLzuuowABsWFKmjaSv45y128mCy5Qef
753,0.9,199,259,https://magiceden.io/item-details/3pSNtBoYGVknwxkbdQmySvaDeMzXsu3DwYKUVCK2ky8Z
754,1,941,1011,https://magiceden.io/item-details/CL88htnx4ogwzMV96FHJcfK2ofSwnbKjTJQgvcetRd5z
755,1,784,854,https://magiceden.io/item-details/aWNvKrSGaVg8vLzLpkcpbHHrBznqWg5Xq7VjvaTATU1
756,0.3,530,530,https://magiceden.io/item-details/4KeKgHrrzsrJ6b9tMEqW91EmYnyTSWe8d4w9erJGmDrd
759,2,1067,1237,https://magiceden.io/item-details/95ZbFPJSppj2KUy3cDcKzgs2j47pzeWkbeTgnUrjxPFZ
761,2,88,258,https://magiceden.io/item-details/GTcErTXGDZbDChxNC677UUFjYQt2b71WYnAfngp46LRx
764,1,910,980,https://magiceden.io/item-details/6AaSUKKLcjYwNKoDhdmxHAbAfWxKb3SJ4se7N6uWoDiw
769,0.7,993,1033,https://magiceden.io/item-details/bkcu1gaRXjtnRswsAFC8xJz9Ygtqiv56hRu5Wy8Hqkw
772,0.5,245,265,https://magiceden.io/item-details/22PDxr4MyaJZgTewkZvZoSticB4ZZHbmLxNYgK8K4mCC
775,0.45,895,910,https://magiceden.io/item-details/9zADoHJ5CGgjCZiK48ucfgWdAFuhs4U872UvPWoVQKQG
789,1,222,292,https://magiceden.io/item-details/Acjn38AnsMJSjSvV8s6BqN9WaC2oRVTXqf23EQvJtRaM
790,4,49,419,https://magiceden.io/item-details/2fxVCqx37MDBzvhbJuUh7vbQkNyX8waPsUWcn7hBT2hq
793,1.1,142,222,https://magiceden.io/item-details/7NCjnsbUzNkvaLsocE7ofJ1B5xq7m6BxtmKJKzDgytJP
794,1.29,69,168,https://magiceden.io/item-details/81aRSJeo82LpDw1tR2ULu9GzmLwDtmkABPXdNh6Mqwsk
795,2.3,1091,1291,https://magiceden.io/item-details/DWK44reqmbN5o5DSa6Lss3XutM5rEkFF1zda6CwEW3W2
801,1.5,466,586,https://magiceden.io/item-details/5YLvi33W8tf6QYjcctXhBS513WUp7SCLNQ3pyB3oqhhV
805,6,934,1504,https://magiceden.io/item-details/ECmNyYgryck15a8oPiJymwLn5o2WE3jhtUbWqRvxVXvf
810,0.45,265,280,https://magiceden.io/item-details/HqN2rAD4MfgTSLQGFpwZCMvyxGm5cjBJHQYCYapyXrSo
814,1.5,639,759,https://magiceden.io/item-details/9xJZoJDFNrB1Vfbybss5j8eCqwbBd1zG3KZVjqANYqmv
820,4.69,556,995,https://magiceden.io/item-details/8C7HQQHKPRQTKoAixEgWYCFAwU7Z3oJ39C1UwS2hYVs4
821,1.1,952,1032,https://magiceden.io/item-details/HebiBnRB8y32P4UNXZpzfVLL4FJDRD954PkVjAZH2Ljx
822,1,318,388,https://magiceden.io/item-details/7EhGxTenkjb11ExrVYQufGSAgRMbJFWh3rrx7yj7TnE9
823,0.82,557,609,https://magiceden.io/item-details/AqQV74juYijNM29XJ6JzvJnF8TRA5bpSEK3QcvBx7fDU
830,6.9,8,668,https://magiceden.io/item-details/36pmJkEGbHs5seKAnyCmhpM7Z3e32ZgZ9aYMStbAfxbo
831,1.33,279,382,https://magiceden.io/item-details/8M8RebTJGsSTofg5UpWT28KbN9kyWQnV4fBj2Ho5EKLc
832,0.44,757,771,https://magiceden.io/item-details/4StuARXWN6Y6mW2Ru548k1z5sgs9gxa4MBs7d2gqt733
836,0.989,313,381.9,https://magiceden.io/item-details/Abf9eaYZoxMB7bRDmeMYtYxSTFsj5QP2k4RJo34LUUVZ
841,1,617,687,https://magiceden.io/item-details/nQxjNgXQeFtdLDSYqNfhBLipXsA8CsiH1UeWdDacAKM
846,2.5,38,258,https://magiceden.io/item-details/7kEfKHuz5KgSEkUB6gZgKUxnDkb6eMbHd2qBNKpmtyFa
850,0.47,107,124,https://magiceden.io/item-details/BVdUcR2wdq19sLjrYa4m5suKCgWzt3Gk44LSsTNPpNrM
858,15,29,1499,https://magiceden.io/item-details/GZDG6bdbuqFwnHTs9BzrcsVh43jJUtJeTDVjZqoNDbr9
859,1.99,729,898,https://magiceden.io/item-details/9YvDeVHT9NVktoQaEKdk7ur7sxrpEfY6tvn5ZDM4WWkz
865,0.8,280,330,https://magiceden.io/item-details/9u24Ueyp9g4da3bUifYNCJWfi7uAUgj1FzySbowJFrzp
867,1,495,565,https://magiceden.io/item-details/D5aNe9yy89rtCVitfRQeYpYHjvQrUXobXoVDMkfqmqRL
869,0.9,728,788,https://magiceden.io/item-details/AeNiyDJhzApH1S9QsDbBQrmKjksWDr6ZEvxo2vaXq16D
872,1.799,844,993.9,https://magiceden.io/item-details/7fDHPF9GHQHSLPYthiTXGF6xVsdKzy4a5x3MsJ7vvjfx
875,0.49,871,890,https://magiceden.io/item-details/q7qFzru3fxtdN39nHmutpGtcAUHCHmWD59wjjuB99Qb
878,0.5,438,458,https://magiceden.io/item-details/2RzEPv6xaxTKibh5wF7M1ZqU44VXddHVZ5HAG4wrLnL1
885,38,650,4420,https://magiceden.io/item-details/2AaoLKjheAtktRz78RLdCo9tQmWWdseyKS5mMbebRTuv
892,0.4,853,863,https://magiceden.io/item-details/9Tz736DtzkTvAUwipajHtKYYCjMYinNFs5m1Zv4yYeks
898,6.9,782,1442,https://magiceden.io/item-details/611BbwRwyf5HJpe9RzLPtK57J795zFMqpcYX11CPRHTN
913,1.5,334,454,https://magiceden.io/item-details/4y7kPH6NFUFfJUk8BN3EGR3nsfAB72KPxpsNF8nM7VAe
