id,price,moonRank,💎 score (%),storeURL,accessory,background,beak,brick,clothing,ears,eyes,feathers,hat,item
6398,0.5,6137,58.13,https://magiceden.io/item-details/EjHv2QNrd1k8YpukSXn6HXS3jpAq1rP8hPmv41shCUNH,none,peach,pika,,none,none,normal,pink,top-hat,none
6402,0.1,6017,62.86,https://magiceden.io/item-details/ERtFQSQjhXxevcv7uDoBk6VofEPGfqjRmdYpXVLhPFXy,none,forest,normal,,none,none,t,blue,green-touque,none
6404,0.6,6470,55.11,https://magiceden.io/item-details/DNPCdfzLHX8PZhhzUibzExrjyLVhBMCKH3xvUM42JbXm,none,eggplant,pika,,none,none,squinting,yellow,black-touque,none
6423,0.55,4576,67.11,https://magiceden.io/item-details/Bw81h5ictoyrVLgxghrb5mTAq49HLRgVDQh4HhfNup9c,none,rose,normal,,none,gold,really-close,minty,paper,none
6427,0.5,2068,82.84,https://magiceden.io/item-details/DVoJqVri1XRBacg8uXVPmMRDcGquuPPrSBPpvhueMaoj,fang,blue,earth,,collar,none,half-moon,yellow,toddler,none
6439,1,479,87.49,https://alpha.art/t/FCxqpF37uhuYJ2SJtP4B1oyZ8o7eANMJiZEbiCnzEkTa,pipe,night-sky,pika,,red-sweater,none,really-close,pink,top-hat,monocle
6442,0.1,1315,91.41,https://magiceden.io/item-details/CbXXydcPDTrtvvA6daYE2wXW4caPB4f69N7JqyPf48Vd,vape,eggplant,pink,,collar,none,ditto,yellow,toddler,eyepatch
6450,0.41,5832,60.88,https://magiceden.io/item-details/GUwSxbCTNj9KKejPUqDjz6rVKvRizfTWz59PYiT8RiUg,none,blue,blue,,frankenduck,none,really-close,yellow,athlete,none
6466,0.45,5696,61.31,https://magiceden.io/item-details/HkV8VuCSLDM6mntHRVi2bSF1eHh1bBwF3m73FTxUnfgM,none,rose,pink,,choker,none,normal,yellow,devo-touque,none
6483,0.6,3441,73.5,https://magiceden.io/item-details/GqzH1h8rF3ErLhz1yUPLZkz78aHzv21zx1GbhtGXTPQn,none,mango,glow-up,,punk,gold,t,yellow,none,none
6492,0.1,5526,65.84,https://magiceden.io/item-details/ErGBznAAz4XWifWkAqG1EysRCFNxr6mtNiVPfa9L1dh6,none,blue,pika,,none,none,normal,pink,pumpkin,none
6499,0.5,1128,88.55,https://magiceden.io/item-details/26PuvUnBJbcWxvnw5M18CC1gU4jNW5qZXeBRJ8NS5hSq,vape,brick,normal,,blue-trekkie,ruby,really-close,white,athlete,none
6508,0.469,897,90.26,https://magiceden.io/item-details/HwJZSnoWeL5ncXCiHgz8nBwHyuSa4Aavivr82mjrTphs,fang,blue,normal,,stitches,gold,nerd,white,head-in-a-jar,none
6527,0.5,5930,59.39,https://magiceden.io/item-details/3WhGtdW95itYZcXgkLCwUFTKGcVFuYsdrxgJYbPdQMti,vape,forest,normal,,green-T,none,squinting,white,none,none
6531,0.41,1145,89.35,https://magiceden.io/item-details/65RX6yVARvzitgkg5FQfGMRRUwpuGdMwuHheoeHFm83U,cig,peach,blue,,choker,none,half-moon,yellow,devo-touque,monocle
6532,0.6,3306,74.32,https://magiceden.io/item-details/KCecnSSdxMvaZHgTaxp3C6negRkVKdVRsbyt2UwiYBi,vape,eggplant,pink,,punk,none,squinting,blue,black-touque,none
6556,0.08,2749,82.91,https://magiceden.io/item-details/EVX9nXFMHnVSPuSW6B3kjhKUXD7SqUxaUj3kM7cduzMg,fang,rose,blue,,nipples,gold,normal,white,none,none
6580,0.45,3788,72.9,https://magiceden.io/item-details/EnYX1F8buSuL6KFA5VGakc65CVus9GjZfgue2b9yT9Ds,pipe,peach,glow-up,,collar,none,terminator,white,none,none
6585,0.36,4436,69.86,https://magiceden.io/item-details/EmXFktJbsMXNiasHsbMbr9ZNkEnmQ1jEWgdf4UnPuGQA,none,eggplant,pika,,intergalactic-suspenders,none,really-close,pink,green-touque,none
6606,0.45,1220,88.49,https://magiceden.io/item-details/49oDcRLSCz45br1bLhJuL6R6tpSBWN7TamL6SfKFoHcU,cig,solana,glow-up,,none,gold,baked,yellow,none,none
6631,0.65,2486,78.8,https://magiceden.io/item-details/F8HZE8L5cjFxo3jfKfK2gCU4CGcE3vbgYjdyapr5BPEr,cig,eggplant,blue,,intergalactic-suspenders,none,really-close,yellow,space-cadet,none
6652,0.27,1801,86.76,https://magiceden.io/item-details/Dn2ehtr5gZViEkMYci9ZwS6qKndHdD6Kjw25psh2ZtoV,none,mango,pink,,honest-work-overalls,none,normal,yellow,devil,monocle
