id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyebrows,Eyes,Face Accessory,Glasses,Hair,Head Accessory,Mouth,Skin
3082,0.8,6964,64.11,https://solanart.io/nft/3DPH1k2Q36pvDvKQ7MjpD8UGFg5rvUkJzWay2EgmJHVR,Blue,Hoodie,Arched,Teal,,,Bob Black,,Pink,Cyborg
3084,2,4377,62.8,https://solanart.io/nft/ATGBEZTZTHik8YBgXeyXMuqTzVcBXUkPXRVPvjsj3KRa,Yellow,Tshirt,Small,Teal,,,Ponytail Pink,Top Hat,Pink,Cyborg
3087,1,4817,70.98,https://solanart.io/nft/GpcwMJMiqzdvgenMgtNJLqaK9DoyKtHV1pLbQ2xzGECz,Pastel,Tshirt,Small,Blue,Gasmask Teal,,Ponytail Black,,Pink,Black
3088,1,1787,83.51,https://magiceden.io/item-details/6ZSa9SNrivZ5wD5Vz2UqHX7BAoDTNpqKfYfVkGd7dwJp,Blue,Tshirt,Arched,Blue,Bandaids,,Ponytail Pink,Top Hat,Black,Black
3095,0.15,9194,61.38,https://solanart.io/nft/2rQSpfSUvHKai2hKugdG2A1SBJgv8gWetntDWDRMYtNw,Grey,Tshirt,Small,Teal,,,Ponytail Brown,Helix Hat,Pink,Black
3104,0.22,3098,85.89,https://solanart.io/nft/CDPQL1VWZxDqQhGAoo2fkj4MF1HA1fCcRnTYPk3B4uRx,Purple Flat,Tank Top,Small,Teal,,,Bob Brown,Top Hat,Black Fangs,Black
3107,2,8073,47.52,https://magiceden.io/item-details/37PJazXPFc9kv6qcuRVCSGtWi6m4gYb6q2LKpWiTEz5Z,Purple Flat,Tank Top,Thin,Teal,,,Bob Black,,Pink Fangs,White
3109,1.5,5595,62.77,https://solanart.io/nft/32kg1RHgbKbMNYh4s2kMqKz1KunjRNEaWRYYJzC8f9Ze,Grey,Hoodie,Small,Teal,,,Bob White,,Pink Fangs,White
3111,0.6,5927,70.39,https://solanart.io/nft/6Hf9TsH3wNhgAcJqSc2At1pMrwZVQLCQpt6PkKWkSmfh,Teal,Tank Top,Worry,Teal,,,Ponytail Brown,Helix Hat,Black,White
3112,0.75,9392,54.57,https://solanart.io/nft/EatZKZumPxcFJ6g1XBdVAFVnY1bETpUwQdi2myiMdGqH,Solana1,Turtleneck,Arched,Teal,,,Bob Black,,Pink,Black
3118,2,6832,52.65,https://solanart.io/nft/95nMV8kYAdnoEQf82Letr44ccT16GV5gVqZbyPBFJzhs,Green,Turtleneck,Arched,Teal,,,Bob Black,Helix Hat,Pink Fangs,Black
3127,2,5939,56.34,https://magiceden.io/item-details/DHhhBSDaYidga5qghuHPJBP6JMMLHqrERjUqE2J4bBTD,Grey,Bandages,Thin,Teal,,,Ponytail White,,Gold,White
3138,1.5,9585,46.27,https://magiceden.io/item-details/Cd9QiEjdvvV5eoq6ApHmXMcaoWEukxV4GbCPay4jVf7r,Beige,Turtleneck,Arched,Teal,,,Bob Brown,,Pink,Black
3147,5,1095,46.37,https://magiceden.io/item-details/6tAjQkbGJxNQMo33fugEKB83hiASuzZ989jffEbDbVXq,Beige,Bandages,Scar,Purple,,,Ponytail Pink,Horns,Black,Black
3158,0.144,2461,89.28,https://solanart.io/nft/H6FR23UeDX8Q39UQ8osQnBioUTuta7xLTZubXsQHNf2V,Yellow Flat,Bandages,Thin,Blue,,,Bob Brown,Top Hat,Pink Fangs,Black
3162,1,4760,71.22,https://solanart.io/nft/2YzrkiRazYqEADcJajsdUWgA4Q3JmNK42Qxjc6ZFLCAa,Grey,Bandages,Thin,Teal,,,Ponytail Pink,Top Hat,Pink,Black
