id,price,moonRank,💎 score (%),storeURL,Backgrounds,Backpacks,Bottoms,Headgear,Skin,Tops,Weapon,mintDate
1052,23,245,0,https://magiceden.io/item-details/FMjugUZF6oUvLUb2NvXp6Zxvrx3iuzqNfkzsQ4YDHe1o,Dark Grey,Brown Backpack,Black Cargo Shorts,SWAT Helmet,Remnant2,Blue Shirt,Sub Machine gun,22/12/2021 18:31:42
1077,80,254,0,https://magiceden.io/item-details/ZyJEDeXqwPkkDox7YNuaVSamHqJdaE2dkpfqwfnD4hR,Red,No Backpack,Black Shorts Green Crocs,Red Balaclava,Remnant2,Black Hoodie,Blue Lightsaber,22/12/2021 18:01:37
1081,69.69,3033,0,https://magiceden.io/item-details/7SBJ3ZAy5o4vqW6uTNebEuUeGJMuSEqKG1cFRLPLQvTh,Purple,No Backpack,Black Cargo Shorts,White Beanie,Remnant2,Blue Hoodie,Pistol,15/01/2022 18:00:36
1089,36,717,0,https://magiceden.io/item-details/DB3PjPndarXUpFLrwsFmdFJAgfi8MX4hvQycC2qg6fHe,Dark Grey,Brown Backpack,Black Cargo Shorts,White Balaclava,Remnant1,Blue Trenchcoat,Bloody Sword,08/01/2022 18:00:07
1173,40,276,0,https://magiceden.io/item-details/J87b9mDYtTqYbYG2R94pdFqVyqetqahktS44afj1gkDe,Orange,Brown Backpack,White Cargo Shorts,Red Balaclava,Remnant3,Red Hawaiian Shirt,Grenade Launcher,15/01/2022 18:00:11
1179,25,309,0,https://magiceden.io/item-details/9C9hQ73ckPC2ZHCpy8LxcLrcmyDiYixLqffLYichhn6i,Dark Grey,Black Backpack,Tan Cargo Shorts,White Mask,Remnant2,Raincoat,Red Flare,22/12/2021 19:50:25
1261,15,1533,49.23,https://magiceden.io/item-details/9btvLs6XKuoTM4jkhna9297PN8kYUqZXx5V1iCkr5QaU,Green,No Backpack,White Jeans,Motorcycle Helmet,Remnant3,Brown Jumper,Grenade Launcher,08/01/2022 18:02:14
1311,14.99,1946,45.08,https://magiceden.io/item-details/Du4RT8FpFamLsBQHWhVdzGDRRtoovhWh8YYAAEv18Jas,Dark Grey,Brown Backpack,White Jeans,Motorcycle Helmet,Remnant3,Yellow Shirt,Green Flare,08/01/2022 18:01:50
1361,11.5,3256,66.53,https://magiceden.io/item-details/DWKwxX1f6WtZhvkkgTseGNUWv4J1T249w74YXqe39Jie,Orange,No Backpack,White Pants,Green Beanie,Remnant3,Black Hoodie,Bloody Sword,08/01/2022 18:01:47
1445,35,3392,0,https://magiceden.io/item-details/Fe8YTRevZwYwhxQx6VcPEKcFToPRsiGCfAKvLumPhDbA,Light Grey,No Backpack,Black Pants,Green Beanie,Remnant2,Black Shirt,Bloody Battleaxe,15/01/2022 18:00:12
1475,14.5,3434,34.7,https://magiceden.io/item-details/2tje6sxogJ63VWcBz5bfMKZSXi5FazPmkeEGiLAfydye,Blue,No Backpack,Black Jeans,Black Mask,Remnant1,Blue Shirt,Red Flare,15/01/2022 18:00:03
1515,29,3697,0,https://magiceden.io/item-details/L3E69QkKNM4cPUVen69zSFG7nSCoBtPjJ1q2qVbQfAk,Red,No Backpack,Black Pants,Grey Bandana,Remnant3,Yellow Shirt,Alcohol Bottle,15/01/2022 18:00:00
1585,15,2488,39.42,https://magiceden.io/item-details/DbxwegraZB8PK34ouVyV2Xjvx66TaMMpTrmRm48s6x7p,Blue,No Backpack,Black Jeans,Red Sunglasses,Remnant3,Green Jumper,Bloody Metal Bat,15/01/2022 18:00:32
1670,11.4969,2139,78.03,https://magiceden.io/item-details/4NiWeefSB9UsbqrQ3cA7Ryk5FuTSei1D4wwek2Cyq9MY,Red,No Backpack,Grey Cargo Shorts,Black Helmet,Remnant1,White Hoodie,Sword,22/12/2021 18:00:57
1694,19,2875,0,https://magiceden.io/item-details/8azd9BiLmhDpVTnbPZRP4q3MA3spEFBNfAzxnGE3uTNb,Blue,No Backpack,Black Pants,Blue Sunglasses,Remnant1,Black Hoodie,Bloody Axe,08/01/2022 18:02:46
1737,16,687,47.91,https://magiceden.io/item-details/99xZ2oDPEi6o9ZuGm7WDGwD31gV6ytZZbahtfduD99z,Green,Green Backpack,Black Jeans,Motorcycle Helmet,Remnant3,Blue Trenchcoat,Crossbow,08/01/2022 18:01:19
1792,60,999,0,https://magiceden.io/item-details/Fzivfb38WXuDPLiLckSj5ohLLafBRTrE9LdtzYqmnXpE,Light Grey,No Backpack,Black Cargo Shorts,Red Beanie,Remnant2,Brown Jumper,Blue Lightsaber,08/01/2022 19:16:03
1843,12.25,1851,73.46,https://magiceden.io/item-details/EdLEZpJyYy77Qp4kkwg2MqyUXcu1BEdHnb7hVQonWhL9,Yellow,Black Backpack,Grey Cargo shorts,White Beanie,Remnant2,Grey Hoodie,Torch,15/01/2022 18:00:34
1847,15,2606,38.21,https://magiceden.io/item-details/AJAviGpC3JHbQ3mK2zfzK9mdzCFzjLEeXtonmVHf4y8b,Red,Brown Backpack,Black Cargo Shorts,Black Balaclava,Remnant2,Yellow Shirt,Axe,15/01/2022 18:00:25
1856,20,602,8.79,https://magiceden.io/item-details/3rY8XneGsed8dDqVWWTQQWevinwmgwsmpFTRreMrSLHJ,Purple,No Backpack,Black Shorts Green Crocs,Grey Bandana,Remnant1,Black Trenchcoat,Bloody Chainsaw,15/01/2022 18:01:04
1866,14.99,1975,44.79,https://magiceden.io/item-details/DQCoJDRhHrx7Q1QepEhwLdThwgwmpsj12NVCGqgcrNho,Orange,Brown Backpack,Black Jeans,Blue Beanie,Remnant1,Green Jumper,Wooden Spear,15/01/2022 18:00:18
1887,27.9,56,0,https://magiceden.io/item-details/Go8gw4UAvqqceJYeDG3ExTCg2Jm3GiZRxdeeX6AApGxs,Orange,Brown Backpack,Grey Cargo Shorts,White Mask,Remnant1,Blue Trenchcoat,Sub Machine gun,08/01/2022 18:00:53
1906,30,1435,0,https://magiceden.io/item-details/J6b1g3csRLEWZutAB8C7Bj8jtnZKYbodKddW5XYGegDe,Orange,No Backpack,Cargos,Motorcycle Helmet,Remnant2,Blue Sport Jersey,Chainsaw,15/01/2022 18:00:25
1927,12.98,3408,50.17,https://magiceden.io/item-details/9kk9Vspu5ZqhVjU5B6T8co2xfqXCNvAPuqchqPcH6ozH,Green,No Backpack,Cargos,Green Cap,Remnant2,Red Sport Jersey,Red Flare,08/01/2022 18:01:47
2081,55,166,0,https://magiceden.io/item-details/AkD4ZhiAbWTWpEqTFXdu8svw4XS8fDHejKVeRXME36sX,Dark Grey,No Backpack,White Pants,Medeival Helmet,Remnant3,Blue Trenchcoat,Purple Lightsaber,15/01/2022 18:00:56
2118,49,664,0,https://magiceden.io/item-details/G4ndWFhWL3mGUmXrUBWxknUDqfqkiWp8EzoGc21Eb6EF,Yellow,No Backpack,Black Jeans,Pirate Hat,Remnant2,Grey Hoodie,Bloody Chainsaw,22/12/2021 18:09:19
2138,16,587,48.94,https://magiceden.io/item-details/thqcKQuVuDmT2LqBe1RREkXWAh2XE9e6dKrrcM8GHqH,Light Grey,Green Backpack,Black Jeans,Pirate Hat,Remnant2,Yellow Shirt,Pistol,15/01/2022 18:00:17
2154,15,3431,29.73,https://magiceden.io/item-details/Avr5uYALpdYkSfSWvp4VpzJVoTZzPriw749zoQefjuEU,Purple,No Backpack,White Cargo Shorts,Red Beanie,Remnant1,White Hoodie,Metal Spear,15/01/2022 18:00:00
2218,39,2203,0,https://magiceden.io/item-details/2EZHSeuJjT7UN5kQkmPQZxccRBgWfRNcCFUjN49LZs4e,Purple,No Backpack,Tan Cargo Shorts,Black Hair,Remnant3,Black Trenchcoat,Scythe,08/01/2022 18:03:19
2238,15,1761,46.88,https://magiceden.io/item-details/2NCrfpkgB2XoBYdECGXoNY8a7D3guTsuHozjMR8ozU4K,Dark Grey,Black Backpack,Cargos,Grey Bandana,Remnant3,Blue Puffer Jacket,Sword,08/01/2022 19:22:44
2245,12.35,3702,53.45,https://magiceden.io/item-details/Bxa3UdQXWNPfhv7xTxZt8y1oZAzbTpRNAZv8RYSwm9u6,Blue,No Backpack,White Cargo Shorts,Green Cap,Remnant3,Black Hoodie,Battleaxe,15/01/2022 17:46:55
2268,19.42069,3071,0,https://magiceden.io/item-details/9KHEuAqEgnbSYakp2BLpSeiGyHfYACmD1S3RXo9gRygF,Red,No Backpack,White Jeans,Grey Bandana,Remnant2,Black Shirt,Nailed Wooden Bat,15/01/2022 18:00:03
2412,35,1620,0,https://magiceden.io/item-details/Cw8hpbsz6uAKY5WzxzGqKGzr82ybe2iQGvp5EgB9JYNC,Red,No Backpack,Grey Cargo Shorts,Grey Hair,Remnant1,Blue Shirt,Metal Bat,08/01/2022 19:15:00
2452,14.5,1240,57.23,https://magiceden.io/item-details/74AycuLQeRJWmkfyaqZtgBxtmCKu8VZzLDYWWVTvon5T,Blue,No Backpack,White Pants,Pirate Hat,Remnant1,Red Sport Jersey,Alcohol Bottle,15/01/2022 18:01:09
2488,13,2173,62.65,https://magiceden.io/item-details/BJfB4UbFkrXskgxrSGpFdqTFRbghKUCMfkSYjMX8YDzr,Dark Grey,Black Backpack,Cargos,Green Cap,Remnant1,Grey Hoodie,Knife,15/01/2022 18:01:17
2493,12,1719,77.32,https://magiceden.io/item-details/GHML43ufi82BfFdU15ezEzcaUaD4e79RFJVWUFdttDQY,Purple,Black Backpack,Grey Cargo shorts,Blue Beanie,Remnant3,Black Shirt,Battleaxe,15/01/2022 18:00:12
2494,30,1997,0,https://magiceden.io/item-details/HzsEevuCmyXUQbFkowhB8MLszQHyBZNAYdSxVEs3Ymgp,Light Grey,No Backpack,Black Shorts Green Crocs,Green Beanie,Remnant2,Red Shirt,Alcohol Bottle,15/01/2022 18:00:22
2536,12,3583,58.17,https://magiceden.io/item-details/HMyz6j7Vgz4a34vfgTGMf2LC7XZbtRPoqfDUWCmkXYCN,Red,No Backpack,Tan Cargo Shorts,Grey Bandana,Remnant3,Blue Shirt,Bloody Metal Bat,15/01/2022 18:00:55
2667,12.45,2722,62.52,https://magiceden.io/item-details/Hw8Nn3sNEqqKMozpjVg8JgdPEBdZLCk5iv8grB2p8JBs,Red,No Backpack,Black Cargo Shorts,Yellow Sunglasses,Remnant3,Green Jumper,Bloody Sword,15/01/2022 17:46:20
2674,49,2798,0,https://magiceden.io/item-details/5WDScjyKdnsuTSAvqFvWccRtRDPH1KXr6Y2sKroTGQ6T,Blue,No Backpack,Black Shorts Green Crocs,Black Hair,Remnant1,Yellow Shirt,Green Flare,08/01/2022 18:01:38
2678,16.5,1556,33.99,https://magiceden.io/item-details/7FcwQidwo3NGntDKF3pbs6dHhNdCPocNse3MQsS5w7jB,Dark Grey,Brown Backpack,White Cargo Shorts,Black Helmet,Remnant1,Grey Hoodie,Bloody Knife,15/01/2022 17:46:14
2685,25,2197,0,https://magiceden.io/item-details/2ZJ8sZSQkhuSRLHbod6oAC5MJXajbus9WAoNcp3Fximn,Red,No Backpack,Tan Cargo Shorts,White Balaclava,Remnant1,Raincoat,Blue Flare,08/01/2022 18:02:03
2711,20,2379,0,https://magiceden.io/item-details/Fko6G2ZgTQjxjcxUekeJYvEWEFDzrTdRHwtezMiskwMg,Red,No Backpack,Black Cargo Shorts,Green Helmet,Remnant1,Red Shirt,Sub Machine gun,15/01/2022 18:00:43
2747,13,1445,70.13,https://magiceden.io/item-details/8F4gtRqT4hPmsMPwNi3sFLwvjsZK8tpwvF2Zm9h9vVrj,Orange,No Backpack,Grey Cargo Shorts,Red Beanie,Remnant3,Raincoat,Green Flare,08/01/2022 18:00:52
2751,18.88,2777,0,https://magiceden.io/item-details/A6ySiqCMFbrnWmrReRmNGzAorudMpkAxNzpL8WFCdPX2,Purple,No Backpack,White Cargo Shorts,White Beanie,Remnant2,Blue Shirt,Grenade Launcher,15/01/2022 17:47:02
2769,12.99,1822,66.36,https://magiceden.io/item-details/AjqfcxTuUpoQJ5oxdkQfuovZtgtPU7vAXe5DLzfwnu7p,Orange,Green Backpack,Tan Cargo Shorts,Red Balaclava,Remnant3,Blue Shirt,Alcohol Bottle,08/01/2022 18:05:17
2787,12,3161,62.51,https://magiceden.io/item-details/oTJ8Dt1bfwjALEYUWCw9XZBi6hkyQjgpXHVHyptQ3Dc,Light Grey,No Backpack,Cargos,Grey Bandana,Remnant3,Blue Hawaiian Shirt,Red Flare,15/01/2022 18:00:25
2841,14.88,3895,26.17,https://magiceden.io/item-details/ACqo9NuytDn6HMYaUnh3w2xbcXPtzHvCuwSwY9QPuLKc,Green,No Backpack,Black Jeans,Red Beanie,Remnant2,Black Hoodie,Wooden Spear,15/01/2022 18:00:11
2869,20,198,12.94,https://magiceden.io/item-details/4KsYBEVd31rckRoMhGxbcVjgJYoizXE95AVHtkdCou3y,Green,Black Backpack,Cargos,Black Balaclava,Remnant3,Blue Denim Jacket,Green Lightsaber,15/01/2022 18:01:15
2887,20,163,13.3,https://magiceden.io/item-details/2yW4x358KW7rJ9LGgY9E62STJjm3HvUjdmhNtmLEdLrr,Orange,Black Backpack,Black Shorts Green Crocs,Wolf Hat,Remnant3,Red Denim Jacket,Alcohol Bottle,22/12/2021 18:02:44
2898,19.99,609,8.81,https://magiceden.io/item-details/4GsXeq1wCTNCjGYRtzj2w4ZAA2bvuKny3pc92ZvkxsBw,Purple,Black Backpack,Grey Cargo Shorts,Red Balaclava,Remnant2,Brown Jumper,Axe,08/01/2022 18:00:29
2932,18,442,30.43,https://magiceden.io/item-details/5BPvyn2ipVL24PJpoY9FWSswgmJxqYEgDHhXqM1Uimp5,Green,Black Backpack,Black Pants,Grey Winter Hat,Remnant1,Green Puffer Jacket,Bloody Boomerang,08/01/2022 18:00:08
2975,14,1163,63.03,https://magiceden.io/item-details/G6tFcWXSjeLfAbqjqwuNQD4YysR8q3T4iPAYefB2TNpt,Yellow,Brown Backpack,White Cargo Shorts,Teal Bandana,Remnant1,Blue Denim Jacket,Battleaxe,15/01/2022 18:00:12
3009,30,528,0,https://magiceden.io/item-details/5y3k9XB1YU2qEEHfPDN2psPXF146S1yM6B9m6m5DBTwt,Green,No Backpack,Black Pants,Red Balaclava,Remnant3,Blue Hawaiian Shirt,Flaming Sword,15/01/2022 18:00:35
3022,13.9,2852,46.68,https://magiceden.io/item-details/G1TEGrxpQJg8un312vVq1bJcit782xRdrzvwhQ36kRAj,Red,No Backpack,White Pants,White Balaclava,Remnant2,Grey Hoodie,Metal Spear,15/01/2022 18:00:56
3125,15.5,417,55.69,https://magiceden.io/item-details/6XEp9zk6DhW25KNbw4z7eBAiqo3RxGVYMeXtiBE6gnra,Red,Black Backpack,Grey Cargo shorts,Blue Sunglasses,Remnant2,Green Puffer Jacket,Crossbow,15/01/2022 18:00:12
3127,30,377,0,https://magiceden.io/item-details/3z4MrGCSRSZK4ZpPS8MRSMNa3UosPExQdHCYB8ei1GQN,Blue,No Backpack,White Cargo Shorts,SOL Sunglasses,Remnant2,SWAT Jacket,Axe,15/01/2022 18:00:17
3178,13.5,3078,48.36,https://magiceden.io/item-details/GYhWjJB2b7p3L256HkSt334ZWT8xKdboQRBst1jLVVpL,Green,No Backpack,Black Jeans,Grey Bandana,Remnant1,Red Denim Jacket,Bloody Battleaxe,08/01/2022 18:01:40
3189,23,1376,0,https://magiceden.io/item-details/945yyQTERc7mgn9jWAEi2hsaj1hkEFAQQoGCZf6W1x8Y,Red,Green Backpack,Black Pants,Red Sunglasses,Remnant1,Red Sport Jersey,Axe,15/01/2022 18:00:22
3228,15,1330,51.31,https://magiceden.io/item-details/6598NeWZUtnxTsEKt5b1GB8is49kuBJpVvG1hB52fsvt,Yellow,Green Backpack,Tan Cargo Shorts,Black Beanie,Remnant2,Red Denim Jacket,Bloody Battleaxe,08/01/2022 18:01:22
3233,50,464,0,https://magiceden.io/item-details/31ZkFwh4PNyy8knT2XvCitCjKhaQJaQnjej4KLfwLNvw,Purple,Black Backpack,White Jeans,SOL Sunglasses,Remnant1,Green Jumper,Metal Bat,22/12/2021 18:00:55
3283,19.99,767,7.19,https://magiceden.io/item-details/B48hhqfzMZ65DCK1GcWsMgPiJx2hvPqGdxjzsmGi8tBH,Dark Grey,Green Backpack,White Jeans,Red Cap,Remnant2,Fur Coat,Assault Rifle,15/01/2022 18:01:15
3292,20,440,10.45,https://magiceden.io/item-details/G2AVdztMfS4nT5yskYoxQzx8A9BRZvMwktFwCgFZzNH7,Green,Brown Backpack,White Cargo Shorts,Grey Hair,Remnant2,White Hoodie,Sub Machine gun,08/01/2022 19:20:52
3495,12.99,1282,71.9,https://magiceden.io/item-details/DDqWQqWRwacN7WbpqmZSdCKsVJoQV2mQCpXaGiVGEZBK,Green,No Backpack,Black Shorts Yellow Crocs,Brown Hair,Remnant3,Black Shirt,Wooden Spear,08/01/2022 18:04:39
