id,price,moonRank,💎 score (%),storeURL,Accent,Background,Base,Bong,Decal,Effect,Liquid,Mouthpiece,Sleeve,Stain,Stem,Sticker,Stone,Texture,Weed
2692,0.1,332,87.25,https://magiceden.io/item-details/8HyxMN6P4r59oukQMiaWAkTHMTaP15cRZ2fQaojpJL4m,,Purple Spiral,,Cracked Bong,,,Grape Soda,Sky Blue Mouthpiece,,,Light Blue Downstem,,,,
2716,0.15,716,72.7,https://magiceden.io/item-details/5Na2HjxtSMfL6aRVdVinnyQkEZZufaQoLqrRou4yucGT,,Blue Haze,,Cracked Bong,,,Beer,Purple Mouthpiece,,,Purple Downstem,,,,
2998,0.1,563,78.8,https://magiceden.io/item-details/H3oq3nWsRsVn8aA18fQtYmtB6E2GBEE43aF37aDBwt8v,,Sage Green,,Tuscan Bong,,,Mtn Dew,Purple Mouthpiece,,,,Cherry Sticker,,,
3294,0.15,426,83.31,https://magiceden.io/item-details/65PPyYKQtdnSWjN4yQ52YQ4VicTfz46YDT6h9f5jqS3C,,Astral Morning,,Base 15,Red Portal Decal,,Water,Purple Mouthpiece,,,,,,,
3377,0.1,311,88.02,https://magiceden.io/item-details/4cFquxgWhjQ44TAx4CQt39jKzK93etNtKqRyv4f1rBaM,,Cream Soda,,Base 15,Red Portal Decal,,Kool Aid,Purple Mouthpiece,,,,,,,
3592,0.14,1021,61.63,https://magiceden.io/item-details/GHBk4VaVMFMULSojcwUYWuKXY6bjpMfb3h6UUX12edmJ,Green Accent,Gold Coins,,Steampunk Bong,,,Beer,,,,,,,,
3605,0.07,1037,61.75,https://magiceden.io/item-details/FzcZSNtJoTi5TVjgMzTqU5vEHqceCMn9TaXaUWh3ckkC,Pink Accent,Pink Spiral,,Steampunk Bong,,,Beer,,,,,,,,
3739,0.12,1093,59.2,https://magiceden.io/item-details/Ejm8EQtUsE1pvW7QR6Tjd9Wg2wEkXM8P9Ln8QqSzx3rc,Purple Accent,HyperPink,,Steampunk Bong,,,Grape Soda,,,,,,,,
3946,0.05,1048,61.55,https://magiceden.io/item-details/6d3vJDePFQYhrxTxjDDjt7oMw26HhieWqHkeEZshSmeN,Red Accent,Cherry Blossom,,Steampunk Bong,,,Water,,,,,,,,
3997,0.15,998,62.38,https://magiceden.io/item-details/6LBK1WzUL7Vmg8jDBnVnQ1BfRunzgXau83GJ6VNvUgqL,Purple Accent,Purple Haze,,Steampunk Bong,,,Kool Aid,,,,,,,,
4100,0.15,269,89.06,https://magiceden.io/item-details/CURMwXXJfYHtj9uLqn6gTcxPBhPFAamLAexV983gYRZh,,Moss Pattern,,Heart Bong,,,,,,,Regular Stem,,,Texture 1,
4130,0.07,299,88.76,https://magiceden.io/item-details/6NdJBSQTLi9RuvQJP9djqm9LiDHda3KgBvrdfpmg4hgY,,Red Trippy,,Heart Bong,,,,,,,Regular Stem,,,Texture 1,
4140,0.07,297,88.83,https://magiceden.io/item-details/9DVDTgJgCGL5e7kKEzXfvHmzy58GCz9jagabJeC1xDrf,,Tropical,,Heart Bong,,,,,,,Regular Stem,,,Texture 1,
