id,price,moonRank,💎 score (%),storeURL,Backgrounds,Body,Eyes,Head,Mouth,Neck
1419,3.3,285,63.35,https://alpha.art/t/3KmySxpgj4pah1pCXVpi7dhs9yrSYtW5NLMsEWQWU3pE,Purple,Pheonix,Tron,None,None,Orange_Balaclava
1423,20,117,0,https://magiceden.io/item-details/J4Maj8LnbZt8xk85sUy5nqxoM8WP2Q3pGFc2RY4YGSBL,Peach,Zombie,ThreeD_Glasses,Antlers,Cigarette,None
1433,2.67,1521,47.3,https://alpha.art/t/27iCrQYQAMhU5xCcnSV2qNJV8AXd14sqJGEQ89N5bHqW,Purple,Blue,ThreeD_Glasses,None,Cigarette,None
1440,0.99,865,75.96,https://alpha.art/t/GsLmjPWbTAaomFGUP6huy3GJNxBZy7fiQwvb4UuTUg3n,Blue,Blue,Tron,Blue_Beanie,None,None
1451,0.6,239,91.18,https://alpha.art/t/n5VmcgNLmLLtCFQsajzDcTBY6t469YyEKfP1tLG6bcp,Blue,Grey,Blue_Sunnies,Backward_Cap,None,Green_Balaclava
1457,1,884,75.51,https://magiceden.io/item-details/HMJkK1Q92eg3aQf5gAcQVuJkVKwEXXViaywKqpdy8MQU,Blue,Grey,Blue_Sunnies,Fedora,Cigarette,None
1461,0.77,111,91.79,https://magiceden.io/item-details/A8u2E6BybU4Q5vjrz8bdcBHycbzEMsKpiAK7URxkh6fZ,Blue,Brown,None,Fedora,Cigarette,Diamond_Necklace
1466,0.3,606,87.54,https://magiceden.io/item-details/6WGmdoCjPF7hE9yyXR6nEscjBLbeAhyHL6zJNx7WV4L8,White,Blue,Orange_Sunnies,Earring,Cigarette,None
1467,1,720,78.48,https://alpha.art/t/C4hyyJ8qrxLrMiibRGuDqi3bWqoQjhAZGYUBMjfogE87,Pink,Brown,Orange_Sunnies,None,None,Gold_Necklace
1472,5.8,1481,16.72,https://alpha.art/t/BdeenRw638FqmyfLYL1x22mGPPtc94wkvrYFm3Z3t6nm,Peach,Blue,Blue_Sunnies,Pink_Beanie,None,None
1498,0.8,1337,69.32,https://magiceden.io/item-details/4XwyZ2QKc1kZMhwTmKxSK6LuoCVNEo2XZXJKBPzbWJrz,Yellow,Grey,Laser_Eyes,Fedora,None,None
1511,0.7,83,93,https://magiceden.io/item-details/AP83G7XYSxMikmvjogdJpF6EwqZxvDsYJCZsYma2at2u,Peach,Tan,ThreeD_Glasses,Blue_Beanie,None,Diamond_Necklace
1520,3,258,66.83,https://alpha.art/t/214d3G3MmgVkFMeU4quxUVkpNZdrSU6vt4GiZN33gSE3,Peach,Grey,ThreeD_Glasses,None,Pipe,Green_Balaclava
1527,0.5,1673,66.25,https://magiceden.io/item-details/77vdwEDoxBx4WVHNN7XJkToZNiXrKjd5rmaksBkSGgPL,Pink,Brown,None,Purple_Rag,None,None
1545,0.25,202,95.35,https://magiceden.io/item-details/5T2XMdeS363A5FHNGQZJEY9WeHvxacmGj8HCVUwvHXLw,Green,Tan,ThreeD_Glasses,Antlers,Pipe,None
1553,5,422,43.87,https://alpha.art/t/8MhR9pRvcoqzpi4oUPjGgkuAV82haVgZ5sHn1JX2HDR,Peach,Brown,None,Fedora,Vape,Blue_Balaclava
1559,99,68,0,https://alpha.art/t/38hEHuWY2qY9c2u6dJBysZBcSTNZxtrjrHXRNd4dzGZq,Yellow,Brown,ThreeD_Glasses,Cap,Cigarette,Purple_Balaclava
1560,0.4,866,81.84,https://alpha.art/t/9PjB3eWjLiZeYusdzE1FM11dA42HM6kkFATaXBaG2TLR,Pink,Brown,None,Purple_Rag,Vape,None
1574,2.35,1912,43.42,https://alpha.art/t/DE3jGhBbcsvbVGGu3ibM3SCT5EuaNtknahYE1kzyE5s3,Green,Blue,None,Orange_Rag,None,None
1576,5,82,50.02,https://alpha.art/t/4nc3Rgpe4D2RAXGMDKuuqfspCNnmve56UQYhLTqQwpE8,Yellow,Pheonix,Blue_Sunnies,Halo,Vape,None
1578,10,1905,0,https://magiceden.io/item-details/8hzu9Pgc1QKJskWGwcsbgGYMfVA3V6wqsZERfBD3zZSa,White,Blue,None,Earring,None,None
1589,1.1,938,73.54,https://alpha.art/t/3SdHvrGpeMPoWEhTPKwNc7DsugCASp2dWmuCv5MUkSCt,Blue,Grey,Tron,Earring,None,None
1591,2,45,80.69,https://magiceden.io/item-details/B9Nr5kTVS1GmrtJtKLb2J8ycjTdCueBumcQaLeNJCqKN,Pink,Brown,Blue_Sunnies,Halo,None,Gold_Necklace
1592,1,914,74.97,https://magiceden.io/item-details/Fqb3itsmmZ3J5Ao4f9m9mVYCZymkcpTUTV2ezpSx1oZx,Purple,Grey,None,None,Vape,Green_Balaclava
1597,0.5,1151,75.69,https://magiceden.io/item-details/FUGbkAD7ypZMawj5ZxQAtpAmQLXCA9hPJYzHiD9rByQZ,Peach,Zombie,None,None,Pipe,None
1599,1,163,88.55,https://magiceden.io/item-details/Dgfrkx6P7Ew3x8LBWZsJX6Ej75NEgXGcfVEdUXyZvBw8,Blue,Tan,Blue_Sunnies,Orange_Rag,None,Gold_Necklace
1601,1.2,1670,59.3,https://alpha.art/t/HWQsiux57EELjP9eawWmBMBWnkiHyzV7fyZQfEsegYcS,Yellow,Tan,Blue_Sunnies,Fedora,None,None
1610,1.5,154,83.72,https://alpha.art/t/AdZb5tc1PrGnp2QpkdLFUL5esgQ28StYzk48K6at6Di1,White,Brown,Blue_Sunnies,Straw_Hat,None,Green_Balaclava
1613,0.5,1486,69.63,https://alpha.art/t/4YVA4kW7izsytebJTdypkKMGwzXiVP6MbFJZfiQppdpj,Blue,Grey,None,Fedora,Vape,None
1629,0.2,1721,68.38,https://magiceden.io/item-details/HrjanzFcRLkdoqM5SWsyMTaJCJcbQuFpX2LUkf9jX9AW,Pink,Brown,None,None,None,Green_Balaclava
1631,1.1,733,77.25,https://alpha.art/t/8p44LTAxT6y3eAekWW881JrMJHNmBAWyLyS3rmYjDLvt,Purple,Zombie,Blue_Sunnies,Purple_Beanie,None,None
1652,969,1,0,https://alpha.art/t/HWsg1wrKKXo8C8b3U8TwjwJwS3FMucfkeKrQdsiTen17,Pink,Alien,Blue_Sunnies,Antlers,Vape,Purple_Balaclava
1665,1,1847,58.1,https://alpha.art/t/DZLH5yBQezugw6X8jqtVniFBT5DiVtunhVjMS2f8dZtN,Blue,Grey,None,None,Pipe,None
1666,0.7,1437,68.51,https://magiceden.io/item-details/Dnuj2LBt95ccZhjaTwBPge4JLBrRwcuz3BdVwEx7d7PV,White,Pheonix,None,None,Vape,None
1673,0.45,519,87.61,https://magiceden.io/item-details/Hs2P1XAGpAXRLiwqn27uHo3eGYNc74bD9gj4NWoCyo3,Green,Tan,Orange_Sunnies,Fedora,None,Green_Balaclava
1677,1.59,1512,58.26,https://magiceden.io/item-details/7ArGX9d2NNh6U3r2uzUnq8tT7eftVbwzxpnW4EYsGraa,Green,Brown,Blue_Sunnies,Blue_Beanie,None,None
1679,2.4,1136,56.96,https://alpha.art/t/HudVTwLbGQEy6KC8ycC1PsTBTmNsisqouggSSQcB8W1r,Blue,Tan,ThreeD_Glasses,Pink_Rag,None,None
1682,0.6,1013,77.18,https://magiceden.io/item-details/3EuvGRz7GMS4DM3YRwR14aYxtJVwbihyN4YSk8MYER3o,Peach,Tan,Laser_Eyes,Pink_Beanie,None,None
1699,1.1,307,84.95,https://alpha.art/t/24c4P7GarrCYEmahkpZL5rETedHHt2X652JZbJJKG21u,Peach,Tan,Laser_Eyes,Pink_Rag,Vape,None
1715,1000,25,0,https://alpha.art/t/8AgxkBEhgghQfF5pDDgyd5Nw36ZhjStKcmYvekMmzbp8,White,Alien,ThreeD_Glasses,Purple_Beanie,Pipe,None
1731,0.9,966,75.03,https://magiceden.io/item-details/AGQLX6fRfBbrzUEBr8mmuHKCBT69UXUYtptxvE8f73R4,Blue,Zombie,Blue_Sunnies,None,Vape,None
1745,99,14,0,https://alpha.art/t/GtdytXLMVmvhtY99ZEpjkvZq2YvNE2SDtKfvUSCFc9pq,White,Brown,Specs,Purple_Rag,Vape,Orange_Balaclava
1754,0.169,2037,62.97,https://magiceden.io/item-details/BpkssimKFRxErn3rAXasLD65Mku99KLLdphrNnnDKeNf,Peach,Blue,None,Earring,None,None
1767,1.5,244,82.09,https://magiceden.io/item-details/3K17cWYU6RyYnJcJYq14389s9tvohHFUksw8JD9v33v5,Pink,Brown,Orange_Sunnies,None,Cigarette,Gold_Necklace
1780,0.39,800,83.13,https://alpha.art/t/nwZXgUg6yb5yroi7RdPSDyBoFjkmaPMztiEH4QVFSob,Pink,Grey,None,Antlers,Vape,None
1784,5.69,874,28.8,https://magiceden.io/item-details/7HVbecQSNuT6ezBxk5Etpg4PAzUxrmHV7xveVUyc8cCX,Pink,Pheonix,ThreeD_Glasses,None,Vape,None
1797,1.1,322,84.68,https://alpha.art/t/6HvNfWrGnuV6Pz5KWboba2HXbUBphRirSnhwms7Yzrf8,White,Brown,ThreeD_Glasses,None,Vape,Green_Balaclava
1810,0.55,403,88.71,https://magiceden.io/item-details/AgGTWtVstNDmFNcn5FmRNc1Y3sw2zsPD42xeNL5Gxp1,Peach,Blue,Orange_Sunnies,Purple_Beanie,None,Orange_Balaclava
1812,0.35,818,83.21,https://magiceden.io/item-details/8Mwv5i3KEwcc2HdWE1HXypuA51W4QEiGwzfG9dCpyFGW,Green,Blue,None,Pink_Beanie,Pipe,None
1824,1,989,73.62,https://magiceden.io/item-details/5WZFknqsYXeQQq4RjpeqKGiFfrG2ue87kgxdKvd84cy8,Green,Tan,Laser_Eyes,Cap,None,None
1827,2,1897,47.2,https://magiceden.io/item-details/8ZS2n7A5BeFvqQMQhSTNRUiYmdu4jr9QyT8GsBn7PspX,Green,Blue,None,Orange_Beanie,None,None
1833,1,1236,69.15,https://magiceden.io/item-details/8EDwaxRWpS2QstrW4fphBXe3PUj9inM92PJfHjH7BHNj,Green,Grey,Laser_Eyes,Earring,None,None
