id,price,moonRank,💎 score (%),storeURL,Background,Extra,Eyes,Face,Headwear,Outfit,Wetware
Sentinel 5744,0.15,4400,79.71,https://magiceden.io/item-details/sNTP8DhycZn33KxctXHQZpsyuvTSNEUsHCZ1Rg1N7mt,Mesoglean Heat Exchanger,Perceptual Augmentation Mask,Remorseful,Jeering,Neural Vessels,Forest Scout,Surrogate D
Sentinel 2226,0.15,5850,73.13,https://magiceden.io/item-details/SNt7yMx7NSqcce5ZAG23bfqtnvrRP1gMHNPxzAP2PDg,Convolutional Neural Abacus,Viscous Gasware,Veiled,Mechanized,Diabolical Projection,Hyperweave,Surrogate D
Sentinel 3585,0.15,7647,64.97,https://magiceden.io/item-details/sNTXTjVJYqznmaceGH33uCunDMSYsd5K6eD7WWBvdoi,Convolutional Neural Abacus,Dragonfly Drone,Impassive,Mechanized,Fashioned Sentry,Flight Suit,Surrogate A
Sentinel 8249,0.16,8609,60.5,https://magiceden.io/item-details/sNTwEFAxrPcS5h85e5XdcxFNCupNE9yfUnZGXiM5Yos,Rotary Decompression Chamber,Viscous Gasware,Veiled,Grimacing,Fashioned Sentry,Martial Robes,Surrogate A
Sentinel 392,0.16942,5253,75.64,https://magiceden.io/item-details/sNTURm1ch5rQ1XvLd1snJbhgHoJqeYbqNmNsa7CHMqr,Diamondhand Harmonics,Mechanized Home Assistant,Lecherous,Jeering,Ballistic Bandana,Belted Plating,Surrogate A
Sentinel 4154,0.17,3636,82.98,https://magiceden.io/item-details/sNtT5g1ENVAPqAi1w7iu9nR4KM9BDLRMtgWkCWJLHdU,Submerged Boiler Room,Mechanized Home Assistant,Weary,Troubled,Scrapyard Scout,Tribal Combatant,Surrogate D
Sentinel 5199,0.17,7011,67.65,https://magiceden.io/item-details/snTc5J69tFSRc8aKJsHxLVmjjLBhPWJ9vemqFbS5BJQ,Convolutional Neural Abacus,Vented Portalsaur,Lecherous,Grimacing,Fashioned Sentry,Imprisoned Snake,Surrogate A
Sentinel 3550,0.17,4701,78.14,https://magiceden.io/item-details/1337A5Zm1nfJqfafJT2AQjRbFyLBVbyHvp6v1kkxfXp9,Kurzweillian Nightmare,Dragonfly Drone,Weary,Morose,Tatenen Plating,Cranial Parka,Surrogate D
Sentinel 3620,0.175,3358,84.19,https://magiceden.io/item-details/sNtusqqkKrgFKf8QLATfyR7GPZxWohMH3qAXnDG2SNY,Kurzweillian Nightmare,MicroVac,Veiled,Grimacing,Liquid Cybernetics,Radioactive,Surrogate E
Sentinel 1457,0.18,952,95.07,https://magiceden.io/item-details/SNtreXX4N41VGJx6cr94gJ2rs1GZEhq2iRh7fci6THc,Kurzweillian Nightmare,Wetware Mind Drive,Restless,Mechanized,Tatenen Plating,Azure Prototype,Surrogate E
Sentinel 4229,0.19,1336,93.22,https://magiceden.io/item-details/133767BHLthWmHUFXzixpGWFM2ZX4EQZxDwQnHC7cXNx,Submerged Boiler Room,Liquid Cognition Engine,Remorseful,Morose,Sonic Harvest,Lilac Nanosuit,Surrogate E
Sentinel 6535,0.19,4871,77.17,https://magiceden.io/item-details/sNTwokHV2B62bJhnKDoRStDFPD9pgDkr7k99pvYhE9y,Rotary Decompression Chamber,Multiverse Navigator,Remorseful,Faint,CBRNE Team,Mercenary,Surrogate C
Sentinel 2630,0.198,2019,90.04,https://magiceden.io/item-details/Snt4Ed8wyG6SB12xXvJLsKZ71KnF7MxRjmcFr8jUZfU,Convolutional Neural Abacus,Aether Tree,Piercing,Grimacing,Bubblegum Circuit,Stitched Frame,Surrogate C
Sentinel 4613,0.199,1583,92.01,https://magiceden.io/item-details/SntRV6v181UzfyiYLa8YfnPjKCNjmw4x1wNZ7Rxk2Cx,Convolutional Neural Abacus,Serpentine Attackware,Impassive,Chagrined,Ballistic Bandana,Nanovest,Surrogate D
Sentinel 5391,0.199,6721,68.68,https://magiceden.io/item-details/snt2rkRjE3gUpWG3pFZN4CZynBKH7vKHqKxhGeBieW8,Convolutional Neural Abacus,Articulated Piercer,Veiled,Masked,Diabolical Projection,Azure Prototype,Surrogate C
Sentinel 6076,0.2,606,96.44,https://magiceden.io/item-details/sNtb1PSHKvUUFEsEQWFFxebRWEyYZwg6zNLfZqannaq,Diamondhand Harmonics,Cognitive Augmentation Lampshades,Restless,Chagrined,Auxiliary Armature,Spiked Warrior,Surrogate E
Sentinel 6359,0.2,4784,77.47,https://magiceden.io/item-details/snTNBUqcBxT4CWhKkuRySrMYyoABFXHzmLSr5AKzxG7,Diamondhand Harmonics,Quadrupedal Assistant,Impassive,Jeering,Neural Vessels,Circuit Punk,Surrogate A
Sentinel 4194,0.2,6685,68.83,https://magiceden.io/item-details/SnTPdWziVhNtZzG4CcUFJviN2BijrYZN5ogDALqwAEA,Diamondhand Harmonics,Mechanized Home Assistant,Lecherous,Woeful,Auxiliary Armature,CBRNE Team,Surrogate B
Sentinel 7476,0.2,5166,75.73,https://magiceden.io/item-details/sNtYN38Sk5Wu4NrgJybxYs4rFKXYSrpZdFHmyQTEUvJ,Submerged Boiler Room,Dimensional Confectioner,Veiled,Masked,Enigma Visor,Martial Robes,Surrogate E
Sentinel 721,0.2,2719,86.84,https://magiceden.io/item-details/sNTCouWmSXeik1qo6JKHMkXBh8GWFxcqa1cPcRrBpCV,Kurzweillian Nightmare,Wetware Mind Drive,Impassive,Lovestruck,Fibermask,Officer_s Jacket,Surrogate A
Sentinel 2060,0.2,8395,61.07,https://magiceden.io/item-details/sNt4ZVd8YWHACrJrvtidxNfMtJDVgqBF9pusJQi8r65,Convolutional Neural Abacus,Quadrupedal Assistant,Impassive,Woeful,Neural Vessels,Thermodynamic Exchanger,Surrogate E
Sentinel 5374,0.2,2875,86.14,https://magiceden.io/item-details/SNtdGp5YUTg9ZcUE91cyr8DqJ8yArTHg94uTACt9UvP,Submerged Boiler Room,Dimensional Confectioner,Remorseful,Faint,Neon Order Braid,Neon Athleisure,Surrogate C
Sentinel 1733,0.2,8019,62.78,https://magiceden.io/item-details/SNtmH9PSZ63KWwndTRM1UkEvxaEuDJbDy9XLAtuqY8E,Rotary Decompression Chamber,Viscous Gasware,Impassive,Lovestruck,Arachnodrone,Cephalopoda,Surrogate E
Sentinel 7933,0.2,5425,74.56,https://magiceden.io/item-details/sNTkXDeeYsUwEYdA1UAtJeBSoUfGiPJei9UAqYujpc1,Rotary Decompression Chamber,MicroVac,Piercing,Troubled,Enigma Visor,Pneumatic Armor,Surrogate A
Sentinel 376,0.2,3079,85.21,https://magiceden.io/item-details/sNtxwZp3Gyd1CTyfptS24aiDoBhoGep9SvZ139xgPd9,Mesoglean Heat Exchanger,Viscous Gasware,Weary,Faint,Nanolink Prototype,Cybernetic Rose,Surrogate E
Sentinel 4158,0.2,2584,87.46,https://magiceden.io/item-details/SNTHWc99YAy2uLU356cJcL7zc2RDZPHyTx9LWqxizta,Diamondhand Harmonics,Hivemind Processor,Veiled,Pained,Armored Undercut,Demonic Ritualist,Surrogate E
Sentinel 348,0.2,3282,84.29,https://magiceden.io/item-details/SNTHUAueJJoHn3ezLQPmjSNCDNmNwvqQHakYL4DGQf3,Diamondhand Harmonics,Vented Portalsaur,Remorseful,Woeful,Hivemind Interface,Martial Robes,Surrogate D
Sentinel 572,0.2,7786,63.84,https://magiceden.io/item-details/sntm76JVbbQtWSZX1aCAm5VGVNRZhsYfgxfAehQEQsY,Diamondhand Harmonics,MicroVac,Weary,Morose,Reinforced Circuitry,Radioactive,Surrogate A
Sentinel 7179,0.2,1822,90.92,https://magiceden.io/item-details/sNt3TL154Q8LF7BZu7NrM86VwuNkWBvSnhAR9uf5fFs,Rotary Decompression Chamber,Liquid Cognition Engine,Bloodshot,Faint,Neural Vessels,Tribal Combatant,Surrogate E
Sentinel 8974,0.2,5551,73.98,https://magiceden.io/item-details/SNt9Uik2S6q5GbENxWi1hmvy2XNuRWNTarNmcMrPQdC,Diamondhand Harmonics,Articulated Piercer,Restless,Woeful,Highborn Cybernetics,Cybernetic Rose,Surrogate E
Sentinel 6329,0.2,5683,73.38,https://magiceden.io/item-details/sNTcknAPDA4tfrjN9EP69igWSjFdcbmnEJfKF3x1b22,Rotary Decompression Chamber,Aether Tree,Restless,Grimacing,Electric Valhalla,Imprisoned Snake,Surrogate A
Sentinel 6531,0.2,3647,82.63,https://magiceden.io/item-details/sntT9DDoXxEXoHVKHWUQcLkBdBEszTs8uF4Uwt8yDsK,Rotary Decompression Chamber,Vented Portalsaur,Impassive,Grimacing,Nanolink Prototype,Pneumatic Armor,Surrogate E
Sentinel 6055,0.2,5772,72.98,https://magiceden.io/item-details/sNTfr4KJAizr1bBVd8ECkCmBBr5EW6bcF3mZo7LnSbL,Diamondhand Harmonics,Articulated Piercer,Restless,Troubled,Ballistic Bandana,Spiked Warrior,Surrogate A
Sentinel 2968,0.2,5204,75.56,https://magiceden.io/item-details/SnTYKuzNHrvAYyJ9vWPiWLfnPcLb4pv8tvjZHxtH1eJ,Kurzweillian Nightmare,Perceptual Augmentation Mask,Remorseful,Grimacing,Neon Order Braid,Ancestral,Surrogate A
Sentinel 4133,0.2,6534,69.52,https://magiceden.io/item-details/snTrTEEHDkbDCjrboGwPvTRvuWHyPPkXfahsfeTtX1S,Convolutional Neural Abacus,Hivemind Processor,Impassive,Lovestruck,Arachnodrone,Belted Plating,Surrogate A
Sentinel 3331,0.2,2869,86.16,https://magiceden.io/item-details/Sntiqpqua7bqPFmH3sK1oH8FmAPFsaxgYAMte6CKDzL,Convolutional Neural Abacus,Cognitive Augmentation Lampshades,Weary,Mechanized,Syndicate Leader,Cranial Parka,Surrogate D
Sentinel 3407,0.2,3425,83.64,https://magiceden.io/item-details/SnT5A93VLhu5bhLh9f6cZGVcv1AkXLhGpwg4WViSJze,Mesoglean Heat Exchanger,Articulated Piercer,Restless,Lovestruck,Electric Valhalla,Imprisoned Snake,Surrogate A
Sentinel 623,0.21,1063,94.26,https://magiceden.io/item-details/SnT2zgJpVp6b3mvzzySLtDPeZeQtvPE4UzBPuoLE9ZL,Kurzweillian Nightmare,Quadrupedal Assistant,Augmented,Masked,Electric Valhalla,Tribal Combatant,Surrogate E
Sentinel 4552,0.22,7441,65.2,https://magiceden.io/item-details/SnT2iPpY8pwFzT1jgs1P69f5xRC1yVQpdM1qPFM5pwu,Convolutional Neural Abacus,Perceptual Augmentation Mask,Remorseful,Grimacing,Neural Vessels,Armored Cybernetics,Surrogate B
Sentinel 8792,0.22,5040,76.1,https://magiceden.io/item-details/sNTScREMg9UN57JtTXXvqLgHNXvjoB6KTvP6KUjLRbB,Rotary Decompression Chamber,Wetware Mind Drive,Lecherous,Mechanized,Tribal Combatant,Field Technician,Surrogate E
Sentinel 5529,0.23,8194,61.68,https://magiceden.io/item-details/snTaK9x3M3sQmRbsbuhThTF2bVPZ9AYrcZ6zDTntchg,Diamondhand Harmonics,Mechanized Home Assistant,Veiled,Lovestruck,Highborn Cybernetics,Tribal Combatant,Surrogate E
Sentinel 1741,0.24,6472,69.4,https://magiceden.io/item-details/snTdjJov2NyyhiXvaJML1qAx7Mr5XBSMkK2oGvjF9T1,Submerged Boiler Room,Articulated Piercer,Lecherous,Lovestruck,Fibermask,Martial Robes,Surrogate D
Sentinel 6649,0.245,1097,93.76,https://magiceden.io/item-details/sNTRU4wPpaeEMirPzNeCYU2bzhnp2Ttgn2JYXaCG7wQ,Convolutional Neural Abacus,Tentacular Spacecake,Brooding,Faint,Flayed Syndicate,Spiked Warrior,Surrogate E
Sentinel 8953,0.246,737,95.38,https://magiceden.io/item-details/SnTTJTj6SGCzEiLgAs3WGaKUNBLJf3azidgzPkvTVip,Convolutional Neural Abacus,Dragonfly Drone,Piercing,Jeering,Candy Punk,Iron Militant,Surrogate D
Sentinel 2512,0.248,802,95.07,https://magiceden.io/item-details/SnT7bAvLDD4zQcTKwAnVzz7cg3wwRY9K8CLQmYsGXjE,Submerged Boiler Room,Dimensional Confectioner,Brooding,Lovestruck,Hat,Thermodynamic Exchanger,Surrogate D
Sentinel 2443,0.25,2954,85.28,https://magiceden.io/item-details/SnTPfaFmXQyq6scoTipEobB5WCmmjQxyFFsExj9MYtt,Diamondhand Harmonics,Aether Tree,Lecherous,Woeful,Candy Punk,Serpentine Armor,Surrogate E
Sentinel 5012,0.25,7741,63.54,https://magiceden.io/item-details/snT3W9XXXvF9q5ZLVJsripdJzQqB5W2KpPBsMEaw5zK,Convolutional Neural Abacus,Aether Tree,Remorseful,Lovestruck,Feline Luminosity,Spiked Warrior,Surrogate A
Sentinel 6888,0.25,4038,80.35,https://magiceden.io/item-details/snTA61gvMrrGkdxosaeJVMqqs2dfVZCL7H7m8A3p3qH,Convolutional Neural Abacus,Quadrupedal Assistant,Restless,Woeful,CBRNE Team,Vented Exosuit,Surrogate E
Sentinel 8901,0.25,1366,92.49,https://magiceden.io/item-details/sntowvMdtC5BwfgEFfdnufapPnraJLJ7DweVmy3CwH9,Convolutional Neural Abacus,Hivemind Processor,Piercing,Woeful,Liquid Cybernetics,Platemail,Surrogate A
Sentinel 1756,0.25,5211,75.03,https://magiceden.io/item-details/SNtazQRe7QZ5s3mnXua7QiZBPFdYsoCP9h7bUczx3gD,Convolutional Neural Abacus,Perceptual Augmentation Mask,Piercing,Lovestruck,Wired Essence,Azure Prototype,Surrogate A
Sentinel 7532,0.25,6178,70.64,https://magiceden.io/item-details/SnTznK8GHjjabPW3s3fCAAJGDGLghVm8ooaRP7HXucG,Convolutional Neural Abacus,Vented Portalsaur,Weary,Troubled,Ballistic Bandana,Iron Lace,Surrogate A
Sentinel 543,0.25,6012,71.39,https://magiceden.io/item-details/SNt41LZ3U2nKdcqiR9ynTH4fg1hYWUpZV3ntLc4qZLe,Kurzweillian Nightmare,Perceptual Augmentation Mask,Bloodshot,Lovestruck,Neural Vessels,Tattoo,Surrogate E
Sentinel 8614,0.25,5300,74.62,https://magiceden.io/item-details/SntHxXkXPtznrviSNNWfm2XKj82VmzPBvC1LQbFp8bo,Diamondhand Harmonics,Dragonfly Drone,Bloodshot,Faint,Enigma Visor,Martial Robes,Surrogate C
