id,price,moonRank,💎 score (%),storeURL,Accesory,Background,Clothing,Eyes,Hair,Mouth,Name,Weapon
3469,0.48,4043,64.73,https://magiceden.io/item-details/8Dd5ZpLMX2GUDbqkpRZ1mHYsELyiDFBH2u2imXR7WEUn,Glasses,Yellow,Vacation Shirt,Black,Wavy Long,Excited,,Submachine Gun
3476,0.5,2272,78.75,https://magiceden.io/item-details/5VsbySTnXs4rvogt9CBaHZLsFnafV2TKagrB3Ep8dmCo,Blood,Lime,Royal Uniform,Green,Cutoff Bun,Annoyed,,Bat
3516,0.45,1311,86.97,https://magiceden.io/item-details/49Xrsb72TjjjJeAuKfmfKaE1J2kP6s29BDKQD6W1iG1F,Glasses,Teal,Casual Tee,Blue,Bun,Bloodthirsty,,Robot Arms
3652,0.55,2051,80.03,https://magiceden.io/item-details/9qw2NeKYznhHe9Zth8tSVVpf6xqo2PfsRsmBKhm9GcGN,Glasses,Blue,Fighter Tank Top,Green,Side Part,Shark,,Greatsword
3718,0.399,2783,75.66,https://magiceden.io/item-details/AmGD1dfHLt7TvUDxbeJRQLgqNxsCqknAthe9SfYjkna2,Bandaid,Blue,Royal Hunter,Orange,Combover,Excited,,Greatsword
3751,0.5,4549,60.46,https://magiceden.io/item-details/AZCPGA3eTUxkpHDe17WBkY9F5tfVuXDW7cv8Z37dMdfe,Scars & Piercings,Yellow,Street Kid Tee,Orange,Combover,Neutral,,Bow
3771,0.45,405,94.25,https://magiceden.io/item-details/6QbvQgCb9YWBHVWXZ1rTWaiiEJTTzNMPiqtrbrFi5W3R,Face Mask,Blue,Royal Uniform,Sky,Spiky,Bloodthirsty,,Bow
3815,0.4,903,90.75,https://magiceden.io/item-details/E7Amg3FdQbdujAw7UnheUpVQK8R7Z4gJBTwaEMjkU3bK,Blood,Rose,Shoulder Cover,Sky,Wavy Part,Excited,,Bow
3861,0.465,4972,57.41,https://magiceden.io/item-details/5mGCBWEZ5kWSFCsmGVq9cqwq7XT1ZXpqT5bbyawuCL89,Scars & Piercings,Rose,Shoulder Cover,Blue,Slicked Up,Excited,,Dual Swords
3882,0.44,2352,78.71,https://magiceden.io/item-details/5v85NffsLpXeZsF2UhRWLrbqzkzm5DP67uPUjR6LeWaU,Face Mask,Yellow,Robot Tank Top,Empty,Slicked Back,Shark,,Submachine Gun
3996,0.499,2578,76.3,https://magiceden.io/item-details/9rqoKk7GhzLTPw9UCcT9aZhR6MqY7CCQzE4ewCFJFijH,Bone Mask,Lime,Sensei Kimono,Purple,Bun,Neutral,,Submachine Gun
3999,0.5,3723,67.1,https://magiceden.io/item-details/BL9snxchD4AFxP7TL9gLNcYehkVTo7WEirkrFX51CE49,Tattoos,Yellow,Shoulder Cover,Blue,Dreads,Excited,,Chainsaw
4065,0.54,2845,73.75,https://magiceden.io/item-details/7h9BqsikHnUwxJubD1PRCPXsrRkHjM11z1t6f8i8FDCX,Bandaid,Purple,Shoulder Cover,Orange,Headband,Annoyed,,Scythe
4120,0.43,4305,63.12,https://magiceden.io/item-details/8bn3EDkZmjFAcRnJpuQLihmLACugi8QaBCvsRNaY7Fcv,Tattoos,Lime,Military Uniform,Purple,Dreads,Neutral,,Katana
4126,0.44,1687,84.05,https://magiceden.io/item-details/8TjEytuEF1SodmSZHDLEF3NR9VE4S9Ra95BXgj1yqqtN,Face Paint,Orange,Bomber Jacket,Red,Wasteland Mask,Grin,,Bat
4138,0.55,966,88.74,https://magiceden.io/item-details/CjZTuPaqZV5qg9HrxYncTKJu4pPPL5wYEammoroMv1Gs,Bone Mask,Blue,Fighter Tank Top,Amber,Cutoff Bun,Excited,,Scythe
4197,0.5,4120,63.91,https://magiceden.io/item-details/ELCA3HvNCh9VwBePS9WmyczGqKRYMiAG5Pyz6Hb2K7mh,Scars & Piercings,Orange,High-Class Suit,Blue,Wavy Long,Shark,,Bat
4221,0.3,1277,88.74,https://magiceden.io/item-details/G6uKUACdLkuzoWLAZzYjRpKMtsxDhd8dBTNhyEfDXora,Face Mask,Rose,Streetwear Windbreaker,Light,Combover,Annoyed,,Greatsword
4255,0.5,3379,69.86,https://magiceden.io/item-details/6amgaoSZNdbbae3y6rDK9PyufBvN2S6iDVC1aBUjUjrK,Bandaid,Orange,Bandit Tee,Black,Scruffy,Neutral,,Submachine Gun
4265,0.5,996,89,https://magiceden.io/item-details/137arANFSEFkytCH42BBCMpo4z7xHmNNZ7CfYTepr8oL,Glasses,Teal,Street Kid Tee,Purple,Wasteland Mask,Shark,,Scythe
4283,0.5,3308,70.43,https://magiceden.io/item-details/5JfzDXyUAZgkh1PcwXQFvSAeygBvAZzYMK3L5YyykQzu,Scars & Piercings,Teal,Bandit Tee,Purple,Headband,Shark,,Katana
4334,0.49,4909,57.67,https://magiceden.io/item-details/D5kx4UqThp5cbojNdUEDZ6P5YDfP8uAvvdQMCYNcv1xy,Blindfold,Red,Fighter Tank Top,Amber,Headband,Neutral,,Katana
4506,0.45,1041,89.14,https://magiceden.io/item-details/CAxzCyhSonTVPibJgPsDPvTFqptS4qvNQWPa4zUgahbv,Mecha Beak,Lime,Streetwear Windbreaker,Yellow,Slicked Bun,Neutral,,Chainsaw
4554,0.5,2109,80.06,https://magiceden.io/item-details/5FTqfbFadJyiNf8KSzs7XuVqXb3h6GwjkDK29xZ2EJti,Samurai Mask,Red,Sensei Kimono,Amber,Wasteland Mask,Neutral,,Submachine Gun
4611,0.5,3873,65.89,https://magiceden.io/item-details/29cAPUBYneRs1Lkyuu3QYiXBi8ZgWvBqwkcQhvXicfY2,Eyepatch,Purple,Bandit Tee,Purple,Bun,Neutral,,Dual Swords
4614,0.41,2471,78.05,https://magiceden.io/item-details/4GyZUiuYHxxhrMiT9jUekud2ZBvhEcGak98CPP15R9VK,Blindfold,Blue,Casual Tee,Empty,Wavy Long,Bloodthirsty,,Submachine Gun
4620,0.5,2259,78.86,https://magiceden.io/item-details/A73Am4GBSpvu98QQSSwijK8E3Ry17BQenwPrLfc3uPut,Glasses,Orange,Fighter Tank Top,Green,Combover,Bloodthirsty,,Greatsword
4633,0.45,3029,73.17,https://magiceden.io/item-details/2maeLLookR2Hqd9JeUPG96WdoFYMQjjBjikd9S6ijBmo,Eyepatch,Yellow,Fighter Tank Top,Purple,Cutoff Bun,Grin,,Bat
4642,0.5,652,91.76,https://magiceden.io/item-details/Bbzi6sHYBnmJSiaBLus9bsrKYvieHhUVxhn3KjGvVs2n,Glasses,Yellow,Streetwear Jacket,Purple,Slicked Bun,Cigarette,,Katana
4654,0.53,2779,74.38,https://magiceden.io/item-details/ABeP2AxkswGpXDCWRGER2iA2Anad7o6VcdLR9DHgbAw,Samurai Mask,Rose,Fighter Tank Top,Green,Slicked Back,Shark,,Katana
4666,0.4,643,92.84,https://magiceden.io/item-details/12u2sMo6qFsVBgsuMyyLiTxkBEgLqgxy62rhFjWDLv55,Face Paint,Lime,Bomber Jacket,Light,Cutoff Bun,Excited,,Bat
4709,0.5,4035,64.59,https://magiceden.io/item-details/6p89HjGpctSrf9gZXJZN7wsMy2WtUWfuttSwwBTYHWxp,Scars & Piercings,Purple,Fighter Tank Top,Orange,Middle Part,Grin,,Bow
4747,0.46,1351,86.55,https://magiceden.io/item-details/Bz9aUmM8GexbX6VRKJ7dMiuqPFXvqD9KcAkoHHM6nRji,Blue Rose,Purple,Fighter Tank Top,Orange,Slicked Up,Shark,,Bow
4765,0.45,3260,71.32,https://magiceden.io/item-details/HhrRoopWs66oTDHrVYV6To7uckQscquSKvvfgfirYocr,Eyepatch,Lime,Street Kid Tee,Yellow,Slicked Bun,Annoyed,,Submachine Gun
4772,0.4,3368,70.95,https://magiceden.io/item-details/DbmBUmC8Q8gLhBReKWkjj7AwneCwWvLLcAXcKiqLhARr,Face Mask,Rose,Bomber Jacket,Purple,Slicked Bun,Grin,,Submachine Gun
4778,0.35,3697,68.81,https://magiceden.io/item-details/8DW1M1qhLLvpNjWufu274VEgb9SrcbCgXqSK8fhXTHdo,Scars & Piercings,Rose,Casual Tee,Empty,Wasteland Mask,Tongue Out,,Katana
4784,0.45,4522,61.18,https://magiceden.io/item-details/32FJqs9an8NqbKghod5G7EaYaTe51w87yjNmJrdBa1ti,Eyepatch,Orange,Shoulder Cover,Blue,Slicked Back,Neutral,,Chainsaw
4789,0.5,2580,76.28,https://magiceden.io/item-details/93FwkYBr7CXxgb33vozXDKtdPM5en7kfFygUunEavi4N,Gem,Blue,Casual Tee,Sky,Dreads,Annoyed,,Submachine Gun
4818,0.46,3043,72.96,https://magiceden.io/item-details/CY6xo7MbqXYpzpm2kFdQxB482NoouW2bSHnY8dDfbYYA,Box Earrings,Teal,Casual Tee,Yellow,Combover,Tongue Out,,Greatsword
4821,0.47,3109,72.33,https://magiceden.io/item-details/GPMTSwhCZpDgSDpxo7t1DxcoxxJ5vKpKcUSfaUDbtrrv,Bandaid,Rose,High-Class Suit,Green,Slicked Up,Tongue Out,,Greatsword
4837,0.5,4658,59.59,https://magiceden.io/item-details/ExgUzGUef9zDS3nnC4L3DBf2GP2rYS262jCMf9DsZZu5,Face Mask,Purple,Fighter Tank Top,Green,Slicked Bun,Excited,,Submachine Gun
4857,0.5,3694,67.33,https://magiceden.io/item-details/DqvV5WmgT53DCt3g5K1MNadV9fndu9P6EVGxNh7NjbwS,Blindfold,Purple,Shoulder Cover,Orange,Long,Grin,,Dual Swords
4892,0.45,4342,62.62,https://magiceden.io/item-details/3NebWsy4Bh9uhAGJw88Xpn6cqCM17NJYKCtPtZKvhiTN,Scars & Piercings,Yellow,Military Uniform,Amber,Dreads,Neutral,,Greatsword
4936,0.45,4249,63.37,https://magiceden.io/item-details/Bu7bv5eYdhUEJoRVEQQC5HntVxCubjzD1SBSMNfmim4T,Blindfold,Red,Casual Tee,Green,Slicked Bun,Neutral,,Bow
4979,0.29,4221,65.2,https://magiceden.io/item-details/5f79UiqNN4f3XHG619ZVXXLbcYLNHTQ65cTr6U39JKjs,Face Mask,Red,Military Uniform,Black,Wasteland Mask,Neutral,,Katana
4992,0.4,4531,61.61,https://magiceden.io/item-details/HQAxutDdjkfb53ig5Lx2MghDPbBY1Zox8zB1ZntdCJPq,Face Mask,Teal,Street Kid Tee,Amber,Slicked Back,Excited,,Bow
4998,0.5,4190,63.35,https://magiceden.io/item-details/A9GptdwKaWgBV6aRCvwX5S6azdK1gn8tD3kqrjLdUBLF,Tattoos,Rose,Casual Tee,Empty,Combover,Excited,,Bat
5000,0.45,4517,61.22,https://magiceden.io/item-details/J8vf6GKp5PL2xuu2neCXbjQQWQqH47g6Hi2zKMYb2pTD,Blindfold,Red,Fighter Tank Top,Yellow,Slicked Back,Excited,,Submachine Gun
