id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Eyewear,Helmet,Mouth,Skin,Teeth
2524,0.4,2385,77.67,https://magiceden.io/item-details/FUDSSjb1hSzuJojeZ9edqGea6cCZn6EkL4C5toCvMrp6,Silver Earring,Sky,Red,Sun Glasses,Fast Food,Baby Bottle,Olive,None
2602,0.42,4032,62.39,https://magiceden.io/item-details/9kuUsqkHidh8kCGRshivgFmDoTTypMJBxMd62KBbgMGN,None,Banana 1,One Yellow,None,Captain,Gum,Red,None
2762,1.49,2520,65.53,https://alpha.art/t/FkJN2pUpMCp9iQ4BpN34zZ5fEvhwHeHfPsaA2H7kEBwB,None,Blue 1,One Blue,White Sun Glasses,Sticker Boom,Soda,Purple Red,None
2855,5,1139,43.07,https://alpha.art/t/2PtfHfDVtfhSb6HSaN59wqm9jqMrgRrSpLGfrurMfibJ,Silver Earring,Peach,Yellow,Sun Glasses,Angel Ring,Pizza,Olive,None
2864,2.5,3580,45.73,https://magiceden.io/item-details/66XedUJMA2ewzQTPqahEhgF67BZF8xumUi9xqzqNh7Cn,Silver Earring,Blue 1,One Yellow,Pixel Glasses,Captain,Gum,Blue,None
2866,0.35,2948,73.02,https://magiceden.io/item-details/5AMPk38Fg4taomRT2yZMpnaR6syyenzLfno2UWtZsuHS,Gold Earring,Lime,Red,None,Glass,Saliva,Sky,Three White
2984,0.39,1331,87.42,https://magiceden.io/item-details/3itCngBz9p6z22uthebznW1aVjSzNY46QthGSQAVrGoE,Gold Earring,Rose 1,Red,3D Glasses,Fireman,Lollipops,Blue,Two White
3178,0.42,4321,59.75,https://magiceden.io/item-details/FeSmzn3aKp7F8V3N8uiUavs7RKsnndJ8pcTWCWsEtJoJ,Silver Earring,Banana,Green,None,Headphone,Banana,Yellow,None
3249,1.1,2971,65.31,https://alpha.art/t/2NMF1dg1uha1njZKRk4xBu68qkAVoFFSNdaJpR8J1M4C,None,Sky 1,One Green,Pixel Glasses,Taxi,Banana,Purple Red,None
3260,0.4,2608,75.63,https://magiceden.io/item-details/As76b7Ux8Hi3EwcycSni3AxK5yb8goxPHp2qyAhC7CPx,Silver Earring,Purple,One Yellow,Sun Glasses,Broken Glass,Pizza,Olive,None
3306,0.42,3807,64.45,https://magiceden.io/item-details/FqxbY5DC7FmekvVS6JboRtcnu8UPwEqPKoFfW7MmVBvz,Gold Earring,Yellow 1,One Yellow,None,Captain,Banana Milk,Red,None
3424,0.42,4370,59.3,https://magiceden.io/item-details/7WoJ6Ch5zQVY8Tvs3Zh8rbn3zxxctfrkMcupg4F5wB2W,None,Peach 1,Green,None,Headphone,Chocolate Milk,Red,None
