id,price,moonRank,💎 score (%),storeURL,Background,Community,Sock Color,Sock Direction,Sock Type,Special Traits
239,18.9,31,7.52,https://magiceden.io/item-details/BPHEmepDq148atBooy1AnP2iroy5CCM8wMB8hmv3o37A,Space Grey,None,Trinity,Left,High-Top,Flipped
240,11.9,227,61.8,https://magiceden.io/item-details/5tkdghcJekiJhePjBzvDbusiZ2FZYEy9RrLYU4rqAZbV,Sand Beige,None,Trinity,Left,High-Top,None
254,75,13,0,https://magiceden.io/item-details/FfpR3butJY24yjFk8KRnhdJbRRpLNmEPSgJMxFURyki4,Toy Green,None,Solana,Left,Ankle,Upside Down
273,333.333,245,0,https://magiceden.io/item-details/AwRen5m2wULzMANiNHt7o7DG2HfgpUsJY5365ENk452q,Ocean Teal,None,Satoshi,Left,Ankle,None
275,107,7,0,https://magiceden.io/item-details/9xuvPuThnsmiVDMzQC3PH1GFQU89diVWrpWsC94fpkth,Fire Orange,Satoshi,Satoshi,Left,Ankle,None
290,27.777,259,0,https://magiceden.io/item-details/3FZ3CcwE5kZbrnBAp6s12QRMofCGMfbcFK83RqRPiixE,Sand Beige,None,Fusion,Left,Ankle,None
299,15.75,266,20.18,https://magiceden.io/item-details/GvX54CBAx5xpqkqJtbXiH3zvu62aWCMz4jDZrHjmpK8d,Space Grey,None,Valor,Left,Ankle,None
310,39,274,0,https://magiceden.io/item-details/ncKX7UWv2Y9jaWwtYvsVBQ3jaRc2PjfzimJ4rh4Ee5w,Sand Beige,None,Lore,Left,Ankle,None
314,14,276,36.88,https://magiceden.io/item-details/8jRUuVi1ie7Kj8mxnCu3j9PybYaQfg4EiobDisAKEfWs,Toy Green,None,Plasma,Left,Ankle,None
324,14.2,284,34.23,https://magiceden.io/item-details/D5uvmLUbZwypwagncxGucysmEkGRvFJ6wrpWfsREPKhi,Toy Green,None,Atlas,Left,Ankle,None
325,14.5,285,31.15,https://magiceden.io/item-details/7Sbc8dRACBXRnpdftxTRPFo38z9ezYNxrAT3XZhpWKnw,Fire Orange,None,Atlas,Left,Ankle,None
368,150,308,0,https://magiceden.io/item-details/575ACMRUqJAxZVsfeN6iExK24GeTztqKWYToHEes5FED,Baby Blue,None,Magentar,Left,Ankle,None
391,31,458,0,https://magiceden.io/item-details/HAzMJdHvPtimFMKYkohCBwruNaYjtEPDibxtkM67xeNW,Matte Black,None,Nebula,Left,Ankle,None
393,29,321,0,https://magiceden.io/item-details/62pTSr3dE1M6fZjvaHkXHc9sdgXZuTZXeDJGKDSZUW6J,Ocean Teal,None,Nebula,Left,Ankle,None
417,45,341,0,https://magiceden.io/item-details/56qGGb4xEm4gwSkD6cx5ZrnxBE9JPcC41L956iesquXa,Crimson Red,None,Omega,Left,Ankle,None
418,79,38,0,https://magiceden.io/item-details/5Uru76vyNeh5fVhfwkuuqupCepkBKbWZ7QA59sZLyrTF,Baby Blue,None,Omega,Left,Ankle,Flipped
449,11.99,365,49.84,https://magiceden.io/item-details/J1Ng4Bnb3Q8FrP1TdxWXPd9bS6NY348n33zvDxyWPuUK,Space Grey,None,Emblem,Left,Ankle,None
458,19,371,0,https://magiceden.io/item-details/4Eje1f9c8kvWSQH7FNjBc3kmc7vjaQcDf37NBA4PBNQA,Baby Blue,None,Eden,Left,Ankle,None
483,21,391,0,https://magiceden.io/item-details/59ixjpZi8dHU6eteDhTfwCSryiFWEUpv8xzRPr257uPJ,Ocean Teal,None,Trinity,Left,Ankle,None
