id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Fur,Hair,Mouth,Necklace
7710,2.2,1681,80.59,https://magiceden.io/item-details/CEZYCWLhAB8ca5DZr9JxdffriYZjKPpWwisGftzk5gHg,Sribble 2,Googley Eyes,Solana,Afro,Robot Mouth,Geckos
7728,5,4089,42.98,https://alpha.art/t/H7m4KE1ABaADYaEEiMLtitQgFc6pwL7onwgg29aXcYMm,Green,Justin Sun Eyes,Gold,Lion Mane,Cute Mouth,Trippy Bunny
7740,8,2491,19.36,https://alpha.art/t/CiK2jxtmZPvWWLS3WLMSSocbyFWQSy4KwPnHuotqnTZ2,Pixels II,Bored Eyes,Night,Tall Block Afro,Cute Mouth,Sollamas
7774,1.89,1731,83.49,https://magiceden.io/item-details/5vqVcT7cMpnANPH236b3DwtVM6iB1L42cEpEEiVGSLyE,Light Blue II,Plus Eyes,Green,Curtined Hair,Straw Mouth,Geckos
7792,1.75,4139,75.28,https://magiceden.io/item-details/HBB17vARMLLxvmwVAe9E2RZYxGpJXSJpEF5EqazzZdmL,Pixels II,Bored Eyes,Trippy  2,Tall Block Afro,Squigly Mouth,Trippy Bunny
7819,5,4759,40.31,https://alpha.art/t/8TssZGDdYMETBWqCLjNB8S81e2eJAwG63nhF6PbcfjE,Matrix II,Blue Laser Eyes,Tiger,Mullet,Sick Mouth,Solana Necklace
7822,2,3590,74.97,https://magiceden.io/item-details/G5Jz7PJaCVaCDpeELpjRTNFo2sUM6t32CDwnyQPMXaP9,Yellow II,Zombie Eyes,Cream,Mohawk,Mouth Juul,Normal Chain
7833,4,5797,46.17,https://alpha.art/t/7PjZx4M6h4KPLmPJoJLR9PxD9VE6SDpS2d1pujGd8SJU,Purple Amber Synesthesia  II,Squid Square,Cheetah,Dreadlocks,Bacon Strip,Sollamas
7841,1.7,3675,77.64,https://magiceden.io/item-details/CUpcv5avPXpNYzYFVVkpwDgUUDL3Yc5UeYS1ekJ1qCeA,Yellow II,Zombie Eyes,Camo,Afro,Smile mouth,Geckos
7843,1.9,3615,75.87,https://solanart.io/nft/75dVR29PpUTpTA7TVWBkcGrd6jhEPJXHS34pagGfbVKo,Yellow II,Zombie Eyes,Cream,Mohawk,Mouth Juul,Sollamas
