id,price,moonRank,💎 score (%),storeURL,Background,Body,Earrings,Eyes,Face,Hat,Head
2526,3.2,349,82.2,https://magiceden.io/item-details/5RKhL9w7dzmpdkAa6PY1tL1iZMdxSiKCxES4ihg6Upkt,Acid,Yakuza,Silver,Steamboat,Panzer,DemonLoredRed,Clay
2530,3.25,2644,63.32,https://magiceden.io/item-details/55pWL1fTg88K4KJc5FwKXnXfwpYoVEFe4y3bwQWCh4aw,Acid,Cerberus,None,BlindfoldWhite,RuffyDuck,AllSeeing,GrapeFlavored
2532,7,1565,34.46,https://magiceden.io/item-details/CiBGmhCECDmA2bCFd4qbstPPmPGK7Kfed5Bo3od4s1uH,DustyBlue,Thug,Pewpew,CuriousJorge,WickeyMouse,BeepBoop,RedHead
2535,2.15,1656,82.23,https://magiceden.io/item-details/CxpvVp5UsXpprh9PFBSzwDKiGqtacQxTNunXaa5eGmav,BabyPink,Hockey,Dagger,CuriousJorge,DingDong,SaiyanHair,BudGreen
2536,2.3,3972,62.18,https://magiceden.io/item-details/ANnTHhUbnJZeVUMkR5CJmaiudpQMa8AVTnBNj73tWRqG,DustyBlue,Bat,None,FeralEyes,WickeyMouse,Sunnyside,BudGreen
2538,2.4,3454,65.33,https://magiceden.io/item-details/6XdJU31rr1DVybyccyeHQkz4NxpyjoCvTVpEv4Bzcvef,Acid,Plug,None,ClassicToon,ThugzBunny,BeanieCream,Sage
2544,25,3,0,https://magiceden.io/item-details/Bbjkt1SwykmKjn6RKvmkVwJN2Ly5kCnab2iJKuwct2Wk,Blue,DevilOnyx,GoldPair,BlindfoldBlack,DemonDingDong,Burger,Sage
2547,2.5,2417,72.64,https://magiceden.io/item-details/5ZT2aKsfg4MiDEStibs2vmL6VTmVM9CZisdfZTaz9CQf,Citrus,BoxerYellow,None,BlindfoldBlack,DingDong,Crab,BudGreen
2558,3,4287,52.66,https://magiceden.io/item-details/2hHCbFMqHz2GGMfL4P8KRw5EGujViMBpVQfSGrrbUoDw,Pomegranate,BubbleTeaFever,None,PissedOff,GoodBoy,None,BudGreen
2560,4.5,1019,63.84,https://magiceden.io/item-details/2AYwUTMihS12Vk8sgM8EzKH5GKtbav6y4Af9wDuz8K8e,Salmon,BallerLakers,None,OhGodNo,ShinRaShiFlood,PlumberGreen,GrapeFlavored
2564,1.9,2261,79.89,https://magiceden.io/item-details/Eo27m6xNQqHFmgfv2BUwBGM17Tg6u65S7nHC9BjEN63k,Acid,Bat,None,Unamused,ShinRaShiForest,ImmortalBlade,DustyBlue
2569,15,790,0,https://magiceden.io/item-details/CT6MKCnZ1HyBaxk2udRjKGDYHjjF5EqvaNiUuScE2VfB,Blue,Cerberus,Gold,CuriousJorge,RuffyDuck,SaiyanHair,BudGreen
2570,5,3231,41.12,https://magiceden.io/item-details/Hw4ZK2tzHQ9N8YeAwFA3PogeF8zcGrJ62Gn6rU2Su1Jd,Cyan,Hockey,None,Skii,DingDong,GoonGoon,CottonCandy
2580,2.9,827,81.37,https://magiceden.io/item-details/EUAJMMpLLPJpH7Gnah4cAFtnj3FWKWidbU8KVLAfiQUk,Blue,BoxerPink,PocketMonster,PissedOff,GramGram,GoonGoon,GrapeFlavored
2582,2.7,1745,76.02,https://magiceden.io/item-details/4XDwz6MAn5hRJvF7tKHJhsdGMGVW5X1G5PT59MhfhVm1,Citrus,SweetChocolate,Silver,Steamboat,ThugzBunny,GoonGoon,RedHead
2591,5,4924,27.55,https://magiceden.io/item-details/CKTr27NFSMRChEN7Q8SG5569matj1f9ALFfZQfwWw476,Pomegranate,SkullBomb,None,CuriousJorge,GramGram,GoonGoon,Clay
2597,1.83,3654,69.43,https://magiceden.io/item-details/68j2nTHNfAwu9kiRwQABMsN1cMVGmsBNBjNtmBVXjp4b,BabyPink,StreetPirate,None,Unamused,Baztard,Burger,GrapeFlavored
2598,2.4,2599,72.18,https://magiceden.io/item-details/8pTz93HkePxgcsmNdQMAUrXuF3drM3XG8sgtveQRn9X1,DustyBlue,LuchaLibre,None,DemonLordBlue,ThugzBunny,GoonGoon,RedHead
2599,3.22,1532,72.53,https://magiceden.io/item-details/J9vsJwXbViyMPcUYYF5KMpz3iyrcgCNu9f9RrEXJHY8w,Blue,Paladin,GoldPair,BlindfoldWhite,BaconBoar,ThongRed,GrapeFlavored
2602,12,412,0,https://magiceden.io/item-details/Gb13h82W2CpJEqT65aeAiqEE18ryqcTfPmnZb9LNPRe2,Salmon,BallerLakers,Flag,BlindfoldBlack,WickeyMouse,Burger,CottonCandy
2603,3.9,4204,44.32,https://magiceden.io/item-details/86KYMsJA6cKSJC367aVjse8EUALFJSShS1xv5km7Yxzz,Lavendar,Plug,None,Unamused,DingDong,ThongRed,RedHead
2605,2.45,2723,70.69,https://magiceden.io/item-details/HPr7nVEV7rYUd6FjwXoiWVNa1ZSSZfkXaYimx3Y2qcfc,Leather,Thug,None,FeralEyesRed,ThugzBunny,PlumberRed,GrapeFlavored
2606,5,3157,41.71,https://magiceden.io/item-details/DoLDhcGRpxPWUH4i4kg7GzhLPnzN75t4HiSz6zX4Lh4m,Cyan,Zilla,None,Skii,WickeyMouse,Sunnyside,RedHead
2607,3.69,2601,59.26,https://magiceden.io/item-details/CqLvZTd3tvGzRsZQ9Z1JQm83FZgmQXg5a8ugTv4qRQJw,Lavendar,SkullBomb,None,ClassicToon,ShinRaShiFlood,BeanieCream,CottonCandy
2608,2.95,1138,78.38,https://magiceden.io/item-details/Fm9S5Abq4YTkhzwMSeBo1DwaeokaXkFsXcNmeTUMnwFL,DustyBlue,LuchaLibre,Dagger,CuriousJorge,BaconBoar,ShellRed,Blonde
2610,2.3,2771,71.8,https://magiceden.io/item-details/HseargWrjUZBpn53yna1RDAT43zLZwrfmPdPivBDyoAP,Tangerine,StreetPirate,None,DemonLordBlue,GoodBoy,None,Blonde
2611,5,190,65.48,https://magiceden.io/item-details/BDfg2p38qNpweTadaVvpGq5vfyoihEKjKXgbHdzVFejN,Cyan,BallerLakers,Silver,BlindfoldWhite,GramGram,Gluttony,Sage
2612,2.388,2532,72.84,https://magiceden.io/item-details/3BujaDKBSrcYhYCiJvFB2BNUTpEsqQHDpxa6HMTXETFZ,Leather,StreetPirate,None,CuriousJorge,BaconBoar,DemonLordViolet,BudGreen
2617,4,1288,66.68,https://magiceden.io/item-details/mX93QrtUiNvoGWW6VyB7Naxu9aaVC3VUjRc8xuCkr6M,GrannySmith,StreetPirate,PocketMonster,ClassicToon,DingDong,OctoPink,DustyBlue
2618,2.1,4248,61.97,https://magiceden.io/item-details/43F1Y13oMmgr43ADBhXfeEQG3NmUZb2wAzGwQxT1sXbH,Pomegranate,StreetPirate,None,ClassicToon,BaconBoar,Gluttony,Clay
2621,3.987,4592,40.34,https://magiceden.io/item-details/BG8LD4YaYN17rRgfiDZgTMgTEbKXZjVwdAhC6ZDFmQAS,Leather,Wizzy,None,Unamused,ThugzBunny,Sunnyside,GrapeFlavored
