id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Headware,Item,Mouth,Outfit,Skin
3585,40,1513,0,https://solanart.io/nft/S6fQBbtp3W43kHyLEmFvPXnuSgc8wCmAytD2r6Y2FUn,Light Green,Yellow,Red Visor,Neon Naginata,Gas Mask,Tracksuit,Sand Cyber Suit
3587,37,2687,0,https://solanart.io/nft/4f8Ky17qxuhHaeC9eCe96hd3tKYR2dFU3fRDkYToZXuG,Salmon,Brown,Red Optics,Assault Rifle,Bamboo Bong,Green Wetsuit,Pink
3593,16,8597,0,https://solanart.io/nft/DfiFriJNC5FK6to49e8W7B3b56DXj5kkdZpZuak3tqq6,Red,Brown,Black Ski Mask,Spear,No Accessory,White Robe,Black Robotic
3596,1.8,6934,54.99,https://solanart.io/nft/8hfK8Eq6kfVerabJbzfLLQ9WKUwkB3eid1yqrmqLmaSq,Red,Stoned,Green Headphones,Baseball Bat,Cigarette,White Tshirt,Black
3608,50,466,0,https://solanart.io/nft/G1ZW9vFvvZn3Mh1f8hM2yDeUq11PXbkT34d7h6zw4tUH,Storm,Brown,Cowboy Hat,Hot Yakitori,Chewing Wheat,Bandoiler,Demon
3623,5,1692,46.58,https://solanart.io/nft/AgLDNaEFKv83GvwdS5xnjsbvY6gkAFXMHbc5eqRBUzw9,Blue Neon Kanji,Black Hypmotised,Eyepatch,Spear,Chewing Bamboo,Tracksuit,Blue
3655,2,1656,76.75,https://solanart.io/nft/HzRPVccUeuLdhBtZQvVVh5jb6uMiaXtn2Z39MAwNawm3,Light Green,Spirit,Blue Ski Goggles,Naginata,Beard,Hawaiian Shirt,Green Cyber Suit
3662,10,3632,0,https://solanart.io/nft/HaRJWqaet38KK3q1TYzNc6Md8V9BY5nP4q7q3bkKMq4d,Leaves,Brown,Black Ski Mask,Hot Yakitori,No Accessory,Blue Flannel,Galaxy
3663,1.5,3378,74,https://magiceden.io/item-details/8CfBpMdpvmfEHtTqy7rdmHsGZ2csk6UM5t652yD9tm6A,Dark Green,Stoned,Red Visor,Assault Rifle,Toothpick,BOGO Tshirt,Green + Blue Wiring
3670,9.7,7670,0,https://solanart.io/nft/7erSnaRDnUjy2mRo14Khmzd5WLVhfC6UKQqtVDkk5uV2,Light Gray,Yellow,Boony Hat,Naginata,Surgical Mask,Cyber Policesuit,Green
3676,50,2593,0,https://solanart.io/nft/7S8t1wz7VHXbGUSLPwPGtkdY8NtPkyWxcxhkx7s25BNQ,Blue Neon Kanji,Bloodshot,Rice Paddy Hat,Katana,Toothpick,Green Flannel,Black
3690,7.99,3541,8.36,https://solanart.io/nft/7QD94NdQCWgDiA8uBms447Fx9bmuxYmZkCtJxR1riXTJ,Blue,Yellow,Red Optics,Naginata,Cigarette,Blue Wetsuit,Spirit
3700,100,2246,0,https://solanart.io/nft/3SC6UViMMG9xtvogbVQPcVevi2BskSX1HhV42VNvrBSV,Dark Green,Spirit,Blue Singular Optic,Naginata,Toothpick,Advanced Blue Samurai Armour,Black
3701,12,1987,0,https://alpha.art/t/A7PhdBqKQXxw2p1DLwYL6hL8PLrZJD5t1gAJ7PRgjcbe,Light Gray,Possessed,Eyepatch,Leafy Stick,Chewing Wheat,No Outfit,Spirit
3702,1.2,8022,56.09,https://solanart.io/nft/A32JKnYHCdFbiRwhAXzw3f5nVkAjJwvvoHrpijd7giDT,Blue Neon Kanji,Brown,Black Ski Mask,Katana,No Accessory,White Tshirt,Green
