id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Head,Mouth,Neck,Soul-O-Meter
1465,6,819,48.72,https://solanart.io/nft/DWiaa9LCf678ftFNVm68ciaUVNFbGgZuJxdcKXAEBT1a,Pink,Shiba,Rebels Jersey,Drunk,Yellow Pimp Hat,Bubble Gum Boi,Doggy Bandana,Fly
1469,7.4,6595,11.61,https://solanart.io/nft/B3Jepmc7tK6XSEJRaEBuCCq8oYVFaAyyRvwdXZHtL5Cs,Purple,Collie,Rebels Jersey,Aviators,White Backward Cap,Tongue Out,Spiked Collar Necklace,Common
1505,4.2,2102,61.59,https://magiceden.io/item-details/2QuXRwY1Dg9MySATqNZjQWybuCasserRPNFPaBAJ4UyL,Yellow,Beagle,Blue Hoodie,Flower Print Glasses,Green Mullet,Bubble Gum Boi,None,Cool
1525,10,8963,0,https://solanart.io/nft/3boqHbCqoPpCzkJDFPQXa9DWnW9YPg4LntZKJG5CFWmb,Green,Hound,70's Vest,Bored,Black Bandana,Cigarette,None,Common
1583,5000,8233,0,https://solanart.io/nft/HtQduzMxxKBSVmcR6Dx3jjD5oUfZwvZXNVjBxTXzjZw3,Yellow,Shiba,Rebels Hoodie,Stoned Blue Eyes,Yellow Cap,Tongue Out,White And Black Bandana,Common
1616,5,2269,52.92,https://solanart.io/nft/3xAyMcpWa1gAAUUrcuHtdqMrejZNPmJUtipJZMGqE6f8,Psychedelic,Hound,Blue Hawaiian Shirt,Sus Look,Pink Bow,Silver Nose Ring,None,Groovy
1713,1.77,6986,66.35,https://magiceden.io/item-details/5GoTcAGKYzR8SnZeoJWANMYfArAvCUwe5Y93NxzPnqkm,Low End Theory,Hound,White Tank,Angry,American Flag Bandana,Closed Mouth,None,Cool
1771,1.69,8124,62.6,https://magiceden.io/item-details/6mPMCVW5P87n5YLJUUMbGt6NV6WHitYEPsFzwkyhTt8p,Pink,Lab,Tie Dye Tank,Monocle,Black Cap,Kiss,None,Common
1799,500,4300,0,https://solanart.io/nft/BE3oYVkAbFaN13KGzUmV1PrE7tyPKVBM3uAwjHLjiVeG,Blue,Shiba,Blue Hawaiian Shirt,Closed,None,Tongue Out Side,White And Black Bandana,Cool
1807,1.55,8217,63.63,https://magiceden.io/item-details/9QNHgTbDhxYZKaog2M9CDCUawSWNWJQo8uRYY8rxpygV,Blue,Collie,White Tank,Lab Glasses,None,Kiss,None,Common
1847,1.48,3911,81.55,https://magiceden.io/item-details/7EHhUC5d5cFjg6WxJ856a3iMNf9ALvt5QUmJ3KvGhwA1,Red,Collie,Red Hawaiian Shirt,Bored,Yellow Mullet,Tongue Out,Emerald Green Bolo Tie,Cool
1851,2.5,5527,64.89,https://magiceden.io/item-details/Eo6GfwHH5ptbUeQfSz7TYnhaQksgrn83NZbCnZk77JWj,Scooby Groovy Violet,Collie,Rebels Jersey,Cyborg,Black Hippie Headband,Open Mouth,None,Cool
1890,2.6,4221,69.11,https://magiceden.io/item-details/4RUx4m254nm7TKed7hUvSrJGcUpwwmFcQCGZx8WXHLgz,Blue,Beagle,Tie Dye Tank,Stoned Blue Eyes,Black Mullet,Open Mouth,Chain Link,Common
1948,3.5,8367,43.53,https://magiceden.io/item-details/9Cw97UQZywELbU46d6RdKeuFw8KajsQqfijbyXC8sVU6,Green,Retriever,Purple Tee,Lab Glasses,Black Bandana,Beer Can Boi,None,Common
2103,3.33,3075,66.4,https://magiceden.io/item-details/7L5N1DjJd5UqsiZCytUbW35kseQsPqGoGY68zxHEDNCW,Scooby Groovy Violet,Collie,Red Hawaiian Shirt,Cute,Rasta Beanie,Cigarette,None,Groovy
2122,10.5,7626,0,https://solanart.io/nft/75uP5kRDcytoH4MS8wRhgHG9RFPFajQxaAeuJSdiG7yT,Green,Lab,White Hoodie,Stoned Blue Eyes,Brown Straw Hat,Cigar,None,Common
2153,4.9,1132,58.47,https://magiceden.io/item-details/9CfNMRh2LQcPKuxHiE9HTpVS47ajs5eNf1MYpQJy4GCE,Purple,Hound,Blue Hoodie,Stoned Blue Eyes,American Flag Bandana,Bubble Gum Boi,Pink Bowtie,Groovy
2163,4.9,4675,44.3,https://magiceden.io/item-details/6V1Rf7BSzp5oXcmM8kS3wGWcGov67JRiNoA9X9EfWm6y,Low End Theory,Shiba,White Soul Dogs Tee,Stoned Blue Eyes,Black Mullet,Closed Mouth,White And Black Bandana,Common
2177,5,7375,32.49,https://solanart.io/nft/5kmsSzrHiwJJBxQorNuSGA5EZD3LKt93a7LYLArnBdX3,Pink,Dalmatian,Blue Overalls,Angry,Yellow Cap,Open Mouth,Black Collar,Common
2222,1.33,4457,80.87,https://magiceden.io/item-details/867Pi6nkbxBgeyfNgKbYU71PaAsLqPCv71sQWb8QB8FM,Purple,Shiba,White Tank,Monocle,Black SDC Cap,Open Mouth,Heart Collar,Common
2249,100,8146,0,https://solanart.io/nft/EPNANCBd7rCxif8y5Eo2ygytySUj4mS7nT5qBFXZkrDK,Psychedelic,Shiba,Plain White Tee,Drunk,Brown Straw Hat,Kiss,None,Common
2271,4999,1016,0,https://solanart.io/nft/BWH1EPmUyNyjX7UfdC7Zwsg2XgkGQZYwZNFdo4Y1YsCr,Blue,Retriever,Lab Coat,Circle Sunglasses,Black Rock Locks,Cigar,White And Black Bandana,Groovy
2293,15,2915,0,https://solanart.io/nft/Dfo8KUSGQGyfh9VWPiivPhGsWrGo3zFE9VRZ2997VC2,90s Pop,Beagle,White Soul Dogs Tee,Angry,Black Mohawk,Closed Mouth,Black Collar,Cool
2297,3.29,9127,42.58,https://magiceden.io/item-details/FbVxRfGhbAuvpmmkwMuBzhpNrVRW7r56GGu6VimgcWeU,Yellow,Collie,Black Overalls,Lab Glasses,Brown Straw Hat,Open Mouth,None,Common
2302,3,4452,64.19,https://magiceden.io/item-details/Hj9XFLEGBpF9xj6oaBTRPQs9EmLze98oSLR9BcJMBJzg,Low End Theory,Dalmatian,Purple Tee,Pilot Goggles,Black Backward Cap,Open Mouth,None,Cool
2312,1.55,5270,75.42,https://magiceden.io/item-details/3PKkkAqdcTcJXhbNoUes3aX3PHFgFbfEDXLHCyVJvbwZ,Scooby Groovy Violet,Retriever,Black Grateful Dogs,Angry,Black Bandana,Cigarette,Black Bowtie,Common
2344,4.8,336,62.66,https://magiceden.io/item-details/64Gnt62MLt384f1M8sKBMMMdDaZen6wEjmfewardTE7j,STAT7,Collie,White Soul Dogs Tee,Pit Vipers,Green Mohawk,White Bone,Swirl Guitar Pick Necklace,Groovy
2348,50,4015,0,https://solanart.io/nft/Bpyp7dU9aqoQhSZSzgzmyMvTQqAxEVVvbRhckxEsnfrP,Pink,Collie,None,Bored,Red Cap,Open Mouth,Gold Guitar Pick Necklace,Groovy
2360,3.99,6094,47.72,https://solanart.io/nft/3WQzN2f4Wnq6nxx24xXH8yhHTw7ihsVSAXVJBREYXmuv,Red,Dalmatian,Checkered Tee,Happy,Black Hippie Headband,Tongue Out Side,None,Common
2441,2.2,9632,51.46,https://magiceden.io/item-details/J2y7xwTugpPgedF9hpyvN5DoAgCUUg1q5fVeKCMLq7r1,Red,Lab,Blue Hoodie,Happy,White Backward Cap,Kiss,None,Common
2444,150,2003,0,https://solanart.io/nft/5vyDSkwE7Mxb2TBsbiJiGo6UvueRaj1nuz1y59xZdg7H,Orange,Lab,Red Hawaiian Shirt,Pilot Goggles,White Backward Cap,Gold Drumsticks Boi,None,Fly
2449,2.5,6544,60.82,https://magiceden.io/item-details/8JLMHZEra9U1oQAmqSKHPLS38B92tsZumSrvkydVAuiK,Purple,Lab,Plain White Tee,Cypher Punk,Yellow Bow,Cigarette,None,Cool
2487,3.5,2031,68.87,https://magiceden.io/item-details/HAd5fvFToFjXeKCbDbHBZaobo2xy7Ao2MHa8w1oQ1Mqn,90s Pop,Hound,White Soul Dogs Tee,Aviators,Black Hippie Headband,Cigarette,Pink Bowtie,Cool
2518,1.755,8571,60.16,https://magiceden.io/item-details/7EfXu3KN8etLBTegNrwWW5wT1RmZTBGZpCbyddEegwmX,Red,Retriever,Karate Gi,Angry,White Bandana,Tongue Out,None,Common
2529,3.9,4868,53.52,https://magiceden.io/item-details/5C278T45X9BntYRhCnr4h1BnSWYQm52iE921hgok5bAW,Blue,Beagle,White Tank,Closed,Pink Hippie Headband,Tongue Out,Junk Yard Chain,Common
2533,3.2,8744,45.02,https://magiceden.io/item-details/cHHTShAi4U9RYjR15Vy9HoVZvJZDiXSBXmAoG4Bgtug,Pink,Lab,Black Overalls,Closed,White Bucket Hat,Closed Mouth,None,Common
2580,3.21,7980,47.97,https://magiceden.io/item-details/52C7DTAbHdM2jU8Vce1D1EGZxQrucVjhexhUjDgruiuh,Red,Lab,Black Tee,Happy,None,Pipe,None,Common
2601,4.45,6688,40.74,https://magiceden.io/item-details/8UWupyvHsjr853ABaA6kQkDjgGQ7q6bPWrP1i4nppLoq,Purple,Collie,Blue Hawaiian Shirt,Heart Sunglasses,None,Chewing on Straw,None,Cool
2613,10000,5691,0,https://solanart.io/nft/HLJvHRzbq9FtowMRPVbE8rVwQueVeRnJiCRH3sX2WyJE,Red,Collie,White Soul Dogs Tee,Bored,Green Mullet,Tongue Out,Spiked Collar Necklace,Common
2667,3.99,2132,63.57,https://magiceden.io/item-details/7QB3ryp6oFt1GAK3Up7MLQWvUSJYHKdGHnaFBofwwoFm,Purple,Hound,None,Aviators,Black Hippie Headband,Burger Boi,Ruby Bolo Tie,Cool
2719,1.799,8820,58.72,https://magiceden.io/item-details/276NmSYL9fR5XofhYALzZM6agEKfqLF476i6nMbDTVqP,Orange,Lab,None,Stoned Blue Eyes,Le Fez,Open Mouth,None,Common
2726,3.9,9398,35.4,https://magiceden.io/item-details/6VMNYHZ1bdNyYmwj3k6Qph661NbZrzfrwDpGbGngEqmw,Blue,Retriever,Plain White Tee,Angry,Blue Hippie Headband,Closed Mouth,None,Common
2807,1.5,7644,66.42,https://magiceden.io/item-details/EeBwE7ev2sN6xFvfuCytuBFfGGRCAQ5F1Ctm1ZdM1nMQ,Orange,Lab,Black Overalls,Happy,Pink Hippie Headband,Silver Nose Ring,None,Common
2895,100,7042,0,https://solanart.io/nft/EdNFnbawswrWBr43tjiKcCGjw6NW9bdDmiZiHiSKuuku,Scooby Groovy OG,Lab,Black Grateful Dogs,Sus Look,Blue Hippie Headband,Tongue Out,None,Common
2899,3.9,5945,49.22,https://magiceden.io/item-details/7B8tbL5bpJNXKRmaHDWwQAapgbPYybVrXXci66HXd3sX,Blue,Retriever,Silk Shirt,Stoned Orange Eyes,Black Newsboy Cap,Tongue Out,None,Cool
2903,2,5965,68.14,https://magiceden.io/item-details/7FTaxYHZ97u4a4jhLonKKAGJErJvRhtLwJJTQKd2nhw,All Dogs Go To Heaven,Hound,Plain White Tee,Happy,Native Pattern Bandana,Kiss,None,Cool
2992,2.19,1781,82.97,https://magiceden.io/item-details/DJc1cvApDgKoxadT2HBsPKVvBvsxdCcoHUt3oNHMzkSY,Orange,Retriever,Suited,Happy,White Bandana,Burger Boi,USA Bandana,Cool
3008,2,9348,54.6,https://magiceden.io/item-details/EjijpHUhCnSfovECBb4hY1vFapELf3JL42FqhMk5VYeH,Orange,Collie,Rebels Jersey,Happy,Blue Bow,Open Mouth,None,Common
3033,1.77,1996,86.31,https://magiceden.io/item-details/E6wu8Q1rdU69QihBby61GJ4wPkoT4Sn7Q7xcVhoarwRn,Scooby Groovy Green,Lab,Black Tee,Closed,Black Racing Helmet,Tongue Out,Heart Collar,Cool
3051,4.5,2627,56.49,https://magiceden.io/item-details/WNepNzfivzJgPwgac3RrGQE2cW4PrFpLiSVi4uz8TNv,Miami Vice,Collie,Purple Tee,Drunk,Green Mullet,Tongue Out Side,Doggy Bandana,Cool
3083,4.5,6507,40.97,https://solanart.io/nft/jWtandcjGfSCu8ntKBiHBT8C4Fs3Zy9TqYPyj1tDncw,Green,Hound,Black Grateful Dogs,Eye Patch,Black Rock Locks,Tongue Out Side,None,Common
3119,1.62,4353,78.38,https://magiceden.io/item-details/qXeMEgmGUhJky7KXZQiBMoY3u8VaUAeaiCjpgaVTUR1,Orange,Lab,White Tank,Angry,Woofer Beer Trucker Cap,Open Mouth,Disco Ball Necklace,Cool
3193,4,9636,33.45,https://magiceden.io/item-details/AnxRVTTq23zLZFac3CDT9KBa3yXuHvcqFnoEyBA6raiS,Blue,Retriever,White Soul Dogs Sweater,Bored,White Backward Cap,Chewing on Straw,None,Common
3213,15,1502,0,https://solanart.io/nft/6cxTcPc3EzxmZxjegBMCMnRjRVFTQMPpFfx1m1WYB1zy,STAT7,Beagle,White Tank,Happy,Yellow Bow,Cigarette,Turquoise Bolo Tie,Cool
3215,3.5,5822,53.71,https://magiceden.io/item-details/2xPRyQLtbMRuoQVffgK6wyZedhsLFaxTV9W3j9175oGK,Red,Lab,Tie Dye Tank,Happy,Yellow Cap,White Frisbee,None,Cool
3257,10,7507,0,https://solanart.io/nft/FzoFVXZBo3bitxmhnCtRKMNvWkXQGySjGkFDUgUCWUtf,Pink,Collie,Black Soul Dogs Tank,Aviators,None,Open Mouth,White And Black Bandana,Common
3277,4.9,5265,41.94,https://magiceden.io/item-details/7GWSv4WtrCJF8RgUg7p6HkupXnc9xhy4hmot6xrpwFLX,Green,Shiba,Black Overalls,Monocle,Green Mohawk,Open Mouth,Doggy Bandana,Common
3314,5,4650,43.4,https://solanart.io/nft/DbcoT1j8MtzfYEjbU6iMese7CS2oMft3Js9MooSQjmbE,Psychedelic,Lab,Tie Dye Tank,Circle Sunglasses,Red Cap,Tennis Ball,None,Cool
3366,2.3,7335,59.65,https://magiceden.io/item-details/GWJYgrLjqY1bP8CVdarPeHs7k6XbgabP6d4AnZvdP3Ab,Blue,Hound,Red Hawaiian Shirt,Angry,Yellow Cap,Tongue Out,Black Bowtie,Common
3402,3,1296,76.81,https://magiceden.io/item-details/4JNCXUhgYZfijCNNDP3yQgyGPrRPqKAxKsxk2mLmqTKN,Psychedelic,Retriever,Purple Tee,Stoned Orange Eyes,Black SDC Cap,Beer Can Boi,White And Black Bandana,Groovy
3443,1.49,8520,63.01,https://magiceden.io/item-details/87c3m3K59HNuykxPqqSCUQo3H4TX4DFSCDBhRvLDnxbc,Orange,Shiba,Blue Overalls,Bored,Pink Bow,Chewing on Straw,None,Common
3454,2.2,7431,60.27,https://magiceden.io/item-details/C7t1kMdsesnYLjHCG2MbgnHMEmKsvPMnd1TAC3GbGNWm,Yellow,Retriever,Black Overalls,Drunk,White Backward Cap,Tongue Out,USA Bandana,Common
3461,2.19,1767,83.03,https://magiceden.io/item-details/3V1EmMBhU2SMQkhtjtK5skRQXaEsPF3LJtv9Cbq41kkU,Blue,Hound,College Sweater,Heart Sunglasses,Brown Straw Hat,Chewing on Straw,Black Bowtie,Cool
3560,2.2,1217,85.13,https://magiceden.io/item-details/Bw7YpADoG7HsNRpjGcBgKeqvE7d9iTdV2QrRSEPwRBqF,Red,Collie,Black Solana Tee,Stoned Blue Eyes,Party hat,Silver Nose Ring,Peace Sign Necklace,Groovy
3605,1.7,7528,64.88,https://magiceden.io/item-details/GbXL6NYn5BN9XvbSHC8uQPND2VeAYs9ryE9pwSyzUozL,Green,Collie,Red Hawaiian Shirt,Happy,Woofs World Trucker Cap,Chewing on Straw,None,Common
3610,2,7936,60.25,https://magiceden.io/item-details/8vtpFbEdnBs4SAGW7AUDjG17qbVKuAPFH87pXND5VfZq,Blue,Lab,None,Stoned Blue Eyes,Black Racing Helmet,Chewing on Straw,None,Common
3622,10,9614,0,https://solanart.io/nft/HeMV4H1UzBZbLdq9w2V1ZGqdfTqoJ9sQL4NkKZfpxZDv,Green,Beagle,Rebels Hoodie,Drunk,Red Cap,Tongue Out,None,Common
3625,4,1927,64.29,https://magiceden.io/item-details/GVyJiha4gb2aVTTY84XFsq6uzymMAW4KjqgAXDm84kDd,Yellow,Dalmatian,70's Vest,Laser Eyes,Bookie Visor,Tongue Out,Black and White Bandana,Cool
3689,50,5429,0,https://solanart.io/nft/3mWc2PdnHA96JkwUmrx7pmJrmJWTLSMS8eXw415nyQTV,Psychedelic,Collie,Rebels Hoodie,Circle Sunglasses,Black Bucket Hat,Beer Can Boi,None,Cool
3713,4.95,9509,24.46,https://magiceden.io/item-details/G4S1DDk3fyqNkm8qWeCJmRBtjaaCXyfbiPDuxqQJKJmD,Red,Collie,Black Solana Tee,Stoned Blue Eyes,None,Open Mouth,None,Common
3766,3,4751,62.99,https://magiceden.io/item-details/4WyTnZokevGyQGBBKczGKQUs8mBVgVZ7MGfVZAzukp3H,Scooby Groovy Green,Hound,Blue Overalls,Stoned Blue Eyes,Black Hippie Headband,Open Mouth,Black and White Bandana,Common
3835,5.99,1069,47.82,https://solanart.io/nft/9TEMSMcWSyGBoqQrm55to5eynjGEDbkmkwo7dHFCNdpx,Scooby Groovy Green,Hound,Black Grateful Dogs,Pilot Goggles,White Backward Cap,Tongue Out,Black Power Necklace,Fly
3880,17,1836,0,https://solanart.io/nft/A3wuXzz5c6dhj2Bourre1gVwC9mavn1vNVPny9PZ38tK,80s Rock Lightning,Retriever,White Tank,Stoned Blue Eyes,Yellow Cap,Tennis Ball,Swirl Guitar Pick Necklace,Groovy
3884,10,7003,0,https://solanart.io/nft/GDT8ycmYDKtEBtuEVCG4ouuP9YTt22uvaG2k3x9nooSb,Orange,Shiba,White Soul Dogs Tee,Drunk,Red Headband,Open Mouth,Chain Link,Common
3909,2.29,9595,50.71,https://magiceden.io/item-details/DRyzDBs6oAV5svWNUDfGC11UuhomZedcaThd5vQNyxJX,Pink,Retriever,Silk Shirt,Happy,None,Closed Mouth,None,Common
3950,1999,7632,0,https://solanart.io/nft/DhnRxDDnHErm6hFYiJSx4qJebgik9ZmxSvBjpE9BS5y1,Red,Hound,None,Monocle,Black Backward Cap,Tongue Out Side,None,Common
3951,1.3,7339,69.64,https://magiceden.io/item-details/CkXzjhBMiftq88PqjZfkGjq2Warfy7UGKd5x7tLGi8oF,Blue,Beagle,White Tank,Happy,Red Cap,Open Mouth,Black Bowtie,Common
3978,3.3,4887,59.45,https://magiceden.io/item-details/4VXeN2rEU93ohRuDBXeATCTohYtgz9c6gvVPcTK67Mw4,Purple,Shiba,Blue Overalls,Cyborg,White Backward Cap,Closed Mouth,Pink Bowtie,Cool
3987,50,2216,0,https://solanart.io/nft/9BTRZun5moHBSY4Goy1HqRfiBCV92vZJWaZoqAUc9S5H,90s Pop,Beagle,White Tank,Circle Sunglasses,Black Bandana,Pizza Boi,Chain Link,Cool
3990,6.5,7155,18.37,https://solanart.io/nft/26rXm8yx3Xr36S65SZvbCoe7pSF1BoRrv7ujbvTAE89X,Yellow,Beagle,White Soul Dogs Sweater,Aviators,Uncle Sam Top Hat,Open Mouth,None,Cool
4015,1.33,9850,59.29,https://magiceden.io/item-details/4EB8utdHM48CnUT8VR1bynZD4eeXRvEYRscojVado5Tx,Red,Hound,White Hoodie,Stoned Blue Eyes,Red Cap,Open Mouth,None,Common
4042,1.75,9568,56.22,https://magiceden.io/item-details/Gsf292GEoH69bPRSRsHbZrFL8CT4vKSpiQc8vHucxLLz,Green,Hound,Lab Coat,Happy,Black Bandana,Tongue Out,None,Common
4071,3,6383,56.46,https://magiceden.io/item-details/GoZArRMzpgEpta8GFAFFp4XpraKKZpY3Dj7GRCa131y6,Yellow,Collie,Checkered Tee,Pilot Goggles,White Bandana,Tongue Out Side,None,Cool
4090,3,4264,64.94,https://magiceden.io/item-details/GCEFgdPXw65u7tTxneSwm4UqjCTpLwBqTHwM8EmViTdE,Yellow,Collie,Black Soul Dogs Tank,Laser Eyes,Black Cap,Tongue Out Side,Black and White Bandana,Cool
4107,3.8,4035,57.86,https://magiceden.io/item-details/BKn1xNdzXireWdNyE8n4sG618MdCsoS31BDEAxsjU2HH,Purple,Lab,None,Bored,Yellow Mullet,Chewing on Straw,Heart Collar,Common
4122,1.2,5299,78.8,https://magiceden.io/item-details/7qRVAE7MoZo8i3zEwQaHaGuYYWxu36JRSSgAyC8corrX,Orange,Hound,Black Soul Dogs Tank,Drunk,Black SDC Cap,Open Mouth,USA Bandana,Common
4125,2.99,401,80.5,https://magiceden.io/item-details/8n9PdP1PqL8bLGJ9o8TVapD4tAe6acUYbLPibyMp4b8M,90s Pop,Lab,Blue Hawaiian Shirt,Cute,Black Hippie Headband,Joint,Black Bowtie,Groovy
4148,2.35,4196,71.71,https://magiceden.io/item-details/B88iVUyvaLwUsVhMUPuC5C3brkWHbjtDm2YM6muGdpNL,Purple,Collie,Dogidas Black Tracksuit,Monocle,White Bandana,Closed Mouth,White And Black Bandana,Cool
4205,3.5,7389,47.44,https://magiceden.io/item-details/EfbCPdx5uU1RqjCxoAGj62YRDFGLWUxYpmrPrzNNXTsi,Pink,Hound,Black Grateful Dogs,Drunk,Black Backward Cap,White Bone,None,Common
4211,4,5335,50.66,https://magiceden.io/item-details/S8AM5CxrRJxiZHRVpNVET6JXsPgRTkh9YNhc6Fj6CaM,90s Pop,Retriever,White Hoodie,Sus Look,White Bandana,Open Mouth,White Bowtie,Cool
4330,4,6049,47.8,https://magiceden.io/item-details/3K8xEyBmd227GEzh7YdJvoG6HSSLGUdm6MSm1z5DBUv6,Blue,Lab,Plain White Tee,Angry,White Bandana,Chewing on Straw,Emerald Green Bolo Tie,Common
4352,2.5,5109,66.56,https://magiceden.io/item-details/8qxtLETVKhLpB7rcYZLuUqrEgpQMjJZcbMo2HLaCXaid,Purple,Hound,Black Solana Tee,Closed,Black Mullet,Tennis Ball,None,Cool
4368,1.9,9028,56.88,https://magiceden.io/item-details/5YfWjRMpLRh6hV7ZYHLEJMfSYxNwHbq81pHh7nh58S8e,Red,Shiba,White Soul Dogs Sweater,Happy,Retro Headband,Tongue Out,None,Common
4385,3.33,3393,65.13,https://magiceden.io/item-details/8n8mYUywxfvkhPfd6B4uyVGdNqL5q2zzRkZkb3FGkhiu,Green,Beagle,White Soul Dogs Sweater,Drunk,Woofer Beer Trucker Cap,Closed Mouth,Disco Ball Necklace,Cool
4409,4,2986,60.05,https://magiceden.io/item-details/9Sk5KXx1NyNUkMp8GfPTrAzaDTgPJ7zMmzKRs9DGN7Aa,Blue,Lab,Black Solana Tee,Drunk,Red Cap,Pipe,White And Black Bandana,Cool
4428,1.9,7117,64.53,https://magiceden.io/item-details/GbmBvQJUhuF9zkffo8UaBZbf7R8uFWBx7cGTxgycvmxA,Orange,Collie,Plain White Tee,Stoned Blue Eyes,Brown Straw Hat,Closed Mouth,Bone Necklace,Common
4437,2.98,3299,69,https://magiceden.io/item-details/qbPShzQ1ovXuGe1NsbrpebqRYDuHETRLqjCrtnWGmTt,Red,Beagle,Rebels Jersey,Angry,Uncle Sam Top Hat,Tongue Out Side,Junk Yard Chain,Cool
4447,1.55,7195,67.71,https://magiceden.io/item-details/EPG3ScRyzuWMCbBQBPBqzTu32iKzNqyxeQ5rHg63pPro,Yellow,Hound,Blue Hoodie,Angry,Brown Straw Hat,Beer Can Boi,Chain Link,Common
4469,2.3,7357,59.57,https://magiceden.io/item-details/DZAvYUuWsKKE4ZsXerM9aD961NE2PWN6HhmxGVWJmocX,Psychedelic,Lab,Blue Hoodie,Cypher Punk,None,Closed Mouth,None,Cool
4507,4,9047,35.8,https://magiceden.io/item-details/AEfDy38o5Gzt8gLFLXdpW8Z11x9GAmK5YRSWkrLc1Mpj,Orange,Retriever,White Soul Dogs Tee,Happy,Green Mohawk,Tongue Out,None,Common
4597,2.5,8434,53.26,https://magiceden.io/item-details/CEVnFktxDAdwBEs3rPYk2qupNpekjT5rZqCHhwtowfxn,Red,Lab,Blue Hoodie,Cross,Yellow Cap,Cigarette,None,Common
4616,2.2,6342,64.63,https://magiceden.io/item-details/EFJX4JBXLfGbnq8k8EzTZ5L13rxxdMUt2YaHSwTedD1V,Scooby Groovy Green,Dalmatian,Black Overalls,Angry,None,Pizza Boi,None,Common
4617,3.3,2809,67.76,https://magiceden.io/item-details/8yXegZKeXaKbGbvTGsde7jRBEbtCHnkqyCCcBHoEreXC,Low End Theory,Retriever,Black Grateful Dogs,Circle Sunglasses,Red Headband,Open Mouth,Emerald Green Bolo Tie,Cool
4635,3.25,3606,65.07,https://magiceden.io/item-details/HC8vRK626bo6LeKsN78sCq6pMoiKysRLqMmuUeQbQsoN,Orange,Hound,Lab Coat,Monocle,None,Pizza Boi,White And Black Bandana,Cool
4637,4,9303,34.78,https://magiceden.io/item-details/7RfWoeXYxhLNYP2UNimFNfRq9WuMqFxtd8qwySTvSTaQ,Red,Collie,Black Soul Dogs Tank,Angry,Black Backward Cap,Closed Mouth,None,Common
4647,3,5722,59.11,https://magiceden.io/item-details/6pGkMNBfCEe1a9VLGfQy1mf4f1ET7r7BNnt3TbbYzpJi,Green,Retriever,Black Solana Tee,Stoned Blue Eyes,Yellow Cap,Kiss,Black Collar,Common
4656,3,5594,59.62,https://magiceden.io/item-details/c5zoroX8evvJzmJunrQiwJSTmu2xLMvvmrSsYZALuHy,Red,Dalmatian,Rebels Hoodie,Drunk,Pink Mohawk,Silver Nose Ring,None,Common
4688,2,5736,69.05,https://magiceden.io/item-details/MstQqF6T9TWeDJLfYiK2Kc8S7aAZ4tr5BgYNKVrecnJ,Yellow,Hound,Blue Hoodie,Happy,Black Hippie Headband,Tongue Out,Emerald Green Bolo Tie,Common
4689,6.5,1253,41.99,https://solanart.io/nft/W7g8cAWL5hxBxGm2X5kg5WuXp7bcDh3gatoN7YKxbdo,Scooby Groovy Green,Hound,Blue Hawaiian Shirt,Aviators,Black Soul Dogs Cap,Cigarette,Black and White Bandana,Groovy
4695,8.5,202,26.19,https://solanart.io/nft/HzqdUgAKogxajoebPRpPxz7adPPAFKy1n8KpRX5ZPYSU,Red,Beagle,Red Hawaiian Shirt,BTC Glasses,Black Mullet,White Bone,Spiked Collar Necklace,Fly
4718,7,450,40.2,https://solanart.io/nft/HmktRVSDd8Bninueuioz1W2WL7ofGZnHFKK582dDRRLB,Low End Theory,Beagle,Karate Gi,Bored,Retro Racing Helmet,Chewing on Straw,Chain Link,Groovy
4726,4.269,4116,52.84,https://magiceden.io/item-details/Ds1En8kUx9rZfd1c7PrWyDAMrATFt51QAoVvaxFrVYiV,Blue,Hound,Tiger Pimp Coat,Aviators,Black Bandana,Tennis Ball,None,Groovy
4765,1.88,9883,53.66,https://magiceden.io/item-details/9Yn8qLRNFdNJjrJNWdPypmYm8orYfTBMjnPGZj1AiZrP,Purple,Lab,Blue Overalls,Angry,Brown Straw Hat,Tongue Out,None,Common
4856,2.5,6018,62.92,https://magiceden.io/item-details/EwpQxRLkWXwgmxrRv692K8kPXNgeZj3uEuD63q3GBg2h,Orange,Shiba,Karate Gi,Aviators,Red Cap,Chewing on Straw,None,Cool
4873,3,4866,62.53,https://magiceden.io/item-details/51v3Q4cZXUd6vu95xyZuFP2nA94HS6hL7rwCQQp3X9Au,80s Rock Lightning,Lab,Purple Tee,Cypher Punk,Blue Bow,Closed Mouth,None,Cool
4879,3.825,2556,63.52,https://magiceden.io/item-details/F76kB3MyovMpAimkWrbkuJEc12ojtZiGLfwTDfU821Bc,STAT7,Lab,Blue Hoodie,Closed,Yellow Rock Idol,Burger Boi,None,Groovy
4884,1.47,9353,59.88,https://magiceden.io/item-details/Dudn4U9Krb7ZrE47bLHCQVnCivQdJdLhtaYTVu16mnNN,Purple,Shiba,Black Overalls,Bored,Black Soul Dogs Cap,Open Mouth,None,Common
4914,4,9998,32,https://magiceden.io/item-details/Hv7RQhpnLsHUfpsPWUfw1tZEibCpfbUVAbrcDNBS8GGE,Blue,Retriever,White Soul Dogs Tee,Drunk,Black Bandana,Open Mouth,None,Common
