id,price,moonRank,💎 score (%),storeURL,Background,Body,Body Accessory,Colour,Dog,Glasses,Hat,Mouth
3093,3.2,1259,77.41,https://solanart.io/nft/7d3wBdQoJYWJnmbyfsNEFsPE1H8p4QcCxU3aMAmf22jo,Orange,Yellow Tracksuit,Orange Bandana,Blush,Puppo,3d Glasses,Red Beret,None
3094,3,2644,69.42,https://solanart.io/nft/54Dif4tArYtWTzy1bd29j1Nga5huFeEiQCVeE6LYg7fE,Green,Green Uniform,None,Brown Bear,Pommy,Eye Patch,None,Cigarette
3102,11,175,7.24,https://solanart.io/nft/GCbx6B23BKX37yBre6z9mtxAsSQhU2fSDwfQjf4LVGMU,Cyan,Green Tracksuit,Green Bandana,Aquarium,Imposter,None,Green Beret,Facemask
3116,3.98,2690,59.29,https://solanart.io/nft/6f9KjGuqHNZWdTv6z1L1yxvbPAcdboT9U5WccFyBDMKA,Blue,Green Tracksuit,None,Silver,Schemer,None,Green Beret,Facemask
3120,2.09,4978,61.68,https://solanart.io/nft/4bBBKSHspKkqotFf341W29LQEov2wssRsN1kXzTJGTyW,Blue,Green Uniform,Green Bandana,Brown Bear,Groucho,None,None,None
3127,6.2,521,52.74,https://solanart.io/nft/GnWdPsuvcWj9R7xFvBiAu74mFukjvU5RXRP98dmGPvrh,Cyan,Green Tracksuit,SOL Collar,Twilight Beach,Schemer,Solid Eye,None,Cigarette
3137,4,413,75.52,https://solanart.io/nft/CwYg4uCJrMWhdiKQgdBXbDJ669Q6YN6kt1YLaTynmoNa,Yellow,Blue Tracksuit,Red Bandana,Salt N Pepper,Scar,Eye Patch,Green Bone Hat,Tongue Out
3152,6.3,493,51.94,https://solanart.io/nft/3Q5uLQmhsZvimp4yiESJCd1UjgXuZcnbuXsne2uwmh5c,Blue,Green Tracksuit,BTC Collar,Albino,Crazee,Viper Shades,Green Beret,None
3312,5,610,64.1,https://solanart.io/nft/Df9HCnFrmczZ6218LWy6tBzDkwi2VTPRFbAmBWeERszH,Cyan,General Uniform,None,Chocolate,Groucho,Eye Patch,Red Beret,Stogie
3328,2.62,5135,55.24,https://solanart.io/nft/59ZQH7LcLgBUMY12LqZri2moq3M4qYUf8xxnmwsUXSaG,Orange,Green Uniform,None,Ginger,Chinchin,None,Red Beret,None
3353,7,387,45.71,https://solanart.io/nft/8h8wk9PfTLAWeFwrypyyoLNtW7xCSk1eNsq9LFqwPx7s,Moonrise,Leather Jacket,None,Ginger,Oldboy,Viper Shades,Blue Hat,Cigarette
3376,3.45,3049,62,https://solanart.io/nft/6HYS4ryB5Un1pBskQzWk8soeNSNhKue67WgACqcYSjA9,Blue,Green Uniform,Green Bandana,Brown Bear,Crazee,None,None,Pipe
3415,1.89,5178,62.23,https://solanart.io/nft/8Rq6QmeqUiQMhhPVrZmKZ3Des6r4M9GBwqKV97RSQPiB,Orange,Blue Uniform,None,Twilight Beach,Groucho,None,Blue Hat,None
3426,3.05,2028,73.37,https://solanart.io/nft/HJDY3rTRoUPG3pRodzz1dcQhNQ1tjKsvmgWTLee1gP4J,Pink,Green Uniform,Red Bandana,Coco Cream,Shibe,Eye Patch,Red Beret,None
3440,3.5,1582,72.08,https://solanart.io/nft/4CqwuiFEwpXtxmw2K6z1teEip6weL2hTu112DKpJuyMV,Cyan,Winter Uniform,Green Bandana,Bright Red,Sniffy,None,Green Bone Hat,None
3443,10,150,17.42,https://solanart.io/nft/CuDYakZfsZSoYJXDjjuhdfW1ADUkPSgTtGK74fhuQid9,Cyan,Orange Uniform,None,Ginger,Chinchin,Robo Eye,Green Bone Hat,Respirator
3448,3.5,2485,65.57,https://solanart.io/nft/HYM1zx1xYST5j9mDBJ9Ud5r1DwYruNhDfZiRJnTCHyxm,Orange,Blue Uniform,None,Blondie,Shibe,Viper Shades,Green Punk,None
3472,6,3305,34.65,https://solanart.io/nft/Bcjanb15UANUCcjnZsxGRd56h6FvvEEUJv3Cc6Uiq3Xp,Blue,Blue Uniform,None,Silver,Schemer,Viper Shades,Cowboy Hat,None
3488,15,51,0,https://solanart.io/nft/Ez8BHnDXkFxXFb4vxT14T2poWgnQL7uwJqhiZBvTe8dy,Cyan,Golden Armor,Orange Bandana,Ultra Violet,Pommy,None,Blue Bone Hat,Pipe
3519,3,2590,69.81,https://solanart.io/nft/CJPT6nrPgMebYKTHWV5GGbUwBGZ7WbBD5Y7juPFbR3Ru,Green,Sneaking Suit,None,Coco Cream,Pommy,None,Garrison Cap,Tongue Out
3539,10,109,17.71,https://solanart.io/nft/HPcWp3nHqdyUrhyfw5pHT36v7HxefVDVsmbz7HMXffzs,Green,Sneaking Suit,BTC Collar,Blush,Chinchin,3d Glasses,Green Bone Hat,Stogie
3699,3,1467,77.91,https://solanart.io/nft/EDNe31SEYNJVbufTbnm6eWHg2zkACpEkM7VaaSCAdeAF,Blue,Blue Tracksuit,Green Bandana,Brown Bear,Puppo,None,Green Beret,Cigarette
3735,6,5109,21.63,https://solanart.io/nft/62jfP3NVkVV4fFeNGeZPzHUnQpG3A4E6ySZ82HA3GAng,Pink,Orange Uniform,None,Blush,Pommy,None,None,None
3762,30,3,0,https://solanart.io/nft/GqafUrXfZ8octdZSYMFqPa13uZZVrfeiWSV7kjG6ZcxJ,Blue,Winter Uniform,SOL Collar,Twilight Beach,Skully,VR Headset,Red Punk,Cigarette
3785,4,2145,63.02,https://solanart.io/nft/FwRuuzPXy7qosSCip2meY1XwMmZTw4nUsSW8NvrFHcVE,Pink,Blue Uniform,Red Bandana,Blush,Rage,None,Purple Hat,None
3815,5.25,3068,43.86,https://solanart.io/nft/FfzQbC7bpiptKEbNYcasZToaD8FC1eoZ95QXdCqLRWFr,Cyan,Blue Uniform,None,Blondie,Chinchin,Glasses,None,Tongue Out
3822,10,173,17.25,https://solanart.io/nft/8AyHyFVU9HkVRBLTAa6hV4YtgMDQ13epYf4xbgDLMwLC,Green,Green Tracksuit,Red Bandana,Aquarium,Puppo,Solid Eye,None,Solana Facemask
3848,5.5,5050,27.06,https://solanart.io/nft/43ndUdpMyPDcmXmXQqGXwHYahcFPqLcJQYXFtuA9QoEi,Yellow,Green Uniform,Blue Bandana,Chocolate,Schemer,None,None,None
3864,4,2119,63.21,https://solanart.io/nft/4zktMLKpzFqr9TfruvVCccDuSnJ2e52XaV3Lwm6xCuFK,Yellow,Red Tracksuit,None,Silver,Chinchin,Cyber Visor,Blue Bone Hat,None
3873,1.89,3033,77.71,https://solanart.io/nft/Afdk4W1fAFLin4cbW1mqwStAYmaFCC8sPKJ25qqLGRte,Orange,Red Tracksuit,None,Coco Cream,Oldboy,Eye Patch,Green Bone Hat,None
3881,25,2215,0,https://solanart.io/nft/AQ75y5ZLaNGNzHwbQfN193t5SQQMnL1Sx92As1xuabho,Green,Green Tracksuit,None,Brown Bear,Crazee,Eye Patch,Green Punk,None
3901,3.8,1654,68.56,https://solanart.io/nft/7xgVtBWYJEcpLrQegXVUrMrGxf9a4Aj51oRxyeM3MJzG,Green,Blue Uniform,Blue Bandana,Golden,Crazee,3d Glasses,None,None
3937,1.85,5543,60,https://solanart.io/nft/EXWPFxL97kTacnE3xwWbDTGcVSMyPBi12AjZkcd8z47c,Blue,Green Uniform,None,Salt N Pepper,Chinchin,None,None,None
3990,10,258,16.64,https://solanart.io/nft/FA8ArS7pZG2WBNxpUbCNb1mdACftFHFUGdB3hQWF9PGK,Pink,Blue Uniform,ETH Collar,Blush,Crazee,Robo Eye,Halo,None
3998,2.18,5518,56.88,https://solanart.io/nft/95ymKFLXZ58hmuABZs3x9DPr3fSFMSnRzSDtL8Sye8TG,Green,Green Uniform,None,Chocolate,Groucho,None,None,None
4115,6.5,1593,42,https://solanart.io/nft/8a4xK7p1NvencihNnTFgEheskDoFtJWcRdmRtTUmyPmh,Cyan,Blue Uniform,None,Ginger,Oldboy,3d Glasses,Blue Hat,Stogie
4140,3.2,3872,58.56,https://solanart.io/nft/2PjH6QahEhpbRWzvXGQqaaewE5PMudHJXuN6fzEKXFTA,Blue,Yellow Tracksuit,None,Aquarium,Schemer,3d Glasses,None,None
4153,10,221,16.91,https://solanart.io/nft/4dfEgpfEVBCDHcPKtU5farT91cYEeXCd8Ghd12kiWpom,Cyan,Golden Armor,SOL Collar,Coco Cream,Oldboy,3d Glasses,Garrison Cap,None
4199,6.7,4770,17.08,https://solanart.io/nft/uyBj1aFTCkMFApttMVynQ8dbwzRYycXphTufPTy95qg,Yellow,Red Tracksuit,None,Ginger,Crazee,None,Yellow Beret,None
4211,5,5301,30.25,https://solanart.io/nft/6QGiH5dQrxsShDBefqsKf3k6eXbWkWCrVDKNaEcCtTM7,Yellow,Blue Uniform,None,Aquarium,Schemer,None,None,None
4222,14,2731,0,https://solanart.io/nft/EBCLovvdvKEZWtZaLcyw5tQWxup1PEUanKN4xHC3BCmC,Green,Orange Uniform,None,Salt N Pepper,Skully,Eye Patch,None,None
4228,5.5,4633,30.07,https://solanart.io/nft/3tV524rUxLk7xHZVpVhSbTvdpZfbbSwKD1Uqf8qQVVkr,Pink,Blue Uniform,None,Silver,Groucho,None,None,Pipe
