id,price,moonRank,💎 score (%),storeURL,Background,Body,Body Accessory,Colour,Dog,Glasses,Hat,Mouth
685,12,82,0,https://solanart.io/nft/746h5sNpweHP2i83HSHPoPjL3RPpXyCzjTgEuQKHfAKR,Orange,Green Uniform,BTC Collar,Solana,Wolfie,Deal With It,None,Pipe
697,4.69,1657,59.64,https://solanart.io/nft/H7C7caEz4qGYJ7AcZiv3JLVifG8xEFFhyRC12pytyfqN,Cyan,Yellow Tracksuit,None,Albino,Shibe,None,Yellow Beret,Facemask
747,6,5138,21.42,https://solanart.io/nft/QWJ2fC3ZBrAZgxtSzZCRPYDs2XhAsZ5B4gWHCvdWydq,Cyan,Blue Uniform,None,Ginger,Schemer,None,Blue Hat,None
753,5,644,63.85,https://solanart.io/nft/46rTFqthrMve7749UtP4AQqdXZC1WpNP8gqVS9FxV7ZZ,Orange,Leather Jacket,None,Chocolate,Pugsly,3d Glasses,Green Bowler,Stogie
809,2.9,3178,66.57,https://solanart.io/nft/2fFzpog8XKQRGCFg15EtnEPyDmvwADik8DmwkXf7M217,Yellow,Green Uniform,None,Aquarium,Groucho,Viper Shades,Yellow Beret,None
838,3.2,4623,53.14,https://solanart.io/nft/Ap9bDMdhErFEpQSiaN8prJ8T7Qg7RXFbTr2Zaum2KQxZ,Yellow,Spiderdog Outfit,None,Ginger,Schemer,None,None,None
852,2.45,4534,61.28,https://solanart.io/nft/4TNpcJFAtn3JFQaLHvzQLuinzGrWYzicbYFPmPyWvqNh,Cyan,Sneaking Suit,None,Chocolate,Sniffy,None,Cowboy Hat,None
916,3.2,3016,64.74,https://solanart.io/nft/HRgu9zsNMNatGEmYqk1jvZ7qwKSvA8pjyWDmhMr1yDoc,Green,Spiderdog Outfit,Green Bandana,Blondie,Sniffy,None,None,None
922,20,710,0,https://solanart.io/nft/9C5BKVqzdywZrorDgcn9fBuE4CxQPv4SzAH5UxmAfVYG,Cyan,Dragonsphere Gi,None,Twilight Beach,Sniffy,None,Red Punk,Facemask
924,5,670,63.67,https://solanart.io/nft/2UrNvNb1e82cGVYhibtZ4gpLqFkmB4sqEADzpm6kDMB9,Orange,Green Tracksuit,Green Bandana,Silver,Fluffy,Robo Eye,Blue Hat,None
978,4.85,974,62.97,https://solanart.io/nft/F9Ju16d9vtMz57LjAZrqSa3es61AarYnxSnTP8ZS7bNa,Cyan,Winter Uniform,None,Blondie,Rage,Viper Shades,Yellow Beret,Tongue Out
981,6.5,391,50.68,https://solanart.io/nft/CoDQYydETxY6GjBPFbLyhiMWzGD6bHbEoe5ACQbh5zYv,Yellow,Spiderdog Outfit,Red Bandana,Chocolate,Fluffy,None,Green Beret,Cigarette
983,2.55,4079,63.56,https://solanart.io/nft/Hr7xakT5SAJjmHjYHdqzn5v81jEa319hnBcB9VZuYUmK,Pink,Blue Tracksuit,None,Twilight Beach,Scar,None,None,Stogie
1017,3.75,2636,61.98,https://solanart.io/nft/CTgsPUHHe5k3asNExvHqo8MZX73c7HTjYaepdP1zBJdc,Cyan,Blue Tracksuit,Red Bandana,Salt N Pepper,Rage,None,Green Beret,None
1043,4.5,1077,65.73,https://solanart.io/nft/4UrEY6wHaFQyT6dGVnGA1tNdtJbEAZDYut8r4WZwX5rF,Moonrise,Green Uniform,None,Silver,Crazee,Robo Eye,Garrison Cap,None
1091,2.7,4684,57.7,https://solanart.io/nft/7XZ1AAq1KreSNKPwa8HGehagbPUKr1uvZ4U835uYhpzZ,Orange,Sneaking Suit,None,Salt N Pepper,Shibe,None,Garrison Cap,None
1126,5.2,308,64.28,https://solanart.io/nft/GcWazNLk9rXdRKAhqsJfbwW5kpW1cW2hqU4dxMcTQ6v4,Explosion,Orange Uniform,None,Blondie,Groucho,Glasses,Garrison Cap,Cigarette
1131,12,46,0,https://solanart.io/nft/54RQyTzFj5Sp98e86KmdAPAdyB5mCmLMZ4VKcUjg48Y8,Orange,Green Tracksuit,Green Bandana,Silver,Scar,VR Headset,Blue Bone Hat,Respirator
1177,25,86,0,https://solanart.io/nft/AX52h81kUriofoLjAqCmxiPUzf5fdmdtbNGYR3c6BhBb,Orange,Golden Armor,None,Blondie,Cutie,None,Samurai Helmet,Facemask
1252,2.79,5428,51.43,https://solanart.io/nft/9mLdgPjzDwTr48utBGBgYG4z6qcE4oEo7Ncs4Ac4cozk,Pink,Yellow Tracksuit,None,Silver,Schemer,None,None,None
1253,6.7,305,49.3,https://solanart.io/nft/BBJXihfr9samVVvAVK7JmUh38PRpkuznUtDgneDX5C9b,Blue,Green Uniform,BTC Collar,Brown Bear,Pugsly,Viper Shades,Yellow Beret,Vape
1260,1.95,5157,61.79,https://solanart.io/nft/6oRy5jTMohPiWQUMKdRwnoxXJw8WviF8d9YvEZPZABsY,Cyan,Blue Uniform,None,Brown Bear,Wolfie,None,Green Beret,None
1261,2.76,757,85.44,https://solanart.io/nft/DLFNptd6TVK1QSS3Xay6nVgCrx8eTtMnNawn4fAaVQER,Cyan,Orange Uniform,Blue Bandana,Chocolate,Sniffy,None,Green Bowler,Cigarette
1284,8,1086,30.66,https://solanart.io/nft/89vEw8jAUJq1iSiKYfVjvphK5cG5pW8cTJrEXwv5nW3p,Orange,Blue Uniform,ETH Collar,Albino,Rage,None,None,Tongue Out
1362,3,3643,62.21,https://solanart.io/nft/29Dg1xkTRywo5JcPEds4i54Mw5ybN9NcbjGeR8hE12Dw,Cyan,Blue Uniform,None,Alien Blue,Oldboy,Viper Shades,None,None
1380,7.99,3880,10.6,https://solanart.io/nft/9mFmxhczD8XHnsTbANRR2WyxnW2fQUqUubMFwBKB4AUw,Pink,Green Uniform,Blue Bandana,Silver,Sniffy,None,Blue Hat,None
1417,10,164,17.32,https://solanart.io/nft/Fs8NMH2q1TJJVg7iH4GJCJKArm61kingB8m8u5YMaGtH,Pink,Blue Uniform,ETH Collar,Chocolate,Wolfie,Aviators,Purple Hat,Cigarette
1428,3,538,84.62,https://solanart.io/nft/51CjBNYAdSzXZoVkw5YjGeUcutp9e5YxQPe4ibF3RMfJ,Orange,Green Tracksuit,ETH Collar,Silver,Pommy,Aviators,Green Bone Hat,None
1455,4.694207,2113,56.31,https://solanart.io/nft/7ZF5GDxkTYPJpux3f4L5LrrTJaG16LJ3coSDEJ9dCMEc,Blue,Blue Uniform,None,Twilight Beach,Rage,Viper Shades,None,Vape
1459,13,174,0,https://solanart.io/nft/JEEgN9QqHMUSo6aanh2G6tDFaSaUfP6Lqc5C5FHAWneN,Cyan,Golden Armor,Blue Bandana,Coco Cream,Groucho,Cyber Visor,Yellow Beret,None
1474,2.5,3462,68.52,https://solanart.io/nft/8CS6iQDWfsEHp5dyFoXeRcsFM1S4ARryWhEcha7WuGg7,Cyan,Green Uniform,SOL Collar,Chocolate,Schemer,None,Yellow Beret,None
1508,15,844,0,https://solanart.io/nft/9fgAammnHLTzyY2omHFa1DGz69mjCsdjs27ETJRRAhQ6,Green,Red Tracksuit,Orange Bandana,Coco Cream,Shibe,None,Jiangshi,None
1515,3.3,2219,69.49,https://solanart.io/nft/6ttoHrjzc79npUaTZsFGGNTNFmazNtSNKyRwvvc7DdJu,Green,Sneaking Suit,None,Silver,Pugsly,None,Cowboy Hat,Vape
1528,5.29,5054,29.13,https://solanart.io/nft/2suVxk8C6PPQMh7UqftZeab7dJMF4z9qWgjaqNpPsstt,Blue,Sneaking Suit,None,Twilight Beach,Sniffy,None,Yellow Beret,None
1535,5.35,2568,46.47,https://solanart.io/nft/5uZKuoXG9M8WaW7p8dCkn6XNVV2mRuuQzpYJT7pcwNMD,Blue,Leather Jacket,Blue Bandana,Blondie,Crazee,3d Glasses,None,None
1562,3.94,277,77.1,https://solanart.io/nft/H5vkPrSQ8t1t6m8EfzpfR1JkNAU3BDoog4Fw4vPC2AM6,Yellow Shiny,Orange Uniform,Orange Bandana,Blush,Puppo,Viper Shades,Green Bone Hat,None
1585,3,1024,81.11,https://solanart.io/nft/GiFTkDKh2Rit2rAi4WQpgeXEAisuUTik4vEmoKXwRTLX,Pink,Green Tracksuit,ETH Collar,Ginger,Groucho,Viper Shades,Red Beret,None
1620,4,2801,58.29,https://solanart.io/nft/e3qzY33voeqz9cscZJ4MM4w8MKWBU59UgSAcntoZEjZ,Cyan,Green Tracksuit,None,Twilight Beach,Crazee,None,Red Beret,Facemask
1654,3.1,4982,51.55,https://solanart.io/nft/2vAdFph5M8XGWPLRSZUhUHezkp71XRT8gU93nf7eTrWz,Yellow,Sneaking Suit,None,Salt N Pepper,Shibe,None,Yellow Beret,None
1666,4.5,932,66.77,https://solanart.io/nft/4UTTYYCzAYmurbqXB1fk2coFEi1DQZBVi7ufa44pTNoS,Blue Speed,Green Uniform,BTC Collar,Salt N Pepper,Sniffy,None,None,Stogie
1746,3.25,5402,47.02,https://solanart.io/nft/GKaXdjQWR3BvStWTcLTUx7exh1xWGFXSLC7xZoySLzJ2,Yellow,Leather Jacket,None,Coco Cream,Chinchin,None,None,None
1800,2.99,449,85.36,https://solanart.io/nft/Cfas5pywLEZiDJWkXA4wqHUooU4wjjW2bFfkGNGMQkqF,Yellow Shiny,Green Uniform,ETH Collar,Ginger,Shibe,None,Green Beret,Tongue Out
1823,6.5,352,50.96,https://solanart.io/nft/GKP3BSHesA3LyQH3SJwG5r4QUz87TPNuWRtqayZma9Za,Blue,Green Tracksuit,Green Bandana,Blush,Pommy,Aviators,None,Pipe
1838,4,2251,62.26,https://solanart.io/nft/3HQREmMtPqwzNSJPhEgBZ9ZbVkCYZgAbEg3vkfE4qZ3H,Pink,Leather Jacket,ETH Collar,Brown Bear,Sniffy,3d Glasses,None,None
1886,5.79,5245,22.75,https://solanart.io/nft/551YMVQDfCqWbtWyADpFe1wopifwhVCb9FarpwzP6ZDZ,Pink,Leather Jacket,None,Brown Bear,Fluffy,None,None,None
1902,20,14,0,https://solanart.io/nft/6rs7x2QGCpnm87CEB2vDxWj9eAYHGkUzUD7AyqMeaEK9,Cyan,Blue Tracksuit,ETH Collar,Twilight Beach,Cutie,Cyber Visor,Green Punk,Vape
1935,6,3274,34.87,https://solanart.io/nft/6BCjNaqN9t5zKa4qVFUtRdK9AP1BrZWS5JmyDVAbNiiE,Cyan,Superdog Outfit,None,Ginger,Scar,None,Blue Bone Hat,None
1944,6,2857,37.88,https://solanart.io/nft/281QruAtsbcTQkB26VUQWUCByuhJWiWZPuZNWfixkGAb,Cyan,Green Tracksuit,None,Golden,Groucho,Eye Patch,None,None
1950,1.89,4021,70.58,https://solanart.io/nft/49wVy8kD1macCCMvf567o46XuScS95Bhq5r9uUP57hW9,Green,Winter Uniform,None,Salt N Pepper,Puppo,VR Headset,None,None
1963,6.2,723,51.28,https://solanart.io/nft/DpWjX2Wf5Y4CcSLeRmAuVmXvV5YkeRtRbaksLfsUQ1Qg,Cyan,Red Tracksuit,SOL Collar,Salt N Pepper,Scar,VR Headset,Blue Bone Hat,None
1974,7.4,2901,23.57,https://solanart.io/nft/63x985WtwJmvf5jBZtvkCpS1xhqRFT9tDa3ctEXf2WSZ,Orange,Mecha Suit,None,Silver,Chinchin,None,Green Bone Hat,None
2007,8.5,2110,18.27,https://solanart.io/nft/dmS8SA3ZPbE8qpf2wMUrWN4fVBGphqaFYWVGT9gdMQt,Cyan,Green Uniform,Blue Bandana,Chocolate,Imposter,None,Red Beret,None
2063,3.75,3517,55.62,https://solanart.io/nft/FPw31b3XEHkvEpePC2oA4yiuRFoj5qGt14ErY2HMGxR2,Yellow Shiny,Green Uniform,None,Blush,Chinchin,None,Yellow Beret,None
2064,15,27,0,https://solanart.io/nft/5kzDXHe938HCm6oThnAc95YW5HFtEGHMxkNHfk8BgQjs,Green,Sneaking Suit,Red Bandana,Blush,Pommy,Solid Eye,Garrison Cap,420 Cigarette
2078,3.2,4491,54.09,https://solanart.io/nft/Auyy7Zr1JdQGfgXncVFik5C3ENDZnkiSVyZmpJmnNgbW,Cyan,Sneaking Suit,Red Bandana,Salt N Pepper,Chinchin,None,None,None
2098,55,3121,0,https://solanart.io/nft/FewtJXNPwYraCKSEqgfMFomppduKUNh5xmgdS6bt7Uci,Blue,Leather Jacket,Red Bandana,Salt N Pepper,Scar,None,Garrison Cap,None
2100,25,875,0,https://solanart.io/nft/2WNpSeP1Tv4PEPTmPCQvYPSrP1rAQHyUSyFLEJ5fVjEK,Cyan,Red Tracksuit,None,Coco Cream,Schemer,Solid Eye,Samurai Helmet,None
2121,4,3280,54.83,https://solanart.io/nft/HsL38ypR5VKFGkxs5Y4h8hasBHGuGF53dUoPaDk7a3Cq,Pink,Blue Uniform,BTC Collar,Silver,Scar,None,Green Beret,None
2218,9,856,22.32,https://solanart.io/nft/FKDpEuob9Zs75Md3QN4rvm9ESfFqHYXuXP5J4kGdj8bN,Orange,Spiderdog Outfit,None,Zombie,Groucho,None,Yellow Beret,Cigarette
2237,10,169,17.28,https://solanart.io/nft/9imVYvtEZyPQ3NtA67sgkUQ8GW3L6bPdSEZH8QG2saBk,Moonrise,Blue Uniform,SOL Collar,Aquarium,Chinchin,VR Headset,Blue Hat,None
2241,6.1,823,51.56,https://solanart.io/nft/ewLNparFRrWqDkbz6EhR7WeH1QjQ1bFWU2egUaxSH48,Cyan,Green Uniform,Green Bandana,Blush,Sniffy,Monacle,None,Tongue Out
2263,8,78,37.94,https://solanart.io/nft/5tcBfZ1SJAZ3ydZwSQN3B3kQ3kKMwPz1RGHbzBMC5QUT,Blue Action,Yellow Tracksuit,Red Bandana,Chocolate,Pugsly,Cyber Visor,None,Facemask
2305,6.2,520,52.75,https://solanart.io/nft/AkUCXktHo1ocudn2gyJie5zdJoUFLnGzdNbVDhhdwX9J,Green,Red Tracksuit,Blue Bandana,Coco Cream,Pommy,Aviators,None,Pipe
