id,price,moonRank,💎 score (%),storeURL,Background,Belly,Body,Decoration,Eyes,Flair,Head,Mouth
2635,0.39,1205,82.93,https://magiceden.io/item-details/DeTPDnKNKruV5R7JUp3mrU1Bj7dxd3WCzRHnqXHhd9yv,Orange,Lightning,Concerned Teal,Scribbles,Exhausted,Eyes Scribbles,Cat Teal,Surly
2676,0.3,494,92.37,https://magiceden.io/item-details/5nByv9CybSvrf3HUjwFiWPe1vKCUvUxD64UiLS2SbTpT,Orange,Cell,Concerned Purple,Pink Flair,Spookyz Flaming,Mouth Scribbles,Bunny Teal,Hungry
2710,0.39,1567,78.59,https://magiceden.io/item-details/2dYuxhPHdjMzXTfNrig3T4DTRULasDz8wDV42FxyxMfX,Orange,Leaf,Concerned Purple,Scribbles,Hurt,Eyes Scribbles,Bunny Purple,Bored
2785,0.39,2341,69.3,https://magiceden.io/item-details/g5e7ricJcjJWhcckTSMPA2d54Yw2tf5yiMX4WQVzbkq,Grey,Heart,Grim Teal,None,Excited,None,Cat Pink,Joker
2788,0.35,3022,61.52,https://magiceden.io/item-details/APKeNJRnYhnPTnQKw5QrjGEqRS8Fiq4FFV5mwVqZCKrk,Teal,Heart,Concerned Purple,Pink Flair,Excited,None,Cat Pink,Cheeky
2842,0.4,1015,85.12,https://magiceden.io/item-details/HmnVAFgJ3yJXjPg45jfYhw24tiWTyACGwzog41iRMnG7,Grey,Leaf,Grim Purple,None,Happy,Cap,Fox Teal,Happy
2872,0.2,967,87.69,https://magiceden.io/item-details/2s2T3QxWXA3BUGH7zSvn1pKcDNKJ4aQUqGsbZB5ayQba,Orange,Heart,Shy Pink,None,Spookyz Flaming,Cap,Cat Teal,Hungry
2929,0.2,871,88.84,https://magiceden.io/item-details/EvtbGSTo9sZyetyzm4VwPT2YqWTrW2ndVEb4dVASCaEM,Teal,House,Concerned Pink,Colorful,In Love,None,Dog Teal,Surly
2981,0.22,2787,65.64,https://magiceden.io/item-details/H9hj5YTeJNj7hhmnqTLVv5hNRCp7s6W165Cr46Ze6Hh,Orange,Lightning,Concerned Teal,None,In Love,Tornados,Cat Purple,Happy
2984,0.35,795,88.26,https://magiceden.io/item-details/8j5jcqVRzn6revUvWRiXzQtxEoLuf2gkh6oskRPUmoLS,Teal,Cloud,Concerned Teal,Colorful,In Love,None,Bunny Pink,Hungry
3016,0.4,816,87.5,https://magiceden.io/item-details/6H7ibuchrDjHekzXUbEvR2gKRkjzXVcpTLqVVioAGUXF,Purple,Cell,Concerned Purple,Flames,Excited,Cap,Bunny Pink,Hungry
3024,0.3,2020,74.05,https://magiceden.io/item-details/8WRjpFi4Z8C9Cfz9vYXHqzGB8TTP1PZANpbzrNA9BZU7,Orange,Cell,Concerned Pink,None,Worried,Tear,Bunny Teal,Hungry
3048,0.2,1194,84.97,https://magiceden.io/item-details/CXLT8vcqSoKbocGmuU8iyKRGFrHNksD4rAvk4XFxZBUo,Purple,Leaf,Shy Purple,Orange Halo,Happy,Cap,Cat Pink,Cheeky
3110,0.19,2631,67.82,https://magiceden.io/item-details/5thrjK9X49LN2Qo7f6kFAsDRpLUsShS4FWaQBnHwpnh4,Pink,Leaf,Concerned Purple,None,In Love,None,Dog Purple,Joker
3171,0.2,2301,71.68,https://magiceden.io/item-details/HrXTymPZi2L82bGKba7Wpm77pb1Ns9MQ4wv723kKpceL,Teal,House,Grim Purple,None,In Love,Mouth Scribbles,Bunny Teal,Happy
3215,0.4,2543,66.77,https://magiceden.io/item-details/H2ZufXd4uuSAw6skPe6wxzpBfMMqUnREG555tPNFwDzR,Purple,Heart,Grim Purple,Orange Halo,Happy,None,Dog Pink,Cheeky
3246,0.25,3025,62.49,https://magiceden.io/item-details/EUV9E329YHnKFeZ5R3MNqTrrJF1wazT9dLXkxL7uqz9p,Purple,Cell,Concerned Teal,None,Happy,None,Fox Purple,Bored
