id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
903,2.5,4442,70.67,https://magiceden.io/item-details/HrxhQBtv73th8NuVd3ZtWyUL8WyknBXoJb8rScZH8paq,,Scooter Aura,,#e2e2e2,,01,11,11,Tall White Boots,brown,11,,White Leggings,01,lizard,03
916,1.99,7208,64.67,https://magiceden.io/item-details/CT5qhw9HaDSfoWX7nkqvHGri9uyxkyh62ERihrv1XYkz,,Maid Purikura Aura,,#232234,,02,04,31,Green Flip Flops,blonde,36,,Plain White Pencil Skirt,01,elf,
1025,1.65,2817,85.69,https://magiceden.io/item-details/5KpW5GoHxd1xWgGcyoLL92ZGsLqosztDyDiQaohXeZx,,Bakery Cupcake Aura,,#215ae8,,03,03,21,Purple Sneakers,brown,19,,Purple Pleated Skirt,01,human,
1059,2,5894,69.84,https://magiceden.io/item-details/EQuhZz71Dsots4KP6Jwh3WWhUpF2TpscFZWQuHqgy2KL,,Bubbles Aura,,#232234,,01,14,19,Red Flip Flops,blonde,26,,Red Pencil Skirt,01,orc,
1067,2,4899,73.84,https://magiceden.io/item-details/DEhCnDk6nHVf1GLJ3gNLLsn1TUwtC68fPU6qdCxY6WJr,,Party B Aura,,#ff8599,,01,11,31,Purple Heels,red,17,,Purple Miniskirt,04,elf,
1083,3.5,NaN,0,https://magiceden.io/item-details/8mg8RjLXXadfsky479XXdsPHcJLCDzhND7BePoYELmQ2,,,,,,,,,,,,,,,,
1098,2.5,784,85.35,https://magiceden.io/item-details/HSv5Zjw52Sxb8sesRec9Vjy7oTp6TNuoTVE69e9kUwvh,,AA Gun A Aura,,#383838,,02,05,18,Black Boots,grey,36,,Green Miniskirt,03,lizard,03
1130,3,9739,44.41,https://magiceden.io/item-details/4CFKyiNSXLbWV8c2XK4oQfKPdj1Z5p9MH6WhM4DnjYiQ,,Bakery Cupcake Aura,,#383838,,03,,03,White Boots with Polka Dots,blonde,37,,Plain White Cargo Shorts,02,orc,
1148,4,9579,35.05,https://alpha.art/t/Ekya6RCAkRicJXHNB3bbcp74bCwZpAX1rJGA6n4DBgcL,,Party C Aura,,#85e8a9,,03,13,18,Black School Shoes,grey,36,,Yellow Baggy Pants,03,human,
1213,2,7061,65.16,https://magiceden.io/item-details/AM5VnHqc3c5fm5sBkWBzPT5XXfRSW1y6re5g29pQJCUV,,White Stars Aura,,#85e8a9,,02,07,21,Beige Slippers,black,33,,Plain White Baggy Pants,03,lizard,02
1247,2.39,8934,53.74,https://magiceden.io/item-details/6dgd6TNpSeakPLij2XoNVPzC1aBrnTjwspGqr5kDrtJm,,Orange Leaves Aura,,#9ca4a7,,03,11,07,Pink Flip Flops,grey,14,,Gray Shorts,01,orc,
1268,3,4293,66.27,https://magiceden.io/item-details/HN94PJghPn7aBpJXSNQrdtD2NCGzmKVnmPt6p6U4g6WT,,Pink Hearts Aura,,#9641ff,,02,,24,Green Flip Flops,brown,36,,Cyan Bikini Bottoms,02,orc,
1285,2.39,5877,66.01,https://magiceden.io/item-details/BJCpbKuC4nsd3X72jndVWGLLjU6z5DAHgtEoqgXqvF9Q,,School Fireworks A Aura,,#383838,,02,10,24,Strappy Green Sandals,grey,36,,Green Miniskirt,04,elf,
1291,4,NaN,0,https://magiceden.io/item-details/8BBbXrShydB5WNcA93LzZxPtBjhudiqHe4u67YeKjmWn,,,,,,,,,,,,,,,,
1295,2,7487,63.45,https://magiceden.io/item-details/DD7EThQex2Uvm3pn4HLqwyFTJKNh2hakMy7LDAD2WmqV,,Broken Glass Aura,,#383838,,03,11,24,Gray Slippers,grey,36,,Long Light Blue Striped Skirt,01,elf,
1313,1.49,8890,62.92,https://magiceden.io/item-details/EvqCMP9bJ1rka7ECsabR2DNfgXHN6dmHnfuZq8xt3yt,,Party B Aura,,#215ae8,,01,18,31,Yellow Boots,red,30,,Red Baggy Pants,01,orc,
1338,1.45,9608,60.43,https://magiceden.io/item-details/6K4WYNCnhUZ8w36xbEdzv74YKn8AxRnS87VouLudgs6K,,Neon Circles Aura,,#f14345,,03,10,26,Gray Slippers,red,36,,Gray Pants,02,elf,
1340,2,5797,70.23,https://magiceden.io/item-details/FbCRxe6rhKTFce4qPhX9ahSerudGYj6toC7Sfnq7534J,,Rainbow Coins Aura,,#ff99ef,,01,14,16,Tall Brown Boots,blonde,14,,Brown Pants,04,elf,
1475,2.44,9565,50.71,https://magiceden.io/item-details/FQ29mmckuh3TX2w3rQTNmX3oNM9PJj7HVo4ppseGKygP,,Party B Aura,,#85e8a9,,01,11,03,Gray Slippers,grey,07,,Gray Pants,03,human,
1482,2.44,8361,55.54,https://magiceden.io/item-details/5WUZ7wfDjNs6Wd9naJoPScjbLJ6FebxbkXGhvA9SVUgq,,Red Hearts Aura,,#215ae8,,02,01,09,Red Flip Flops,red,07,,Blue Shorts,03,orc,
