id,price,moonRank,💎 score (%),storeURL,Backgrounds,Body,Eyes,Head,Mouth,Neck
1401,0.49,1410,70.6,https://alpha.art/t/H9HrYX4YpwFvc6LFKgnnZCh8yZMRL3pfhFj2Wfbn23Dz,Blue,Blue,Orange_Sunnies,Cap,None,None
1419,0.115,1690,69.26,https://magiceden.io/item-details/RZMeFxSnkvbzCN91RPdmcEpNwcaZGmSscx7Le1jBkhH,Blue,Blue,Blue_Sunnies,None,Cigarette,None
1426,0.42,1898,62.43,https://alpha.art/t/3de1vzLJFsQeDLmRsuZwYgQjK8vh4SX2efG9S9AqT8tA,White,Blue,Specs,None,None,None
1433,0.55,1679,65.11,https://alpha.art/t/GNZbv7Y96gg6niNmq3CWi7Bt16Qys2eq6GeBkooJBKK,Green,Grey,Orange_Sunnies,None,Cigarette,None
1449,0.12,2099,61.77,https://magiceden.io/item-details/cXtD7vv3TP8CDPiXskEiVGociUQup7saMKJKjs5cDT2,Green,Tan,None,None,Cigarette,None
1451,7,1774,0,https://alpha.art/t/4Hx2Ey3CeEYZqSHu7uVu8ugWbKCQMh21MmSayrfvVtQf,Peach,Blue,None,None,None,Pink_Balaclava
1456,0.35,1248,74.95,https://alpha.art/t/85FS8z4kmBNBh5VDSFLmdgP9igpPKErjG3jfk4RHCUqk,Yellow,Tan,Orange_Sunnies,None,None,Orange_Balaclava
1493,1.4,286,81.95,https://alpha.art/t/Dw3TxaX2Z2XyA7AUDXSufVtLnoeCNsJohcCdZJsEdj94,Green,Blue,Tron,Blue_Beanie,Cigarette,None
1497,1.08,361,83.78,https://alpha.art/t/GqpRk5cChpEBMc6UZ8gZnbY5UZCF2KfTgoJvLbci89C7,Yellow,Zombie,Laser_Eyes,None,None,Blue_Balaclava
1510,1,1405,65.59,https://alpha.art/t/GVBBzMA8xxYowEB7tKrmxtcQtjH3nkPHoueW54SkW7Dm,Pink,Grey,None,None,None,Gold_Necklace
1538,0.39,1437,71.11,https://alpha.art/t/GN9FZeowdHFrAjxCjjpCLppCqotE1vRN2ixvmDSY9FCY,Pink,Grey,ThreeD_Glasses,Orange_Beanie,None,None
1541,0.35,1347,73.15,https://alpha.art/t/GwESwQxYAshL5KTX87ZDgNBQCtkJm11uSiiZzP9rruxk,Yellow,Grey,Blue_Sunnies,None,None,Orange_Balaclava
1555,0.29,509,88.99,https://alpha.art/t/E8gAmpEPdfkEcFYWAxz7TdQGDAqqdhBj7qyGpqcVw54M,Pink,Blue,ThreeD_Glasses,Purple_Rag,Vape,None
1590,0.3,1350,73.59,https://alpha.art/t/4ogct33RwWPtCiQQHQVtqL94DH4Ht1u7PGq6yz5vTtiT,Purple,Tan,Blue_Sunnies,None,Pipe,None
1598,0.5,1209,74.16,https://alpha.art/t/2Bj21xeV6jcc49wdoDVFJAQp9HxzLypnm6L3wutwAZLu,Pink,Pheonix,None,Orange_Rag,None,None
1649,0.19,1668,68.91,https://magiceden.io/item-details/BqdS8H9oqi2aQcvqLtdXwU7jbzTZLt5WvDRvcAmhYBcU,White,Blue,None,Orange_Rag,None,None
1652,1,75,89.79,https://alpha.art/t/EE4yYZ6zFJwd6Wu6wGpNGQGaPrwYXkUmRdESkp5rhJga,Purple,Blue,ThreeD_Glasses,Pink_Beanie,Vape,Blue_Balaclava
1657,0.12,908,83.43,https://magiceden.io/item-details/6EBGTY6xs9GydYzTajYkD1MvLU2E6tSDWMpr7VdFAnzh,Purple,Brown,None,Orange_Rag,Vape,None
1702,22,2025,0,https://alpha.art/t/GT7hS61eT5Fnrka6FDvLgxSXaqX4RVPASXwQzN4yaLuy,White,Zombie,None,None,None,None
1737,0.46,490,87.64,https://alpha.art/t/9wUXtAQjbEjEaq7YkDEB8gtf4GqtMREAQ3FJmfUzxjkh,Purple,Tan,Orange_Sunnies,Earring,Pipe,None
1746,0.5,2106,57.84,https://alpha.art/t/2ZUs6tkpXCkUpFFdtDn6PGqMgQr39MgcfAproQSLihfU,Green,Blue,None,None,Cigarette,None
1756,0.99,250,86.7,https://alpha.art/t/64D8Yvhgg9HxoiE73G26PC5FERWtESfr1hmGLd3DCjtt,Peach,Tan,Blue_Sunnies,Straw_Hat,None,Orange_Balaclava
1775,5000,704,0,https://alpha.art/t/58tRQSPF5yZZaPhNE1NFXAkmD4ZYYVj3GY2zZrAspEoU,Yellow,Tan,Blue_Sunnies,Orange_Beanie,Cigarette,None
