id,price,moonRank,💎 score (%),storeURL,Biome,House color,House number,House style,Material,Openings color,Openings style,Precipitation,Roof color,Roof style,Sky,Street name
400 Bamboo Boulevard,50,1667,0,https://solanart.io/nft/5JS7jBeDqhrh6D6hDoNHV7YdmEhvPFUwW9Snv8bxheza,Beach,Red,400,Cottage,,Yellow,Rounded,,Yellow,Patio,Night,Bamboo Boulevard
401 First Avenue,40,1550,0,https://solanart.io/nft/GdBLCrj2YT2qZfUvutGvURV9oFbzgaQ8t6ybgRQyTNUL,Field,Yellow,401,Modern,Brick,Yellow,Shuttered,Rain,Mix,Food,Day,First Avenue
402 Mint Mile,60,2038,0,https://solanart.io/nft/G2ZuSCKELqkun815pvBcnxBQGZBNDfWpYg8hU5Evaz1a,Desert,Green,402,Art Deco,,Yellow,Shuttered,,Yellow,Shingle,Day,Mint Mile
403 Bamboo Boulevard,180,2105,0,https://solanart.io/nft/4hoto4yhBeZvYsD5cax4uvAUNFp3EEcqcDumRULf25jQ,Woods,Red,403,Modern,,,Occult,,Green,Shingle,Day,Bamboo Boulevard
403 Evergreen Terrace,225,1061,0,https://solanart.io/nft/4xBK3aQ2cmnAGexh9bzurUkq7AxUSboYF9qpLKhFAdaM,Desert,Yellow,403,Modern,,Red,Rounded,,Mix,Food,Day,Evergreen Terrace
406 Blockchain Drive,69.420692,1165,0,https://solanart.io/nft/GX953FFbUaMcWg7ibz64AhZECcK4GuyGqd569o1XuAar,Beach,Lavender,406,Modern,,,Glass,,Yellow,Shingle,Day,Blockchain Drive
407 Evergreen Terrace,180,529,0,https://alpha.art/t/AU5yZHmVE8DSYEkoBS3p7phowypqsKZy6u2mo8TB1T4Y,Arctic,Dark green,407,Art Deco,,Red,Shuttered,,Blue,Shingle,Day,Evergreen Terrace
408 Grand Avenue,50,1044,0,https://solanart.io/nft/7NnR9LXpuNKLkhmHivsKYpgSApDq3mktLynt1QXtpEra,Beach,Green,408,Mansion,,Red,Shuttered,,Blue,Patio,Day,Grand Avenue
409 Blaze Boulevard,65.420692,1133,0,https://solanart.io/nft/BNceRRX6eXBAt1MWMmCzZNvuaQNTu16KPVg12YarMs3J,Desert,Blue,409,Art Deco,Brick,Red,Rounded,,Lavender,Tin,Day,Blaze Boulevard
409 Block Hills Drive,149.990005,51,0,https://solanart.io/nft/D8XgiZGVp1g9NYe1NYe86M3rQaknBRQJELnpQ7H3vavk,Mountain,Yellow,409,Art Deco,,Lavender,Shuttered,Snow,Mix,Grass,Night,Block Hills Drive
410 Dahlia Drive,68.690002,703,0,https://solanart.io/nft/s1AFBxrTvaHY4Z34sfLbPNjbnMd9VV5i1NDhSNW1nB4,Underwater,Red,410,Cottage,,Blue,Rounded,,Green,Haunted,,Dahlia Drive
412 First Avenue,45,2108,0,https://solanart.io/nft/HtXC3PW2TLsDH8CngiWBuCyWgbZMTtU7DqaeR3pfPpCw,Desert,Green,412,Modern,,,Crystal,,Mix,Mushroom,Day,First Avenue
413 Blaze Boulevard,49,2325,0,https://solanart.io/nft/CP9xQKA7jMymgddQziXqRuhHxfYk7Di5X4XoaH6NExcb,Field,Blue,413,Modern,,,Glass,,Yellow,Patio,Day,Blaze Boulevard
413 Lamport Lane,52,1046,0,https://solanart.io/nft/DQsjFxtRARSpT2LzRJQdjpBF5x33fXsgPCZiX1d1eMrP,Field,Yellow,413,Mansion,,Lavender,Rounded,Rain,Yellow,Tin,Day,Lamport Lane
415 Lynwood Avenue,50,2218,0,https://solanart.io/nft/3a7fd2GDigVkCyekk14zTHzkMbvNTe22HNB2xF4s8iQC,Desert,Yellow,415,Modern,Vines,,Glass,,Yellow,Shingle,Day,Lynwood Avenue
419 Block Hills Drive,49,1242,0,https://solanart.io/nft/ErCFs8T89Q2uepJoU1y85e4tXTv3VNYRVvyHYfcRE8qF,Field,Blue,419,Modern,,Yellow,Shuttered,,Mix,Grass,Sunset,Block Hills Drive
419 Bamboo Boulevard,70,882,0,https://solanart.io/nft/FgXUAnSugQv4LbTTBd77c6MYkVXpUNP6c8n6kktACFMk,Volcanic,Yellow,419,Mansion,,,Glass,,Pale green,Patio,Day,Bamboo Boulevard
419 Blaze Boulevard,96,1042,0,https://solanart.io/nft/9CPf34QSxCL9zVkyZJcHfWXH8fFPLUJDaMYdVWi6zyX8,Field,Green,419,Mansion,Brick,Blue,Shuttered,,Dark green,Tin,Day,Blaze Boulevard
420 First Avenue,52,2089,0,https://solanart.io/nft/FBoWbF5uZigGPiD9htXXCoWZ8qRhJ41pt3yYbu6Z61MC,Beach,Red,420,Modern,Brick,,Glass,,Pale green,Tin,Day,First Avenue
420 Dahlia Drive,85,2289,0,https://solanart.io/nft/5jt7Xya3pgHJ79ri3dsyrZr5MgskfTVDyt5iE5KNJbzV,Treehouse,Green,420,Cottage,Brick,Yellow,Shuttered,,Red,Shingle,Day,Dahlia Drive
421 Sierra Avenue,29.5,2391,61.3,https://solanart.io/nft/9M1uCiBSRxygwHEa1GKDL7qBLgTRkV2UW29RYSku9KT5,Mountain,Blue,421,Cottage,Brick,,Glass,,Green,Shingle,Day,Sierra Avenue
421 Bamboo Boulevard,36,1610,8.94,https://solanart.io/nft/4iGVYAG15gekezGa8WYAFPkH43C9VfG1e5vyxLxt1bCC,Mountain,Yellow,421,Modern,,,Crystal,,Red,Tin,Night,Bamboo Boulevard
421 Lamport Lane,47.5,1942,0,https://solanart.io/nft/9kfEznif73eQTt4bdrPZoDbB2nBjTeVF9i1uUMhKyn2M,Volcanic,Red,421,Cottage,Brick,Red,Shuttered,,Blue,Patio,Day,Lamport Lane
421 Blaze Boulevard,55.689999,1480,0,https://solanart.io/nft/AX6r4GPPFRSXdAsxdwLjTstxoTdJakRw9v6WdbKwx4DR,City,Blue,421,Cottage,Brick,Yellow,Rounded,,Green,Tin,Night,Blaze Boulevard
423 Blaze Boulevard,120,1816,0,https://solanart.io/nft/2Am6vbxwM9a5WgG6qmc6uhuUjzCkio32VTwbK9oZ6mQX,Beach,Blue,423,Art Deco,Brick,Yellow,Rounded,,Yellow,Shingle,Day,Blaze Boulevard
426 Blaze Boulevard,169,129,0,https://solanart.io/nft/3922i2BUgph4N8cXgcK9w87GdFkLc6KnUVVMoegdmC9F,Field,Green,426,Mansion,Vines,Dark green,Shuttered,,Mix,Grass,Sunset,Blaze Boulevard
426 Mint Mile,119,88,0,https://alpha.art/t/HGG9qEsfcA8jyKJwHierUoRruC7GoxMGTQRgnPiVGeae,Woods,Lavender,426,Mansion,Vines,,Occult,,Mix,Mushroom,Day,Mint Mile
428 Block Hills Drive,42,2170,0,https://solanart.io/nft/25Et4rk98TEBmpgeGg1a9KmMR4g2G6S6JdESkdUaQ7Bo,Mountain,Red,428,Modern,,Blue,Shuttered,,Blue,Skylight,Day,Block Hills Drive
430 Lamport Lane,69.690002,1449,0,https://solanart.io/nft/G5mVihYsKJfwHvjuDbf8rz8E8oZsDLcR9yk328P9NYrS,Arctic,Red,430,Mansion,,Yellow,Rounded,,Red,Patio,Day,Lamport Lane
431 Bamboo Boulevard,40,1868,0,https://solanart.io/nft/5tHuAuRHfLgGawGwsPr3HGwZUprprsNjW4ZcpHLppBHH,Field,Green,431,Modern,Brick,Yellow,Shuttered,,Green,Haunted,Day,Bamboo Boulevard
431 Blaze Boulevard,420.690002,2080,0,https://solanart.io/nft/HrW8qAYjoZBMbfPvsSfxZDMmCwbKH7HZAMQ2fp5xnWrq,Woods,Red,431,Modern,Brick,Red,Rounded,,Red,Shingle,Day,Blaze Boulevard
432 Blaze Boulevard,60.420689,1311,0,https://solanart.io/nft/3Q8dMFe5LXcno9viNkdk3Bwp5N9Lq8uwUgjqtB7N7cLJ,Beach,Red,432,Cottage,,Green,Rounded,,Blue,Tin,Night,Blaze Boulevard
437 Mint Mile,139.990005,1771,0,https://solanart.io/nft/APRS2F8F9SHB8U7WxgDeJG1pqjUszypPyjpEQm1L8tJC,Field,Red,437,Art Deco,,,Glass,,Mix,Grass,Day,Mint Mile
438 Block Hills Drive,88,2138,0,https://solanart.io/nft/9aNvjW3xqAVVzWT2PwStBTQu7pgBDptATaW5kFUiwy5n,Beach,Blue,438,Cottage,Brick,Yellow,Rounded,,Green,Shingle,Day,Block Hills Drive
439 First Avenue,126.900002,187,0,https://solanart.io/nft/H1Zw2nHFDpQAq3RgWv6LZrwBjXUCmy6nSM3S4GzdFbkz,Arctic,Red,439,Cottage,,,Glass,Snow,Mix,Mushroom,Day,First Avenue
440 Lamport Lane,37,2179,0,https://solanart.io/nft/53q18gVZNSC3FoLLdKAZwggMkVMyL8X9BNnrXMJibGBA,Beach,Green,440,Cottage,,Blue,Rounded,,Pale green,Skylight,Day,Lamport Lane
444 Sierra Avenue,89.989998,1401,0,https://solanart.io/nft/DbqeAQwexV7o8aDu3Gkx4XBBjz9P9ghFS8G4nyefigM8,Treehouse,Blue,444,Modern,,Yellow,Shuttered,,Mix,Grass,Night,Sierra Avenue
445 Sierra Avenue,40,1516,0,https://solanart.io/nft/3DxfXRUmev6yWxhnGRfKJjPbAfh7ScK2D58bvYNVY7yg,Beach,Green,445,Modern,Brick,,Glass,Rain,Yellow,Shingle,Day,Sierra Avenue
447 Grand Avenue,45,1345,0,https://solanart.io/nft/5RW6nySyrUuXHL6mCh5TkNhUT5cwmPpBEN4P3VpE4fxE,Woods,Red,447,Modern,Brick,Yellow,Rounded,,Green,Patio,Day,Grand Avenue
456 Grime Lane,66.660004,109,0,https://solanart.io/nft/6xqQ6DEdTc9nyaHPv69Ni749pR95eS5kNcWiqkAZCKyZ,City,Red,456,Modern,Brick,,Occult,Rain,Lavender,Tin,Night,Grime Lane
462 Bamboo Boulevard,119.989998,1085,0,https://solanart.io/nft/HPkPWQ9CuVhTX3asy6zh85zfq3f4xPciYRNGY85pi1hn,Treehouse,Blue,462,Mansion,,Green,Rounded,,Blue,Patio,Day,Bamboo Boulevard
465 Lamport Lane,69,706,0,https://solanart.io/nft/5k4zYDwXkrZ62RaxobTv4KdSgWyUbC7wgXfffGbYfWoT,Treehouse,Green,465,Modern,,Red,Shuttered,,Mix,Grass,Night,Lamport Lane
466 Lamport Lane,110,270,0,https://solanart.io/nft/7t9p84RHNRYJYGwJkjBcKRij59N5bp6TnDQhkExrzGSk,Woods,Lavender,466,Cottage,Brick,Red,Rounded,Rain,Dark green,Patio,Day,Lamport Lane
468 Bamboo Boulevard,39.5,1999,0,https://solanart.io/nft/4EJhJ2vLBo3xyM8pKw3B6XMyhFRiU8x8oUvZ4bjE6cne,Desert,Red,468,Cottage,Vines,Red,Rounded,,Red,Shingle,Day,Bamboo Boulevard
471 Dahlia Drive,100,283,0,https://solanart.io/nft/8B1ASQ6WDJ8vB8CmXhdZhjqRRGQhgpWKZk4JUEqNfBXj,Volcanic,Blue,471,Mansion,,Yellow,Rounded,,Red,Shingle,Sunset,Dahlia Drive
472 Lamport Lane,65,1928,0,https://solanart.io/nft/4LHoPgWqDxoyRSfYu35uLUnvpPwcJGiJRiJ8qkjQWHgu,Desert,Blue,472,Modern,,Lavender,Rounded,,Red,Shingle,Day,Lamport Lane
491 Lamport Lane,88,386,0,https://solanart.io/nft/217dWFtXHfZneNCFLjusy2pnz75ej1xs8a2VMNm4ymDx,Volcanic,Yellow,491,Mansion,,,Crystal,,Pale green,Shingle,Day,Lamport Lane
492 Dahlia Drive,55,114,0,https://solanart.io/nft/G6e7oWuPF1LXKoxV8DpX6t6zGAJpXuUwZc7oHnNaKEEe,Underwater,Lavender,492,Modern,,,Occult,,Red,Patio,,Dahlia Drive
503 Lamport Lane,41,628,0,https://solanart.io/nft/Ezg8pcY6JMgrfEA1LBLovnPw666B9Krd6ibx9w8aE9aj,Desert,Lavender,503,Mansion,Vines,Red,Shuttered,,Red,Skylight,Day,Lamport Lane
513 Lamport Lane,50,242,0,https://solanart.io/nft/9jimvLg57Z2vU37Qfyw95RVzFcEHBEiv5J4X6us39vYF,Desert,Pale green,513,Cottage,Vines,Red,Shuttered,,Dark green,Shingle,Day,Lamport Lane
537 Jane Jacobs Way,88,247,0,https://solanart.io/nft/7nSWm6spVGZMVnRYhaPb9xuwUhRcG85975GiFZSnFYAa,Field,Red,537,Mansion,Vines,Green,Rounded,,Pale green,Patio,Day,Jane Jacobs Way
545 Poplar Street,190,1497,0,https://solanart.io/nft/3Xv7cADppVEYfNtdpxNV75ys4kHjpdKMTyhDW6ASAXD1,Beach,Green,545,Modern,Vines,Red,Shuttered,,Green,Skylight,Day,Poplar Street
547 Jane Jacobs Way,110,376,0,https://solanart.io/nft/8vm7sUVUpGWwGFTUfZow4XYthE1fFztomQZ4zyD3Z3Pv,Field,Blue,547,Mansion,Vines,,Occult,,Blue,Patio,Day,Jane Jacobs Way
549 Dip Drive,48,392,0,https://solanart.io/nft/HdM1C7ZC4yV2GgJPKzbrjTJFPXKzSbtbkFR6LJQbd3Gn,Arctic,Red,549,Art Deco,,Dark green,Shuttered,,Pale green,Skylight,Day,Dip Drive
554 Jane Jacobs Way,64.800003,1836,0,https://solanart.io/nft/BvQnCGn6BFjEiw3v3Vi64t4eYRjGc4TSXHJtsgf8WhfL,Desert,Red,554,Cottage,Brick,Yellow,Shuttered,,Green,Skylight,Day,Jane Jacobs Way
558 Jane Jacobs Way,42,904,0,https://solanart.io/nft/F4rVHqEZVMtbaKL7vYedo4rx65vd3rCWF12YSnAURYMU,Underwater,Blue,558,Cottage,,Yellow,Shuttered,,Blue,Shingle,,Jane Jacobs Way
567 Jane Jacobs Way,63.900002,87,0,https://solanart.io/nft/6LCxsdKHB6ePr99h7YjT4ebdHXfroMDXNK4gZLuFHozM,Mountain,Yellow,567,Modern,Brick,Yellow,Rounded,,Mix,Mushroom,Sunset,Jane Jacobs Way
568 Dip Drive,100,237,0,https://solanart.io/nft/5nzMgM25KSSBkc7kXKBHhgcFPELMJNktp9u2622QMCgH,Desert,Yellow,568,Mansion,,,Glass,Rain,Red,Haunted,Day,Dip Drive
571 Dip Drive,40,746,0,https://solanart.io/nft/BR5KFk4TrbJTFZEo1VM6TuZoYpcSA5foJvGxCnqXZ1JL,Mountain,Blue,571,Cottage,Vines,,Glass,,Lavender,Shingle,Day,Dip Drive
578 Dip Drive,75,827,0,https://solanart.io/nft/3xKwJAphnUXzGy3HbpmRwEbgjbFCN1pyFo9kQFXYWRKq,Treehouse,Red,578,Cottage,,Blue,Rounded,Rain,Blue,Skylight,Day,Dip Drive
578 Poplar Street,200,1455,0,https://solanart.io/nft/8Hs6L4NbTCLqYgACPPBMmsv9Z9Vf7UrWqjkAByaMcs48,Field,Yellow,578,Mansion,,,Glass,,Mix,Mushroom,Day,Poplar Street
581 Dip Drive,85,138,0,https://solanart.io/nft/EtJpFWMYoazN66p3L2ViG11QqFk9ZmLSBEAXi1o2Qfeo,Mountain,Red,581,Cottage,,Green,Rounded,Snow,Red,Patio,Day,Dip Drive
583 Dahlia Drive,35.689999,670,27.25,https://solanart.io/nft/GbTbhGJTy8DswFD2P6Ui4viEYcaxGAacrqStY4VPFDhL,Underwater,Red,583,Cottage,,Green,Shuttered,,Red,Patio,,Dahlia Drive
585 Helix Avenue,90,1411,0,https://solanart.io/nft/2x4AzGDToAGNXqWrf3anMfq8GRxagxuYM5gDNCFBBeXT,Volcanic,Blue,585,Cottage,Vines,Yellow,Shuttered,,Yellow,Skylight,Day,Helix Avenue
589 Helix Avenue,75,170,0,https://solanart.io/nft/68am4pWwtB8UXXtWGSe6ce5SsscB2SBkSWHULTCR3APs,Mountain,Green,589,Art Deco,,,Crystal,Snow,Yellow,Tin,Day,Helix Avenue
594 Cluster Lane,78,464,0,https://solanart.io/nft/6mC4eznLtTAiw4pduVZHgmhYyhNur1R6qcCnmPDKpZiD,Treehouse,Red,594,Modern,,,Crystal,,Yellow,Skylight,Night,Cluster Lane
596 Dahlia Drive,37,751,12.84,https://solanart.io/nft/DuKGZsQ2WgF3v1MjVBUQRBzzWzkGRqfG9cAoM1tq1LY4,Woods,Blue,596,Cottage,Brick,Pale green,Rounded,,Red,Patio,Sunset,Dahlia Drive
596 Poplar Street,44,970,0,https://solanart.io/nft/JDNaGC3c1fcEA6QrVyPJooFGpDEx3cV2697FVrGznvSX,Field,Green,596,Modern,,,Occult,,Mix,Grass,Night,Poplar Street
617 Poplar Street,92,1041,0,https://alpha.art/t/4JZhKgMxc5QKuzMPoWc15skaAAr4iYzGnSyTSd8ARBcA,Desert,Green,617,Modern,Vines,Red,Rounded,,Pale green,Shingle,Night,Poplar Street
619 Dip Drive,75,219,0,https://solanart.io/nft/Gkz6pifsnnj9fqm2PzteasHfHY4JsvsnAW21E1tBX21i,Underwater,Red,619,Art Deco,,,Occult,,Mix,Food,,Dip Drive
623 Helix Avenue,225,80,0,https://solanart.io/nft/79d539bXb56bussrumjjgxrmuJg7oeucvfifpyKqFb1k,Underwater,Dark green,623,Mansion,Vines,,Crystal,,Blue,Tin,,Helix Avenue
631 Epoch Avenue,80,418,0,https://solanart.io/nft/FnXmvdwmt5rwb1VdjkbkzC5ZmH15AkDvj1s2wamKhxWb,Treehouse,Dark green,631,Cottage,,Pale green,Shuttered,,Dark green,Patio,Day,Epoch Avenue
634 Epoch Avenue,60,1393,0,https://solanart.io/nft/DztdM2PhCCoRZg65vqxE8vEeVo3LKgnHW2huTyj7ieMj,Field,Green,634,Art Deco,,Lavender,Shuttered,,Green,Shingle,Night,Epoch Avenue
639 Epoch Avenue,76.69,2283,0,https://alpha.art/t/EW6V6nmx8bHUFhDhiMD1iFXsYR7mfDSKVyAgakbENgxG,Field,Yellow,639,Cottage,,Pale green,Rounded,,Red,Tin,Day,Epoch Avenue
640 Clipping Drive,48,1263,0,https://solanart.io/nft/7d5Hj6LsDjSNkM7emW5d82T3o93THNzmd1i5jScjMspU,Woods,Red,640,Art Deco,,,Crystal,,Lavender,Tin,Day,Clipping Drive
641 Dip Drive,230,432,0,https://solanart.io/nft/41kyAZLwYmcU6LK6uVhhaDV6FjCFmZZSmX5vsPJvB35z,Woods,Dark green,641,Cottage,Vines,,Glass,,Mix,Mushroom,Night,Dip Drive
647 Clipping Drive,60,1966,0,https://solanart.io/nft/6H8ViJyrwjyWyz71s5AXtGZDEpA9rM9Jqsip58CWpqat,Treehouse,Yellow,647,Modern,,,Crystal,,Red,Shingle,Day,Clipping Drive
649 Rip Street,49,1607,0,https://solanart.io/nft/JBnmsdEuUPzNeDaCB3o1k67KJtGGZTEkGcsY8foqoVbs,City,Blue,649,Art Deco,,,Occult,,Green,Skylight,Day,Rip Street
652 Dip Drive,69,349,0,https://solanart.io/nft/EzGcN2EjwJRqc19p4HPiFXTnsWp2tGKn1AZnBmt4ALiv,Field,Blue,652,Mansion,Vines,,Glass,Rain,Red,Tin,Night,Dip Drive
654 Rip Street,49.689999,95,0,https://solanart.io/nft/8wRy7yucaSZCC9YXs3ahEHSvvAjF73WxN3v4pK51oFuD,Arctic,Dark green,654,Cottage,Brick,Yellow,Shuttered,,Lavender,Shingle,Stormy,Rip Street
656 Clipping Drive,40,2061,0,https://solanart.io/nft/HWezyP1KAqafGUF2wrbE3RYJP6mbvQXcE6udutFkpNvU,Beach,Yellow,656,Cottage,Vines,Blue,Rounded,,Green,Tin,Day,Clipping Drive
658 Dahlia Drive,88,1410,0,https://alpha.art/t/9WLCqgYrwkXMkUQ9frMbiDNq3FEoTaxMQgBZHGxXjiz6,Desert,Red,658,Cottage,Vines,Blue,Shuttered,Rain,Red,Patio,Day,Dahlia Drive
659 Poplar Street,40,975,0,https://solanart.io/nft/AcQHbyFmt9cSkbEZBUkNRBUwcsZz8rC5wjps8a9dLcx7,City,Dark green,659,Cottage,,Lavender,Shuttered,,Lavender,Skylight,Day,Poplar Street
665 Ramsey Street,85,1782,0,https://solanart.io/nft/AbwCKfBZNoYYUMbpKw2SxKHphNMXTkNH6zm8nSnLnWCd,Field,Yellow,665,Cottage,Brick,,Crystal,,Yellow,Shingle,Day,Ramsey Street
667 Ramsey Street,49,1708,0,https://solanart.io/nft/FTapWUDVXqGbLzPMLMuvvxtXsBtRudzLaQ7s3HBJAiG8,Desert,Dark green,667,Modern,,Blue,Rounded,,Red,Shingle,Day,Ramsey Street
668 Dahlia Drive,45,1629,0,https://solanart.io/nft/JMryFRfHqa9vn3crFNdQQcDKPCBVswQVT4uhRabWwye,Field,Blue,668,Cottage,,Dark green,Rounded,Rain,Yellow,Shingle,Day,Dahlia Drive
668 Epoch Avenue,49,2433,0,https://solanart.io/nft/E2fVXUY5aG3CcUd58Me3rCF87g286YjWaA2ayiZNnCkH,Field,Yellow,668,Modern,,Yellow,Rounded,,Red,Shingle,Day,Epoch Avenue
668 Poplar Street,44,1639,0,https://alpha.art/t/A25hscJgEjr5bxrgKrP9RcPtgnspCCC3FqXjTPBfpf1R,Field,Blue,668,Modern,,Green,Shuttered,,Blue,Shingle,Stormy,Poplar Street
669 Ramsey Street,66.900002,581,0,https://solanart.io/nft/7tZiTfy5CzJ6HDBQkzZgwMfv7sCQeoBgULFkhkTNT7XQ,Desert,Red,669,Art Deco,Brick,Blue,Shuttered,,Mix,Food,Night,Ramsey Street
671 Rip Street,67.099998,1748,0,https://solanart.io/nft/BnpFGcePkP9TusWLXsipxhSTzaQkjvWJDc25cEfoTPqc,Desert,Blue,671,Modern,Brick,,Glass,,Pale green,Skylight,Day,Rip Street
673 Epoch Avenue,666,1366,0,https://solanart.io/nft/Ght8EqhqbpEiY8Wges4gHmRBegi7WoFt9MBfnNNbo2WN,Woods,Blue,673,Cottage,Vines,Yellow,Rounded,,Blue,Patio,Day,Epoch Avenue
675 Helix Avenue,30,2256,58.48,https://solanart.io/nft/AExhsvugrFsKydeBJCLqAGSkcjxR8aW1AdKWgYVnaVKR,Field,Blue,675,Cottage,Brick,,Glass,,Pale green,Skylight,Day,Helix Avenue
676 Clipping Drive,35.689999,1291,17.2,https://solanart.io/nft/5fQrgEY5HFE6EJkj1XrY4eKfsHcJYBh252tnqSpMWYzP,Desert,Yellow,676,Art Deco,Vines,Green,Shuttered,,Pale green,Shingle,Day,Clipping Drive
677 Helix Avenue,200,1239,0,https://solanart.io/nft/Bu2KiMD8TtKZiQzXNU5tkp32Z36t7Ru1MAzipcrktRc4,Beach,Green,677,Mansion,Brick,,Glass,,Yellow,Patio,Day,Helix Avenue
681 Poplar Street,42.689999,512,0,https://solanart.io/nft/BpiBh3Cnr363oSeqB3WceSGcPC1vhTZA4qZaCqm6wrRV,Field,Yellow,681,Modern,Vines,,Occult,,Yellow,Tin,Stormy,Poplar Street
695 Helix Avenue,100,1991,0,https://solanart.io/nft/Am9zXTXsmLZaA937bqgTRAq6VkdT4gYuLwkay7bjz42W,Volcanic,Blue,695,Art Deco,,Red,Shuttered,,Green,Shingle,Day,Helix Avenue
704 Clipping Drive,50,740,0,https://solanart.io/nft/2tpnwPisnXw4yFzf7isVtAQykVGJrWVQ4BnVwcFHHygv,Field,Green,704,Art Deco,,Blue,Rounded,Rain,Mix,Food,Day,Clipping Drive
718 Helix Avenue,83,1446,0,https://solanart.io/nft/HzBxF9r8XpAH13hLNW7TczQfZ3cgLb2wqhbxCK5SwoiU,City,Blue,718,Art Deco,,Red,Shuttered,,Mix,Food,Day,Helix Avenue
727 Helix Avenue,1420.689941,13,0,https://solanart.io/nft/BeUqxwYogpgrwSRFvE2cULwmXsyDe9oaDrX1qAdQrWrT,Field,Gold,727,Modern,Gold,Gold,Gold,,Gold,Gold,Night,Helix Avenue
735 Clipping Drive,76,903,0,https://solanart.io/nft/8XrDCC5VmRdaRcyGmBporvepxPwzkCeGkWGaCN6zLPTS,Arctic,Red,735,Modern,,,Crystal,,Green,Patio,Day,Clipping Drive
737 Rodeo Drive,45,664,0,https://solanart.io/nft/9XwBhdWisR7Sw1nNMMHTemuUz2ESSSecGHYa96M1AmEV,City,Green,737,Cottage,,,Crystal,,Dark green,Shingle,Night,Rodeo Drive
753 Rodeo Drive,44.439999,741,0,https://solanart.io/nft/3gW2sohjyDutfsYHLhrUWRxQjpaokRaNrJ9uG1aJ8DZj,City,Blue,753,Art Deco,Vines,Green,Rounded,,Yellow,Tin,Day,Rodeo Drive
765 Rodeo Drive,150,161,0,https://solanart.io/nft/2BXb6m6edtY67m3X6bk4e2Kzz7Vo8hyaSsUXsyBg4QuK,Beach,Red,765,Art Deco,,,Glass,,Mix,Grass,Stormy,Rodeo Drive
787 Rodeo Drive,60,415,0,https://solanart.io/nft/2N7G39uNA4UZwVTGD53hHPXjHnhouR9SoJ7y5dRHw2p8,Field,Green,787,Cottage,Vines,,Glass,Rain,Red,Patio,Day,Rodeo Drive
793 Battle Street,59,645,0,https://solanart.io/nft/2Ynyza5Sz9c66ysKP9g5bSjLfbzoFsGA4jAgRKwXzi7d,Underwater,Blue,793,Cottage,Brick,Green,Rounded,,Yellow,Skylight,,Battle Street
795 Battle Street,60,352,0,https://solanart.io/nft/8TPCu52rnYzvW62dCt1bJZWCqyCPH3cUD3gihFYmsF8C,Underwater,Dark green,795,Modern,,,Crystal,,Yellow,Skylight,,Battle Street
796 Battle Street,75,1531,0,https://solanart.io/nft/3NBdHQcffD4mP3hpHx6ddhsjMJsRQqJy3iGHZjPaiJet,Mountain,Green,796,Cottage,Vines,Green,Shuttered,,Red,Skylight,Day,Battle Street
810 Broadway,63.299999,1268,0,https://solanart.io/nft/5DjfKks7QTGh7pyFJ8ncPvvTQVyAHXLbkhTQtTjMoCZt,Field,Green,810,Art Deco,,Pale green,Rounded,,Dark green,Shingle,Day,Broadway
813 Battle Street,100,592,0,https://solanart.io/nft/8cpcAGAcepureGhf8y79PPKkG5JU4v6aBF2Z2zFLN7KB,Beach,Red,813,Mansion,Brick,Yellow,Shuttered,,Yellow,Patio,Night,Battle Street
817 Broadway,49,1543,0,https://solanart.io/nft/G7Vyoqkptg2uPXqoiD2rvMi5KvjyhJAeL1onZaGKjAfG,Treehouse,Red,817,Art Deco,,Yellow,Shuttered,,Red,Shingle,Day,Broadway
822 Battle Street,200,1131,0,https://solanart.io/nft/G5S2RbcPbhjLFs9CEq2DNqiRcDjFzowhp2znTUYUW33Y,Field,Yellow,822,Mansion,Vines,,Occult,,Blue,Shingle,Day,Battle Street
823 Battle Street,45,2074,0,https://solanart.io/nft/Ckq2wFqMgd7aSvbdgyFkv45coMPguQvdz4ibNaenzo59,Woods,Green,823,Cottage,,Yellow,Shuttered,,Red,Shingle,Day,Battle Street
825 Battle Street,55,1630,0,https://solanart.io/nft/51Jw53d3bEPx1mdiBsr9WhtX72k3i4wnwfoBVpzqAH8i,City,Yellow,825,Mansion,,,Glass,,Yellow,Shingle,Day,Battle Street
828 Battle Street,69,513,0,https://solanart.io/nft/JUaEhGcqJLVNT7vsotf4oTsCvwWsN396Pk63AnAAHNU,Underwater,Blue,828,Mansion,Brick,Blue,Rounded,,Green,Shingle,,Battle Street
829 Broadway,48,446,0,https://solanart.io/nft/25kYBdrQQvj4yh6Td1JTVQsnU8ZdCRT1iWu5cBxexygx,City,Yellow,829,Art Deco,,,Crystal,,Blue,Patio,Sunset,Broadway
829 Battle Street,75,458,0,https://solanart.io/nft/4EHYYoGnK9GdGAW8yezh19ZqVQq5F1M5QnjsuWRExeLp,Desert,Yellow,829,Art Deco,Vines,,Glass,,Red,Tin,Stormy,Battle Street
842 Battle Street,60,287,0,https://solanart.io/nft/14nJhFwrsEHo1sEiEBUjbgX3stE832vNHAAk7msmf6HJ,Treehouse,Lavender,842,Modern,Vines,,Glass,,Dark green,Shingle,Day,Battle Street
846 Broadway,36.689999,1322,6.7,https://solanart.io/nft/CS77byninKjdeDauEqM6NQX87AT4zrYoFQxCLrNH1ku4,City,Dark green,846,Cottage,,Red,Shuttered,,Mix,Grass,Day,Broadway
