id,price,moonRank,💎 score (%),storeURL,Biome,House color,House number,House style,Material,Openings color,Openings style,Precipitation,Roof color,Roof style,Sky,Street name
77 Ape Lane,1977,1146,0,https://solanart.io/nft/DJcvhHaDVf2gCXw7QurGsuxp4TKQ9YprRPogHV1j4hrc,Woods,Yellow,77,Cottage,Brick,Red,Shuttered,Rain,Mix,Food,Day,Ape Lane
78 Teeps Lane,59.990002,2085,0,https://solanart.io/nft/FuAihgkoVdgVKvFsnhst35XjnRf23CmS9StfAS9J1JAn,Desert,Yellow,78,Art Deco,,,Occult,,Yellow,Shingle,Day,Teeps Lane
78 King Street,555,23,0,https://solanart.io/nft/H7nzZq872h4FSR5xM9bfBcuKXWfWsztgUP23PcQe8it4,City,Gold,78,Cottage,Gold,Gold,Gold,,Gold,Gold,Day,King Street
80 Rosa Street,59.990002,1033,0,https://solanart.io/nft/CaAktBZrmcSUV9Uynu8ZGTXHrHSsJpcCDhfe5o2QnVtW,Desert,Yellow,80,Mansion,Vines,Blue,Rounded,,Mix,Food,Day,Rosa Street
80 Abbey Road,111,1118,0,https://solanart.io/nft/318cGu6r8x6AHryc97w2SzXEHHiwtMYHFjMk4MksLV7Y,Treehouse,Green,80,Cottage,Vines,Blue,Shuttered,,Mix,Grass,Day,Abbey Road
81 Teeps Lane,38.689999,1617,0,https://solanart.io/nft/HvGwRifNPNdsyGsSinr1MKASCSFdx8RbpiG5UMQ2b8fK,Desert,Yellow,81,Cottage,Vines,Blue,Shuttered,,Blue,Tin,Night,Teeps Lane
81 King Street,69,2333,0,https://solanart.io/nft/DVwQkpBw3x7QfxVf7yUm1N4NyakEGGD7nwzxbX3pzVPN,Mountain,Red,81,Cottage,,Yellow,Shuttered,,Blue,Shingle,Day,King Street
83 Abbey Road,100,2244,0,https://solanart.io/nft/GNG8KpFF1nA6eTNjtdqLzP68mq6jJDhwz3mM4DZAb53k,Desert,Yellow,83,Cottage,,Red,Shuttered,,Mix,Grass,Day,Abbey Road
84 Rosa Street,40,2311,0,https://solanart.io/nft/9VNM9r3xxvypMm4EGKCAKcX7SgwK4RmeHWfHUSxBAsc8,Field,Blue,84,Cottage,Vines,Blue,Rounded,,Blue,Tin,Day,Rosa Street
85 King Street,199.990005,1394,0,https://solanart.io/nft/8xuU571DD7S9fRZbUc9uipzeYudKC9pNUCEGcpY5KRrZ,Beach,Green,85,Cottage,,Blue,Shuttered,Rain,Green,Shingle,Day,King Street
87 Ape Lane,45,1704,0,https://solanart.io/nft/DzMbZ8rPnXrcaxJbQVuPEAbhBdR6oWcUXUXj14zbPU7U,Desert,Red,87,Modern,Vines,Yellow,Shuttered,Rain,Yellow,Shingle,Day,Ape Lane
