id,price,moonRank,💎 score (%),storeURL,Background,Base,Clothes,Eyes,Hat,Mouth
155,3,166,51.48,https://magiceden.io/item-details/GiizTifQHgr6UxDU7eaCd1K2yFKZxkoLtgzYkynxzLTg,Grey,Orangebrown,Kimono,Shades,None,Goldearring
162,8,6,19.72,https://magiceden.io/item-details/5YVxyVLXXootVWdPu7qcnojeWo2WDHA9kAxoQa3CtRGe,Green,Gray,Kimono,Pinkshades,Beanie,None
166,69,52,0,https://magiceden.io/item-details/512GhAtmbWtgM2ArZBfU2DagTu5QBeEN6qj4nfpP1yDX,Orange,Brown,Jacket,Pinkshades,Bluecap,Cigarette
168,1000,20,0,https://magiceden.io/item-details/7C8g6W1iP3pUCTANvfMs8f8ABjSRVVz2buk1QE9jncK3,Blue,Orangebrown,Blueturtleneck,Pinkshades,Headphones,Diamondearring
169,100,341,0,https://magiceden.io/item-details/CAPSM16xXnWhWMcKTT8BLims46w5ZEyRGQ7uQGMH625D,Orange,Orangebrown,Ninjaoutfit,Darkmask,Tophat,None
170,10,325,0,https://magiceden.io/item-details/GtjogRcFHJyNUEvjH3oKoLpJrAWbdx9hPCHr7HC7DuGy,Yellow,Black,Blueturtleneck,Shades,None,Beer
172,11,257,0,https://magiceden.io/item-details/BZTX1QyS4xg8i3JLtvYzQSy595BvToxopZw1FekmoDTR,Grey,Black,Blacksenseioutfit,Screammask,None,Gum
176,1.2,290,55.35,https://magiceden.io/item-details/2LqcMEwc259iFNmV6ahZXudnhWu882v3YpmzD3Fu7AmD,Lightblue,Gray,Whiteshirt,Japanesemask,Tophat,Gum
178,0.3,351,57.4,https://magiceden.io/item-details/HNYb97kP4vR1N5F2ZrPBWNzMYGgnNnbCCmbwBDDzQm5,Orange,Orangebrown,None,Darkmask,None,Cigar
179,0.05,94,89.19,https://magiceden.io/item-details/8YVQQasvjzqFRowLWDDCpsQi9SfwkvgrRLn8Gr6MMErt,Dust Green,Orangebrown,Goldchain,Goggles,Beanie,Gum
181,5,63,43.22,https://magiceden.io/item-details/Fh9X5dnAHsAgbR5et6fAhCcYn311LfDBm5Mtp1C8sHPU,Bright Light,Brown,Clownsuit,Thinvisor,Redcap,Cigarette
184,0.05,233,73.35,https://magiceden.io/item-details/9hVB5tYFd4YCRCEsKAavSNVs8cbpfK5uGA8u6WvuDnP5,Yellow,Darkbrown,Blacksenseioutfit,Shades,None,Gum
188,1.1,252,60.68,https://magiceden.io/item-details/HtHnua28SZ4gJURkETjNsTKDCJS1SHQqw7kP1zHoDi3B,Blue,Orangebrown,Greenturtleneck,Tikimask,None,Beer
189,2.77,152,55.38,https://magiceden.io/item-details/Fn44MtDLUGgAJ9NmY35Mdbdco85u9i1YR3hPfx5UuSue,Orange,Black,Jacket,None,Headphones,None
196,0.9,125,77.15,https://magiceden.io/item-details/2LGQBD7xiUmykBegnExfHJTZGBNQc5WzgFgyC8ehEWZp,Purple,Orangebrown,Greenturtleneck,Japanesemask,Halo,Gum
197,20,34,0,https://magiceden.io/item-details/E1PrdZ6iHGnpGiXbZ436VESdAUSa5mE5kXXznMFCrVEa,Grey,Brown,Greenturtleneck,Pinkmask,Cowboyhat,Goldearring
198,0.08,283,67.35,https://magiceden.io/item-details/Ep4n32qs9YVZupaGYu89S4EMYSWnfRDQGMbtqnnGErkZ,Dust Green,Brown,Redshirt,Screammask,None,Goldearring
199,0.84,80,82.88,https://magiceden.io/item-details/4UVQ4mczjFbCzM43xjs1L54CVCMLii1uUp6XLkSQq47A,Green,Black,Goldchain,Japanesemask,Beanie,Cigarette
203,1.5,296,51.67,https://magiceden.io/item-details/3sgGtq4cAEb8oCaPbWMvBaQ1ZsdkRKfc5fkEGrTpAgva,Lightblue,Black,Whiteshirt,Thinvisor,Redcap,Cigarette
204,1.4,1,86.29,https://magiceden.io/item-details/BDACuF2F7WJopeHDFnKtczEdn4k7TNhKT7u9VfoujA1,Purple,Brown,Clownsuit,Thinvisor,Spottedswashbuckler,Gum
206,10,3,0.06,https://magiceden.io/item-details/HaWz4ZcSenm35e17EN9vvcrQXPgSGpzxge8i1cjc38ex,Red,White,Clownsuit,Tikimask,Graduatecap,Cigar
212,0.17,177,78.53,https://magiceden.io/item-details/G8X5tG32PYNvYGYg4utybedx5fWzr8fNModYjvr7UQnZ,Bright Light,Darkbrown,Whiteshirt,Visor,Propellorhat,Gum
213,11,307,0,https://magiceden.io/item-details/GYxWPnH842zW3Vxtro6moUhN5KJ3Hk41a4vZu39QZeUZ,Orange,Orangebrown,Whiteshirt,None,Piratehat,None
218,2.8,261,42.66,https://magiceden.io/item-details/5VmfK45mBj1KC8Mk79R8JiaXP8Dbg1AgpCyTgubwK2Uu,Dust Green,Brown,Whiteshirt,Shades,Chefshat,Cigarette
224,3.5,342,26.43,https://magiceden.io/item-details/EpGC92DrrNwSxKHyBA3zMuk1JEC1tCdtLCMHNNxnNwgA,Yellow,Black,Whiteshirt,None,Halo,None
225,0.1,141,83.33,https://magiceden.io/item-details/EFqtAGzEL7nfCQsjaAJ9L1CGYnrU6VjiSnEAtz4pP3G2,Lightblue,Brown,Blueturtleneck,Pinkshades,Beanie,Cigarette
226,0.165,267,68.32,https://magiceden.io/item-details/3LMKfrJNoQuBFp2yr41h8yCUnnz9ReCCCa2RGsoc3EQy,Yellow,Brown,Blacksenseioutfit,Screammask,None,Beer
228,3,212,46.24,https://magiceden.io/item-details/EymFJmRtczHFzKGr1dR1CpAZU2BrCAXs5Z5FKaswUy61,Grey,Brown,None,Tikimask,Beanie,Cigar
236,0.069,192,77.83,https://magiceden.io/item-details/EBFXQZCDVRQTrVmNSU926qzWAEp2FAJpdhBHZ67epuqm,Orange,Darkbrown,Diamondchain,Darkmask,Halo,Cigarette
241,50,174,0,https://magiceden.io/item-details/2mJRPhrHWgueYamXyYnKzPtepeX7HfpToSRLbbiGU1ei,Dust Green,Orangebrown,Ninjaoutfit,Redstriped,Propellorhat,Gum
249,0.04,77,91.23,https://magiceden.io/item-details/AyhH3dYoQphFdftRrDFdEvy2W1j4cpRrugXhJQD29zN7,Green,White,Whiteshirt,Redstriped,Tophat,Diamondearring
251,0.19,306,63.63,https://magiceden.io/item-details/5VizLY3u5SkC8958v3DbQiJgjzTgiAe9Z7LszLyyuv8K,Orange,Brown,Whiteshirt,Brownshades,Chefshat,None
252,0.2,162,79.94,https://magiceden.io/item-details/GhHsfju7cQHcdqkWJMRZ86L7BhsCokiqJCsAJ1V4jkPv,Blue,Orangebrown,Whiteshirt,Visor,Graduatecap,Gum
256,0.59,250,66.01,https://magiceden.io/item-details/42RPBHxkdckpdhdU7ce5teMvvT78KYWR6fjUh8iLp9A4,Dust Green,Brown,Goldchain,Screammask,Graduatecap,None
266,0.05,275,68.56,https://magiceden.io/item-details/5Ey6jd7mh8xHjeQXKipEWLtq1C41rkz31qSRZPdVEsyo,Red,Brown,Greenturtleneck,None,None,Diamondearring
273,0.0499,349,60.13,https://magiceden.io/item-details/EU3fnJGKWsfmu84aumrsct9Bp2PZQzZzkV8NK8Ugji36,Lightblue,Black,None,Darkmask,None,Gum
276,5,21,48.01,https://magiceden.io/item-details/BV2fVRRWv53A1pA199T5kx1aSeeDz5vxBkxeWG1LzhQb,Lightblue,Black,Clownsuit,Brownshades,Headphones,Diamondearring
277,2,96,69.46,https://magiceden.io/item-details/3e9ieprmf1UGJRaZkuHuxoY5LmkNbKRB7r9671kNqNVU,Green,Darkbrown,Redshirt,Redstriped,Tophat,Diamondearring
281,1.1,144,72.99,https://magiceden.io/item-details/BhPdgs6BMufDcXwKmRVYQqDZHmQUXMZdXdRc7FhAVhRF,Bright Light,Brown,Diamondchain,Redstriped,Spottedswashbuckler,Cigarette
288,0.2,297,64.55,https://magiceden.io/item-details/68cLSbVyEuAm7tabGLevesDqmNwhjwWnuT89CqkGYpYS,Orange,Black,Furoutfit,Redstriped,None,None
291,1.1,78,80.51,https://magiceden.io/item-details/5C9hgNDhHtW3u8ycGGfk7UVcaH2C9ZfxWRXNQSffjHxD,Bright Light,Gray,Redshirt,Visor,Headphones,None
292,0.99,138,74.77,https://magiceden.io/item-details/xegbLr2WTdWLgP4nnA8dVky8Ndas3HuHdgE5jzzFwbf,Dust Green,Black,Blueturtleneck,Pinkshades,Redcap,Beer
295,3.09,139,53.66,https://magiceden.io/item-details/HZetTSQjkB4TBpnswYJVh8HkKHhuBYSeHN3r8Le3ZdrT,Grey,Black,Diamondchain,Redstriped,Swashbuckler,Gum
297,0.39,335,58.32,https://magiceden.io/item-details/7Ur3LZDnbZL545Edya2Rj1Nt79GV8V2hZNB25x3Bn7Sq,Red,Brown,Whiteshirt,Shades,Halo,None
299,1.84,111,69.35,https://magiceden.io/item-details/5uscfpf9JMCFArxQBAmgYAbDqZfE2yR2gkabzGLzjhT7,Red,Orangebrown,Greenturtleneck,Pinkshades,Halo,Cigar
304,0.2,268,67.86,https://magiceden.io/item-details/BjeFdfEbuRePx9ShbyzM5xQmRV4kEu8zJBzpdhC5NZTt,Lightblue,Orangebrown,Blueturtleneck,Shades,None,Banana
312,0.6,175,74.46,https://magiceden.io/item-details/L4DsCrEpWEoX94z6tU8qB994B7XdhJSegBcg5GPLU2x,Dust Green,Brown,Whiteshirt,Visor,Graduatecap,Goldearring
316,0.0689,340,60.96,https://magiceden.io/item-details/8qtmsxrtkCXnEzVijN8fEwp2JcyPzP3zeNV4wY3SNBb2,Bright Light,Black,Whiteshirt,Screammask,Tophat,Cigar
318,2.5,216,50.78,https://magiceden.io/item-details/3qGm9sfML3MSrDnvh38zQHDDxVuLXKBGG5XRZvABom56,Grey,Brown,None,Brownshades,Chefshat,None
326,0.14,337,60.6,https://magiceden.io/item-details/J4YjPNcra5W3kg7rRUkLbtQhV7XxBN2nSVYMimV7BpiM,Bright Light,Brown,Whiteshirt,Darkmask,None,Goldearring
328,0.3,193,75.41,https://magiceden.io/item-details/BLxTbP8wbSYBXrjpKgLbn8kVNoyBjhVFyCXA8KCeCNrz,Blue,Black,Blueturtleneck,Screammask,Graduatecap,Cigarette
335,2.99,311,35.06,https://magiceden.io/item-details/6ZXBm5um3DmvWsaWwk29UejxdTe27sEYW62gdBoNshco,Lightblue,Black,Redshirt,None,Swashbuckler,None
337,0.1,104,87.55,https://magiceden.io/item-details/995JNHZoYgk2s2EUebi8Rbv1yGujMGXtifzPN3TYPMzj,Blue,Orangebrown,Redshirt,Japanesemask,Piratehat,Gum
338,0.1,291,66.24,https://magiceden.io/item-details/3JZRCh6hXnUaFXDMqPHYSv9emzGwwFNfH2h4X3E6ZrdD,Red,Black,Redshirt,Screammask,Propellorhat,None
339,0.86,185,70.72,https://magiceden.io/item-details/5JTExmeTmQPQzZqG1DQsAubvB8h3U1mwhJEY4ksswiG3,Yellow,Black,Kimono,Redstriped,Swashbuckler,None
340,8,128,5.81,https://magiceden.io/item-details/2jLLn9sdd4MHLUDeWNoR7cbgyCEqXJy36kNzM1XufDGS,Bright Light,White,Whiteshirt,Screammask,Bluecap,None
342,0.99,168,71.35,https://magiceden.io/item-details/6FU8ewa9nzLTUD23QU3neBnfeGfG8d6gFJhMmprnX85E,Lightblue,Black,Redshirt,Visor,Swashbuckler,Beer
344,11,318,0,https://magiceden.io/item-details/74ZPS9RpKzMxgzjkVcDf32XftfQKUDPtLeprZsoH6yLW,Grey,Black,None,Redstriped,Tophat,Cigarette
348,0.7,172,73.8,https://magiceden.io/item-details/AZBfAdiFArQomc8nHj8MLHScvC2i7bByYFhzg2gwZAAq,Red,Darkbrown,Greenturtleneck,Shades,Propellorhat,Beer
350,3,294,36.9,https://magiceden.io/item-details/92kuu1F1GhrdQeFJrF7TnNjo1GSjpaFHtNM6Enab2hwF,Yellow,Brown,Jacket,Japanesemask,Tophat,None
