id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Glasses,Head,Neck,Piercing,Skin,Tusk,Wrist
2172,10,3345,0,https://solanart.io/nft/DrnvfCbmNJuvqofJJWFDEyreGPETCHxTgjMJjJcRcovF,Purple,Green Suit,Joy Eyes,None,Bowler Hat,None,None,Chrome Babolex,None,Gothic Bracelet
2182,3.1,3194,60.17,https://solanart.io/nft/Aywoz4jKQdQ65GpLEFxxJpj4jpV6Rs4B7BB9za7XciME,Blue,Blue Green,Joy Eyes,None,Red Beanie,None,Gold Piercing,Chrome Babolex,Gold Tusk,None
2184,20,3043,0,https://solanart.io/nft/6ACQryamrTRYp7sowP7ePQdgaEvAAJ9iYLGMLK3VYatm,Red,Purple Suit,Sad Eyes,Rayban,Golden Crown,None,None,Golden Babolex,Gold Tusk,None
2190,7,3857,14.96,https://solanart.io/nft/FSxFSJxidzTWZd3ftFj6J3VaPHMhGBcqLEHDsMnh94j6,Purple,Kimono,Sad Eyes,Disco,None,None,None,Chrome Babolex,None,None
2196,10,3682,0,https://solanart.io/nft/H7PP1vjL6QQ1b6thNdGasVqzHthZUkwAnyBQeAKmCv74,Green,Standard Green,Angry Eyes,None,Magician Hat,None,None,Chrome Babolex,None,None
2199,6.5,1576,41.33,https://solanart.io/nft/5mLP7p7fHVL5ADEM8mGgGfufPnqvoLvkTkS4aoyVPt4A,London,Black Suit,Sad Eyes,None,None,Scarf,Gold Piercing,Chrome Babolex,Gold Tusk,Gothic Bracelet
2203,5.89,2351,40.17,https://solanart.io/nft/EyNKHWv8b3khsL2FeZ3aMZMkL24mQHofbE53UdCsP2md,Egypt,Babolex Sportwear,Sad Eyes,Papy Glasses,Party Hat,None,None,Golden Babolex,None,None
2238,13,343,0,https://solanart.io/nft/Ek4WfiwMVDPm36GsxXFJegk63oj4GwcCibKZnfKFe1G5,New York,Dior,Blazed Eyes,Lazer Eyes,Pirate Hat,None,None,Golden Babolex,None,Rolex Hulk
2251,6.5,3806,20.44,https://solanart.io/nft/JDhxoG8xqUWZFqLEVhnUhU6zSYBVNwHt5zmAEK2fzi63,Jungle,Sweat Short Green Gray,Sad Eyes,None,Punk Hair,None,None,Chrome Babolex,None,None
2258,4.9,3044,43.58,https://solanart.io/nft/ECyzSuUeW3pQhY38WyhheaAwQLmutorXsdDbsshPzomH,Blue,Hippie Clothes,Angry Eyes,Lazer Eyes,Golden Crown,None,None,Chrome Babolex,None,None
