id,price,moonRank,💎 score (%),storeURL,Arm,Background,Eyewear,Fur,Headwear,Mouth,Neck,Outfit
270,1.4,1727,77.07,https://magiceden.io/item-details/4kLtMRDJCxpNJgPa676LxE5zVUuQLpDNNx9GwNheoEja,Blue Yarn Ball,Halo Ice,Eyes Closed,Zombie,Black Headband,Blushing,,
272,0.8,1497,84.63,https://magiceden.io/item-details/Ems65jjtejG4BgBPW5TfxiAa9MxP1okev3Wxug1nhHKV,Blue Yarn Ball,Gradient Solana,Wink,Ginger,Monopoly Hat,Blushing,Big Bow Tie,
291,3,4282,43.71,https://alpha.art/t/J9krVF6NPyi9KKu2i9VQTapntQKSmKdRZcLniXaJ9EzS,Martini,Halo Purple,Eyes Closed,Gray,,Blushing,,Tuxedo
296,1.39,1027,81.92,https://magiceden.io/item-details/8Hgodmci1btfcEUoeL4s9NaU6B4EyzsmNtTw6gt3fnZP,Red Yarn Ball,Night Sky,Wink,Gold,Army Hat,Blushing,,Tuxedo
303,1.38,3423,65.75,https://magiceden.io/item-details/DyucXK3wEhasThLbBnEynnRLNTXuSaqK96HpPpdeJu4P,Noodle Bowl,Halo Yellow,Eyes Normal,Rainbow,Birthday Hat,Surprised,,
319,1.2,2179,76,https://magiceden.io/item-details/HV3XRQ1AsLAkEGdaF9eSqfnLAFuFjtjYStJPadeiTGTw,Flower,Gradient Solana,Eyes Normal,Rainbow,Box Hat,Tongue Out,,Purple Gold Jersey
353,0.99,2877,73.36,https://magiceden.io/item-details/5iGRXETnQA71aPjZFWEJDTwyuD2f3y9aX9z8if2PMAxQ,Flower,Gradient Aurora,Eyes Happy,White,,Smiling,Red Collar,
354,0.3,1806,87.53,https://magiceden.io/item-details/4SzRnoNMkELxyMKg1iXdEBWq2MmjhajigsZrwXGC5EZw,Flower,Halo Emerald,Wink,Silver,,Smiling,Red Bow Tie,Tuxedo
356,1.3999,3794,63.03,https://alpha.art/t/FWfE8YYsrvkph9dKkhDv3K3XZ5bzQE2p7N7xGKRxYhDE,,Halo Black,Eyes Closed,Gray,Turban,Tongue Out,,Box
363,0.98,5056,58.65,https://magiceden.io/item-details/6bpmfGcYzocJ8jK7Bmk2Cx68fgp5HzZAVHXB1SWGEN4S,,Gradient Aurora,Eyes Happy,Gray,Bread Head,Smiling,,Hawaiian Shirt
371,1.5,3490,64.09,https://magiceden.io/item-details/3KrA8aT9s45az5Rmk1vD5P7TYCJLZyD14CPFfEtpCTfp,Cocktail,Halo Blue,Black Sunglasses,White,,White Mustache,,Box
390,0.55,2218,82.23,https://magiceden.io/item-details/2kYW41MvWsjDvGGPtvCFE722SMNyrKKYQBpaxUBr3XH3,,Gradient Sunset,Eyes Normal,Rainbow,Pirate Hat,Blushing,Red Collar,
415,3,4414,42.81,https://alpha.art/t/BpVVDBw9VcD85NtzSSSooL9hyqn5n9y7V2jKDNveuxF8,,Halo Emerald,Black Sunglasses,Rainbow,Box Hat,Blushing,,Tuxedo
417,1.35,5351,52.95,https://magiceden.io/item-details/CJZ1m5FJsNuXmzA4w4pC1u7tkV34m64zFkseAmvqPTPG,,Gradient Solana,Eyes Normal,Rainbow,Army Hat,Smiling,,
430,2,4084,55.06,https://magiceden.io/item-details/9mxr7du7u2hooWa9UWuUiqP6vukPL9tNeKgpDjySz88z,Blue Balloon,Halo Blue,Black Sunglasses,Gray,Black Headband,Smiling,,
431,1.2,1333,81.74,https://magiceden.io/item-details/AzFQDmDU9oVhTyR26N3LCqiTjtN1SPUBqv7Vt9MSfje3,Umbrella,Gradient Aurora,Eyes Normal,Rainbow,Bunny Ears,Surprised,,SuperHero
432,1.8888,1848,71.36,https://magiceden.io/item-details/B2tfzHfh4TkUUyrCJGM43rB69Dm21hpsUus2VKKBiWpy,Red Balloon,Halo Pink,Wink,Ginger,Purple Gold Headband,Tongue Out,,Sailor
434,4,5441,25.84,https://alpha.art/t/3YjYJWPcLjxNc7a3GApkfjvKFvdQjEvJrJaZh5ExxcSE,Red Balloon,Halo Blue,Eyes Normal,Ginger,,Tongue Out,,Hawaiian Shirt
440,0.35,1873,86.58,https://magiceden.io/item-details/BJje93q2kPgSm6HnJUb67z8Wnt2SHsWoDdPXZBLB6nMA,,Halo Orange,Rasta Sunglasses,Silver,Fishing Hat,Smiling,,Astronaut
448,1,5086,58.25,https://magiceden.io/item-details/3LHBUz6nYny8ogqJ3KtYQxAevQYwRXhG2X8RnQSKYWHi,,Halo Pink,Eyes Clown Happy,Red,Monopoly Hat,Smiling,,
460,3.5,4072,40.14,https://alpha.art/t/B8ofAA1uqeffcETJFXRgVFyGddqqVx7yLh6czqx8JGdc,,Halo Blue,Wink,Kittachu,,Blushing,Big Bow Tie,
464,0.94,1970,80.02,https://magiceden.io/item-details/2BGnhbQaLiW8wtoUQFWZiXrygEqExbPH2eYn3vjnyynF,Four-Leaf Clover,Halo Yellow,Wink,Rainbow,Birthday Hat,Surprised,,Hoodie
468,2.3,3573,55.53,https://alpha.art/t/DFxKoCUTBv4eis7GFtSwam3UPeZJFqhoE1QFRK7kz3H7,Flask,Gradient Sunrise,Eyes Clown Normal,Ginger,,Tongue Out,,Box
469,0.98,1237,84.6,https://magiceden.io/item-details/TeDR7FWKSUTf48NAo8yrUpBPXXYPwu9FrQYofJX8o6J,Cane,Gradient Peach,Troll Sunglasses,White,Black Headband,Tongue Out,,Hawaiian Shirt
474,2,5866,42.95,https://magiceden.io/item-details/FmBjt5Yr2R5ZAQohzBwd6aVfXTjHVPxc61qgYuZhHfQB,,Gradient Sunset,Eyes Happy,White,,Blushing,,
479,1.98,559,79.2,https://magiceden.io/item-details/Cqp2EarB4GSSa4X6dv5LRkVv9hNR8o6UzE3CMXcPpjNQ,Blue Yarn Ball,Gradient Sunset,Rasta Sunglasses,Gray,Cop Hat,White Mustache,,Purple Gold Jersey
484,1.5,4170,59.47,https://magiceden.io/item-details/H7UGCzuE3KLzWThCgpTcmyomxLV7DezP32qQhBpaWWGB,,Halo Ice,Wink,Rainbow,Rasta Hat,Blushing,,Box
485,0.5,3784,72.09,https://magiceden.io/item-details/8qDBneMuaBXWJBxyLJVdbuJAyL5EFEKjTERxg1gq1ASa,Blue Balloon,Halo Purple,Eyes Happy,Ginger,Clown Wig,Smiling,,Box
502,2,2214,67.76,https://magiceden.io/item-details/A3jmMTy6md9NwkdxgZT5YrbJVdJrJt4jFR1YmKf4xpA2,Black Wrist Band,Gradient Sunset,Round Glasses,Rainbow,Mohawk Solana,Smiling,,
