id,price,moonRank,💎 score (%),storeURL,Background,Clothing,Eyewear,Fur / Skin,Head,Mouth,Teeth
2963,155,3319,0,https://solanart.io/nft/9fej43z6YJwnMZQMoG3BEyNnZRwtqxpFLJPPqD5h38dB,Blue,NB-Ape Yellow,Shutter Shades,Blue / Peach,Mobster Hat,No Traits,No Traits
2968,120,9388,0,https://solanart.io/nft/EeZjamYupmPSVnrqhijktETsA6EEejV8YuUSfryzU9uf,Blue,Dress,No Traits,Purple / Purple,No Traits,Burger,No Traits
2979,125,1374,0,https://solanart.io/nft/5GCKPHTsyHBpPNdCKCTFFTUJBrv118kMwoYVzhbbdC6t,Red,Leather Jacket,No Traits,Albino / Blue,Graduation Cap,Dirty Fiat,Wooden Tooth
2980,90,4843,0,https://solanart.io/nft/3ujxWsS1jssTP5BgxeuELCKR8fbZHmYnKT4TMdMHezNQ,Teal,Overalls,No Traits,Green / Green,Mobster Hat,Pizza,No Traits
2982,199,1661,0,https://magiceden.io/item-details/A8ftZU97yms4Nm9jvtADDhg7aZkuTx4XA5C7RAeAQjpA,Green,Jungle Explorer,No Traits,Green / Peach,Football Helmet,Pizza,Wooden Tooth
2995,6420,435,0,https://solanart.io/nft/7LXsdHB3UyjWZiFC765nj8hmThAuXjfkxPia3qVXqGTF,Green,Space Suit,No Traits,Green / Green,Space Helmet,No Traits,No Traits
3003,690,556,0,https://solanart.io/nft/BjRoAYTVDivAmLjHUNLLM18VinsBNfbYf6ptBzwCe6kG,Red,Pilot's Jacket,Shutter Shades,Red / Peach,Top Hat,Bubblegum,No Traits
3006,100,3115,0,https://solanart.io/nft/4vCoWGzTBHyHaP2zVnTujjAtLNpCNfoosA9bdsPA1GjU,Green,Overalls,No Traits,Green / Green,Viking's Helmet,PV-Ape Glue,No Traits
3010,180,6740,0,https://magiceden.io/item-details/ELYiNxxY1q8cpzaS45wPmbCW4oeGqCRna17kbJ49zA4J,Yellow,Cheerleader,No Traits,Brown / Yellow,Beer Hat,No Traits,No Traits
3013,90,5061,0,https://solanart.io/nft/3pC1R1KAHc8qkajJGCmUVyJvrX1HGWGvmyWEzEksY9oV,Red,Overalls,No Traits,Brown / Yellow,Fireman's Helmet,Corndog,No Traits
3015,99,6186,0,https://magiceden.io/item-details/7cZ9GSVRLBfZJeKnC5CCwFpfxn4B6Y12qa7WViyshgYZ,Blue,No Traits,Wayfarer Glasses,Albino / Peach,Mobster Hat,Pizza,No Traits
3025,175,7910,0,https://solanart.io/nft/2geUTgtPg9sMDwseKFhLaSYaupA2dj23KWojy4abouYP,Blue,Dress,No Traits,Blue / Peach,Mobster Hat,Grilled Cheese,No Traits
3032,333.329987,6791,0,https://solanart.io/nft/69Sy4Duhagt5ERm8ug4b6rGqvezPReo2SdzemDbmC4ee,Yellow,Tie-Dye T-Shirt,No Traits,Albino / Blue,Beanie,Banana,No Traits
3039,125,8281,0,https://solanart.io/nft/YWoVhhVSJbCtuFi8JdZNzd2ATe6k2exYWUxT2hxWpF3,Blue,Japanese Uniform,No Traits,Blue / Peach,No Traits,Ape-le Juice,No Traits
3058,95,6816,0,https://solanart.io/nft/9wGQD9Dj8UcdYXf6mezGb1ycYZvGP5GB2fv1WUBfFVNa,Blue,Black T-Shirt,No Traits,Black / Gray,Viking's Helmet,Corndog,No Traits
3065,150,668,0,https://solanart.io/nft/kvRvbBXcM3LCjnEFogvieaJooiqi2rRBULLEJ9YqupQ,Purple,Japanese Uniform,Aviator Glasses,Blue / Peach,Knight's Helmet,Banana,No Traits
3068,165,1328,0,https://magiceden.io/item-details/J98D2YhL5jzuDm5TCuGbwT1BDPVx4aTxcv21ztfpp6Em,Teal,NB-Ape Yellow,Aviator Glasses,Purple / Peach,Musketeer's Hat,No Traits,No Traits
3070,200,4120,0,https://solanart.io/nft/AEjxtLP9WrL9YxKda1vqykUghhqx8MVocZ8FR4876f91,Green,No Traits,Heart Glasses,Green / Peach,Sun Hat,No Traits,No Traits
3071,300,89,0,https://magiceden.io/item-details/5fNj3FCtoLeTbrLgeRiiz9655TxYT6gEdZVb1i58xrTC,Red,Degen Service Shirt,Round Glasses,Red / Blue,Degen Service Hat,Sandwich,Wooden Tooth
3095,350,1344,0,https://magiceden.io/item-details/wUpDqxsPvTgnWYhdSA9hhMvM8Sx3Y8bT7AMSscrYcvn,Yellow,Fur Coat,No Traits,Brown / Peach,The Croc Hunter,Burger,No Traits
3097,600,825,0,https://solanart.io/nft/4Rnxzk8kU9WgjXUF78bsCcxuKWW2BcTREiVj67ab1U3n,Blue,Wetsuit,Shutter Shades,Albino / Peach,Beanie,Cigar,No Traits
3102,597,4160,0,https://solanart.io/nft/FBxJuPNz15qWkCZSZ46amGiqDZ7Jb9Zxxw4gJpQsh82Q,Black,No Traits,Shutter Shades,Black / Peach,Straw Hat,Drool,No Traits
3125,92,2245,0,https://magiceden.io/item-details/2zNkapWXLuf8znmMwGgMQTesrxCx3Fd5F9mtNAbDqK8t,Green,Turtleneck,Round Glasses,Purple / Peach,Sun Hat,Bubblegum,No Traits
