id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Head,Mouth,Teeth,Type
194,0.3,427,59.53,https://magiceden.io/item-details/DsV1khnkKThuPjtsrZvkLUMDab4xNFPu6HmYhoLJMsiG,Green,Yellow Sport Suit,None,None,None,None,Green
195,0.3,440,58.38,https://magiceden.io/item-details/VUBZcEVtkag88gta2nWRL6u1mhNHYwhEN3wLWiBNR49,Green,White Hoodie,None,None,None,None,Green
196,6.9,52,26.79,https://magiceden.io/item-details/5dHU9hLsRPWQaffCdGkbittmvcqVSbUFCX7EBbeH9tfS,Burlywood,Black Suit,Viper Glasses,Builder,None,None,Pink
201,0.3,431,59.17,https://magiceden.io/item-details/Bem5roaLtf5kwLfyjgY5JPgMUQKFi31JtfkJg1iTS1dU,Pink,Black Tee,None,None,None,None,Green
203,2.5,32,72.56,https://magiceden.io/item-details/5U2KDeV7giLKgkPSozMTqRHUUUEje7oDrErTj4r4gajR,Purple,Camouflage,None,Black Cap,Cigar,Steel,Pink
213,0.89,94,83.16,https://magiceden.io/item-details/HTJSyLJnvFJYPXUfUFjxuUob9j56vaq6L7hmMV7BW9c1,White,Black Sport Suit,Eye Patch,Purple Backwards Cap,Red Vape,None,Black
217,0.3,397,62.19,https://magiceden.io/item-details/6uvQYaj8tfAS19D3uhhTsLALbZDyjDwgGvK696smpN9Y,Pink,White Tee,None,None,None,None,Black
233,2,29,77.83,https://magiceden.io/item-details/A7agUZK1J4ao17VqbAfJLfb7b5bZNQHiT3pbez61BSso,White,Royal Cape,None,magician hat,cigarette,None,Pink
241,25,229,0,https://magiceden.io/item-details/56fKyRXJvUcETDvBsDJTLNVRW71UxEJDwoq8Dsc3uYMi,Pink,None,Black Glasses,Illusionists Hat,None,Steel,Light Blue
242,6.9,11,30.42,https://magiceden.io/item-details/q8cPe7J6Ybe2DWsNf3swVEGLPgc3dFQpxBQ7VEBBrB1,Green,White Tee,Rage,Afro,Red Vape,Steel,Green
247,0.24,167,83.19,https://magiceden.io/item-details/9vscT4Ck7x2k9sor86xWDTqbYqMsJkHkq1FUivXxH1Na,Purple,Black Suit,3D Glasses,Black Backwards Cap,None,None,Light Blue
248,0.5,451,55.4,https://magiceden.io/item-details/BkpnC3PACaov5ivhtSNxPD6xJ7SpwgXVvLxWqAKFvmP2,Purple,None,None,None,None,None,Green
250,0.145,204,80.86,https://magiceden.io/item-details/YwenVXf12CPgez8tV7YziX1HzVP9sQozUXoptnWdokY,Green,Black Sport Suit,Thief,Blue Bandana,None,None,Dark Skinned
254,0.444,108,86.38,https://magiceden.io/item-details/2aBUsM5ekQboxjGCz2pyE1WLipbCCSJ3WMdfLommpejr,Light blue,White Hoodie,Eye Patch,Red Bandana,Blue Vape,None,Black
263,0.24,146,85.05,https://magiceden.io/item-details/3KpcdrHrxCcGBbsdhWaVYfm6To3euJGYmUAupHGr5Kzp,White,Blue Suit,Yellow Glasses,None,None,Steel,Zombie
266,0.5,318,67.2,https://magiceden.io/item-details/3gXzDR4tM5dQpp9nnRwNPoCku3ERmMwYaUVKTC7PU17K,Pink,Purple Sport Suit,None,Black Backwards Cap,None,None,Black
268,0.33,71,90.8,https://magiceden.io/item-details/4SRpXPbn6xN2yehcRsrC6iZNriQZsnCQRhDXm3zH1bBy,Solana,Builders Vest,3D Glasses,Beani Red,None,None,Dark Skinned
