id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
1154,6,4289,25.25,https://magiceden.io/item-details/J3tncR1wC563aXaSRo6Y6wD7tszTGzKDEmNDAKwQqGPi,Amaranth,,Jaded,Backwards Cap Pink,Stache,Shirt Red,Natural
1155,0.98,5129,71.09,https://magiceden.io/item-details/CXqxhaPSGnfDWWv4MPWgLveSZnJPEPzEfRRzmJTPGbSc,Amaranth,,Wink,Bowler Dark,Smug,Tank Top Purple,Natural
1168,1.48,5768,62.78,https://magiceden.io/item-details/DNbQTY2h1fvVAsCP4PYW6TBVukGP8Hy6ENdE1hdXBGPf,Sand,,Scar,None,Stache,Shirt School,Natural
1273,7,1546,29.48,https://magiceden.io/item-details/hiyKDfqnPbaRMuVYz7XTos3kuRBSbiRW8h59zd4bXY5,Pink,,Jaded,Backwards Cap Blue,Drool,Astronaut Orange,Natural
1292,2,304,85.92,https://magiceden.io/item-details/48ZfQcvLS5bTGViwm34DJsMyvsmU5Rc17Um7VUA8cN4u,Orange,,Thug,Pirate,Smile,Turtleneck Dark,Natural
1308,2.22,5771,55.36,https://magiceden.io/item-details/6t69CmBVZrpaqx7rPJLuvgZDNinkXsUXTvq6Q6nqETsz,Straw,,Jaded,Bucket Hat Blue,Smile,T-Shirt Yellow,Natural
1461,1,7053,60.91,https://magiceden.io/item-details/3UQ1ecdLdhuwQdAdcJNdVE9VHFdkLboWi1aoKGF19RnA,Emerald,,Jaded,Cap Pink,Smirk,Shirt Flannel Green,Natural
1480,1.75,1114,84.22,https://magiceden.io/item-details/GK7ZfQ4auhCYcZ3ivTJCbp6s3Fi2pjgP52KLZ5D2yvqL,Persimmon,,Thug,Valet,Smirk,Shirt Camo,Natural
1530,1.6,2393,79.09,https://magiceden.io/item-details/FnGu9bb9FdpMF18yfJrDd62a8zvZU3TnYkqdvLJQeXyo,Green,,Standard,Backwards Cap Pink,Closed,Armor Light,Natural
1535,1.1,3931,76.11,https://magiceden.io/item-details/8ts8rwo4MddHbcSvrrSuFc2zJLwoNFRXPvYGiT6Dkkg7,Pink,,Blank,Cap Dark,Smirk,Hoodie Pink,Natural
