id,price,moonRank,💎 score (%),storeURL,Background,Body,Earring,Eye,Fur,Headwear,Mouth,Necklace,Top
846,800,1048,0,https://solanart.io/nft/21dAWz6AFyMMQMxR57KPXpnwiwFcHdD3NQRVo5bSmbWR,Darkwood,Sapphire,Lightning,Regular,Silver,Cap Dope Silver,Pizza,Chain Silver,Tank Top Prison
847,1.25,1990,70.62,https://magiceden.io/item-details/9QKN4Jd8xQDuN1Y1e9uMZ1LtMjZ6FvKrVqfyT6BWUwH8,Japanese Dope Black,Regular,Multiple Silver,Glasses Money,Ash,Cap Dope Gold,Cigarrite,Beads Silver,Jeans Overall Red & Blue
870,2.5,2372,53.53,https://solanart.io/nft/21WTchcnqzTxxZuUooay1N6yP5R4DxfGTZPJj6iXzE6N,Neon Shocking Pink,Ruby,None,Eye Bag,Arctic,Beanie White,Tongue Out,Multiple Silver,Hold White
875,1.5,3160,54.08,https://alpha.art/t/A9Q2J74cEXccFtThS92f2DpP9DzvUmziUGwK8KYuvq5G,Eclipse Amaranth,Ruby,Nihon Red,Money,Ash,Cap Smiley,Unhappy,String Silver,Jacket Neon
883,10,2970,0,https://solanart.io/nft/8Vpq6KKoxB5DSMfN3MALkbF1yMmDRhWgsAaqeZoPNqHo,Round Amaranth,Regular,Clip Silver,Watery,Galaxy Night,Punk Green,Pizza,Dope Silver,Suit
896,20,2652,0,https://solanart.io/nft/GaovnpuaH5oWe88FkM3BiYhjLynw5XEFLL5YbdA7bn9N,Neon Bitter Lemon,Amethyst,Nihon Red,Glasses Round,Snow,Bandana Red,Shouting,Cross Silver,Jeans Overall Red & Blue
903,0.7,2379,71.45,https://magiceden.io/item-details/B3Rpg1KT2NgpswNHBdTXT2wB1Zke5xjVi8NsWeXAPArC,Portal Persian Blue,Ruby,Hoop Gold,Mini Glasses Cyan,Arctic,Cap Dope Silver,Tongue Out,Dope Silver,Jeans Overall Black
916,1.49,3215,53.52,https://magiceden.io/item-details/HJJpDxPbjaRefFnCBVJVdpAmAoSd5h1dWezbfN5NSoqS,Round Persian Blue,Sepia,Airpod,Blinky,Snow,Punk Green,Laughing,Cross Silver,Jacket Red
924,1.25,2385,65.88,https://magiceden.io/item-details/7RdK74BNDhNW8c5KXh9BQVbMDxC9dnVHRJqYiYLLMv6k,Neon Persian Blue,Ruby,Lightning,Money,Cobalt,Bandana Red,Dope Drink,Multiple Silver,Disco Yellow
944,5,28,56.66,https://solanart.io/nft/6Yt4NZvYEGWFotYTxBKKbcnLzzg2YoBPPKV4oPP1qxEX,Round Rainbow,Amethyst,Nihon,Dope Bat,Cobalt,Goggle Midnight,Bubble Gum,Beads Gold,Disco Yellow
948,0.8,1231,84.23,https://alpha.art/t/AX7XBhdxQCf8gEKm5EL8ieNdA1FqoHA5Qy8tpGC2v7wg,Portal Shocking Pink,Sapphire,Nihon Green,Sunglasses Pink,Cobalt,Beanie Black,Tongue Out Rainbow,Ethereum,Tank Top Black
958,0.86,3136,60.76,https://magiceden.io/item-details/CMNxGnKJKhVqdpTUmShsdeKwbEpsVHDM8hbi6usuye7J,Portal Shocking Pink,Amethyst,Nihon,Regular,Flamingo,Punk Purple,Cigarrite,Dope Silver,Jeans Overall Black
970,1.5,1202,77.57,https://solanart.io/nft/EB72FK5HaxvRe8dTGwTSW3hpsbLdYQDgAicfQBjvCBov,Eclipse Persian Blue,Ruby,None,Cyborg,Crimson,Goggle Sunrise,Shouting,Dope Gold,Feeling Lucky
971,1.5,2364,63.63,https://magiceden.io/item-details/DVQLf6Qh8fUBXRo9s8w51zT6hfyuDbHyZJgU35m4rQCX,Portal Persian Blue,Sepia,None,Blank,Cobalt,Banana,Smile,Multiple Silver,Captain Solana
980,500,1105,0,https://solanart.io/nft/Gu7UJtPrWsxmxdV6QiXDQiTRf1J6tYXmuHuPmPfSVxus,Eclipse Shocking Pink,Regular,Multiple Silver,Dope Goggle,Magma,Devil Horn,Cigar,Multiple Silver,Disco Yellow
990,70,2621,0,https://solanart.io/nft/HjpCKeW32DWv1tbZi6hNs2wJ6HH4QRGcPQf5Prtpqm7Y,Portal Amaranth,Regular,Nihon,Blinky,Leopard Black & White,Goggle Sunrise,Bubble Gum,Cross Silver,White
994,1,1125,83.5,https://magiceden.io/item-details/CippNEBcbb7sF1UezLgVRBseBXdeQ8tqTnaxyV6dfcjB,Round Amaranth,Regular,Clip Gold,Sparky,Tangerine,Bandana Green,Cigar,Multiple Gold,Black
1009,0.75,2489,69.63,https://magiceden.io/item-details/HScPDgh92SXUfzgVxbGNCgmVfGfvXNfHf6efCh193rRG,Portal Shocking Pink,Emerald,Hoop Silver,Scar,Snow,Punk Purple,Unhappy,Solana,Feeling Lucky
1011,1.75,538,83.04,https://magiceden.io/item-details/x33RDt6wnSSMt8HDfwttBnskhyDhL4MAUjPkMoFYMxU,Portal Electric Violet,Amethyst,Hoop Silver,Money,Magma,Bandana Blue,Evil Smile Gold,Chain Gold,Blue
1016,1.1,720,87.36,https://magiceden.io/item-details/5V3RwswpctgRpPbzaDYpyWZaxh2Cfemdw5eLzngmyKTc,Portal Electric Violet,Sepia,Cross Gold,Sunglasses Purple,Arctic,Bandana Red,Cigar,Ethereum,Jersey 18
1017,5,2963,21.44,https://solanart.io/nft/6GX97GA61CYQX7KinBhfqmzvdtWYrzsyhsYJoLJhWvSY,Eclipse Persian Blue,Sapphire,Banana,Watery,Arctic,Bandana Blue,Censored,Chain Silver,Emoji
1023,15,2356,0,https://solanart.io/nft/HxFLfPzMDk8oWghqVg2xEmJCcXwdSVgz9mvnMZU8dyA,Portal Amaranth,Sepia,Multiple Silver,Cyber Glasses Yellow,Banana,Cap Dope Silver,Censored,Bitcoin,Jacket Neon
1034,30,2765,0,https://solanart.io/nft/8AbhGfK3mxX55aNc5KScHpTWaW8f6yYx8rijFtjhsGfC,Portal Amaranth,Regular,Airpod,Glasses Lightning,Arctic,Captain Bitcoin,Cigarrite,String Silver,Disco
1043,1.5,1638,72.34,https://magiceden.io/item-details/ETkMssbDp1VAaxShroDcMZbpmZLfjPww1td9NK81hYd3,Portal Electric Violet,Amethyst,Multiple Silver,Cyborg,Violet,Captain Bitcoin,Censored,Chain Silver,Disco
1063,1.4,2898,58.22,https://magiceden.io/item-details/D72fr2Ync26w4UV41xktkmJx9Ey7vKSZ9qEqjwqLGBEx,Round Shocking Pink,Ruby,Nihon,Cyclops Green,Arctic,Cap Dope Silver,Tongue Out,Multiple Silver,Jeans Overall Black
1072,1.1,2269,68.77,https://magiceden.io/item-details/2eKnsmxWppjkkow9r9fcP3k7fy4hboznLxXn5EjLFGCw,Blue Sky,Regular,Hoop Silver,Cyclops Green,Violet,Bandana Green,Smile,Multiple Silver,Neon
1089,3,3329,37.05,https://solanart.io/nft/CzokJWEUWsf12bWr8vwGSNRGJceLtGQtrCiar1WJ6Reo,Round Electric Violet,Regular,Clip Silver,Glasses Money,Snow,Goggle Midnight,Censored,Cross Silver,Tank Top Black
1091,3.5,1297,56.43,https://solanart.io/nft/9nR3JCJu6rcigTgd3hQkjgtFPR6CMzNqwK4UgyXCXsQb,Japanese Dope Black,Regular,Banana,Glasses Lightning,Arctic,Bandana Red,Unhappy,Ethereum,Tank Top Prison
1096,0.99,629,89.55,https://magiceden.io/item-details/B6CVPVPUjJERZJwzTwegrVM3MnHEXmj7NEfUV79HLh7o,Round Amaranth,Amethyst,Multiple Gold,Sunglasses Green,Violet,Mask Demon,Dope Poison Drink,Chain Silver,Disco
1106,1,1871,74.55,https://solanart.io/nft/EqF5yw2XCkz5upTeaoYUiY89dt26kUa3kmY548dTi9q,Round Bitter Lemon,Sapphire,Nihon,Blinky,Silver,Captain Bitcoin,Tongue Out,Dope Silver,Wagmi
1111,30,19,0,https://solanart.io/nft/FSAvjFbf61eSr3NjufiZAjrWubvgwuAF6gtLGenKKLk5,Round Electric Violet,Emerald,None,Empty,Special Edition Alien,None,Laughing,None,None
1114,1,1398,80.22,https://solanart.io/nft/2v2biXEqnznf49GV27mQKNaugvcwDp2KnHqwDVXteSY9,Dope Shocking Pink,Amethyst,Multiple Silver,Glasses Love,Midnight,Cap Dope Rainbow,Cigar,Beads Silver,Jersey 01
1115,1.35,1683,73.3,https://solanart.io/nft/Hnh3Bk1mopHrZEGpVRhtMr2Zy6bZdAkShkFhz5XRR5ur,Dope Persian Blue,Emerald,Money,Dead,Frozen,Mafia Hat,Bubble Gum,Cross Silver,Wagmi
1129,0.97,2685,65.08,https://magiceden.io/item-details/Fq4vKEqms4HxL7Ujd3BLjSKuyiwJSuF3k2AAYg8YHg4P,Round Electric Violet,Regular,Nihon Blue,Eye Patch,Crimson,Devil Horn,Shouting,Multiple Gold,Jersey 01
1132,1.3,2568,63.18,https://magiceden.io/item-details/EfipEKY5fMqfaVMSXUnUQDFXLhKHii4cJedG4dqa4t53,Eclipse Persian Blue,Sapphire,Nihon Red,Sunglasses Green,Crimson,Cap Smiley,Smile,Chain Silver,Suit Silver
1136,2.5,1060,69.28,https://solanart.io/nft/8E4z66vigqu3Sok2VXmNuhDEnqTRGzGpmBp6fVc7BvEF,Dope Bitter Lemon,Emerald,Multiple Gold,Mini Glasses Yellow,Midnight,Bandana Green,Evil Smile,Solana,Jeans Overall Black
1151,5000,1699,0,https://solanart.io/nft/6Ft3S1B1x11X421ocLa8gP9XVyZebYQtqHtAVmWk94Wa,Eclipse Amaranth,Sepia,Hoop Silver,Blinky,Banana,Goggle Midnight,Pizza,Cross Gold,Tank Top Prison
1156,1.29,1400,77.3,https://magiceden.io/item-details/92jNpobxYBasHdfE7zVvBLu9MfStBMQDwPU3vKTdREtp,Neon Persian Blue,Amethyst,None,Dead,Cobalt,Bandana Green,Watermelon,None,Jeans Overall Red & Blue
1162,1.29,3247,55.13,https://solanart.io/nft/NFs55yqZqxtgZeAiMUeQWwxzhvc8d17yofRMXowWkBu,Eclipse Persian Blue,Regular,Love,Eye Patch,Flamingo,Party Hat,Laughing,Dope Silver,Disco Pink
1176,1.5,203,89.56,https://magiceden.io/item-details/FPSBjyRmSSyTRr7E8u7xzKWqUaQenzUS8Dg96S7GFSey,Dope Persian Blue,Ivory,Cross Gold,Blinky,Midnight,Devil Horn,Smile Golden Teeth,Chain Silver,Disco Yellow
1177,0.71,1862,77.55,https://magiceden.io/item-details/HakSNeiaoqxBBxx73G2ByMECkKZhpSfhQyLP6n9JB8nu,Portal Bitter Lemon,Sapphire,Clip Silver,Glasses Round,Cobalt,Cap Dope Rainbow,Laughing,None,Jersey 30
1191,1.77,1816,67.51,https://solanart.io/nft/6gxS4rxSYh7D2Z1vTcxZQXXtwQ5idCVUzUtaQPTj7Fv3,Eclipse Shocking Pink,Emerald,Nihon,Blank,Crimson,Mask Demon,Evil Smile,Bitcoin,Tank Top White
1216,1.4,3104,55.75,https://magiceden.io/item-details/DK81qvNRPwWf6kShmU3VkkPGSGMhpewyV9mpPds63APB,Dope Bitter Lemon,Sepia,Nihon Green,Love,Violet,Devil Horn,Shouting,Multiple Silver,Suit
1249,1.75,2706,57.02,https://solanart.io/nft/8TzmSsaQCi9BytEUYo2vQnnpTzFBGn7XxAx5Lf1rjxFm,Round Amaranth,Ruby,Money,Cyber V Glasses Yellow,Midnight,Party Hat,Cigarrite,Chain Silver,Blue
1267,1.91,3110,50.58,https://solanart.io/nft/GNf4LosVVoFXuVYzZXsR1PX8jNELBaM7uBfWdSymm3yB,Round Bitter Lemon,Sepia,Money,Glasses Love,Banana,Devil Horn,Censored,Chain Silver,Tank Top Black
1269,1.55,852,81.27,https://magiceden.io/item-details/7fNpYoKSn8Xn6PXaJzjPbUd6JyvhrBQqQkRsfzrYDSsx,Neon Amaranth,Sapphire,Multiple Silver,Dope Clown 2019,Midnight,Bandana Blue,Lollipop,Bitcoin,Jeans Overall Black
1274,161,554,0,https://solanart.io/nft/4xUvaBuBu2zfTE6iwj92W7yXA2cPYuvsVSvFsyKWTfS,Portal Shocking Pink,Sapphire,Multiple Gold,Dope Goggle Solana,Arctic,Cap Dope Silver,Cigarrite,String Gold,Red
1280,3.1,2170,49.96,https://solanart.io/nft/HRzp3NG6cPLdbYErcL19ApfjhEMk7rguhq4U3m1geFng,Neon Bitter Lemon,Sapphire,Money,Sunglasses Pink,Midnight,Mask Fox,Tongue Out,Cross Gold,Wagmi
1289,0.735,1678,79.51,https://magiceden.io/item-details/52P6PX5s2ejT2Lv1D2rhkJS4ixWerSnbZP7vjG5YEcv8,Portal Amaranth,Regular,Nihon Green,Love,Arctic,On Fire Blue,Evil Smile,Cross Gold,Jacket Red
1291,3.5,3280,32.64,https://solanart.io/nft/FzLpE42aRVREGpEU2pWuQ67Jcf1ACbdQv6WhUYauKCjE,Neon Bitter Lemon,Regular,Money,Mini Glasses Yellow,Flamingo,Punk Green,Censored,Cross Silver,Neon
1300,1.1,2590,64.92,https://magiceden.io/item-details/GCvy8WxAvcfTCCGrcfphpDt9271jgeT3nkj74hXBs5cd,Eclipse Shocking Pink,Emerald,Nihon Red,Money,Lime,Banana,Cigarrite,String Silver,Captain Solana
1306,1.77,3150,51.5,https://solanart.io/nft/Fu46CKj6JwoyCkFZu5hAUmec3xSNkujQt1cBb2U2hFrc,Neon Persian Blue,Sepia,Cross Silver,Eye Patch,Snow,Punk Purple,Tongue Out,Beads Silver,Tank Top Prison
1308,1.5,996,80.05,https://solanart.io/nft/7rNcDPSRH9eNHTCc4abcC75YEYs31e7YNjVFm7LLni9n,Japanese Dope Black,Amethyst,Nihon Red,Glasses Lightning,Leopard Black & White,Goggle Sunrise,Lollipop,Cross Silver,Jersey 01
1327,200,3288,0,https://solanart.io/nft/3SXg2CoeUSVLXqndoN234frM5vJT5gcCtfCPqMyxoJUu,Dope Bitter Lemon,Regular,Cross Silver,Glasses Round,Crimson,Goggle Sunrise,Smile,Cross Silver,Suit
1329,4,1999,43.01,https://solanart.io/nft/SDFTEubQSQgC3PVPKouZaBpFzq6SGadiSAt3RtT4B13,Portal Persian Blue,Amethyst,Cross Silver,Sunglasses,Flamingo,Punk Purple,Shouting,String Gold,Wagmi
1343,1,2173,70.92,https://magiceden.io/item-details/5x5oatUizP7vBPsFk9xf7H6bKwHyeASVuHxwuLKuyVa4,Round Amaranth,Amethyst,Nihon,Cyber Glasses Yellow,Snow,Party Hat,Evil Smile,Beads Gold,Jacket Red
1344,3,1957,53.51,https://solanart.io/nft/DJctK4CSUB8UFBjXPPw2aF8PUJ7MMbmwdnMbUfMB1wEg,Dope Amaranth,Sepia,Money,Mini Glasses Yellow,Galaxy Night,Mask Fox,Soul Out,Cross Silver,White
1351,1.79,2222,62.43,https://solanart.io/nft/GxEaJDnpzVStB3Pv4SMfQQj2iMv7KGYHG56CKhSVv2Kr,Dope Shocking Pink,Sepia,Nihon Green,Blinky,Snow,Mask Demon,Tongue Out,Bitcoin,Jeans Overall White
1353,1,3205,58.54,https://solanart.io/nft/9uDgqqM7KdD3qkiCDSgySr4vsbqa1F1yShnLQFWe1uAM,Portal Shocking Pink,Regular,Hoop Silver,Love,Tangerine,Cap Smiley,Soul Out,Dope Silver,White
1358,1.5,2050,67.4,https://solanart.io/nft/8CoSJG3FtP6GJh7XPgMb8w4ijbU48BWwwTG8CVjCycea,Dope Electric Violet,Sepia,Nihon Green,Sunglasses,Galaxy Night,Mask Tengu,Watermelon,String Silver,Wagmi
1361,35,47,0,https://solanart.io/nft/AS9kVJogJ2u8fscaGrcZABeDtgXFPeDXoqYQcKJ1C1tn,Dope Shocking Pink,Obsidian,Banana,Eye Patch Silver,Gold,Cap Smiley,Bubble Gum,Ethereum,Tank Top Black
1363,7,2299,9.41,https://solanart.io/nft/F8fA49mfL1HgcKx33bEquoDt9VvKiGuV2zhKsLBXgNfX,Portal Persian Blue,Ruby,Lightning,Cyber Glasses Purple,Flamingo,Party Hat,Regular,String Gold,Jeans Overall White
1365,1.33,885,83.08,https://magiceden.io/item-details/CBMe7hSejH7AfapjmKSwXwVVSJhvNNs2FL9oya6dU31a,Portal Electric Violet,Emerald,None,Sparky Evil,Midnight,Banana,Regular,Beads Gold,Neon
1367,0.75,1780,78.14,https://magiceden.io/item-details/FCuLXpMKcFwBWPaUmcsXk6xrB6qyTj3tb2sL2KxZz28J,Portal Bitter Lemon,Sepia,Cross Gold,Regular,Banana,Beanie Black,Pizza,Cross Silver,Blue
1397,2,2139,61.33,https://solanart.io/nft/EmKVd9hak4YeXzuYTjnJh5phZ4v3FryCdf3eZzt6rKAx,Round Persian Blue,Amethyst,Nihon Green,Money,Violet,Cap Dope Rainbow,Regular,Beads Silver,Jersey 30
1408,3,1738,56.14,https://solanart.io/nft/J9oPrsQrUrmKDFg1BbkpZvY6KXbaF8FDwx7kTWNGHKFm,Eclipse Persian Blue,Sepia,Nihon,Cyber V Glasses Cyan,Crimson,Cap Smiley,Unhappy,Cross Silver,Lebron James Type 2
1409,33,1,0,https://solanart.io/nft/HLtFfcKWSkD9ZLhXsq9FE8E8ngPNAUSvtPgSjfHbVGDr,Special Edition Dope Clown,Special Edition Dope Clown,Special Edition Dope Clown,Special Edition Dope Clown,Special Edition Dope Clown,Special Edition Dope Clown,Special Edition Dope Clown,Special Edition Dope Clown,Special Edition Dope Clown
1412,2.1,2097,60.83,https://solanart.io/nft/2tHob9YAMKXJDiJ4uWk6tuLfMn5SjiofwiFYNYqnxZVq,Portal Electric Violet,Amethyst,Love,Hyposis,Violet,Bandana Green,Censored,Chain Silver,Messi Type 2
1429,2,2690,54.72,https://solanart.io/nft/3cmu7PZ1pub8hK5N7hxknw5365cjW1CZv6UVw1x1a8SA,Eclipse Bitter Lemon,Amethyst,Nihon Red,Watery,Crimson,Beanie Black,Evil Smile,Beads Silver,Captain Solana
1431,1,2935,61.78,https://magiceden.io/item-details/6Y2crQR5yGFzRvWjX1Q5qnhVFBTnMXKM1fQPzhQ1vPpZ,Round Persian Blue,Regular,Mech Midnight,Hyposis,Snow,Beanie Black,Cigarrite,Dope Silver,Jersey 18
1438,0.99,1352,80.87,https://magiceden.io/item-details/G5VFsbvMSAdo4eAm7KxEYC2kk5QkhqoAwV3v8U11VVEG,Dope Bitter Lemon,Emerald,Hoop Silver,Money,Snow,Halo,Cigarrite,Solana,Blue
1439,0.99,1500,79.1,https://magiceden.io/item-details/4Eth9szzFCD2cPhiuKKowdNwyLnSweuijALVKZR5cGxn,Japanese Dope White,Sapphire,Airpod,Scar,Cobalt,Mask Tengu,Unhappy,String Silver,Jeans Overall Red & Blue
1449,1.8,2007,64.91,https://solanart.io/nft/GsAWnZzN95xzQi5YFDNiQ6SSbizZUcaGXL5dGyQfFKig,Dope Electric Violet,Emerald,Nihon,Dead,Flamingo,On Fire,Confident,Multiple Silver,Jacket Blue
1451,1.25,2958,59,https://magiceden.io/item-details/D96KV5WfBuTjJUZWmDLoc3sN1Q3U7ME7x7kp7xp1bbKz,Portal Persian Blue,Sepia,Hoop Silver,Sunglasses Purple,Galaxy Night,Mask Demon,Laughing,Dope Silver,Jeans Overall White
1453,9,77,16.08,https://solanart.io/nft/7gJ3sGWLc8zEYpGsFfaginc2PpTDhfaBUHY4vWjsvSQt,Eclipse Bitter Lemon,Regular,Snoop Dogg,Glasses Round,Silver,Captain Solana,Regular,Solana,Premium White
1461,1.7,1838,67.94,https://solanart.io/nft/GyWmhzH7LVzugc1zdRg8TrsQn64qGR7Xdabu7isMUink,Portal Amaranth,Regular,Money,Mini Glasses Yellow,Snow,Mask Tengu,Lollipop,Bitcoin,Red
1462,1.1,2480,66.24,https://solanart.io/nft/b2dHB97KRdLzhKT1NrqGV9TVBQ3SrNzHmYUhYnTgQyM,Dope Shocking Pink,Amethyst,Nihon Red,Sunglasses Pink,Leopard Black & White,Cap Smiley,Tongue Out,Dope Silver,Jeans Overall White
1465,2.25,2262,57.35,https://solanart.io/nft/Utq8BcSTPKBuUzUkaaJuAaTPo6sCtNmsVxF7K2ZRRPW,Neon Electric Violet,Regular,Nihon,Scar,Snow,Captain Bitcoin,Lollipop,Dope Silver,Captain Bitcoin
1466,1,2180,70.84,https://solanart.io/nft/36uNuLxjMJM9oncujy2FX4MK9h4F718SqbrspTGZYP6R,Portal Amaranth,Amethyst,Airpod,Empty,Tangerine,Mask Fox,Tongue Out,Multiple Gold,Jeans Overall Black
1474,2,1700,66.6,https://solanart.io/nft/8oCYjQqcR9Qpsix4fgkQKzMtSJwjUkyn8iMsKq2BFRME,Neon Amaranth,Emerald,Nihon,Glasses Money,Violet,Beanie White,Lollipop,Cross Gold,Blue
1484,1.55,2987,55.65,https://magiceden.io/item-details/9ijCoWV8dnCgqGbm6mtaY6q5c2t7GFWrToUkM3gxo52r,Dope Amaranth,Ruby,Banana,Love,Ash,Goggle Midnight,Shouting,Beads Silver,Hold White
1492,1.75,2834,55.49,https://magiceden.io/item-details/FM6ae3t8TQqifyZKP7jN1fa6veWeoue6bxvmHFdBNeVE,Round Persian Blue,Sapphire,Nihon Green,Dope Goggle,Lime,Bandana Green,Shouting,Beads Silver,Jacket Neon
1494,2.2,497,79.04,https://solanart.io/nft/6xnkgDKex4BqD954ESWyikH1ucgDXs5j7Nzvoso3waKj,Portal Amaranth,Sepia,Nihon Green,Hyposis,Mech Midnight,Banana,Pizza,Multiple Silver,Captain Solana
1495,0.78999,2889,64.43,https://magiceden.io/item-details/9xWiGHrTKAXgXYQULL9fVTMMtrtaNM52tM1ukGdaF7Eh,Eclipse Electric Violet,Sepia,Clip Silver,Sunglasses Purple,Midnight,Mafia Hat Silver,Regular,Chain Silver,Tank Top Black
1503,5,2028,32.66,https://solanart.io/nft/2SyCEw8jXHYJd7LP5L66ekrNidDvRsdTN5jgVQSw2zBk,Neon Electric Violet,Emerald,Nihon Red,Bitcoin,Banana,Banana,Cigarrite,Dope Silver,Premium Black
1504,25,236,0,https://solanart.io/nft/4eeyLuxqsR9FShLvgPRxGST6VkZ8Q1y39xJNZmGYS5wY,Neon Electric Violet,Ivory,Multiple Silver,Mini Glasses Yellow,Galaxy Night,On Fire Blue,Soul Out,String Silver,Disco Pink
1511,4,1162,53.05,https://solanart.io/nft/8YqYLcYFHx8aet9kPyAW1XKLq46757UZZkfeZg4aLaxQ,Japanese Dope Black,Emerald,Nihon Red,Sunglasses,Arctic,Goggle Midnight,Confident,None,Disco Yellow
1512,650.400024,1645,0,https://solanart.io/nft/6gsy4txbY2khzce3wkWg1PYzfSp92eSsweNMkUYVsx4j,Eclipse Electric Violet,Sapphire,Hoop Silver,Cyber Glasses Yellow,Violet,Punk Purple,Cigar,String Gold,Suit
1518,2.3,3189,45.73,https://solanart.io/nft/6uBykefN5kLnFhfpDSfd9uFiivfovYHBXSpGotaGdUJp,Round Electric Violet,Sepia,Nihon Green,Blinky,Violet,Mafia Hat,Unhappy,Multiple Silver,White
1521,1.5,1427,74.87,https://solanart.io/nft/7fbyhPniihsXbKdfCbEfPHukSeK8oDMiZ8Mqzv9JomDS,Portal Shocking Pink,Amethyst,None,Glasses Money,Tangerine,Captain Ethereum,Evil Smile,Solana,Jeans Overall White
1529,1.44,2969,56.97,https://magiceden.io/item-details/8TxT7iyXN1oyMg1GjXRPpQug9Nzq6RUm7okXkWjBy3RK,Round Electric Violet,Regular,Lightning,Cyclops Green,Banana,Mafia Hat Silver,Tongue Out,Cross Silver,Jeans Overall Black
1533,1.38,2508,63.1,https://magiceden.io/item-details/8AoTRekQ488Ph6WfCXxed11HiDSNzCLzFqVwGkJrm3JK,Portal Shocking Pink,Emerald,Nihon Green,Cyber V Glasses Purple,Tangerine,Punk Green,Lollipop,Chain Silver,Feeling Lucky
1539,50,3133,0,https://solanart.io/nft/D6s2vfG2Thz4BBkdAZS5RskVYHLi3mnCajN8Yfw6dSt9,Portal Amaranth,Regular,Banana,Blinky,Arctic,Cap Dope Gold,Smile,Cross Silver,Disco Yellow
1565,2.29,2136,58.47,https://solanart.io/nft/7dmcfug3C8J2Z2Q7DVzaakWtPn7Uim7GPkC4kDeQWtqP,Eclipse Amaranth,Ivory,Hoop Silver,Cyber Glasses Yellow,Cobalt,Devil Horn,Tongue Out,Cross Silver,Black
1567,1.47,1985,68.48,https://magiceden.io/item-details/FJLgVDPo8Lc8gbLYUzgJGLrXPchW1eVva55tazGZ9baV,Eclipse Persian Blue,Emerald,Multiple Silver,Cyber Glasses Yellow,Crimson,Cap Smiley,Regular,String Gold,Jersey 01
1578,3.14,1533,57.2,https://solanart.io/nft/9Kfo4ZaDQW2R8rZ81wzakc6iyKjQcrZAz6EXf8PDjZok,Round Electric Violet,Obsidian,Money,Sunglasses Pink,Violet,Punk Green,Soul Out,Chain Silver,Suit
1591,2.4,1646,63.25,https://solanart.io/nft/winA5a2qcWUSiH5ZNojPyZncRS41fhiGsZYYRHEtC2o,Dope Persian Blue,Ivory,Nihon Blue,Mini Glasses Cyan,Ash,Bandana Green,Laughing,Chain Silver,Neon
1596,100,1904,0,https://solanart.io/nft/8DPWVjCQhrWZb5sP8wUsPqPQxuYdn8goNRmAxV6btcEU,Portal Bitter Lemon,Regular,Banana,Cyber V Glasses Yellow,Silver,Devil Horn,Unhappy,Dope Silver,Premium White
1605,1.5,2830,58.04,https://magiceden.io/item-details/9MWtbn7Z8J1P21WoEetYwCCbzP9ozq4GvoDGWnoMmakQ,Eclipse Bitter Lemon,Regular,Money,Money,Tangerine,Mafia Hat,Laughing,Cross Silver,Jacket Cold
1607,1.69,920,79.06,https://solanart.io/nft/gFwpo2y1wTSmhoUKNr4EZKefhUrgckaJUnmcpqp3XQD,Spotlight,Sepia,Nihon Green,Cyber Glasses Cyan,Cobalt,Party Hat,Soul Out,Dope Gold,Red
1615,1.09,618,88.68,https://magiceden.io/item-details/74WAoWnCkngdBX9QMf28Sd2Ln2vpi6QQ5QR3eywgyh6s,Japanese Dope White,Amethyst,Clip Silver,Cyber V Glasses Cyan,Lime,Mask Fox,Bubble Gum,Multiple Gold,Jacket Red
1620,5,1829,35.05,https://solanart.io/nft/FzYFWG9hMCpK6SStZGfdmwg8A93rEH4PYpK9V4Q8UuuS,Neon Shocking Pink,Sepia,Banana,Berserk,Snow,Beanie White,Smile,String Silver,Suit
1627,0.8,3071,62.14,https://magiceden.io/item-details/FJBMtXnJWpFjRKUX96gHdRPKXjeECUG49rsQ2HvimiGU,Eclipse Shocking Pink,Emerald,Hoop Silver,Glasses Round,Cobalt,Cap Dope Gold,Tongue Out,Dope Silver,Suit
1631,3.5,2868,37.58,https://solanart.io/nft/5Q1zYjBQpHHM4VFC6jssqyHgP7C1wPsjX2jtHhaJ9Kgb,Portal Persian Blue,Regular,Hoop Silver,Blank,Magma,Cap Dope Silver,Regular,Beads Silver,Emoji
1636,1.3,2777,60.67,https://magiceden.io/item-details/G7anrWJVPVFp9juEFq3AvP6FxoTsxubruegiyCNxWK1j,Dope Electric Violet,Regular,Lightning,Empty,Lime,Captain Bitcoin,Pizza,Multiple Silver,Suit
1637,1.2,1414,78.03,https://magiceden.io/item-details/FaewSijFU9GaXnJCQHF8tEpT28ACoyQ3ZyAPpDLuQjR1,Neon Electric Violet,Emerald,Hoop Silver,Love,Lime,Cap Smiley,Cigarrite Rainbow,Multiple Silver,Jersey 01
1642,1.49,700,83.7,https://magiceden.io/item-details/76bdfu5VsvzbghbANGMXmyHM8X7SnhiJPBPQXiLy2XR2,Round Solana,Regular,Money,Mini Glasses Cyan,Banana,Party Hat,Dope Drink,Cross Gold,Jeans Overall White
1643,1.6,2942,55.69,https://magiceden.io/item-details/7PZYhoJkR31D466UoRFJP83PjXQnexuvQdKYR11N3uoG,Portal Amaranth,Emerald,Airpod,Sunglasses,Snow,Crown Prince,Regular,String Silver,Blue
