id,price,moonRank,💎 score (%),storeURL,Background,Baloons,Crystals,Dome,House,Lower Floor,Original,Upper Floor
1065,0.028,1888,65,https://magiceden.io/item-details/9FAoB3eq1WBtWikm9w8UpaJwaLPWdA1q9YXEtFqi555Z,Space & Planet,None,None,None,House & Store GM,Purple & Green Shaded,,Stones
1224,0.1,1274,75.63,https://magiceden.io/item-details/3WQAomCmhPFE9CwfjSYLV2cVcC8HJdWuXZa3L5AoN5Wo,Cold Wave Lightning,None,None,None,"House, Store &Tree Purple",Goldand Blue,,Purple Lava
1325,0.02,2149,60.25,https://magiceden.io/item-details/6me7mLQU8dw4kSD1L2haBac1vWEtos3dCVy2wfBJ4mbe,Space With Planets,None,None,None,House & Store,Brown Shaded,,Basic Blue
1349,0.1,563,88.78,https://magiceden.io/item-details/3WzcLVZ1hFAA69FpyYM18dXGZKyMJExhJCMRQNChB1pF,"Space, Stars, Planet",None,Tanzanite Rare,None,Pink Tent,Pink & Green Shaded,,Pyramid & Gold Markings
1551,0.04,965,81.94,https://magiceden.io/item-details/BFz6wikz8JDdWT5dr4CSbQWF5DweeHqchJRxVs63PzYN,Inverted Moving Red Stars,None,None,None,House & Store Orange,Green & Purple,,Blue Snow
1581,0.02,1318,75.62,https://magiceden.io/item-details/CLSmVVFhs6VVi7jVzAJXqH9uJ8NmxfYHKkcp5xiwhTNY,Heatwave,None,None,None,Lit Hammock,Brown & Blue Shaded,,Blue Snow
1650,0.08,896,82.82,https://magiceden.io/item-details/4a5LJU2wQrtCCHktt1aLFigexL9BpnBorFajgF69XotA,Heatwave,None,None,None,House & Store Verynicely,Pink & Green,,Purple Lava
1692,0.081,1840,65.35,https://magiceden.io/item-details/7hw4KuUHHd1tubRbyrmwZJXg3mB9fysqH186U8Azukst,Space With Planets Variant,None,None,None,House & Store GM,Brown Shaded,,Lava
1751,0.02,1632,69.81,https://magiceden.io/item-details/2QrxPLEa5JYWMAvwwiatnZqvaV1GFTupUri7cP7ky48L,Space & Planet Moving,None,None,None,Beast Sword,Ground & Gold,,Solana City
1753,0.05,404,92.22,https://magiceden.io/item-details/9FECEkMn9zMRaiqwkDq7Cx87Z2Eeytq6kpgWgY5bYWT1,Heatwave,Big Baloons Variant,None,None,House & Store Purple Variant,Blue & Brown Shaded,,Pink Rush
1793,0.03,1976,63.35,https://magiceden.io/item-details/7EniUnyqwewKRNkEoY9mWM8MZFc9HP5HasKGVvD6ZPKR,Black Sky,None,None,None,Orange Tent,Golden Ice,,Basic Blue
1799,0.04,1742,67.58,https://magiceden.io/item-details/ADnpas7Js2TtCRXNc48bt7v62v1auwk5fP579j57LU3p,Space With Planets Variant,None,None,None,House & Store,Ground & Gold,,Stones
1802,0.1,729,85.71,https://magiceden.io/item-details/3ZWBPuXXQvfGiAKUBhu8uzxB5ER777krMMWAWiGdLPDK,Space & Stars,None,None,None,Gold Mushroom Complete,Blue Crystal,,Solana City Orange
1841,0.1,1568,70.19,https://magiceden.io/item-details/ArEnmhjWbNkanLvnpFbCe9Vi136FBz1aQEMXPp1GjAhE,Red Stars,None,None,None,On Sale!,Ground & Gold,,Green & Pink Lava
1843,0.1,1443,72.5,https://magiceden.io/item-details/3FuuUYKWm2YzCF3LdAfAuvcP4m2VGV9X8vJHNBcXoJPs,Moving Red Stars,None,None,None,Gold  Mushroom,Green & Purple,,Lava
