id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Head,Mouth,Nose,Skin,Top
3493,4.2,3836,51.93,https://solanart.io/nft/HXZeVc5wx4xWmHNR95pmW1w7mFYnt1U4qXUwiaD9uVnr,None,Red,Cat,Red Fitted Cap,None,Ring 1,Brown,None
3532,4.5,3580,50.8,https://solanart.io/nft/EtxFNjt8ttJAS6EasWoS9Qm8coy4dQauB2dENUz7qT7n,None,Grey,Orange,Black Bucket Hat,None,Ring 1,Zebra,Green Puffer
3538,4,2753,61.85,https://solanart.io/nft/G3JFRp15YGryxFoUPezgsU3mhknaDBv3cSV2VcRF9DPo,None,Brown,Blue,Unicorn,Stitched,None,Lizard,Purple Shirt
3546,4.3,4841,43.57,https://solanart.io/nft/6w2qs5ihGKcJKfMJDMJWSathEGC9Dbb3RfKG4t4awe9p,Gold Chain,Sand,Green,Wizard hat,None,None,Brown,None
3699,4,2855,61.11,https://solanart.io/nft/6ryNd4t9TX1sCrKSqoCChdVWfkz2XwExRysFQekQ7v7Q,None,Yellow,Eye Patch,Pirate Hat,Whistle,None,Zebra,Tank Top
3763,4,2483,63.83,https://solanart.io/nft/6Zr9kEoSrjbAHJDF4V5DAFdMDmiMCqNyBh2FRR7wAVNG,None,Brown,Buffs,None,Cigar,Ring 2,Albino,Green Puffer
3849,3,4777,57.04,https://solanart.io/nft/Cihv3uZ3PzwM6Rdfv4GueivLUqV1qkYQEAoiHXEkf1sv,None,Matrix,Red,Fireman,None,Stud,Black,None
3859,3.5,1835,73.57,https://solanart.io/nft/Ge8AJa6iJAoQuUrpZoAgEiq3Y6X2sfZ711FGHKAwEAbj,Diamond Chain,Yellow,Blue,Black Bucket Hat,Pipe,None,Zebra,Green Puffer
3977,3.8,3611,57.57,https://solanart.io/nft/6XhUpu9fJyunVbkcDp6w3cCUogGJV8QndSWSuMymZ61z,None,Grey,White,Fireman,Stitched,None,Zebra,Blue Tracksuit
3985,4,3196,58.61,https://solanart.io/nft/FNnx4LZoyxwUA8BszZscF1s4PENmoKuU83E6U3oo8UP4,None,Purple,White,Unicorn,None,Stud,Zebra,Red Tracksuit
4026,3.5,2258,70.48,https://solanart.io/nft/GZjf6bu45fpoN5QdBDNwDVFvhSgLjN5NLTDAEHELX2Qe,None,Sand,Vipers,Plaid Bucket Hat,Gas Mask,None,Brown,Matrix Jacket
4059,4,2475,63.89,https://solanart.io/nft/5nzgVbqvQY3FNhhwDRYgwZtcKxaFQ9dsmayc2H1A6UN5,Bone Necklace,Matrix,Eye Patch,Viking Helmet,None,Stud,Purple,None
4109,4.9,1072,65.16,https://solanart.io/nft/HMjq5WatoAUbrtWmvReuxiQPwoTP7ndt5ARTjcTScPYb,Solana Chain,Green,Green,Purple Fitted Cap,Stitched,None,Base,Poncho
4239,3.99,1936,67.93,https://solanart.io/nft/Asz8vdc4xKBZmHyZPJmX1BMUNjZqccxVQ6FLChZwqZQH,Diamond Chain,Red,White,Santa Hat,None,None,Zebra,Cargo Vest
4431,4.5,2976,55.22,https://solanart.io/nft/J3kbqM9tdVLqABWkzSz8ssoKikt9snw8bjjLNLvXLDxN,None,Grey,Blue,Purple Fitted Cap,Stitched,Stud,Base,Cargo Vest
4476,4.8,2123,58.46,https://solanart.io/nft/BqJnPr5G1mFypgD3hR8vutxQMcVKTdsBgKTiSh1iUQU3,Gold Chain,Matrix,Orange,Pirate Hat,None,None,Lizard,Cream Puffer
4489,3,2400,74.44,https://solanart.io/nft/3or48v9zWEg7gB13BUfgiTRuKU7zvxTBX7WLCkXWicoj,Gold Chain,Matrix,Red,Plaid Bucket Hat,Whistle,None,Blue,Green Tracksuit
4506,3.7,4904,49.11,https://solanart.io/nft/DZvV3mWpekiygbUAGGP17wruSFhPUE2LzSLDhz4izFbK,None,Green,Blue,Red Fitted Cap,None,None,Leopard,Black T-Shirt
4527,4.5,2222,60.74,https://solanart.io/nft/GE8YzgfnNNo3sjJkEeth2QrDLJa1T3Hi7zQ2mx1GjUUp,None,Red,Laser Eyes,Sombrero,Stitched,None,Brown,Red T-Shirt
4641,3.6,5099,48.69,https://solanart.io/nft/2GnR6NGgkiKZ3h14J4j7dETzmUPreVnausj9tjE39Ni2,None,Purple,White,None,Sneakers,None,Purple,Red Puffer
4809,3.5,5466,47,https://solanart.io/nft/BnZLsMjBApvF8YqpqsJ4LJmH76CTCQRX61xvF3BixWP2,None,Orange,Orange,Black Fitted Cap,None,None,Albino,None
4825,3.2,3861,61.75,https://solanart.io/nft/Gt6k8BoESMfpwFqgu3haf7gX5Bc2JqXjnf9ob2nU5LVz,RPG,Purple,Green,None,None,Ring 1,Brown,None
4866,4.89,2624,53.9,https://solanart.io/nft/G9mncUDqXnWnYx79EhFJoLPyZtKHMQUHqHUiadgc5Xr5,Binoculars,Watering Hole,Orange,None,None,None,Leopard,Black Hoodie
4926,4.5,4118,46.86,https://solanart.io/nft/9i7Tun7F8Co1dyrxXHsfbsaaGqq5Ws8QPSqyAx3XptPr,None,Red,Buffs,None,Cigar,None,Zebra,Red T-Shirt
4983,3.5,2991,65.11,https://solanart.io/nft/h3PENEUvGoV86m2go5C2nb7WyZyDWGsZuDBfiampgsw,None,Red,Orange,Sombrero,Blunt,Stud,Purple,Blue T-Shirt
4996,4.2,366,77.32,https://solanart.io/nft/BkX8oXotedTnF6HQ1MVr7VaNVRipiJ4921DnoXX73A58,Diamond Chain,Trippy,Eye Patch,Red Fitted Cap,Microphone,None,Brown,Suit
5036,4.5,1587,65.39,https://solanart.io/nft/3U7GCXmEzsYpcijibPVQPDzEj8pW28BhTYvVPLXWXc7F,Camera,Purple,Orange,Beret,Microphone,None,Lizard,None
5048,4.2,1182,71.35,https://solanart.io/nft/3Ww5256sKz5dKru7Zwk5P8C5PKsWfaGVNXh51Y6SMbfx,None,Kings Card,Vipers,Fur Bucket Hat,Pipe,Bull Ring,Purple,Blue Sweatshirt
5107,4.5,5373,37.68,https://solanart.io/nft/J4jrJpJtbJwRXFgPLGybF4aGt7BbfQBCErm54MTbbYYS,None,Blue,Red,None,None,None,Albino,Camo Jacket
5364,3.5,4166,56.51,https://solanart.io/nft/8K1NN1cew3CNAg5cRHA2CZo6XpixJdHBV5sHftmGKL4V,None,Trippy,Steam Punk,Black Bucket Hat,Knife,None,Blue,None
5366,4.5,4452,44.42,https://solanart.io/nft/DUu3euMVY4dG8xfANpA95dTCXoiKYn6s2tYt341geq1n,None,Yellow,VR Goggles,Black Bucket Hat,None,None,Brown,Poncho
5416,3.3,1931,74.87,https://solanart.io/nft/74TFmf4ee85QGummPbQotcwJmnpH7qNawF9YqhmgQwDS,Gold Chain,Savanna,Red,Cowboy Hat,Microphone,None,Blue,None
5437,4.9,3535,47.13,https://solanart.io/nft/HQdNY6BNpiFCAxqi7maXDxEGajsbYPunKXEYYZDSEz9N,None,Grey,Cat,Safari Hat,Sneakers,None,Zebra,None
