id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Face,Hat
334,2.1,1932,51.95,https://magiceden.io/item-details/HoPCmeVqDRrsVxD6eMrdmGUuVpymmEzdRCxjVCXWKSUa,Blue,Blue Kitten Skin,Suit,Hearts,Red Apple
337,1.5,1210,71.05,https://magiceden.io/item-details/378HAJ8Si16s3uiePCX3DVsZHPpfkF32tXrGL8PC8EN4,Blue,Blue Kitten Skin,Flannel Red,Gamer Goggles,Pink Captains Hat
341,2,1509,60.63,https://magiceden.io/item-details/HLukLV476MzRdJcJCXoDC7wkswyYNLEpjTyPUiXMZCqi,Orange,Blue Kitten Skin,Suit,Hearts,Pink Captains Hat
351,1.35,1247,71.88,https://magiceden.io/item-details/85XYDeMxhXhpCUBy2QCurTjfJVDygKVEmL6KYtq7UJDV,Beige,Blue Kitten Skin,Flannel Black,Sleepy,Golden Apple
364,1.15,856,80.97,https://magiceden.io/item-details/BKYnMDsJJ3qxtQK9Da8piV5AixhA2jtXFJhgopPYKBta,Green,Blue Kitten Skin,HotDog,Sleepy,Purple Flower
366,2,938,70.98,https://magiceden.io/item-details/BuJqn7AU26eNDbvcnp5LQz4ZMRMbyqGFxZxJSktfCVJS,Violet,Blue Kitten Skin,Flannel Red,Blue Shades,TV Head Static
406,1.15,1742,64.9,https://magiceden.io/item-details/aUEPjz5URq8Q8q9GKsFdhGGPJsqzq1LVJPzhXyv1jht,Beige,Blue Kitten Skin,Yellow Overalls,Sleepy,TV Head Static
421,1.75,1143,69.77,https://magiceden.io/item-details/CxmxNhXGvTLBoH14VfMsXFAMqhnXqYHPxXAiNZVLU5FX,Beige,Blue Kitten Skin,Flannel Black,Sad,Ape Mask
439,1.29,725,81.95,https://magiceden.io/item-details/9CtRLbUTt6SAg14FVVKragwpNUjMUUtaN98HhPgkb5zC,Purple,Blue Kitten Skin,Flannel Red,Hearts,Red Apple
452,3,1925,43.08,https://magiceden.io/item-details/3XsMHNhY2MWt9YL9sS19C2pbW7sgT5ni8kttXp3fu5XR,Blue,Blue Kitten Skin,Flannel Black,Hearts,Pirate Hat
453,5,1357,33.38,https://magiceden.io/item-details/BAxjJ3Lm2STBqn6fBFTZehC3L3CZzM3F5gyehwiTyJbC,Green,Blue Kitten Skin,Tiger,Devious,Naruto Bandana
456,1.75,912,73.96,https://magiceden.io/item-details/Bw8VyHcu15azxuZ7ZGwbvMw5jCrL9qEpGLiqDxYMoUhU,Beige,Blue Kitten Skin,Green Sweater,Blue Shades,Pink Flower
466,2,352,81.61,https://magiceden.io/item-details/EZ3FYyyeSzjMDoFyTWuve3rsaFJBqwCRrCxF7BfPXbvF,Blue,Blue Kitten Skin,King,Gamer Goggles,Pink Captains Hat
480,1.6,392,84.89,https://magiceden.io/item-details/8cWAe95oKP9LreRy6oczrnqi6F53jNLfbxBNrGyuC4vo,Beige,Blue Kitten Skin,Tank Top,Sleepy,Ape Mask
516,20,1202,0,https://magiceden.io/item-details/CdknTYJ4afic41rhePo6DuQp3cSSsDbgRaR7Wd8onqkX,Beige,Blue Kitten Skin,Star Shirt,Blue Shades,Golden Apple
525,1.15,1682,65.99,https://magiceden.io/item-details/9NUAMLPDQKirLfbCBbEwQqGSNshPkpeFfFA1bzjub8xt,Green,Blue Kitten Skin,Red Bandana,Sad,Sushi Hat
545,3,233,73.77,https://magiceden.io/item-details/FDtT2b3fBNqLXP4qRJKjPjguQmQUW5WvdZUWjbCTEuhK,Green,Blue Kitten Skin,Purple Sweater,Cat Face,Golden Apple
548,0.9,1717,67.85,https://magiceden.io/item-details/3FSjaMBTneR8VCsh4LDYZn4r1z7JVxZtiL9isAFsr4Sj,Blue,Blue Kitten Skin,Red Bandana,Cat Face,Ninja Mask
564,3,184,74.66,https://magiceden.io/item-details/EjHQxiuavRYgA8fjn2A28sBvyYAqsR1u28AXrT24KSpX,Green,Blue Kitten Skin,Red Bandana,Beard,Frog Mask
