id,price,moonRank,💎 score (%),storeURL,Background,Base,Bottom,Ears,Eyes,Head,Shoes,Teeth,Top
665,8,1101,19.9,https://magiceden.io/item-details/J2nD7zetTR8zgFvHAnhzv9HqduMe8ar9HqixSdUBtuNs,White,White,None,Pigtails,XTCY,None,Sandals Red,Spike,Tee Black
668,5.65,546,49.75,https://magiceden.io/item-details/HZTqDbP6wGYuuSP3Q2H2nzPZGnJgmE4c7xnuNxt7ueqw,Yellow,Pink,Shorts Pineapple,Mickey,Cross,Thorn,Angoboot Beige,Spike,Sweater Carolina
670,3.969,2664,42.33,https://magiceden.io/item-details/Hg9JbWouskKS6rLaepMy8DWFiQRarfm4JADbji5ryQ9b,Red,Orange,Puff Pants Black,Heart,Round,None,None,Spike,Tee Blue
674,8.8,3482,0,https://magiceden.io/item-details/5RVWsuwE5DzaxFqR7wkwqC2Fmetmhbmq2VdPgmWn72za,White,Candy,None,Heart,Round,None,Runners Black,Spike,Tee White
684,2.99,2955,48.79,https://magiceden.io/item-details/AjE7vd7JoXqjGFsTG3rzfbfS1g4DeNme8txv9JwzDfub,White,Orange,Latex,Mickey,Spiral,None,Sandals Purple,Spike,Windbreaker White
703,2.55,1332,71.76,https://magiceden.io/item-details/6hXDNmvhNXwjoHonZW7cVvuhzUycZidijsy3hGeYEyy4,Black,Mint,Puff Pants Cream,Heart,Spiral,None,Angoboot Black,Gap,Sweater Honey
705,11.69,166,0,https://magiceden.io/item-details/6nkiNUhV9hZZ3gCHbnuAZgEzvJegb4VfBhakiwwiFp85,Red,Orange,Windbreakers White,Heart,Spidey,Thorn,Sandals Yellow,Gap,Smooth Puff Chrome
720,20,817,0,https://magiceden.io/item-details/9xeFmS4NDupckChMxkja7yX8i9KHoPubVoi2ocX5p6qQ,White,Candy,Shorts Pineapple,Horns,Spidey,None,Angoboot Neon Green,Spike Open,Enigma Black
723,3.69,576,69.01,https://magiceden.io/item-details/94E35A3jezYJfkFHSZ394jAS3ukcpr14n3sPFzqobGzA,White,Flame,Latex,Pigtails,Spidey,Thorn,Angoboot Black,Spike,Base Puff White
735,3.5,1535,59.94,https://magiceden.io/item-details/3wEi2ynb7zo1xwk8Cph75ARQh7oSHC4b5wzt4Dr6891R,White,Orange,Shorts Pineapple,Pigtails,Spidey,None,Sandals Purple,Spike,Enigma Vest Red
741,2.9,2715,52.44,https://magiceden.io/item-details/Hcs94GQS9GiKXyyM21czZ8HBkekKsPFTncebEeeuwuEM,White,Mint,Shorts Black,Heart,Cross,None,Sandals Purple,Gap,Sweater Black
745,5,3218,25.68,https://magiceden.io/item-details/9fxm64Nka9MMrPkrAyRafTKvAvzhRcweajRyf92RHPHf,White,Pink,Windbreakers White,Heart,Spiral,None,Runners White,Spike Open,Base Puff White
746,10,677,4.75,https://magiceden.io/item-details/JA3nPa4JtHCSg2gSGkB2Z4XgUo8RhMBfSrTYvf3wJJ1H,Red,Pink,Windbreakers White,Mickey,Jinx,None,Runners Black,Gap,Smooth Puff Seafoam
755,10,2432,0,https://magiceden.io/item-details/3H5TCif92RZmgKZrSPG61eK6j7JtDvmNauxyaJWpWHGb,Black,Orange,Shorts Black,Heart,Round,None,Runners White,Spike,Tee White
772,20,1130,0,https://magiceden.io/item-details/HgHFvqvJba47WyR68g58jxRhMBBd49jZ2kg6B8FxDZrV,Red,Pink,Windbreakers Dark,Mickey,Round,None,Sandals Yellow,Spike,Enigma Vest Red
790,3.9,375,69.21,https://magiceden.io/item-details/AdQ4wviUNV1YNefhtSck5xMyLuy623D2eZisNcVQU4yk,Purple,Orange,Shorts Black,Pigtails,Spidey,Blue Flower,Fly Panda,Spike Open,Tee Blue
795,3,3135,46.63,https://magiceden.io/item-details/C2hvPqRYfLgoCbA5d9RjjWQnAtJRiPyYsPjCYaNXD6tA,White,White,None,Heart,Spiral,None,Sandals Purple,Gap,Long Puff Orange
798,49.99,2022,0,https://magiceden.io/item-details/Fp4xuJuQVvjEs8XY5BNjn9LyYq3w9kkLH6w1oMR5Fa7k,White,Flame,None,Mickey,Spiral,Halo Yellow,Fly Blue,Spike Open,None
799,250,1512,0,https://magiceden.io/item-details/ActFWN5Y4u7bRzSUJ3A63Qdok3G3WbDod9nyosmtcBeV,Red,Skelly,None,Heart,Round,None,Angoboot Neon Green,Spike,Tee White
806,4,287,69.22,https://magiceden.io/item-details/9LRnY2cBa7yq2NW1qLmeftuLfhHPgeSSCcAQAbRVYp7n,Red,Shadow,Windbreakers Dark,Heart,Round,Blue Flower,Sandals Yellow,Gap,Smooth Puff Red
809,9.99,2136,0,https://magiceden.io/item-details/Ac7yTBn1AupwVQrkGLNdy5sqPvR4X1ZzP6aXxhRAwo7e,White,Candy,Windbreakers Dark,Pigtails,Spidey,None,Fly Bred,Spike,Grandpa
822,4.98,1573,44.7,https://magiceden.io/item-details/52xmEUoVZLbD9uPmo5ZLtHrq4JfHYrbibtQYaKPqZ5Vj,Red,Shadow,Latex,Pigtails,Round,None,Angoboot Neon Green,Spike Open,Long Puff Black
825,5,2997,28.21,https://magiceden.io/item-details/BDusBZqmUYdcJTN1GiQowQV4bYFBNV5nFyejrtzMc3dV,White,Mint,Windbreakers White,Mickey,Round,None,Fly Panda,Gap,Base Puff White
828,10,1316,0,https://magiceden.io/item-details/JD9yEbT3PK4c9vmNhPeT9BNgLNe9xECA4YC5vz8STABz,White,Orange,Jeans,Heart,Spiral,Blue Flower,Fly Blue,Gap,Smooth Puff Azure
832,3.5,860,67.66,https://magiceden.io/item-details/Bo6ST46TNMBodsw7VKBShhUViHKtsv1Az438fLQL3Z5W,Yellow,Shadow,Jeans,Heart,Spidey,None,Sandals Purple,Vamp,None
834,8,1214,18.61,https://magiceden.io/item-details/AFuwmtPq8Tr5RBvabADucq9ucjVaW4D8CSNBAviPbrpK,White,Flame,Latex,Heart,Spidey,Pink Flower,Angoboot Black,Spike,Smooth Puff Seafoam
839,2.355,3279,51.43,https://magiceden.io/item-details/2EG3XXs6jFtBSiQAqYJYj3cYfUNC7Us8bJF1y85h5nWn,White,Sky,Latex,Mickey,Cross,None,Runners White,Gap,Smooth Puff Chrome
843,25,2597,0,https://magiceden.io/item-details/F3u2MX7QtiZL5fgoBQQgBFVddNaTgeFvStvRhUTVQX7J,Red,Black,Puff Pants Cream,Heart,Cross,None,None,Spike Open,None
850,99.99,1498,0,https://magiceden.io/item-details/4RvRg2groqdwapFnpFSeyShCBY9ndLQ5QHhzPkaxVLjm,White,Skelly,Jeans,Heart,Round,None,Runners Black,Spike Open,SHLD
853,5,1904,40.72,https://magiceden.io/item-details/HQCTr2PyDdFTxhUtqByNiH45E6toCxSEZJaX8QyK5M82,White,Purple,Shorts Pineapple,Pigtails,Spidey,None,Fly Panda,Spike Open,Enigma Vest Neon Green
856,3,2608,52.66,https://magiceden.io/item-details/5VjiebTQtcN6BFjc93PZMTkUBupRUfvVHTSJL5nEZeLz,White,Orange,Puff Pants Cream,Mickey,Spiral,None,Sandals White,Gap,Grandpa
858,14.99,154,0,https://magiceden.io/item-details/FkQU8WSKe16zEFVfe1osC4xzwchBLdQq1KJSQDsFNLWG,Red,Purple,Windbreakers Dark,Horns,Glory,None,Fly Panda,Spike Open,Smooth Puff Seafoam
871,4,2806,40.39,https://magiceden.io/item-details/8TH1VwwPgQ5Go9H8M1AJ38TDyEbdmnYvCAMbYg3AtHL3,White,Purple,Shorts Black,Mickey,Spidey,None,Fly Blue,Spike Open,Striped Sweater
873,2.1,1882,69.97,https://magiceden.io/item-details/HHdcPiCnsB6VcXBenj8hoNK2rgKQdXEwvEiUBKX4LjHn,Purple,Flame,Windbreakers White,Pigtails,Round,None,Runners White,Spike,Long Puff Orange
874,15,188,0,https://magiceden.io/item-details/29sLubx9TbDWvwasYeGd7JKCydXq4Hy8xSanr9CbEbX2,Purple,Solana,None,Mickey,Spidey,Halo Red,Runners Black,Vamp,Base Puff Yellow
879,11,543,0,https://magiceden.io/item-details/33fLETPva4x9GGPhn8q3nXknDJhZ6rDNoyVH7eUKWRrj,Purple,White,Latex,Mickey,Round,None,Angoboot Beige,Rainbow,SHLD
882,3.6,1123,63.65,https://magiceden.io/item-details/E473GchMdLs6avv5FDDfqAH7oS5yKSdwzYZbkvCtV8cE,White,Mint,None,Heart,Spidey,Blue Flower,Fly Panda,Spike,Perforated Puff White
891,3,2018,59.41,https://magiceden.io/item-details/6fx8ff3CNc6iKF2dWPhDLAmDBEkb8S8rjSZaC3g9CmP2,White,Candy,Puff Pants Cream,Heart,Spiral,None,Sandals Red,Gap,Striped Sweater
892,2.3,1879,68,https://magiceden.io/item-details/S5eQ8WnEkMhiThBqvdcPH8FVCjhLYw9raou73pNBptX,Yellow,Purple,Jeans,Pigtails,Round,None,None,Gap,Smooth Puff Azure
897,3.75,2617,45.06,https://magiceden.io/item-details/HNpUCXeWMtioHcDJ3mHKn5gifXkAQJsw3DTvoFjHEHgw,White,Sky,Shorts Black,Pigtails,Round,None,None,Gap,Perforated Puff Black
900,3,878,72.45,https://magiceden.io/item-details/CNCMBJFMHaec3uuxnEzvkgHqKwitR9sXwvfXtSJa6DcG,White,White,Jeans,Mickey,Spiral,Thorn,Fly Blue,Gap,Sweater Black
909,4.8,2221,39.09,https://magiceden.io/item-details/G6PdcxxZGMarQaeN1tbsrBVEzTssr6dKyrDnYFi9aQd1,Green,Flame,Shorts Pineapple,Mickey,Round,None,Angoboot Neon Orange,Spike Open,Tee Blue
913,11.99,135,0,https://magiceden.io/item-details/FtSLPzG3qEsDEZ5xhYsP65uEvKyiy36ja5KGpoodZcoh,Black,White,Windbreakers White,Heart,Cross,MRGLA,Runners Black,Gap,Grandpa
914,69696,50,0,https://magiceden.io/item-details/2XrgYjrF3EQiKzPFoMtpkWGRX2DYyg2bcRz4QtAoPThH,Purple,Skelly,Puff Pants Cream,Heart,Round,Halo Yellow,Sandals Yellow,Gap,Base Puff White
922,10,2369,0,https://magiceden.io/item-details/9twqno6rrGiCTHbbtuZozrV42ot8NAy2qDBzpcxdYZmp,White,Mint,Puff Pants Cream,Horns,Round,None,Runners White,Spike Open,Smooth Puff Seafoam
923,6.5,150,45.78,https://magiceden.io/item-details/B5ZBvjU6mZSFaE8JPpXRUFEiSys3NatXUKeSLwYNPkRL,White,Pink,Puff Pants Cream,Heart,Jinx,Halo Yellow,Angoboot Beige,Spike,Smooth Puff Red
924,69,16,0,https://magiceden.io/item-details/GgxGq9EvUaNBxAYv6bURNvzq35ePb3yt5tdwkWCsLg1B,Yellow,Flame,Shorts Black,Mickey,Jinx,Thorn,Fly Bred,Vamp,Base Puff White
929,69696,8,0,https://magiceden.io/item-details/5jSApMCpxKrUqRGruDKtPLTCdo2oCeSSPNR9LnE7AQuq,Green,Pink,Windbreakers Dark,Heart,Glory,MRGLA,Croc,Spike,Smooth Puff Chrome
933,33,232,0,https://magiceden.io/item-details/DEhZdku63KMUKs2uxXXeFsAWaQ9TZ8wfHSZ4hP69NLVE,White,Purple,Latex,Heart,Glory,Blue Flower,Fly Bred,Spike Open,Base Puff White
939,20,3070,0,https://magiceden.io/item-details/5aoPa7iZFtiWJnsWmj6sFoSGtmm2Ppm4UjyA4BKi8S51,White,Sky,Shorts Pineapple,Mickey,Cross,None,Angoboot Neon Green,Spike,Sweater Carolina
941,6.8,730,36.15,https://magiceden.io/item-details/D3fZFHVFYmUeBWkVdZ4587CdRaYQNVkBpNhaGvQuRgFr,Purple,Black,Shorts Pineapple,Heart,Spidey,Pink Flower,None,Spike Open,Windbreaker Lemon
948,4,670,64.83,https://magiceden.io/item-details/48ZesJuHsyCj41Th53mGMV19kkQGuNhqaZGXVQR6Yda5,Black,Purple,Shorts Black,Mickey,Cross,None,Croc,Rainbow,Long Puff Orange
951,3.9,1397,57.52,https://magiceden.io/item-details/BUyUekRDMZqdTXuXXeHrRGaKQC14XgLZj5nPgSdiR26g,White,Mint,Puff Pants Cream,Heart,Spiral,Blue Flower,Runners White,Spike,Sweater Carolina
952,11.11,1711,0,https://magiceden.io/item-details/BxPZKvUDAEph2aLvMMHPUVqXNQaY84MEYGC1qnaSVTKC,White,Orange,Shorts Pineapple,Mickey,Cross,Halo Red,Angoboot Beige,Spike,None
953,208,69,0,https://magiceden.io/item-details/HHSJ9S3pAtXC2vkMeH25j4YQSYdKGq2J7F4ET4Z124xr,Red,Orange,Latex,Mickey,XTCY,Blue Flower,Angoboot Neon Orange,Spike,Base Puff Yellow
955,5.99,715,44.42,https://magiceden.io/item-details/7yFvYpzEQ8an2JCKuFf6gBkcgKYiLNF9MA5bZFekvUPa,White,Orange,Latex,Heart,Spiral,Thorn,Croc,Gap,Puff Vest Cream
957,4.2,2086,46.63,https://magiceden.io/item-details/DMdiJbSdH1aDBe7mknjP6yDm6fp55B4FT6eMuZTHj6YW,White,Solana,Puff Pants Purple,Mickey,Cross,None,Angoboot Black,Spike Open,Base Puff White
961,2.2,3436,51.19,https://magiceden.io/item-details/EEg91988WzbYA2vUKBz2vcBc3T5jiSMyBWCTK89CMsLi,White,Candy,None,Mickey,Spiral,None,None,Gap,Sweater Black
969,15,252,0,https://magiceden.io/item-details/GeTULN9rd1Woi3BQatP9v3j9ifCkhMZtcMF7xPF3rWhu,White,Mint,Latex,Heart,Hypno,Blue Flower,Angoboot Beige,Spike Open,Smooth Puff Seafoam
972,2.555,3176,50.61,https://magiceden.io/item-details/3RUF1uLAFNmSnARRFzAU71Yns5TK1R4PkK1HpgH73sRE,White,Pink,Windbreakers White,Heart,Spiral,None,Runners White,Gap,Base Puff Yellow
991,4.5,2814,35.3,https://magiceden.io/item-details/GA1WVbFXTN2vBi2Udpeyrim7GSNwRJW6ohfhvZ6AxN2o,White,White,Windbreakers White,Pigtails,Round,None,None,Spike,Puff Vest Cream
992,5,205,60.15,https://magiceden.io/item-details/C1wPeFvawrNaMGXRJqXyjKPgiSUC38wHLCSaPibTUK9N,Green,White,Puff Pants Black,Pigtails,Cross,Halo Yellow,Angoboot Black,Gap,Smooth Puff Azure
1018,20,153,0,https://magiceden.io/item-details/BH3Z7LTxotW3ZB5tuFsYdDPKkCmZsjmNqvru1q2xiSpv,Purple,Orange,Shorts Pineapple,Mickey,Round,MRGLA,Angoboot Neon Orange,Spike,Puff Vest Pistachio
1050,10,272,9.39,https://magiceden.io/item-details/Czey6TNEMbG3vdwhumJmrnWhQVnNbnLDWQY9Wsn1XenG,Yellow,Sky,Puff Pants Purple,Heart,Spidey,Halo Yellow,Fly Panda,Spike Open,Smooth Puff Seafoam
1052,3.3,3365,41,https://magiceden.io/item-details/7fc4qjkUcuwckrZbZZ1AwQ7pfzXzcTmtCMF9t1zx7mFs,White,Pink,Shorts Pineapple,Mickey,Round,None,Runners White,Gap,Base Puff Yellow
1053,10,276,9.34,https://magiceden.io/item-details/47TFrG7YDHtxVHUP1pnepXGtm8UeZQnMZs19bR461e2D,Purple,Pink,Jeans,Pigtails,Spiral,Thorn,Runners White,Spike Open,Windbreaker Lemon
1057,6.5,83,46.55,https://magiceden.io/item-details/HiZvueQCKkcefRgo3pQ5KRqhNMqL12ez8DCvANyQMyqf,Black,Mint,Shorts Pineapple,Horns,Cross,Blue Flower,Sandals White,Gap,Smooth Puff Red
1065,1.99,1724,72.87,https://magiceden.io/item-details/HBHTrGbAx6HM5ZbFuxufnPbusLL6synYJvxnMa1KxVr4,White,Purple,Windbreakers White,Pigtails,Spidey,None,Sandals Red,Spike Open,Windbreaker Lemon
1073,4,2566,43.14,https://magiceden.io/item-details/Hffbncw8BQgx9ikW3YvWDiNH9aownTKYE8PvFzGL3xY2,Red,Purple,Shorts Pineapple,Mickey,Spiral,None,Angoboot Black,Spike Open,Long Puff Black
1081,2.39,2802,56.54,https://magiceden.io/item-details/Aw6dHLpexLmLdYbtuQsAsZF1KNjMVTkt84uzxhpRN8tz,White,Shadow,Shorts Pineapple,Mickey,Spidey,None,Angoboot Neon Orange,Gap,Tee Black
1088,69.69,311,0,https://magiceden.io/item-details/HJfc5JP8vR6uLaNRDT7ADqt8asSdpZjtYB9ANseMA7sJ,Red,Skelly,Latex,Heart,Round,Halo Red,Fly Blue,Spike Open,None
1095,3.999,1476,55.62,https://magiceden.io/item-details/BDj9azNRVu32CgPQneu1UrpuoKBY4iHNg296jwMEnJEE,White,Flame,Puff Pants Cream,Mickey,Jinx,None,None,Spike Open,Tee Blue
1101,8,692,24.58,https://magiceden.io/item-details/AHKDeihMNJQt1H57FHvqagPwknHcgr9yQrGkhyqiLYKP,Black,Shadow,Puff Pants Black,Heart,Spidey,None,Sandals White,Spike Open,Striped Sweater
1102,100,1311,0,https://magiceden.io/item-details/8oaREQq1efz4DXBQPedXyGKTMbAavwFfZ6qgpNFhzvt9,White,Orange,Shorts Pineapple,Heart,Cross,Halo Red,Angoboot Black,Spike Open,Sweater Honey
1117,8.5,965,16.46,https://magiceden.io/item-details/6i2fRcMLtbNgU6cuTC1k9czFb5286XyjESSbqrBrgoX3,Green,Solana,Puff Pants Cream,Mickey,Round,None,Runners White,Spike,Enigma Vest Red
1120,10,1040,0.6,https://magiceden.io/item-details/ATbkVVmgSB2t673YGRuhDHvCg51rDofp8NzPsVxZvndP,White,Sky,Windbreakers White,Mickey,Spidey,Halo Yellow,Fly Panda,Spike,Long Puff Orange
1125,32.99,1483,0,https://magiceden.io/item-details/HM6NJi6dhqZ7JiaAgG9gWy7a9CJkg9ib5nx6tFEmJsqT,White,Flame,Windbreakers White,Pigtails,Spidey,None,Runners White,Vamp,Puff Vest Cream
1126,32,451,0,https://magiceden.io/item-details/C2P9P9i9UFw7TUXz3M1jYJTVc8D216EMZJyEnNkE93pv,Black,Shadow,Shorts Pineapple,Pigtails,Spiral,None,Angoboot Beige,Spike Open,Enigma White
1135,2.5,3359,49.07,https://magiceden.io/item-details/BUJXpJTpXbbWrhoubNZKoo9jE9jbwVPm2xTVsCeWKeH8,White,Pink,None,Mickey,Spidey,None,Fly Bred,Spike,Tee Black
1136,3.5,2768,45.83,https://magiceden.io/item-details/9CTQmJHrbv8jVAN1YNqrmGLKtqXXvhuNeuHL3b5njgEk,White,Flame,Windbreakers White,Heart,Round,None,Fly Blue,Spike Open,Puff Vest Pistachio
1139,10,2489,0,https://magiceden.io/item-details/83Xy7BErdmZAqMFoAw7wKFXfhw3kG4iuCnA7o1WYQuYb,White,White,Windbreakers White,Heart,Spidey,None,Runners Black,Gap,Enigma Vest Neon Green
1144,5,1200,48.77,https://magiceden.io/item-details/EJbGuJTwdQGYsrGEtQHMRmahVcY1s6fkEShHkYDFGNrW,White,Black,Windbreakers White,Pigtails,Cross,None,Sandals White,Rainbow,Tee Black
1152,678,1613,0,https://magiceden.io/item-details/83QoQYjkAJy2goFAU9Uu3bvdHxDAGSTuRVpFP7SLZyUa,Green,Purple,Windbreakers White,Pigtails,Cross,None,Fly Blue,Spike,Tee Black
1156,4.9,3380,24.83,https://magiceden.io/item-details/9erQH4qZherGz3X497rpbWE8etBNjgsN4XfkFyP4yB9S,White,Orange,None,Mickey,Round,None,Fly Bred,Gap,Smooth Puff Red
1159,1.39,2551,69.41,https://magiceden.io/item-details/4T9WKiPGGQVmhL6Ww6vFMitW6M7tg6hyo4nBMiVesK6U,White,Sky,Latex,Pigtails,Round,None,Sandals Red,Spike,Tee White
1163,15,420,0,https://magiceden.io/item-details/7oyLHbESeKQMb1AHVwR1MuCUEsP3q8QjzEbqUavo624t,White,Sky,Shorts Pineapple,Mickey,Jinx,Halo Yellow,None,Spike,Sweater Honey
1167,3.98,3126,36.93,https://magiceden.io/item-details/94Ceg1pFZQyagoZCxVsm6eT91DpRXu8zxjZp33njq9Pt,White,Mint,Shorts Pineapple,Mickey,Spidey,None,Runners Black,Spike,Puff Vest Pistachio
1185,3.75,184,72.89,https://magiceden.io/item-details/8x65kgEZFivCPkUeCpy2JEp7cZSXKZ7qWnkvXLMGdnYR,Purple,Mint,Puff Pants Purple,Heart,Spidey,Halo Yellow,Croc,Gap,Tee Blue
1188,7.99,3448,0,https://magiceden.io/item-details/9sgmEzYSCMExaLRYRXr6u99osDT4mZWixTGjA9yMbbVF,White,Mint,Shorts Pineapple,Mickey,Cross,None,Runners Black,Spike,Grandpa
1194,8,3014,0,https://magiceden.io/item-details/HAvw1TPTYesY7sLBZdLQWavEE8Wyon2tJTZTVKRuNSXZ,White,Solana,Windbreakers Dark,Mickey,Round,None,Runners Black,Spike,Tee Black
1200,1.8,2258,68.66,https://magiceden.io/item-details/BbCJbRfmSQV8RU3QptCw3PeXSrN1RyW7BGwMSahvxwTr,White,Flame,Puff Pants Red,Pigtails,Round,None,Angoboot Black,Spike,Puff Vest Cream
1201,4,1969,49.97,https://magiceden.io/item-details/6gFxTxYUikves1e9rianv83cwm5YUvARW9p4peVjM6TE,Purple,Pink,Shorts Black,Mickey,Spidey,None,Fly Blue,Spike,Windbreaker Lemon
1217,2.499,1075,75.21,https://magiceden.io/item-details/35uk1KqwK3hUdVKnKKynA1zckXampv1VY5aZVWA4cqaz,Black,Pink,Puff Pants Black,Pigtails,Cross,None,Runners White,Gap,Base Puff White
1226,7,917,32.01,https://magiceden.io/item-details/3bVxq86eAhdGxkiVUg3hvBuVLCkjU6nQj78zg4ajYgkV,Red,Orange,Latex,Mickey,Cross,None,Croc,Rainbow,Sweater Carolina
1232,6,2300,26.18,https://magiceden.io/item-details/AspUYMuZtBRMYy7hVwwUANN4iPX8ENBSy4CV9qETMXz8,White,Sky,Windbreakers White,Mickey,Cross,None,Fly Bred,Gap,Enigma Vest Red
1248,4.5,2051,44.03,https://magiceden.io/item-details/4scFnRo4KthjKpfGFcS6Y7iK5yUsxpL588gGPKajsUyS,Green,Mint,None,Heart,Spidey,None,Croc,Spike,Long Puff Orange
1250,8.88,1777,3.37,https://magiceden.io/item-details/AQHtixhkxDDDNCsAtFz4xH58tNRzZXBP2oRvR8QBSeue,Green,Candy,Latex,Mickey,Spiral,None,Angoboot Neon Orange,Spike Open,Windbreaker Lemon
1251,1.8,3468,54.82,https://magiceden.io/item-details/AruYnidpMs3sKGh4PfpMjyLFwDfgHuo6QgktSgeC5vNn,White,Orange,None,Heart,Spiral,None,None,Spike,Striped Sweater
1252,2.1,1533,73.96,https://magiceden.io/item-details/6GqP2p4ahG3uBTFkb3XuUTmxEvgfNrU8nTDWzBsHev2M,Yellow,Shadow,Shorts Black,Mickey,Cross,None,Croc,Spike,Puff Vest Cream
1255,5,2520,33.67,https://magiceden.io/item-details/5r5hW7etTPiSEEx2CPgbjZv6kkvjBMoaEtHv6FDtDwqb,Black,Pink,Latex,Heart,Spiral,None,None,Spike,Tee Blue
1260,2.25,2383,62.73,https://magiceden.io/item-details/32JW7shSEQYWJzHaSZnyQPWDTeZUjNAGmw4G5Tu9C7Ja,Red,Shadow,Jeans,Mickey,Spiral,None,Runners White,Gap,Long Puff Black
1262,4,2966,38.56,https://magiceden.io/item-details/EzArN9QvJKQngFwLDvF3KissYUXCgLs4PZyMRJYZGAWJ,White,White,Windbreakers White,Heart,Spiral,None,Fly Bred,Spike,Sweater Black
1270,3.5,2509,48.79,https://magiceden.io/item-details/4iBSWbUQnWPjB2duLSXUDiRdfsMHVCW3QsV7NKVhjfvW,White,White,None,Pigtails,Round,None,Angoboot Black,Vamp,Long Puff Orange
1273,4.5,2579,37.99,https://magiceden.io/item-details/H1yfLo7xBSGdiHR6873nUugcLR8asmBoP87bukigDJdt,White,Flame,Windbreakers Dark,Heart,Cross,None,Fly Bred,Gap,Striped Sweater
1277,3.5,2640,47.29,https://magiceden.io/item-details/8jHoEzR5nGJi2k5oEn8tjgMVzP9pJ91MM2r7WSZDN9XK,Yellow,White,None,Mickey,Cross,None,Angoboot Black,Gap,Tee Blue
1278,5.8,3305,16.69,https://magiceden.io/item-details/DvpSLsLWpkUFHEzUh5WBKfdUzex3GKnCxSu7rJPGZTBV,White,White,Shorts Pineapple,Heart,Spiral,None,Fly Panda,Gap,None
1281,6.75,97,43.89,https://magiceden.io/item-details/GHMfCv6TK6ALciaBbgwHYiXFRbRSSrUj4bVVNCbjgLz9,Black,Solana,None,Horns,Cross,Pink Flower,Angoboot Black,Spike Open,Base Puff Yellow
1282,3,1802,61.88,https://magiceden.io/item-details/J37X5JRtiypePRxeKqT3CB3sw35HhoycdteHB9z5W5DL,White,Flame,None,Pigtails,Spiral,None,Fly Panda,Rainbow,Smooth Puff Chrome
1283,4.75,953,54.1,https://magiceden.io/item-details/ZToGJ84BVrBsEykDsHcbn3YeMRB4hmbUcJt2qUZvHjX,White,Black,Shorts Black,Heart,Cross,Halo Yellow,Sandals Red,Gap,Smooth Puff Chrome
1288,208,35,0,https://magiceden.io/item-details/E1xKKKuzqwUfCYNt54PvBQvRZWYSHYrp1LkokGg8TD2,Green,Mint,None,Mickey,XTCY,Halo Yellow,Angoboot Black,Vamp,Base Puff Yellow
1292,3,1846,61.38,https://magiceden.io/item-details/Cs7WJFwsiH1sdBAeKioTXfSqHzjsGJTPRBeH81a8f9qZ,White,White,Windbreakers White,Pigtails,Spidey,None,Croc,Gap,Tee Blue
1298,4.5,2807,35.38,https://magiceden.io/item-details/7ZGQmZcjWGR3V4baA8sG574RZf8CsiDs2jCDpJWQce6f,White,Black,None,Heart,Spidey,None,Fly Blue,Spike,Enigma Vest Red
1303,5,1162,49.2,https://magiceden.io/item-details/CVjvJMGjyssyGiJUveJmorwBJuHQood5D6rnAiMtQ9yX,White,Flame,Jeans,Horns,Cross,None,Sandals White,Vamp,Long Puff Black
1327,50,1720,0,https://magiceden.io/item-details/6NvU47GvBES694NU8uPkMf37c4SbniDhMDmfv4hKXS3Z,Green,Shadow,Shorts Pineapple,Heart,Spidey,None,Angoboot Neon Orange,Spike Open,Tee Black
1328,2.3,1354,74.01,https://magiceden.io/item-details/75sPggo8PdfPVcc3tK9X1utMUcLip8PjMG2qExdE1Xir,White,Mint,Puff Pants Red,Mickey,Cross,Pink Flower,Angoboot Beige,Spike Open,Smooth Puff Azure
1346,4.5,566,61.02,https://magiceden.io/item-details/Bo1oy6VoGdPFM5xB9LaAVbZHeh3dSZxvBaRnmTMFXQQ7,Green,White,Latex,Mickey,Round,Halo Yellow,Angoboot Black,Gap,Smooth Puff Seafoam
1349,100,1389,0,https://magiceden.io/item-details/BaEqdECkAt58y1kd1aJfEBNnveuxQjbkEJqDPYFRQiaP,White,Flame,Puff Pants Cream,Pigtails,Spidey,None,Angoboot Black,Vamp,Tee Black
1352,6,1291,37.73,https://magiceden.io/item-details/3BnEz2NV5wi2pgtDD6e1kPKvsD2BickTj8TVU5qCtJm6,Red,Pink,Jeans,Horns,Spidey,None,Runners Black,Spike,Long Puff Orange
1360,100,3,0,https://magiceden.io/item-details/Af8Vh7Ggk2QhtHR8JtqVqiEaZKwveEcjzZs7XgBXjP8o,Green,Candy,Jeans,Pigtails,Glory,MDAS,Fly Panda,Spike Open,Puff Vest Pistachio
1370,4,568,66,https://magiceden.io/item-details/4cVWqabGkAB91qCjps12Jkgetann5cP5PYijpFzFbdY8,Yellow,Mint,Jeans,Horns,Cross,None,Sandals Yellow,Gap,Puff Vest Pistachio
1373,2.5,771,78.68,https://magiceden.io/item-details/EGRWFukb9VjqxcMWAssVAc4nBYiTpv8kkF9VLz3QUa7V,White,Candy,Puff Pants Red,Mickey,Spidey,Blue Flower,Fly Blue,Gap,Windbreaker White
1375,15,38,0,https://magiceden.io/item-details/4MP7Dqx26JDPYGcBoTNXQHvGzXDkybgtC5an5Ctc8hQG,Red,Candy,Windbreakers White,Mickey,Spidey,Pink Flower,Fly Bred,Vamp,SHLD
1378,40,957,0,https://magiceden.io/item-details/CvjDBfuCDv136VXAzCGcFheiBHaZphK9ecmgarvnwKGA,White,Sky,Windbreakers Dark,Horns,Round,None,Fly Blue,Spike Open,Enigma White
