id,price,moonRank,💎 score (%),storeURL,Background,Base,Bottom,Ears,Eyes,Head,Shoes,Teeth,Top
196,8.8,1873,3.07,https://magiceden.io/item-details/CMtbAidwpuLnLaxdk3qgmEYGRW72rC7iX1oBwkJ72d65,White,Pink,Puff Pants Black,Horns,Spiral,None,Croc,Spike,None
208,3,1569,64.55,https://magiceden.io/item-details/Awgx3XxPCQ5zzQoHeiHa6yMHjnFqwSqaHr4twiK62s6a,Yellow,Mint,Windbreakers White,Pigtails,Spiral,None,Fly Blue,Spike Open,Tee White
212,25,1,0,https://magiceden.io/item-details/p4n2iCsX7qxE7npGbhWVR3yv8haNiZDMHh97yRyunct,Red,Black,Shorts Pineapple,Horns,Hypno,MRGLA,Fly Blue,Rainbow,Tee Black
214,3,2623,52.49,https://magiceden.io/item-details/5EwnfwdhkbU9V6GF7VbyMY3P4stkifWTzPhSShm2EthP,White,Pink,Windbreakers White,Heart,Spidey,None,Runners White,Spike Open,Perforated Puff Black
219,4,1402,56.46,https://magiceden.io/item-details/AkbcHR2Pj7E1CZ3Diag9adSng9cjYFzyKPBkkmALMUd3,White,Black,Jeans,Heart,Cross,Pink Flower,Fly Panda,Spike,Long Puff Orange
250,16.69,482,0,https://magiceden.io/item-details/GAu4KtxQuhFzyb4XqoRAgdfWc1uzxghjrLET3BA8RxZM,White,Pink,None,Mickey,Jinx,Halo Red,Fly Blue,Spike Open,None
254,49,45,0,https://magiceden.io/item-details/CasRTfE6KT2PdQZTYxgMeqjZ6W4VXo9hRQRSCMjSM4an,Red,Pink,Shorts Black,Mickey,Glory,Blue Flower,None,Gap,Perforated Puff Black
263,50,2977,0,https://magiceden.io/item-details/5KdsvJcbnDmZbMHEhUR4id7wXhxCFLrVLw5TqkGJAh3y,White,Flame,Puff Pants Red,Heart,Round,None,Fly Bred,Spike,Base Puff Yellow
274,4.2,2337,43.76,https://magiceden.io/item-details/37LfPxZL3bAKqPCMseQWdfGkxMz5p1NDodVo2Z1MuK3K,White,Pink,Jeans,Mickey,Spiral,None,Sandals White,Spike,Enigma Vest Neon Green
281,3,533,76.4,https://magiceden.io/item-details/DgsErG8hd66z1tVxdvR7mA75Lgd6zdfhCo5icjHST39H,Green,Mint,Puff Pants Cream,Mickey,Spidey,None,Sandals White,Rainbow,Tee White
285,3.5,1575,59.48,https://magiceden.io/item-details/EyxZg5p2GP33WrjaQZ3zPZdFX8iT7svNHWSDy2t5BDZT,Green,Black,Latex,Pigtails,Spidey,None,Angoboot Black,Spike,Long Puff Black
293,4.2,2163,45.75,https://magiceden.io/item-details/BErLbFznDYjJMRFxw15tWteuPdjaN1LnHbhJJ765nR8c,White,Solana,Puff Pants Cream,Heart,Spiral,None,Angoboot Neon Green,Gap,None
296,80,1611,0,https://magiceden.io/item-details/3ckACwmoNZ1KwGTZF9CB7Y1KAJ3K9YknbPx84UGrrac8,White,Skelly,Shorts Black,Heart,Round,None,Fly Blue,Vamp,Base Puff Yellow
310,6.9,1910,21.65,https://magiceden.io/item-details/FVav9Qv2nex9tDi8LMghL6rQtbHLFAHzrbth4boaf3Uu,White,Candy,Shorts Pineapple,Pigtails,Round,None,Angoboot Black,Vamp,Smooth Puff Red
313,4,1038,60.62,https://magiceden.io/item-details/9na2WCucveisvSagq7dM73kkPiyfo1NF4vqdp4neoARp,White,White,Shorts Black,Mickey,Jinx,None,Angoboot Neon Green,Gap,Sweater Honey
