id,price,moonRank,score,storeURL
422,500,9020,58580,https://alpha.art/t/5sJqWNXeqHfVoT8qZcVY63QnJMVae6ytYRA9FwjgqmSC
432,6.7,7648,7878,https://alpha.art/t/BML5edKCt93DVQHhQKFAfJ5GgYvduRXbvrzqU31zAKQi
445,11,5192,5852,https://alpha.art/t/3iMvcqynPyEajGm896hvZXFyVhZWDzf6BPVv6t2kMBQX
448,43,4869,8729,https://alpha.art/t/6NLNedfeprcX4FPP5XFFPXyUZiMbSaQWeWd66ZWeS9Cr
452,33,7951,10811,https://alpha.art/t/5vJ4epHHRQeYNhqcJCMeuTqWdxsqzVN3ry1mE1j9VoCc
453,44,2857,6817,https://alpha.art/t/G7ZogcqgXRbQTr6UHeTped1Jap27RGEBgQiogfKnc4dk
454,9.3,7336,7826,https://alpha.art/t/9RG8TgMgDfX4H4222e2LqEhRNkfLyfpjoTTwiU49knK7
458,55,1034,6094,https://alpha.art/t/AFyk9p3vGwAQU5ujTkvCdKX2HHaFN7j6j4wLWG3tcf6u
466,33.299999999,2362,5251.9999999,https://alpha.art/t/2EARdvhiNiyMKyZgu4QhRREamyiC4YyVGxmvuLWojvcg
469,19,3191,4651,https://alpha.art/t/3RYqFcoEDa5v2qiAS1wcy1u3Qq1mqgMQd1LZG89soN7N
471,11.44,2598,3302,https://alpha.art/t/27qm1vGhrfPmEuRwXTjgrLV85Ga8EJgfvoxoYEg37dFe
485,33.333333333,4450,7343.3333333,https://alpha.art/t/ECb9r2sWEuzdNEub6ainfuXuW3qnwfMaqCMWG7W1K3Jm
486,5.32,8691,8783,https://alpha.art/t/Gwg9iJFy6KcNUP2m6dybBXdqRaUWN72w8qWqfXJP82UL
490,33.33,7741,10634,https://alpha.art/t/9nMcwYNthmQWSyx2TnJJ1NveT9aQ3mb5i7F3Hyh9r8UW
497,33.33,6957,9850,https://alpha.art/t/2XDZBx5Jw4bQi8Q3sZnmCzDtYy44xduHmwTmy1oMXoFe
517,33.299999999,3317,6206.9999999,https://alpha.art/t/2kJqozUC7Z6ZpKzE64KuUBy6JFPPafK6Cix7on4AUFd8
524,33,4714,7574,https://alpha.art/t/GtVp83qwnAE3zkPidwKfCyofLxG4sNdW8kJBJPc7pucc
527,25,3584,5644,https://alpha.art/t/cdjMAosqkJR2uGZK5TJxNxBRN682TGaZg59fGSiNWmt
531,11.9,9570,10320,https://alpha.art/t/9qxnYXfGLyy9anXUS2mkB1uQoSgdRfPqpg3ZiCYjpXxa
532,33,4749,7609,https://alpha.art/t/G2D5AZ5MsCm2MyrvAjvgE55gbza1VD8GpYQX24uxFUw
548,33.33,7478,10371,https://alpha.art/t/2MyRLScaQ3naHKYe3EX3y5hR96hetyZX285w2vvw41VV
553,10,4981,5541,https://alpha.art/t/82YGZWzhs37N3Hw72PoTQeF9ZbPfnGKPxqu1tUHcsWtZ
573,7.5,8087,8397,https://alpha.art/t/3KcAcxS9x3mPYKLjaDYoNrTiqWmtvpjg2qnCWVGPB2tQ
576,122,324,12084,https://alpha.art/t/HL6Q7eQVZRGnFNmubpZsuf7pGNJVofKqXXE5avFFrvU6
577,7.5,423,733,https://alpha.art/t/AoCR4tnkkCEgEiwyt4oNy169CFQtNXSMSkehqxuJHDja
609,21.03,49,1712.0000000000002,https://alpha.art/t/9bGAVxbDJEXbytk5nQNUrsZbKAXwAzTTeE7BoA3kf4tu
618,17.95,9203,10558,https://alpha.art/t/9au9ZJYnza1QkCbp99fgBPzQT38yhmjA3ZCdvwuoWJLk
636,13,192,1052,https://alpha.art/t/9A8NFVEVFaED4goZsVV3QtoD4ze2d6b3EsacDnQaFT5V
651,11.66,9615,10341,https://alpha.art/t/43EMWVuSuc7c6SW9o194hZmyrQ9XAersH5CvocBknzj5
652,8.4,2502,2902,https://alpha.art/t/kQEq2SFCMMaW8qSk8XfcnAVQmWUvqCL6UG966YmXUdw
665,22.69,3026,4855,https://alpha.art/t/2PnUHUsDXWVHZfD1WRL1X9mmHvKm5fm2s8muVsx6vLcj
679,39,6151,9611,https://alpha.art/t/8CSLueggxN3wCh3FVMvzbJf6HEyGMjVsnNaS6h1a9nDM
692,6.21,7585,7766,https://alpha.art/t/7dgP4bv2oLFhGFHPkbLw32q2PcPw9hpD5oJSGMRC7xab
717,33.33,822,3715,https://alpha.art/t/6QoBi97VpCmSv1TwEiGe6z43vW2W9hW5d2LufhzxXDWH
739,7.6,2925,3245,https://alpha.art/t/HKZDy3nvK412wc32usWYdqBPbw4Zf7jZWRWzvHcuyw4L
760,6.66,8672,8898,https://alpha.art/t/gJWiSwpTiBqZoKLfBAwKzdY6gvWudkKdEpG9SYgdawd
780,21,1848,3508,https://alpha.art/t/B1EgYiraKXaXbyZ2SfrzNvNwCwCmgWuJqGvK8JMcjYSj
794,14.2,9401,10381,https://alpha.art/t/BZUj4hYP2qV1rZSWyKETJYVtGFKhQzfUhd1pErxmezJ9
795,49,500,4960,https://alpha.art/t/KjPywZenMCL2TTaVjMP3gS2CVT3JAkd4HMYAiNuNgJ2
805,6.3,6884,7074,https://alpha.art/t/4banUgmTqFcw1gUQTy12CypJJMuY39dFW21LwmzqVNNj
806,17,830,2090,https://alpha.art/t/55CTFhwoMFYyFyBkzoeqvs5pLHn7TYE4HT8f5gHhdqUj
860,5.7,2243,2373,https://alpha.art/t/4Cfn29XaqektMo4PuDSwzPvjbaeAzG7AbDr1UYQvV54B
867,40,5889,9449,https://alpha.art/t/GtZF3RsorMt4DQ1S7GszGMvFywPJJ9qSydeHGMGrQ4xg
869,13,6598,7458,https://alpha.art/t/AZj5EMwAYRCZboTpxMMLfMqDTXrndNCWyakhCLrPLKf5
883,106,1645,11805,https://alpha.art/t/Ef5RNJobyzpA9HHtbYuQBQUwiCXkU1g3Feix4jWco3dX
946,7,4781,5041,https://alpha.art/t/4ajQ3VMHXJ73xHVjxncoyarKRbMHgfZZB8Z8oca6xu9r
994,10,7756,8316,https://alpha.art/t/9qhda1B3ejiV8xgmsf4dhD91TgEuyWQXLY5fE9YuPdfj
1014,14.99,9042,10101,https://alpha.art/t/EafEdWMv4MZBxxT6YUFxL6nWUvKG5VHZix6NVu4p1NMd
1039,11,3258,3918,https://alpha.art/t/FfLeXg2oQpBXE9EudcVhEGSNa95jBuAYDV4wqYSNt1R1
1042,50,63,4623,https://alpha.art/t/Hi1HKUpExWiq6h8YVsLq3H3JhuXiGwLbrwhdshb616j3
1050,6,8824,8984,https://alpha.art/t/47vJRsw9H8aXUKQ6b6YbJbZpVnNanHFPU86z1t57D3hu
1054,33.33,9160,12053,https://alpha.art/t/6SstSLrtGmMunVRh1Xd5tw7XyQ9G8x1s48Kd4hf3QuWR
1060,11,1410,2070,https://alpha.art/t/HA6A5wzC6Es6ppjdjkBqez9VPhY2uwaUPvMonogB1VDs
1062,24,3456,5416,https://alpha.art/t/B3ghaFjDwrHK1ZNFprmhFk2B919c5o5xDA9kvZ6uwerz
1073,69.42,8947,15449,https://alpha.art/t/EZQsHZM4e8vLGCTfaUvRBivN7fFS2ANVjrNYs6ZQbLEf
1088,420,116,41676,https://alpha.art/t/NEfCmSfCVFstKVrNDwSeE1fVWX1wDZUiNBksYBh32fF
1103,9,7292,7752,https://alpha.art/t/B5ywnXaHsQrnN7VmT93tSpKMF9FS7HGyVGd9DLN1Dg3z
1104,14,81,1041,https://alpha.art/t/6cY1AdAqm3PDKwUDavNLNZz2m8kTtYDe45MLmAbBex7k
1105,6.99,7360,7619,https://alpha.art/t/5Wk8kNjwcXc9RKgtv5oUwg6pwb6M7BDUQfrz1ZBgXTmJ
1118,19,7857,9317,https://alpha.art/t/Dkw8tS7mPGdteGHVazNfSb1w6FN54fz1EAUV9dMFg5oj
1123,25,6411,8471,https://alpha.art/t/9U8bRr6EyDBM2LwLrTSmStkPVraC2Nj887CfmXASkGHq
1128,420.69,4710,46339,https://alpha.art/t/BfpPiLdRP4f7GsZccnTNDtFoX9GaTYovTmixjZp6Xk4m
1131,11.5,1766,2476,https://alpha.art/t/4eWmYnfZmqnq6DaVEb3LP6VLcAKH3XZWtJED7XUFNhfj
1135,7.9,1697,2047,https://alpha.art/t/6Ksj73z3AHmfxw1cijjdCfnig3TZrnuqiJVSMonaoSFd
1151,55,9028,14088,https://alpha.art/t/4vYTdeKLdB67awXWqw45LDgXXALPdzf2LrXGk2MCbKEq
1158,5.75,6386,6521,https://alpha.art/t/5xBXaMJfnCbtMjcvjoD2Eq7kQUXK8SEbUsUK68h4BWvg
1175,7.05,5713,5978,https://alpha.art/t/aj2j81t7nKMZXia1ND7RKiCJFbLRFwofe5UqgW8LspZ
1176,14.2,7488,8468,https://alpha.art/t/AAp3ddbWM3CMT8p6Tt7B6KcYmkCUUy9kdMFKgd4ZDVaM
1190,120,70,11630,https://alpha.art/t/ScyY2iC8PATZgjhweqoFXdUrBuuYAkGXZpMTyGRpECF
1192,10.6,5715,6335,https://alpha.art/t/65zXPzj7Lzcs3Xm37fKWgUyNmGYjH5QxJWNGGW8Xnx4w
1198,12,2947,3707,https://alpha.art/t/2jTdXDQPszkoTtiPK6RvhFi96kxXhSMsbhG4bWWr45cU
1199,7.2,8686,8966,https://alpha.art/t/8th9spFHDezZuKEGX2PbByyk9aSHuhMt9Z1EQBMVxULE
1200,110,562,11122,https://alpha.art/t/BMsQ2Z9FvYNCUy6Tv57zAK52KWhUGDzSRep1VJt69cgB
