id,price,moonRank,💎 score (%),storeURL,clouds,far object,foreground,horizon,midground,near object,sky,sun
330,3.5,1315,56.82,https://magiceden.io/item-details/BrntjQrRffFRJVXEMCZXVVT74hgk2yFZZueozoz9Tua,red cirrus,stars,pine road,jungle hills,greek temple,columns,green,sahara
353,0.85,1187,84.48,https://magiceden.io/item-details/FgzGf2YqEz933a98Xwmnw4ZoHSyrCjzCr1EEP7rndoqM,none,birds,flower field,rock mountain,cristal lake,david columns,chernobyl,sahara
363,0.9,3030,67.33,https://magiceden.io/item-details/3ZxQPuvoJqsdyD3dcfXUKegZpR7LsboLTCZtqFfFZr1L,stratus white,big-moon,prairie,jungle hills,lake forest,woofwoof,tea,micro bright
368,0.6,2795,72.46,https://magiceden.io/item-details/7F5BEiTihUDtnRskHWVa9KNW8jFZjHHmQkfBQK43mZXv,none,none,coastal,forest,lake forest,woofwoof,green,big sahara
371,2,4248,45.33,https://magiceden.io/item-details/BVsUvxMgKTxgLcFVro5r7hznSMjQfrmbGxoqgemdTzSP,stratus white,birds,crag,rock mountain,big river,columns,sahara,normal bright
388,1,2577,70.43,https://alpha.art/t/D3xAmJkcgmPF2dqjT1uYDtWp6hth74vEPs9jvJr5CEPr,red cirrus,moon,crag top,rock mountain,cristal lake,columns,solana,big sahara
403,1.9,556,79.68,https://magiceden.io/item-details/82SdnktsxdkJ1th8jtML7v4BnTmvdJxPhxYExbSU1Ki9,fireworks,none,dirt road,forest,river,blue lambo,chernobyl,sahara
436,0.69,1735,81.13,https://magiceden.io/item-details/3xSSPdz1EdmCxXUerb6yyzGzpTxMU6SetSeZnggLM8cs,balloons,birds,crag,forest,lake forest,frens,chernobyl,micro bright
441,0.82,1545,81.55,https://magiceden.io/item-details/643p4EvNJzdDRZLJm5ryx1MAFe3GGkJeQQrTzSM5tJsr,stratus white,rocket,pine road,jungle hills,lake forest,columns,green,micro bright
445,5.5,1063,39.1,https://magiceden.io/item-details/AM79iUEvq4o6oMDJWU8btZNbg9cuyiFWKfnDoV71aL48,none,stars,crag,jungle hills,solana temple,woofwoof,green,normal warm
446,2.3,323,77.78,https://alpha.art/t/BJZRBn4CrPVgLKj5rYi1qTMNWRJTVZ1vQmha7cRbWFHd,stratocumulus,none,crag top,forest,lake forest,shrub crows,chernobyl,australia
448,0.7,4299,57.87,https://magiceden.io/item-details/F74SAeiZcQLfuM6716eBjzsXu999EzhHZ28XRdJEgWsH,altostratus,moon,crag,arizona,cristal lake,motorcycle,tea,normal bright
457,1,4254,55.28,https://magiceden.io/item-details/HkGrWmjEhqRSczCVggagBMmw99QCzw64SNARF4A7SXzP,none,moon,dirt road,coastal,cristal lake,columns,green,normal bright
475,44,4202,0,https://magiceden.io/item-details/CjNEshrAb2QjdgAsJmgwKHvYbyLiA93g7L8YJ8JCe4og,stratocumulus,stars,crag,forest,cristal lake,motorcycle,turbidy,solana sun
482,0.45,3767,65.18,https://magiceden.io/item-details/9E64qjofYPGDZ8NomqNqyUjngNMdBMyoL3XBgSrktbDu,red cirrus,rainbow,palm springs,rock mountain,cristal lake,columns,cyan,normal bright
491,0.6,2950,71.06,https://magiceden.io/item-details/AeTrNMU9z1DaErQk9E3hBZbRxUMYMzqm7PwNvLzjpFnd,cirrocumulus,none,high road,forest,lake forest,frens,sahara,solana sun
492,0.55,2276,77.64,https://magiceden.io/item-details/4A1HbNA8uNEUEV6i3hTe2fnMV4rXJArVY3TJyxrB9qYE,altostratus,rainbow,high road,forest,lake forest,Wanderer Above The Sea,green,west coast
496,2,2174,64.07,https://magiceden.io/item-details/478tT5hkJZ5X397Vy9khHdkrXBjfGYEqdeUn4zXWqn2P,cirrocumulus,rocket,prairie,rock mountain,cristal lake,woofwoof,turbidy,sahara
499,4,3870,28.75,https://alpha.art/t/2ZpdbPpFsHEVJPEYDomhCX1eJusJcUMP8PiC45sw7v8V,altostratus,none,crag,none,lake forest,woofwoof,sahara,west coast
500,2,1569,69.53,https://magiceden.io/item-details/ENbwwVFenekLDoRCcUvQESpYtyExxiwnqaysyApihkNC,cirrocumulus,moon,flower field,amusement park,cristal lake,none,green,sahara
503,10,82,2.96,https://magiceden.io/item-details/MREqYJ4ZT2ZqbDK8rJVrERwcrmVXRAe1HAh5Jr66pvZ,red cirrus,rocket,high road,coastal,cristal lake,cyber ronin,cyan,high warm
504,1,1065,84.08,https://magiceden.io/item-details/TaPhcActi9H4xW9H4BfmU39LApM5xhV5icrvvqDDYg2,balloons,none,dirt road,arizona,lake forest,woofwoof,green,solana sun
506,2,825,76.25,https://magiceden.io/item-details/7V7HGbJkaGMN65a6iSWMQ5VZfKqN2AELQcuBn1nXuZeD,none,moon,prairie,arizona,beach,owl,cyan,solana sun
513,3,3559,41.56,https://magiceden.io/item-details/9ZQ6tjhwR7CxJT451DJNX1W5tNPqP1w25eKNcbX6dXoZ,none,big-moon,palm springs,jungle hills,lake forest,woofwoof,green,micro bright
538,2,551,78.72,https://magiceden.io/item-details/4zSmqCKCVsZ1VwKHzJwzwoMpuq4qyFYTXfYvgn2XVhBK,red cirrus,rainbow,crag,forest,big river,cyber ronin,pink,high warm
563,1,571,88.54,https://magiceden.io/item-details/864sieEPBn5NmakGnbmjj1BnQAPmcECmwToUYH8Vqix5,early birds,big-moon,marsh,skyline,big river,motorcycle,cyan,sahara
564,4,3006,36.55,https://magiceden.io/item-details/CbTQBrYK7cPe3TGPjmAtVFECXMyXM5mxtX611zDiHMit,altostratus,stars,pine road,vulcan,cristal lake,woofwoof,green,normal bright
569,1,1714,78.22,https://alpha.art/t/CswBq12pzbBAKVLWiCRZC6aouq3xwARj5squFCyqUNS7,none,rainbow,prairie,rock mountain,cristal lake,blue lambo,pink,high warm
627,5,2348,32.49,https://magiceden.io/item-details/6Xg9T8hKqrh2D2jEV6pAVV75Db2pr8oxzNqHcEFVb9JG,red cirrus,birds,dirt road,none,cristal lake,Wanderer Above The Sea,chernobyl,sahara
637,1,3773,59.62,https://magiceden.io/item-details/7axo67iWbuUTqkwR4X3DtjYFANBkEFKExjYsGpL6EoiF,cirrocumulus,big-moon,palm springs,forest,cristal lake,motorcycle,tea,big sahara
658,0.99,2030,75.47,https://magiceden.io/item-details/43RTEcYZuWFA2hmjXEXcDPRdvtZCpbu3CZPRPumEbMTK,stratus white,rainbow,palm springs,skyline,beach,tall grass,turbidy,big sahara
662,1.5,521,83.99,https://magiceden.io/item-details/614FdkHHbxJ1Y1WaSWE53XPCRg9XVhp4fKz3MTYpop8j,early birds,rainbow,prairie,none,river,pair of pines,tea,eclipsis
668,0.6,3990,61.66,https://magiceden.io/item-details/ChjfAFiGLYi8mkJ9uyTR5pDYaHNEBeFNBkx6mu6H1Rv9,none,moon,palm springs,forest,beach,columns,solana,micro bright
680,1,1531,79.87,https://magiceden.io/item-details/5t7FVhzGVueNdTkGhNNHNabaeZfb7QSoLvrFAyyHXS3v,stratocumulus,none,high road,rock mountain,river,woofwoof,chernobyl,solana sun
696,100,1,0,https://magiceden.io/item-details/Er2k9hDryUETjQ1vZ8Qxhv4zNZ7wtMwUS56eaASAgARm,stratocumulus,airplane,marsh,vulcan,lake grid,columns,vaporwave,sahara
701,1,3568,61.48,https://magiceden.io/item-details/Go9L2fSV5TQYUUCJXi6AvaX1ejtb4yQgQ9Ku7kpxaabh,cirrocumulus,big-moon,high road,none,lake forest,palms,chernobyl,normal bright
706,0.5,1135,88.45,https://magiceden.io/item-details/9NB6bs8U49FVPXTepPGWAayyBXd5qnEGAhsxUrYyURNS,early birds,moon,marsh,jungle hills,cristal lake,columns,tea,australia
725,0.87,2922,68.61,https://magiceden.io/item-details/3QL94dK3JGSzmqnpfpNTuRXEATio5Rrb9tDSQ4qkvECA,cirrocumulus,moon,palm springs,arizona,big river,woofwoof,solana,sahara
729,3.4,2298,48.95,https://magiceden.io/item-details/4s6YJuyKsaQph7Qrksqm3TBMLbMZeJWhd225U2MQeCFt,altostratus,moon,dirt road,vulcan,cristal lake,deer,turbidy,normal bright
736,3.2,1582,57.41,https://magiceden.io/item-details/68X75hBva9mb1j561zjnXzZxf3vB2U28oekcU1zyxxx7,cirrocumulus,comet,pine road,jungle hills,beach,deer,turbidy,micro bright
741,52,267,0,https://magiceden.io/item-details/92Ew8rvkYoLpfLLoGQvXb2yKVKU3TTdHjikQx58ZqdtR,early birds,ufo,flower field,pyramids,lake forest,blue lambo,turbidy,normal bright
744,3.94,1293,52.62,https://alpha.art/t/AVDuWBETy9gKLMcMUbYmuA11pBc55dQd3nVT13mRyMEd,altostratus,rocket,high road,industrial valley,cristal lake,none,turbidy,normal warm
747,7.5,443,24.7,https://magiceden.io/item-details/JDnDyLqaMeE283yWVBUFikKr16yrer6wqxu9ozKo7egB,none,none,crag top,forest,beach,the king,pink,micro bright
771,0.47,3460,67.75,https://magiceden.io/item-details/CWudNaYjNTFKDyS1ecTN4V2KhU5ZpGnwFPqKaseDn5og,stratocumulus,big-moon,high road,none,big river,columns,turbidy,normal warm
789,2.8,2609,52.14,https://magiceden.io/item-details/CTfk9LUGGXB1dLBpD66TztzWjsP6EkXgSejRT1CSuJvf,stratocumulus,birds,dirt road,none,beach,david columns,sahara,sahara
796,1,3619,61.02,https://magiceden.io/item-details/4DMgpJztaHv6zrF6HfioiN2fR5AUu1Eao19zdEwEiccn,red cirrus,moon,crag,none,lake forest,frens,cyan,normal warm
