id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Body Color,Chest,Head,Metal,Topper,Visor
1563,1.15,1837,74.31,https://magiceden.io/item-details/5UnmicrZSHiMzGPZiaTAGUSdqZMZitSVYAHKaao6ZY1R,Squidy,Blue,Issue,Green,Vent Pack,Hydro,Copper,Extensions,Black
1575,0.81,3272,60.46,https://magiceden.io/item-details/3RUupYuNo35bitPiuFdMS2W3H6makzJTGRDBLpWwXsTy,Volt Pack,Black,Heat Sink,Blue,Grid,Miner,Steel,Duel Antennas,Black
1581,2,1073,74.99,https://magiceden.io/item-details/BNwTQgVrEtBV2LnUc1WYjWSNbLUinUber4jeNEimGwgo,Detainer Clamps,Blue,Heat Sink,Teal,Steel Insignia,Airframe,Steel,None,Black
1620,1.45,1856,71.08,https://magiceden.io/item-details/GjRpabsA5BHtmthLXhSE89oMwHiFxT1vNNfrqFcczjyy,Minis,White,Issue,Copper,Pump,Airframe,Steel,Intake,Black
1623,3,1954,54.4,https://magiceden.io/item-details/vcXjcVRhU18zh5KGiAq8HdbL1pQjrEYvEw7kYnVcc13,Drip,White,Workforce,Black,CoreBoost,Swivel,Steel,Copper Insignia,Black
1626,2,646,80.13,https://magiceden.io/item-details/5YUgQ4sj5sBzQaqEsjDtHKDjkRWVAuNG6i9nnSXpq4Hb,Shock Arms,Plum,Vector,Green,Steel Insignia,Atomic,Steel,Dish,Black
1632,4,2657,35.95,https://magiceden.io/item-details/HRhSWNeMTunt3tyVsRzoP358H1mEFDjiffqVHGTuvUgM,Staff,Black,T3,Steel,Filter,Entry,Steel,Extensions,Black
1633,4.5,603,55.64,https://magiceden.io/item-details/HphEdLAhnaUdrujhvdZBXpySSWwAD52SgVsg9n3MdPqC,Cryo Array,Sunburst,Breach,White,Facet,Boxy,Steel,None,Black
1636,1.38,2620,62.6,https://magiceden.io/item-details/4hhyrvzfPLjxJF721sDYcqSin3ijPKP7zpCcHAtQRG2E,Drip,Orange,Vector,Black,Pump,Atomic,Steel,Fins,Black
1641,2.5,936,71.64,https://magiceden.io/item-details/8Mi3dn78cGf224g6GtEBQkHbandxsjYPKAUNAURUAQ61,None,White,Issue,Black,Copper Insignia,Airframe,Steel,Duel Antennas,Glowing Orange
1656,3,451,72.47,https://magiceden.io/item-details/TtvnzdcFmn9EWdXRXmzYmWx7Ekmo26pqdHviEkNe2k3,Staff,Cave,Scout,Black,Copper Insignia,Obliterator,Copper,Extensions,Black
1687,0.85,2322,71.48,https://magiceden.io/item-details/2qbvKU7kZMuQVBwf3raJMfZpTFAchXT8TqK5ZUFuQtpA,Zippy,Black,Workforce,Blue,Jolt Pack,Boxy,Copper,Intake,Black
1690,25,682,0,https://magiceden.io/item-details/7WZnfzTmeHrjZXpqty2NLyttXGdFiMaKcw48yqNHh46n,Minis,Sunburst,T3,Black,Jolt Pack,Bobber,Steel,Extensions,Black
1691,1.2,1343,79.75,https://magiceden.io/item-details/5UQgw8sPh5Be9E6GLgmMcTZo5XsJcwrKEHrLvzsVAvXB,None,Cryo,Quadrid,Blue,Pump,Flattop,Steel,Extensions,Black
1696,1,3319,58,https://magiceden.io/item-details/BSz3bzTXLDjn6thu8FPKNZeaF5waVeJmLMrx3PRHZVC1,None,Black,Issue,Blue,Copper Insignia,Slim,Steel,Extensions,Black
1704,1.56,2371,63.79,https://magiceden.io/item-details/FUmnzL1knn3gUr9wQUXgYQhNnA6GRjmUCEUeej8EFqx2,Blasters,Sage,Heat Sink,Magenta,Copper Insignia,Boxy,Steel,Fins,Black
1708,2.4,1235,69.05,https://magiceden.io/item-details/DwR4dj19mS8E8LG4YWZgpF93Gu5MurgEV4kZcTihC8e7,Staff,Blue,CryoTank,Magenta,Copper Insignia,Hydro,Copper,Intake,Black
