id,price,moonRank,💎 score (%),storeURL,Background,Background Character,Body,Glyph,Head,Minion,Scenery
Goblin Brain 9066,4.9,6024,32.52,https://solanart.io/nft/BwoG1Fd8xMPwYkPXGQyooN6CxjSA2Y52MBKTvPxKJUy7,Goblinesque Prairie,Evolutionary Deadend,Royal Poltergeist,Mesmerizing Brooch,Irate Mandril,Warin,Red Weed
Goblin Experiment 6754,4.9,582,52.11,https://solanart.io/nft/31Va3RQB5WzQaZDP6Y3YtrZx7Q1hzRfeb1ypg6HnY27p,Equatorial Solstice,Benjamin,Pedestrian,Comely Pouch,Festive Trog,Umfrey,Lush Fern
Goblin Experiment 1629,4.99,2912,42.82,https://solanart.io/nft/2A6SXxLzbMf3HnkDGYw6yEWwAmoZpdmZqgA86M2PvoZ6,Sublime End,,Red Phillip,Withering Bow,Himalayan Mockingbird,Finnian,Omniscient Rock
Goblin Brain 1143,5,4508,36.98,https://solanart.io/nft/D1EdfK677JRW5799bi88hqcJF3wFcbGkk2D8ECU6TUDF,Handsome Interior,Walfort,Debonair Bannerman,Mesmerizing Brooch,Coldblooded Spinster,Warin,Jurassic Fronds
Goblin Experiment 5511,5,6552,29.62,https://solanart.io/nft/GTafSe3W3ocC4YPFBCku76UwZQwppguGobN1oFh3ByQr,Resplendent Hillside,Boil Ridden Biped,Mesozoic Mammoth,Salubrious Puffer,Friendly Neighbor,Finnian,Red Weed
Goblin Brain 6729,5,1305,48.51,https://solanart.io/nft/4ssS2vHSyYnGYmaCzyFQwpDy1XgTpgvjzUVi77cLAjMF,Equatorial Solstice,,Primordial Hominid,Execrable Tooth,Merry Troglodyte,Althalos,Sumptuous Lantern
Goblin Brain 5398,5,3485,40.66,https://solanart.io/nft/4vJyqn27PpsSb5FCSmfCsVXS3CHNMpsVv2SUjZUiBKnF,Equatorial Solstice,Hogbert,Mesozoic Mammoth,Sartorial Pin,Merry Troglodyte,Gorvenal,Living Stones
Goblin Experiment 3214,5,10691,14.71,https://solanart.io/nft/EgVQhFMz32ghqUo9hDZ2y4y7grmgmuoYdB5usCawyCSW,Illusory Horizon,,Diligent Protomammal,Sagacious Fossil,Virtuous Saint,Sadon,Jurassic Fronds
Goblin Brain 6624,5,7893,24.79,https://solanart.io/nft/HCAPVeEiKNjJ81MZ9nqvedNMxzdh5rsTdZoR26P2T5mi,Idyllic Moonscape,Hyuck,Yucatan Sprite,Rebarbative Bulb,Observant Eavesdropper,Zemislav,Forgotten Rune
Goblin Brain 5038,5,9527,18.9,https://solanart.io/nft/7yLteJZsBnKbdMoRP7ZRffXHMy3Z1XPrTmLbmAjbfT3d,Delightful Apocalypse,,Cannon Fodder,Spasmodic Saber,Gloatish Glyptodon,Althalos,Omniscient Rock
Goblin Experiment 9186,5,4132,38.33,https://solanart.io/nft/dUBZvAc5nVHHcf1S75TCP6y9SkyUUU2U6nFW1LuLp4X,Prosaic Terrain,,Treegoblin,Redolent Chest,Ignorant Bystander,Althalos,Serene Well
Goblin Experiment 4890,5,5588,33.09,https://solanart.io/nft/GHjkZqSXsvfiTYGL3oGakkp82mhrGxdxKnJAQ63p8H27,Resplendent Hillside,,Yucatan Sprite,Mesmerizing Brooch,Virtuous Saint,Zemislav,Akihabara Portal
Goblin Experiment 8295,5,720,50.62,https://solanart.io/nft/5LNqkNVNCGuePSj2aEAxHEsFUVt8hYEH5HZrKfLXgdp1,Sublime Range,Hogvig,Humble Peon,Lowly Thumbtack,Festive Trog,Zemislav,Mesozoic Shrub
Goblin Experiment 7782,5,10328,16.02,https://solanart.io/nft/7hxX79RuUf6CUwhJkL57zS3oP2oeq513u54Vxt2PKpcu,Prosaic Terrain,,Queueing Reptile,Voluble Pen,Knottypated Marmot,Zemislav,Forgotten Rune
Goblin Brain 10085,5,351,51.95,https://solanart.io/nft/3vaPkHYV2FMBHkLNiSSD3Xfr1v5XVbhMT7V7uw7owFfS,Cheery Grotto,,Nimble Peasant,Mesmerizing Brooch,Tusked Warbler,Finnian,Rare Signage
Goblin Brain 10631,5,5760,32.47,https://solanart.io/nft/6PvMon5vmdRATu3eDdkSBdwAzhpxXSdR4GJSHuS7BVFr,Idyllic Moonscape,,Militarized Neanderthal,Boorish Rake,Ill Breeding Gazer,Aymon,Akihabara Portal
Goblin Experiment 3862,5,6765,28.85,https://solanart.io/nft/AgB7PKXKCoyyfDd5rsF2Pvmx1YQgmguaBjWcSz2YZfBV,Purgatorial Void,,Cerulean Fishmonger,Minatory Whirlyjig,Piggish Mallrat,Adelard,Television
Goblin Brain 4080,5,2118,45.58,https://solanart.io/nft/Gs3UCkuqfH3QRANg4SqayioaED9dKvuFkQdkWu3tNrXc,Tranquil Expanse,,Chameleonic Frame,Baleful Spork,Sneering Goblinoid,Althalos,Mesozoic Shrub
Goblin Brain 288,5,8393,22.99,https://solanart.io/nft/EecmSjPA7kbUbLSnRJdLN11wwReg2WPkoAsvshgekvuj,Prosaic Terrain,Benjamin,Corpulent Beast,Noble Vial,Ill Breeding Gazer,Zemislav,Forgotten Rune
Goblin Experiment 8386,5,5831,32.21,https://solanart.io/nft/FerfugDchqyYzxVL3CGgqP1RjRZ1JAbdrRPKqxGJTxKm,Idyllic Moonscape,Cruiseliner Captain,Irradiated Vermin,Zealous Omen,Tusked Warbler,Zemislav,Bamboo
Goblin Experiment 1524,5,9309,19.69,https://solanart.io/nft/66RCxteGQTq4bZsz2izQNLS1shg7dEHo9jESzRa4U6vg,Goblinesque Prairie,,Primordial Beaver,Comely Pouch,Law Abiding Citizen,Finnian,Red Weed
Goblin Experiment 4338,5,7171,27.39,https://solanart.io/nft/7Bi5sEtvmrAMZSEFsXaCDRWsnC7EAw9DGoWoxVBTigx8,Stupendous Sunrise,Permian Triassic Philosopher,Blue Phillip,Comely Pouch,Gloatish Glyptodon,Sadon,Gravestones
Goblin Experiment 1713,5,2243,45.13,https://solanart.io/nft/3z3dxctViq9smAUXqwt7oH6B8UXc4zchEd25WAJ8kog8,Cheery Grotto,The Inspector,Cannon Fodder,Intransigent Glyph,Splendid Valet,Lucan,Gravestones
Goblin Brain 727,5,2085,45.7,https://solanart.io/nft/5rfzjiS2Wygeg9ay45S6VvqV5BgNbNqKc7vf11Ch56Ab,Prosaic Terrain,,Imperial Stand,Pedestrian Bowl,Friendly Neighbor,Althalos,Bamboo
Goblin Brain 10354,5,236,52.36,https://solanart.io/nft/J4xWZDyhUEEQ8fo9qAUj6KFiMnimKoi1vQciNxkSrTpH,Ignoble Tundra,Sentient Shrew,Queueing Reptile,Insolent Stamper,Beaverish Miscreant,Bertris,Snail River
Goblin Experiment 2989,5,1075,49.34,https://solanart.io/nft/Fz9dwPHnBJ698uQiQCfmWa2ayrruRtF4TuMv9FABEvUr,Resplendent Hillside,Permian Triassic Philosopher,Diligent Protomammal,Jejune Groggerbit,Fly Bitten Gudgeon,Hobodor,Bamboo
Goblin Experiment 4410,5,193,52.52,https://solanart.io/nft/D27a2yMkwDWRpSdQMHW428hnqXZrtPK4XeULtpmVB7f7,Handsome Interior,Retiree,Wetware Surrogate,Ratfruit,Frilled Brother,Finnian,Bamboo
Goblin Experiment 3024,5,4558,36.8,https://solanart.io/nft/FJRHuKKhYoqxV57HkLiHL37Jnsxr7nWZshocF4mzakDJ,Sublime Range,Retiree,Yucatan Sprite,Noble Vial,Alchemical Maw,Althalos,Solukhumbu Omen
Goblin Experiment 7970,5,3181,41.76,https://solanart.io/nft/Dz8pWngVMCiCcYaLXfDikJa62TbwTcFs9EerVBCw2rLB,Cheery Grotto,Benjamin,Smarmy Fellow,Meretricious Fork,Doghearted Minnow,Odo,Forgotten Rune
Goblin Brain 1257,5,7062,27.78,https://solanart.io/nft/6GSpdQiGXtNxKodxottfBu5KVdYfRQKkJhfjuYX7LG7m,Illusory Horizon,Archaic Beast,Primordial Beaver,Ratfruit,Impaled Froglet,Althalos,Stump
Goblin Experiment 4530,5,5710,32.65,https://solanart.io/nft/BVSfffvqVpkjXqnMJv2MVCXv6Y6GpLsyn4iw1deQgbzc,Sublime Range,,Diligent Protomammal,Obtuse Compass,Sneering Goblinoid,Althalos,Serene Well
Goblin Experiment 8957,5,2300,44.93,https://solanart.io/nft/6AYJVarrmpV9Gnrn2NYmePGH2Ns9sLmhV3vizngV4ki1,Goblinesque Prairie,Permian Triassic Philosopher,Humble Peon,Lowly Thumbtack,Extinct Grinner,Sadon,Red Weed
Goblin Experiment 10031,5,7063,27.78,https://solanart.io/nft/GAnEFoHzqatkN4BWA4kALfB9G7SuizyDaH8FMmdoLgJX,Purgatorial Void,Glyptodon Duo,Sluggish Busybody,Execrable Tooth,Observant Eavesdropper,Sadon,Stump
Goblin Brain 1090,5.39,1615,43.49,https://solanart.io/nft/D9SkGynGzJGNaTYsuW29msF33RnSdzP8g73H4tChrtUj,Purgatorial Void,Slimy Trespasser,Red Phillip,Ruminative Candlestick,Sordid Ursurer,Umfrey,Gravestones
Goblin Experiment 2737,5.5,991,44.64,https://solanart.io/nft/2CGY1skDzvHBrDZseYmwYGHQwbTfScQ7hwsodYQrN1b5,Sublime Range,Archaic Beast,Wetware Surrogate,Taciturn Choppers,Alchemical Maw,Asher,Lush Foliage
Goblin Experiment 10077,5.5,684,45.75,https://solanart.io/nft/FYeCed4t6kn7NfqHuKz1go3KE4QgkpKDdGrcx638rGpY,Tranquil Expanse,Benjamin,Cloistered Amphibian,Meretricious Fork,Heroic Countenance,Ranulf,Lush Foliage
Goblin Brain 10168,5.5,5275,29.21,https://solanart.io/nft/8ScZf42ADN6saxqTziSbNxVQEZGCa9ToygXxZEBYvqxi,Primordial Grounds,Sentient Shrew,Cerulean Fishmonger,Sclerotic Sextant,Splendid Valet,Finnian,Solukhumbu Omen
