id,price,moonRank,💎 score (%),storeURL,Background,Background Character,Body,Glyph,Head,Minion,Scenery
Goblin Brain 4337,9,258,12.28,https://solanart.io/nft/DjYKeuD5TsMDLabudmAy5ewgWULxJQDBkPq9qHC4wQpN,Idyllic Moonscape,Ignorant Reptiles,Mesozoic Mammoth,Trenchant Ocarina,Alchemical Maw,Zemislav,Bamboo
Goblin Brain 7650,9,7623,0,https://solanart.io/nft/6cpB9i7Z7QActWSCXxAvwiVFJPfJoKHjec93RPe6ELVX,Illusory Horizon,,Primordial Hominid,Meretricious Fork,Squirming Starlet,Warin,Sumptuous Lantern
Goblin Experiment 4903,9.5,3022,0,https://solanart.io/nft/A5vmcBz8vWq6xQnbeCRKuHQ8ogR2pnptMkxTsu2uiPG8,Prosaic Terrain,Archaic Beast,Queueing Reptile,Zealous Omen,Urban Walrus,Everard,Serene Well
Goblin Brain 8093,9.5,2792,0,https://solanart.io/nft/5M1skgJW3tgbWGpVKnHcrjPMPjo44UGqZA4cUWQcN4NQ,Delightful Apocalypse,,Nimble Peasant,Spasmodic Saber,Impaled Froglet,Everard,Mesozoic Shrub
Goblin Brain 7819,9.85,7386,0,https://solanart.io/nft/F3HTnVXYuQqzm4x3ZF1J6yqTA2ZmrvcFBx81w9BCA1Ne,Illusory Horizon,,Royal Poltergeist,Irksome Serpent,Belligerent Reptile,Althalos,Trona
Goblin Experiment 6844,9.977,4639,0,https://solanart.io/nft/Gz9Y7CfivwFUeRdn6zKS7GgArHudxfKyiiEbfEJobrNe,Handsome Interior,,Axiomatic Venturer,Inveterate Remote,Alchemical Maw,Finnian,Mesozoic Shrub
Goblin Experiment 6612,9.99,4819,0,https://solanart.io/nft/67jXV3JsZGYHigexAJG4T1yDNdgDBYsFLRNyM1wx9QZQ,Resplendent Hillside,Benjamin,Primordial Beaver,Salubrious Puffer,Mewling Tyrant,Finnian,Serene Well
Goblin Brain 507,10,10000,0,https://solanart.io/nft/Gr9Bz3CU5SFNQd9n9kuscJtATPXV5tpZ6w9ZNcHPRS3h,Purgatorial Void,,Pedestrian,Salubrious Puffer,Tusked Warbler,Umfrey,Television
Goblin Brain 11105,10,2017,0,https://solanart.io/nft/93833NNXcqbfy8vYRda3FmZGyWWU2zVwmE7jqzmWTRpd,Resplendent Hillside,Primordial Kangaroo,Debonair Bannerman,Lowly Thumbtack,The Thinker,Percival,Splendid Decor
Goblin Brain 1420,10,512,1.37,https://solanart.io/nft/DZwtcxjSapeJhX1mxGyGT6b1ERDqFZ5wC8kHjZMSqmKD,Delightful Apocalypse,,Diligent Protomammal,Righteous Telescope,Hallowed Demigod,Finnian,Hyperspace Egg
Goblin Experiment 11048,10,576,1.14,https://solanart.io/nft/8bgJu5spKMS79xerW3Ki3pYQj3XbHk2eZGyPXrpRb6Yb,Resplendent Hillside,,Cynical Quadruped,Voluble Pen,Courtly Goblinoid,Sadon,Lush Foliage
Goblin Brain 5925,10,10158,0,https://solanart.io/nft/GsryFxywF1CgnH7CS3SgqpFDB4KaowF4vSreuWhJAjLt,Delightful Apocalypse,,Elder Statesmen,Withering Bow,Mewling Tyrant,Zemislav,Unsightly Wires
Goblin Experiment 11039,10,7450,0,https://solanart.io/nft/6s5mydVzAEzfSunHQby9gcakHWFS3PMevYk5QxWDWEY8,Resplendent Hillside,Sentient Shrew,Smarmy Fellow,Hubristic Documents,Whiny Protomammal,Umfrey,Lush Fern
Goblin Brain 1527,10,6007,0,https://solanart.io/nft/47BjUgogY2YpDQ7TB51aLziumwKcDQwuHQmyoiLzFsRo,Handsome Interior,,Nimble Peasant,Obtuse Compass,Virtuous Saint,Rolund,Forgotten Rune
Goblin Brain 9109,10,1211,0,https://solanart.io/nft/GqH8xvXe12yxukUzpgAWwMCUQwcvtiW2mvRhrh3GUn1G,Goblinesque Prairie,,Blue Phillip,Comely Pouch,Beetle Headed Clotpole,Tybalt,Omniscient Rock
Goblin Experiment 1075,10,2757,0,https://solanart.io/nft/2tiMzJqehbgC765RTUXRM2ZSFEkKsAgEaFyaGTjaNHGR,Sublime Range,Boil Ridden Biped,Euphoric Berserker,Trenchant Ocarina,Festive Trog,Rolund,Omniscient Rock
Goblin Brain 9796,10,3615,0,https://solanart.io/nft/FJ7Nh45hjMTsxm4mJQ8RfkK3XvH3ZcP2uHEuZJfxVRq9,Primordial Grounds,Retiree,Humble Peon,Irksome Serpent,Frilled Brother,Odo,Jurassic Fronds
Goblin Experiment 10802,10,5341,0,https://solanart.io/nft/EguYknTe6w6syzKydhkaAkL4sqgtnCdMkiCPHzQX4hxi,Stupendous Sunrise,The Tinkerer,Glorious Goblin,Trenchant Ocarina,Ill Breeding Gazer,Asher,Dying Ferns
Goblin Brain 8940,10,543,1.25,https://solanart.io/nft/5EjSA8JxjUxDUnvT1nA8qn46bJVKSQFp7vFkXX1qcwJC,Illusory Horizon,Retiree,Cerulean Fishmonger,Meretricious Fork,Enlightened Mammoth,Finnian,Bamboo
Goblin Brain 2030,10,9103,0,https://solanart.io/nft/H4kiFTuQXjmGUtryGroopqbnXmdzagQvkgq879344bYj,Ignoble Tundra,,Cagey Saint,Minatory Whirlyjig,Ill Breeding Gazer,Zemislav,Hyperspace Gate
Goblin Experiment 3433,10,9665,0,https://solanart.io/nft/2xoM3nudo4KNjS3fPcSxXdJFX5cAJd7oq5CvZwz83kH7,Ignoble Tundra,,Auspicious Collector,Withering Bow,Petroleum Guzzler,Bertram,Arashiyama Portal
Goblin Experiment 7719,10,5352,0,https://solanart.io/nft/EqCkJYHUTgrKvkKzTLa1HZQLvRpNYoWWmSzjt3ZgihSM,Ignoble Tundra,,Primordial Hominid,Inveterate Remote,Festive Trog,Ranulf,Mesozoic Shrub
Goblin Experiment 1814,11,727,0,https://solanart.io/nft/6nuASZ8a65fhhHfBmnVbRd8ZF2f2Po9o7Cw9to4C37H1,Sublime Range,Hyuck,Miserable Shrimp,Intransigent Glyph,Fly Bitten Gudgeon,Odo,Gravestones
Goblin Experiment 8361,12,NaN,0,https://solanart.io/nft/AqKZofUA9SRR3hsAgD4gmmrfx8Syz53aFgUZ9metbVvc,,,,,,,
Goblin Experiment 10750,12,8708,0,https://solanart.io/nft/EBzu3eHjD6sick7DvWeoK8R8BhZDrAEXRx6VocVJGj9u,Tranquil Expanse,,Sluggish Busybody,Pedestrian Bowl,Spur-Galled Strumpet,Sadon,Mesozoic Shrub
Goblin Brain 3745,12,9680,0,https://solanart.io/nft/9jHEeU29m7CbeXZSt9eEPToFXGTtmu37dbW6LKaitvmF,Sublime End,,Primordial Beaver,Quiescent Magnifier,Jawless Robustus,Odo,Red Weed
Goblin Experiment 1225,14.5,8096,0,https://solanart.io/nft/FZ2vcAVD8bTmDwwW6ufSqtUqHb2gCsUkhCLoSVuTxoC9,Purgatorial Void,The Tourist,Auspicious Collector,Feckless Anvil,Impaled Froglet,Rolund,Dying Ferns
Goblin Brain 4154,15,5313,0,https://solanart.io/nft/5wAiMrzkMDomF51gfsYyZA1FTT8XVQgmUGvJbZDP8d72,Resplendent Hillside,Bathonian Mirage,Sluggish Busybody,Boorish Rake,Ill Breeding Gazer,Ives,Dying Ferns
Goblin Experiment 3078,15,122,0,https://solanart.io/nft/HeEwAk7gwWxxvqNwV5E9GGdfHvjpVuwBJNHU17BnsJBD,Handsome Interior,Primordial Kangaroo,Cagey Saint,Habilis Tool,Fly Bitten Gudgeon,Bertris,Lush Fern
Goblin Brain 10970,15,159,0,https://solanart.io/nft/6tg8TCWqxRyXqVEmucHxJoBsMK2uGsWs7Bjq3hU9s8H9,Primordial Grounds,Impaled Scout,Karst Gobbler,Sagacious Fossil,Noble Neanderthal,Adelard,Unsightly Wires
Goblin Experiment 3792,15,9079,0,https://solanart.io/nft/CPKMo6fmrZ8dcfH7ngAeNuN4fLQmTnk4wAPaUikZUgob,Tranquil Expanse,,Irradiated Vermin,Irksome Serpent,Precious Pignut,Percival,Omniscient Rock
Goblin Brain 8903,16,584,0,https://solanart.io/nft/39dzbw611vfM2s8sETvb66YdApF1pco16ahsFQAzztGu,Resplendent Hillside,Retiree,Cannon Fodder,Salubrious Puffer,Metaversal Default,Bertris,Jurassic Fronds
Goblin Experiment 8694,16,123,0,https://solanart.io/nft/HibVDsbP6JxFYdm63CjzBtZaFxSzYxWqV69P8idMR1TK,Purgatorial Void,Deranged Pachyderm,Mesozoic Mammoth,Taciturn Choppers,Alchemical Maw,Finnian,Forgotten Rune
Goblin Brain 10621,16.799999,69,0,https://solanart.io/nft/9XZKs27SZB6VDw1q1T6uqTthLTbgtfJv4R6kKD2mQDwN,Sublime End,The Inspector,Mesozoic Mammoth,Taciturn Choppers,Sordid Ursurer,Umfrey,Bamboo
Goblin Experiment 8287,17,5137,0,https://solanart.io/nft/F5pJyyV629oq1BuSAz7S3ARQLrV6thwKu8cgDyky7XRT,Sublime Range,,Primordial Hominid,Meretricious Fork,Craven Birdy,Sadon,Architectural Marvel
Goblin Experiment 843,17,4480,0,https://solanart.io/nft/Fufr2KqE9Zkk6csfYG2MkkXHxWbAU6jhzPsbeuYCCDiG,Handsome Interior,The Inspector,Miserable Shrimp,Execrable Tooth,Heroic Countenance,Zemislav,Gravestones
Goblin Brain 3300,17.799999,44,0,https://solanart.io/nft/8cZchZZ4BS2cF479Q2EJ27QFpxPDg3umH9yb1dYR52XM,Idyllic Moonscape,Retiree,Smarmy Fellow,Effulgent Saw,Courtly Goblinoid,Sadon,Architectural Marvel
Goblin Experiment 8731,18,7199,0,https://solanart.io/nft/DAFDbTeE5eMMHturfs6qEgVv5jZZ5aXZEewTERa5oLWK,Ignoble Tundra,,Auspicious Collector,Sclerotic Sextant,Hallowed Demigod,Odo,Living Stones
Goblin Experiment 2286,18.690001,2351,0,https://solanart.io/nft/8riBbGJCtQkVmV9ajnoFQyVBQpfHTE4S26kydJwAypQQ,Handsome Interior,Primordial Kangaroo,Euphoric Berserker,Habilis Tool,Haunting Cobbler,Finnian,Lush Foliage
Goblin Brain 3895,19,2810,0,https://solanart.io/nft/7n9RutNx1oyNiHyTEtnr3C7MNKyaiE9tnKU43RiehVro,Stupendous Sunrise,The Chancellor,Cerulean Fishmonger,Intransigent Glyph,Virtuous Saint,Morgellon,Arashiyama Portal
Goblin Experiment 10529,19,4,0,https://solanart.io/nft/GAFP4DVGiNErRqTyraK73uzGRCjS5M8ip6BYgVXPMNw3,Ignoble Tundra,Irradiated Marsupial,Militarized Neanderthal,Baleful Spork,Spirited Counsel,Zemislav,Splendid Decor
Goblin Experiment 7384,19.190001,1919,0,https://solanart.io/nft/FCZqZouZay7v8vkArcE8DVrHwFrhdw7qRas1ZkQC8RP7,Resplendent Hillside,,Glorious Goblin,Sagacious Fossil,Shackled Wizard,Althalos,Solukhumbu Omen
Goblin Brain 8678,19.85,1458,0,https://solanart.io/nft/413zPAPrFxD3wbrctFLoedKJCwyXAMQ3gztNh2GsxNkA,Prosaic Terrain,,Militarized Neanderthal,Sclerotic Sextant,Heroic Countenance,Lucan,Snail River
Goblin Experiment 6353,20,8,0,https://solanart.io/nft/HhFANkZcbV2sfY6bRWWwqxd6jyh3NGLbig5rkCCgdkL9,Ignoble Tundra,,Royal Poltergeist,Hubristic Documents,Shackled Wizard,Bertram,Lush Foliage
Goblin Experiment 7003,20,7626,0,https://solanart.io/nft/BRrufeDeGHRr9meknMvDWWDYomRn5bCHdmQdR4ZsMVxC,Resplendent Hillside,,Pedestrian,Mesmerizing Brooch,Extinct Grinner,Finnian,Mesozoic Shrub
Goblin Brain 6363,20,8636,0,https://solanart.io/nft/CfbZbMnzTyndEAgvjbb2iFUB6ot5b7arNtquxe7NYrpd,Sublime End,,Diligent Protomammal,Mordant Lock,Sneering Goblinoid,Umfrey,Unsightly Wires
Goblin Experiment 8907,20,9487,0,https://solanart.io/nft/4sqrfMfBtAngpG1eRaB5Et4ysPvBoSGpa2z2kMWsJP54,Ignoble Tundra,,Yucatan Sprite,Guileless Fang,Extinct Grinner,Althalos,Sumptuous Lantern
Goblin Brain 6768,20,7431,0,https://solanart.io/nft/8uVVy6SS873t9QnhvQAUSLVgguZTtxJVzjV2y2mXJRm8,Delightful Apocalypse,,Karst Gobbler,Heuristic Tool,Tusked Warbler,Umfrey,Solukhumbu Omen
Goblin Experiment 8538,20,3946,0,https://solanart.io/nft/CcuxTzqvHbarCR3mV3tMnaFEeuNL5kQG7Z968GBvsE61,Goblinesque Prairie,Passengers,Wetware Surrogate,Feckless Anvil,Coldblooded Spinster,Finnian,Bamboo
Goblin Brain 9812,20,4927,0,https://solanart.io/nft/8nPiKunPAk7uQYzU881WJXLT1CEDbmnS9CVpUUQRfAZN,Equatorial Solstice,Hogvig,Humble Peon,Intransigent Glyph,Muskospherean Cobbler,Finnian,Forgotten Rune
Goblin Brain 8349,20,1848,0,https://solanart.io/nft/FjTSnkkNaYLXnAqgS7XAEDgtxFb9hwcihis6yEveMrbt,Equatorial Solstice,,Elder Statesmen,Salubrious Puffer,Ghoulish Canine,Ives,Omniscient Rock
Goblin Brain 10074,20,9238,0,https://solanart.io/nft/6TuL6vYuR138HB3a9kxTfkaLYmoS1wRKr75q6qpqPNj2,Illusory Horizon,,Axiomatic Venturer,Trenchant Ocarina,Mewling Tyrant,Althalos,Mesozoic Shrub
Goblin Experiment 7015,21.99,10002,0,https://solanart.io/nft/75sNYL5uvJrL7aEJunFz2MhRChh2qSBgiAscQ9WUUxfD,Cheery Grotto,,Cagey Saint,Taciturn Choppers,Salacious Pachyderm,Umfrey,Lush Fern
Goblin Experiment 9646,22,10870,0,https://solanart.io/nft/23wSMbZSJnduDKhf3fecMUoirVQfS1GvinyaGrSFZ3Am,Illusory Horizon,,Primordial Hominid,Hubristic Documents,Precious Pignut,Umfrey,Sumptuous Lantern
Goblin Experiment 5454,22.219999,7800,0,https://solanart.io/nft/79XZn9zERvUQ6vQ8gHzA1em52Mr4iwUqRPmodMchry67,Equatorial Solstice,Slimy Trespasser,Humble Peon,Spasmodic Saber,Shackled Wizard,Ranulf,Omniscient Rock
Goblin Experiment 10703,25,2664,0,https://solanart.io/nft/ATGcv5voFDxbRqCSE99Mtfh28YeQwfwE3sdvyrcR89n3,Equatorial Solstice,Slimy Trespasser,Boorish Thug,Effulgent Saw,Knottypated Marmot,Rolund,Gravestones
Goblin Experiment 9209,25,9574,0,https://solanart.io/nft/8TeiVeFsz34xsWY2sCrCJjyQT6tXhzFXYAafkapbgKHR,Blistering Desert,,Cannon Fodder,Rebarbative Bulb,Friendly Neighbor,Morgellon,Architectural Marvel
Goblin Brain 2916,30,5189,0,https://solanart.io/nft/6aaFauFGaNPHinvQKi6GSrxdxrSoEcwU4w1Jxw1V4g3P,Ignoble Tundra,Archaic Beast,Cynical Quadruped,Sclerotic Sextant,Mewling Tyrant,Althalos,Ueno Portal
Goblin Experiment 8305,35,3361,0,https://solanart.io/nft/EC2eJdmoxYgWX4Yw3cLNan7Qq31L8huTadP5AyJNpzzc,Sublime Range,,Karst Gobbler,Quiescent Magnifier,Ill Breeding Gazer,Zemislav,Living Stones
Goblin Brain 9063,49,194,0,https://solanart.io/nft/BubEau5zzdH5Gp15VvP22fXjWhpV8Ld2C2KuryuahVRe,Equatorial Solstice,,Debonair Bannerman,Execrable Tooth,Stripped Brain,Sadon,Hyperspace Gate
Goblin Brain 7504,50,6179,0,https://solanart.io/nft/HuZpQQTHRmj6mGGzW7ZA1zUWFSckKab5UGYyAvYLADC1,Idyllic Moonscape,,Turkana Scribe,Habilis Tool,Friendly Neighbor,Umfrey,Stump
Goblin Experiment 2587,50,1881,0,https://solanart.io/nft/8SdFvymauV86aGLgek1aoYoc4bWuDg69MDkcG3zTcCgK,Sublime End,Muck Trudger,Wetware Surrogate,Trenchant Ocarina,Doghearted Minnow,Asher,Jurassic Fronds
Goblin Brain 10394,50,8567,0,https://solanart.io/nft/DvwUoTXd4J7AX317PLk2yRoA3paiLevCKX8eEgai2v5i,Purgatorial Void,,Blue Phillip,Withering Bow,Ill Breeding Gazer,Finnian,Lush Fern
Goblin Experiment 10993,50,6406,0,https://solanart.io/nft/9MJ7RSSpPaGxAjvmc8xouwtsnoGH5KeZitowX6D4xHpc,Insipid Moonrise,,Elder Statesmen,Minatory Whirlyjig,Alchemical Maw,Finnian,Jurassic Fronds
Goblin Experiment 1366,50,10811,0,https://solanart.io/nft/EPikURe6otR3Scr1DKJN1NuoZ6mHr1UKaZy9ydDX7wLN,Sublime End,,Primordial Hominid,Rebarbative Bulb,Tusked Warbler,Zemislav,Omniscient Rock
Goblin Brain 513,50,9444,0,https://solanart.io/nft/Dw8k5keipVhNeQM7FjdYA6c64RNonZoAkhsEwiNo7Fy9,Primordial Grounds,,Queueing Reptile,Voluble Pen,Petroleum Guzzler,Bertram,Shinjuku Portal
Goblin Experiment 1654,50,10398,0,https://solanart.io/nft/5KJ2Y1Kyi758wh5McYkUZj5DPE2shmKe5oamKGzJw2M9,Tranquil Expanse,,Elder Statesmen,Comely Pouch,Lucy,Rolund,Bamboo
Goblin Brain 4941,55,7526,0,https://solanart.io/nft/2QRXNQv9mXMSnsnDUTFRoe97cckLryprdzcYhNC1Xkaa,Purgatorial Void,,Militarized Neanderthal,Munificent Pointer,Whiny Protomammal,Sadon,Unsightly Wires
Goblin Experiment 2305,60,1522,0,https://solanart.io/nft/FYtuPZyqcxmBUywxEDj1DRM5iLUDfMm3GwszhU43StJf,Insipid Moonrise,The Chancellor,Miserable Shrimp,Inveterate Remote,Petroleum Guzzler,Odo,Living Stones
Goblin Brain 5740,74,3122,0,https://solanart.io/nft/D835yvmsUwhwoZgN5iNMoaLDAKXR6ztetr5rKYSZP67Z,Tranquil Expanse,Dissected Goblin,Cloistered Amphibian,Guileless Fang,The Thinker,Finnian,Gravestones
Goblin Brain 8819,99.849998,3663,0,https://solanart.io/nft/G4aviMeEkunHD5F9D9sMH9U8kE2sUjtENhPjgAyWtCQf,Illusory Horizon,Retiree,Primordial Hominid,Taciturn Choppers,Gloatish Glyptodon,Finnian,Forgotten Rune
Goblin Experiment 9110,100,8206,0,https://solanart.io/nft/Bwqnjqn2n51WWnnhiNdDkndk1znhBFmQuJcpcGF1BWeS,Sublime End,Retiree,Primordial Hominid,Pedestrian Bowl,Coldblooded Spinster,Aymon,Jurassic Fronds
Goblin Brain 5974,100,690,0,https://solanart.io/nft/8spB4Jn4FLzZE3kSdfJNrdn8uHfyvEapZnMksrxH11UZ,Sublime End,Proto Fish,Karst Gobbler,Hubristic Documents,Hallowed Demigod,Asher,Jurassic Fronds
Goblin Brain 5986,100,9498,0,https://solanart.io/nft/AbXuodibHLXGxvVQJYgeMaYbeegR7L6pgdZxaF2LV2nK,Cheery Grotto,,Cynical Quadruped,Verdant Cap,Mewling Tyrant,Asher,Mesozoic Shrub
Goblin Experiment 6928,100,7598,0,https://solanart.io/nft/CXCqg9MMGn5ArLPzJVdNJoY4b4ZFLj6JMgJvux2USYKA,Equatorial Solstice,The Tinkerer,Turkana Scribe,Meretricious Fork,Coldblooded Spinster,Odo,Bamboo
Goblin Experiment 9504,100,8980,0,https://solanart.io/nft/B3UnwsWjhvvYUPHbaPMAv4Zq7cpDmHYAfhY72qBWQaPn,Delightful Apocalypse,,Treegoblin,Irksome Serpent,Metaversal Default,Umfrey,Odd Foliage
Goblin Brain 1336,100,416,0,https://solanart.io/nft/8N1eU2YAtwHLyWcpmqeBo469kaq3ikte1CPbz3XhTBYp,Handsome Interior,Meteorite Collector,Glorious Goblin,Voluble Pen,Dissected Goon,Faramond,Hyperspace Egg
Goblin Brain 5391,150,1914,0,https://solanart.io/nft/BpB2a1p7iSvoMFnQat4ychVxSrW7HoCRewVTJEcLARyS,Sublime End,The Final Form,Sluggish Busybody,Minatory Whirlyjig,Magnanimous Visage,Umfrey,Gravestones
Goblin Experiment 8400,150,3,0,https://solanart.io/nft/hwobidorfF2koJkxnJPQF7gawVVFpto4KmJofzQietN,Primordial Grounds,Bathonian Mirage,Queueing Reptile,Insolent Stamper,Coldblooded Spinster,Lucan,Serene Well
Goblin Experiment 53,199,10758,0,https://solanart.io/nft/2ze7uZoVU3ZpBxQMwSvYWwQLWbrbAvNTrULrHysuEizU,Primordial Grounds,,Diligent Protomammal,Lowly Thumbtack,Virtuous Saint,Zemislav,Mesozoic Shrub
Goblin Brain 5105,349,8596,0,https://solanart.io/nft/66fNLiMLSYiHU1Gy16qmCNwDsfSQ8fRVwzkbfpygfpb2,Handsome Interior,,Cannon Fodder,Salubrious Puffer,Courtly Goblinoid,Althalos,Omniscient Rock
Goblin Experiment 10072,369,NaN,0,https://solanart.io/nft/Df4zUz5H86dzvPFhMRYaFAKMe3JqETEjV4FrwWCwdPFj,,,,,,,
Goblin Brain 2741,420.690002,489,0,https://solanart.io/nft/9DvX6ExBH9Y5WCottUFpLWEYy7S8QKuTnvwBsgoXgqkG,Idyllic Moonscape,Glyptodon Duo,Diligent Protomammal,Dowdy Butterfly,Festive Trog,Alphonse,Living Stones
Goblin Brain 4297,750,8702,0,https://solanart.io/nft/6M1ESZ9pbene8sMN1pfgsQvwMCQnNxnizmWZePB375Sg,Resplendent Hillside,,Primordial Hominid,Spasmodic Saber,Virtuous Saint,Ranulf,Mesozoic Shrub
Goblin Experiment 5752,3434,8969,0,https://solanart.io/nft/8wJCkvxWnen7xqTexKVaSPLz8BVQiZ53EwCVTvE2hW62,Idyllic Moonscape,,Corpulent Beast,Feckless Anvil,Fly Bitten Gudgeon,Gaillard,Bamboo
Goblin Experiment 9322,3434,9350,0,https://solanart.io/nft/7WYQGYJBPTWHnhj7gbHCvaANNgBn16gP7ERyR45vRMrx,Sublime Range,,Blue Phillip,Intransigent Glyph,Festive Trog,Sadon,Forgotten Rune
Goblin Brain 8541,9999,5621,0,https://solanart.io/nft/Txgc1XdeaMzC8Ejpe9MSXYnWzYUX2jPpCQxeE7DPxTA,Handsome Interior,,Diligent Protomammal,Dowdy Butterfly,Law Abiding Citizen,Morgellon,Lush Foliage
