id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothes,Eyes,Head,Mouth,Special edition
1705 ,90,117,0,https://magiceden.io/item-details/CJAo2LJU3naUGJQr6XrkoYHCq6LfS3oesafNgK9JcQGA,grey,normal wukong,hoodie black,sunnies blue,front cap yellow,cigar,
1709 ,180,1357,0,https://magiceden.io/item-details/2VHpeHu51osyPTVpd9m7b5oSWhffFsmCDiW8irNs15wE,grey,normal wukong,fur coat,blank,blank,cigar,
1723 ,138,243,0,https://magiceden.io/item-details/FafeNCT78uKcqBsHxhBE6xuQDpuPis8ZMK6ve6ssAZki,sky blue,normal wukong,turtleneck yellow,sunnies purple,laurel wreath,blank,
1726 ,100,1397,0,https://magiceden.io/item-details/C8t3bGKGm9kEtyDiMQNYiBGZxnQm2omFNZ4TYNzw9Q87,sky blue,normal wukong,hoodie grey,blank,blank,glass of water,
1734 ,60,1541,0,https://magiceden.io/item-details/2SJmgS4URvuH2ASANkQ9Lvw4guzRw52ryo5DPtjGF2dX,sky blue,normal wukong,lumberjack shirt red,blank,top hat black,blank,
1745 ,100,381,0,https://magiceden.io/item-details/2rH4sd1DgfaRqKBEEiS9a2GRUnKzQgckaSCBtKsWMg1a,grey,normal wukong,military vest,sunnies green,sailor,blank,
1747 ,87,272,0,https://magiceden.io/item-details/6AubzHew6JzedfcVGsYjsXWMgykfLwFrn9cPk7FjhiMD,pink,zombie wukong,apron black,blank,visor cap orange,blank,
1748 ,95,1577,0,https://magiceden.io/item-details/7f9focprEjrnYeLkE2YwpVZKvS6XmAwo8L92gxcwNTC5,flax,normal wukong,blank,blank,visor cap orange,cigar,
1758 ,37,2078,12.58,https://magiceden.io/item-details/HP61UAbBdEw6d8nHXrKLxJuKA2GujPtKL4Ty8twSHJvc,pink,normal wukong,hoodie grey,blank,front cap red,blank,
1766 ,60,635,0,https://magiceden.io/item-details/9QUULzLpXDYfz8dBRYJqESYEXqx7iSBWXgCmfsgqRDJc,bright light,normal wukong,flower shirt blue,sunnies green,beanie grey,blank,
1768 ,70,1920,0,https://magiceden.io/item-details/2c3nmLhX91NwyW52kXWdbQ3icysjoEq6gVY5ihAmfUGR,orange,normal wukong,hoodie grey,blank,visor cap grey,blank,
1772 ,160,268,0,https://magiceden.io/item-details/7621AhYXgjhrZEWnduCUTJVkbSruWLvWCZposaWQR2NR,flax,normal wukong,apron black,blank,chinese emperor hat type 5,cigarette,
1782 ,60,575,0,https://magiceden.io/item-details/GnsT1KEF2EZyGwPVrJzBmowna5kixa3BiyBXHyfwF1DH,bright light,normal wukong,lumberjack shirt blue,sunnies turquoise,backward cap pink,blank,
1809 ,32.69,1001,75.07,https://magiceden.io/item-details/FwUhwxf3aZPJCDwcAL96Di4isZ5QhDArD1Fg8qKr6i4,orange,normal wukong,apron black,blank,visor cap grey,cigarette,
1810 ,56,585,0,https://magiceden.io/item-details/4PydUkC256SCVLMXMJNfkE5ezR3pGiUnE2C24NHCrcZS,pink,normal wukong,tshirt orange,sunnies turquoise,viking,blank,
1814 ,45,1953,0,https://magiceden.io/item-details/GeqC56V7uqpNcr3hzZJ4QZVMPyCQfWX8FDzevg1qdBDC,orange,normal wukong,hoodie black,blank,visor cap blue,blank,
1827 ,100,36,0,https://magiceden.io/item-details/Fg7ffK3ndLSENRi5D3A4dXS7TvBuKV92mHcZ4hf8vGgF,sky blue,normal wukong,scarf red,sunnies yellow,strawhat,pipe,
1832 ,65,1592,0,https://magiceden.io/item-details/EWQ59fJKjWWk4vAgShTHYmr9Xktb5LotuHGhG17Q8dTH,sky blue,normal wukong,lumberjack shirt red,blank,front cap red,blank,
1843 ,60,1926,0,https://magiceden.io/item-details/DcrjvpnsXFNzePywA6GcC2WYjZNoNZJ5LGbgot73C59a,flax,normal wukong,jacket black,blank,head sunnies purple,blank,
1845 ,34,879,64.17,https://magiceden.io/item-details/J6NWewt5pPDic6Qd5EKDqFeNCZyftty5NUaPPwi2qoSi,sky blue,normal wukong,turtleneck purple,blank,top hat green,cigar,
1847 ,80,800,0,https://magiceden.io/item-details/3FnLw8jK8prGTSgB37Xz8fSav17ycnsuQEtZ2w6qQjF9,pink,normal wukong,hoodie black,sunnies purple,blank,cigarette,
1849 ,80,848,0,https://magiceden.io/item-details/2Td1Z6nhPk9KH5xejDRbmZJKji3xfsN63CdyMhpa9BrF,grey,normal wukong,apron black,blank,pirate,cigarette,
1851 ,88,279,0,https://magiceden.io/item-details/4WSkRPJnccGrhDMnd2jKZNXTZ6FeFQyiGb2TKNp9uMyq,bright light,normal wukong,tied scarf red,sunnies turquoise,devil horns,blank,
1856 ,300,1510,0,https://magiceden.io/item-details/HxgZaCQ8aYrfcsPY2sybbsKk2kRnWwR6gYmqSi85CFdm,sky blue,normal wukong,sweater around shoulder blue,blank,bandanna red blue,blank,
1858 ,120,1782,0,https://magiceden.io/item-details/A4WXk8bJhTMGJ71v61FqGV3pCcGpWTimxr6BgetoavT1,grey,normal wukong,turtleneck purple,blank,headphones green,blank,
1859 ,1111,518,0,https://magiceden.io/item-details/Fa7Roneicm8dwE3gE22J7YAkLrwbmEkBk1XUNDWvmFAy,bright light,normal wukong,flower shirt green,sunnies yellow,sailor,blank,
1862 ,65,1390,0,https://magiceden.io/item-details/665csgQ3bmMSftgLvpd4u6m88qgAYNwx7E3qaBujgSSD,bright light,normal wukong,scarf green,blank,headphones pink,blank,
1867 ,60,80,0,https://magiceden.io/item-details/8ks38yvm5Hja4Dsznx9NFf2BgjhfPAvphtmpmtkB8GTn,grey,normal wukong,military vest,sunnies turquoise,strawhat,glass of water,
1877 ,61,95,0,https://magiceden.io/item-details/C8r1zUhNMjKmpwuZTAof1hNd3yFc7S7L4qXpmGywcLqz,pink,normal wukong,black tie,sunnies turquoise,bandanna white blue,cigar,
1879 ,68,842,0,https://magiceden.io/item-details/Wv7bvPVRxQoqoJ25zev71Pe8hKw5amKdRN3J4v5kWSv,orange,normal wukong,tshirt orange,blank,beanie green,cigar,
1881 ,88,203,0,https://magiceden.io/item-details/HjhEZ6BfjqhzUXtjDhEsTGgwKj1orfqnUKbMhsuAz6nX,grey,normal wukong,caveman,blank,chinese emperor hat type 5,cigar,
1882 ,40,1699,0,https://magiceden.io/item-details/GcDqfuN82s1UdVADTeK9fzjR8k9DKzy7Q7Gv1Q9n9SDc,sky blue,normal wukong,turtleneck purple,blank,beret blue,blank,
1884 ,500,277,0,https://magiceden.io/item-details/26jFAskxNmyavpP3dbdJvcZdGNuejMzraP33xJhaTsp8,flax,zombie wukong,tied scarf red,blank,backward cap pink,blank,
1886 ,129,66,0,https://magiceden.io/item-details/2RwGE3CB5fiBBBgNx8Zf5NBBSqsdanAAxmDDXjP52mPd,pink,normal wukong,military vest,lab goggles,blank,cigar,
1891 ,100,472,0,https://magiceden.io/item-details/C5mCbAyyraLXy9SxJXeoa4ywi9EePZWoVNpBy3d1wEa9,sky blue,normal wukong,flower shirt orange,sunnies blue,beanie yellow,blank,
1894 ,38,896,23.86,https://magiceden.io/item-details/9p1vuTLeGMY54EFqkuCJxZHvwSGL5UKJKgPpnth52WrJ,flax,normal wukong,jacket light blue,blank,bandanna red blue,cigarette,
1910 ,35,1202,48.35,https://magiceden.io/item-details/5Q1hHZHLKzeUn2URj4ztaGifzNKcpDQ8MYxRit3B9rpK,orange,normal wukong,neon bikini top,blank,sailor,blank,
1912 ,200,205,0,https://magiceden.io/item-details/EmkrZ6956K9h9EyFjJhNdKJbX5tQG2bRq8Zxx85am2rn,pink,normal wukong,tshirt solana,blank,beret brown,cigarette,
1915 ,59,2099,0,https://magiceden.io/item-details/2zNdj5t37d453zi8vDvBcZWrrb3xH8knc8QyTWK8ZFRJ,grey,normal wukong,turtleneck turquoise,blank,visor cap pink,blank,
1924 ,45,2000,0,https://magiceden.io/item-details/3xUsRtHTekwYfZDyRLtAp1g2JRtgwjA8oKeZck6zUBJk,orange,normal wukong,flower shirt yellow,blank,top hat black,blank,
1931 ,48,600,0,https://magiceden.io/item-details/54Db4KT6btYH6E7Tcrg1wc7X4GXsx53Yr4yAvDsNVUAY,pink,normal wukong,flower shirt orange,sunnies yellow,blank,cigar,
1933 ,97,318,0,https://magiceden.io/item-details/BU3azEKAf8YeHUpNZbferTgsZByEthBrKZG5Rkye2DqR,grey,normal wukong,flower shirt orange,sunnies yellow,sun hat pink,blank,
1936 ,90,1711,0,https://magiceden.io/item-details/8HiegJST1KWfCtVLu4pf2SSCcSuiQP1AUpFwyemGMFj,bright light,normal wukong,turtleneck turquoise,blank,headphones green,blank,
1938 ,166,168,0,https://magiceden.io/item-details/DajWLzBERhySXtApM4yZsg96pP2upRRDCLgqJ3VQKkcg,sky blue,normal wukong,white shirt,sunnies yellow,xmas,blank,
1942 ,199,437,0,https://magiceden.io/item-details/C2SDwUUuTycvN986vmKUKa8YDWX4bNQ22kpcpMtEypea,flax,normal wukong,jacket white,ski goggles,blank,blank,
1956 ,52,1734,0,https://magiceden.io/item-details/8yRBBd63CeXMfxRWLzdWJBY9J18VZFv3ySbV6GgHsn4C,sky blue,normal wukong,flower shirt blue,blank,headphones green,blank,
1971 ,59.999,262,0,https://magiceden.io/item-details/8pdbpkG9gyjMM6RQS4AQyhYh2WNgiQKPH3Z3FzXUc64m,orange,normal wukong,military vest,sunnies blue,durag grey,blank,
1973 ,888,747,0,https://magiceden.io/item-details/npYB1YU4P3Krg1N7Fzeo8w5rfn8mGe2HiKn2NBR4fhu,pink,normal wukong,scarf blue,blank,backward cap black,glass of water,
1985 ,80,857,0,https://magiceden.io/item-details/45MpeqVt7z17brnPHQXZ6ut9d7CzgHvMqDNpP1CUwGPu,pink,normal wukong,fur coat,blank,visor cap blue,cigarette,
1987 ,50,746,0,https://magiceden.io/item-details/6iVTSJ6mUBSvGm1An1KfbTUbL7QPPQrLgGGqFLdemQXz,pink,normal wukong,tshirt blue red,sunnies turquoise,blank,cigarette,
1993 ,115,1026,0,https://magiceden.io/item-details/6zd4CjyRcMLWitA8aeySCqKreE1bD6h9ehGnCguXK1Dh,flax,zombie wukong,scarf green,blank,blank,blank,
1997 ,75,503,0,https://magiceden.io/item-details/4LSjeHgutyDqPyzEnX1EUFVZS3pgps2PunZFk2yVBkSj,pink,normal wukong,white shirt,sunnies green,blank,cigar,
2009 ,69,1064,0,https://magiceden.io/item-details/EmqQkQr8TY3wDPVS6EveTo7YhKLtBPmGcH3qvhaHpDy4,pink,normal wukong,tshirt orange,blank,horn,blank,
2012 ,1000,11,0,https://magiceden.io/item-details/8RDDC5CGunLfBi4oGg5PndVkXasC5szHCR59ESdMwS2D,orange,alien wukong,flower shirt blue,3D glasses,blank,blank,
2014 ,900,69,0,https://magiceden.io/item-details/Gy7x5TAYqqNuXrunKVqSnX3EDoRFF3DdDy6mSiMtqBx2,pink,alien wukong,scarf red,blank,bandanna red blue,blank,
2015 ,888,76,0,https://magiceden.io/item-details/FoETqSdXQmBtR5AyuuGeyDqanKCeeHYZAAtWwqm6xR43,bright light,alien wukong,tied scarf red,blank,beanie grey,blank,
2016 ,20000,33,0,https://magiceden.io/item-details/7A366TWT6dfcHMccEbhZCoXx6z7DHCekoP4UcwCotNoR,sky blue,alien wukong,blank,blank,headphones blue,glass of water,
2024 ,4000,1,0,https://magiceden.io/item-details/5zNn41oBFoEZJjakqJB87tEUcA82TDwmqeZP4dpJ2CJa,grey,normal wukong,,,,,volcanic
2028 ,20000,4,0,https://magiceden.io/item-details/6AKSixSBuu3SoZpYVucbqygegDVYRvfe1CL9LexpHFzs,grey,normal wukong,,,,,radiant
2030 ,75,950,0,https://magiceden.io/item-details/Dqg3f4MQd1LTVRtVaLRcCaZQ3MbL2fWcVzhqz6m2t1RF,pink,normal wukong,sweater around shoulder blue,blank,blue mask,blank,
2039 ,3500,12,0,https://magiceden.io/item-details/2pngu8mYYHGLAmi1HzfUsqdpBPvo1yJm1ozDiZGvoatE,pink,gold wukong,sweater around shoulder yellow purple,blank,head sunnies yellow,glass of water,
2042 ,20000,219,0,https://magiceden.io/item-details/5TH4e1T2EFyHtocsEsyDFP5tj355e9G8HjujjTTrFoAu,bright light,normal wukong,space suit,blank,space helmet,blank,
2053 ,200,442,0,https://magiceden.io/item-details/25a6TMEUSTNf4VQBDKcEXZRxU1UAVope45eV4BKniy3X,flax,normal wukong,black tie,blank,fox mask,blank,
2060 ,90,916,0,https://magiceden.io/item-details/HbHSnA2mXT66JecHsMC4RrBmvfv6zevA98VDNsZrA7hm,sky blue,normal wukong,flower shirt yellow,blank,black mask,blank,
2064 ,3000,151,0,https://magiceden.io/item-details/D3JP6a4XUnXcGQTXoif7nciAwxQb5os2Nhd5b295Tyku,orange,gold wukong,flower shirt green,blank,headphones green,blank,
2070 ,125,404,0,https://magiceden.io/item-details/FvJFcvyBbVJDtQsCjVMvmHFtbKhzKJtW9o1KZ4L7JqkT,flax,normal wukong,blank,blank,solana front cap,glass of water,
2074 ,80,847,0,https://magiceden.io/item-details/7JoGNfH73MYDaXrpotzuUNGgVVb1UKB4k3ttB4BYAXYN,sky blue,normal wukong,apron black,blank,black mask,blank,
2075 ,500,874,0,https://magiceden.io/item-details/C9Y8XhDEwXi8sVHoV6GWdaeM62rzvFAb8JSf1gkWE5PU,pink,normal wukong,blank,blank,master chief,blank,
2078 ,250,111,0,https://magiceden.io/item-details/GmwQykV7pu1pZb6B5Xf3j5WT2KtxEZ7XVqjhzSKeXXYZ,pink,normal wukong,flower shirt blue,sunnies turquoise,backward cap solana,blank,
2099 ,80,2092,0,https://magiceden.io/item-details/H2LTPC5kDQUAFUpiUhKVRAqqmRjUXp7MfSFsSK2H7ECy,bright light,normal wukong,blank,blank,cowboy hat,blank,
2104 ,90,1137,0,https://magiceden.io/item-details/BSZt8FM67EMMskg9KpK7q2DFXvpZ27qSdxAn4QXFMaFo,sky blue,normal wukong,scarf blue,blank,cowboy hat,blank,
2109 ,250,1426,0,https://magiceden.io/item-details/Bf1svu6gNbvwZKKsn2wGstjeCKWGhWVHw7sfBTBFHJju,bright light,normal wukong,angel wings,blank,blank,blank,
2113 ,5000,5,0,https://magiceden.io/item-details/3mUUMpqnnqWW8ZQWkx27LvQe51NkLcqB66nFkwCoT4r5,pink,gold wukong,devil wings,sunnies yellow,halo,glass of water,
2123 ,199,49,0,https://magiceden.io/item-details/4rRp7CN2hnN4w1Dy3P11h1N8TzMRUY2vDc9ZHKyt2ssK,sky blue,normal wukong,tshirt green,sunnies solana,front cap yellow,blank,
2134 ,1000,30,0,https://magiceden.io/item-details/HdGusrfKkpqq26QFj7SC4j1UsRnSkHbbnsyk7uZkh43q,flax,zombie wukong,angel wings,blank,halo,blank,
2138 ,69,949,0,https://magiceden.io/item-details/5rtpMA44dtFt56nqHyg8P5otWnnPcsp7KML2zDPNDNVV,flax,normal wukong,scarf red,blank,green fisherman hat,blank,
2140 ,100,610,0,https://magiceden.io/item-details/5nXain6N8JmGJnyWihmEA5Ms488AxTZxB1NUQ7vfwyZH,bright light,normal wukong,jacket black,blank,spinner hat,blank,
2150 ,220,208,0,https://magiceden.io/item-details/FCoKQkKaqkMBtHaULcr3DZbJ8eAiJQRCtuKTbpb9oHk,flax,normal wukong,caveman,blank,pomelo,cigarette,
2167 ,300.42069,20,0,https://magiceden.io/item-details/5N2WuM55kMXnoQmPtZqMKcEdrxGbZb4VJHZqVHMQH18B,orange,normal wukong,military vest,sunnies turquoise,green fisherman hat,cigar,
2169 ,108,140,0,https://alpha.art/t/igzCUyw494W6tHXgmz2vAyozXo7wpUbo5bNgCG252cd,bright light,normal wukong,apron black,sunnies green,green fisherman hat,blank,
2181 ,110,833,0,https://magiceden.io/item-details/BJJHXtFwfLGdFY6WFfE4pNypzjBjzJt6RfS82gH593tv,sky blue,normal wukong,lumberjack shirt red,blank,viet hat,blank,
2185 ,49,2027,0,https://magiceden.io/item-details/Df4nNjiqiR14nghei4wqim1zWpVCQNWzpBysz4LGLRta,bright light,normal wukong,blank,blank,first aid helmet,blank,
2186 ,49,1168,0,https://magiceden.io/item-details/9J6Drx3H9KnE6jBdiStKQaNSM8j2ju7f4USZ2phqUGs8,orange,normal wukong,turtleneck turquoise,blank,first aid helmet,blank,
2198 ,75,1005,0,https://magiceden.io/item-details/H53mHvro9kYy4vyqKhq3MbaeiZsmrpvMmAGcNKhLCEbx,flax,normal wukong,sweater around shoulder blue,blank,sombrero,blank,
2213 ,75,937,0,https://magiceden.io/item-details/3q4paD1ttHCTfu7SZWGp1rmd9T9juagamN2TdJ2b9ibz,orange,normal wukong,tshirt orange,blank,red baseball cap,blank,
2215 ,58,946,0,https://magiceden.io/item-details/75d8dZNifc69UQKihYkry8oy1FRcmQ8ocmzV9Ym5hHaX,bright light,normal wukong,flower shirt green,blank,red baseball cap,blank,
2222 ,200,828,0,https://magiceden.io/item-details/A9uWBQWyWVNcdiQZ8EN9vLK4wWfh3EqZ8Cc6xPKiwAzZ,sky blue,normal wukong,flower shirt yellow,blank,space helmet,blank,
