id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Glasses,Hair,Head,Neck,Skin,Smoke,Type,Wing
Zeke Pepper,7.69,989,70.02,https://magiceden.io/item-details/8rZTPnj6CSNtkvF4ywmseDPwCMEbU2byEQJ7PRWdo8MD,Orange Fever,Thug,,Nerd One's Glasses,,,Overpriced Silver Pendant,Dark Skin,,Base,
Domenic Fullerton,7.75,2263,54.11,https://magiceden.io/item-details/7smNcLZFZ8annPQge8fJEtAyZEVpQnJUdGvuuTNKPCGG,Grey,Thug,,,,,Yee Haw,Rocky,Cigarette,Base,
Seven Avalos,7.8,1269,65.55,https://magiceden.io/item-details/6obRoio2qdJVR21qZrmVQczQ4GgLv8rYUu8ufdmHux6y,Purple Frenzy,Metalhead Outfit,,,,Pirate's Crown,Money On My Mind,Base,,Base,
Haze Hedges,7.87,3100,42.85,https://magiceden.io/item-details/8M9fu1rQhnCgv4y94i7pTnuTmuXqXTv7ytpNXYCoABSf,Burgundy Desire,,,,,Pirate's Crown,Retro Pendant,Base,,Base,
Payton Stover,7.9,2262,52.62,https://magiceden.io/item-details/8ZAGGRnzTXtTTNJjkf7R1ucBefkUoKHdAMvYEWb8kwCy,Purple Frenzy,Sailor Red,,,,Red Ghetto Bandana,,Base,Cigarette,Base,
Jaheem Coombs,7.99,2276,51.55,https://magiceden.io/item-details/2feDS4zLJqaqU7aeCxywFkCnmGUadVtgppgz3bRcg9Gw,Light Blue,,,,,Purple Ghetto Bandana,Overpriced Silver Pendant,Base,I Want My Cigar,Base,
Zyan Stern,8,2716,46.17,https://magiceden.io/item-details/E8XqqMu9knYd4Xe4fDQvUUYbWEUMN4EBXRTB6yPuQp8y,Orange Fever,,,,,Purple Ghetto Bandana,Silver Pendant,Base,,Base,
Usher Weir,8,1683,58.58,https://magiceden.io/item-details/Ao6dDH2QeMMMRkMVtdyvqmGKyKWqexkJRHwPQyHoQ5Kt,Old White Bricks,White Collar Shirt,,Dracula Glasses,,,,Base,Vape,Base,
Lee Strickland,8.01,2116,53.27,https://magiceden.io/item-details/2KgQ8vaEhTm5Rgr4tnyii2Ub8ExXU6EeQizqw7Kaku4x,Light Blue,Navy Hoodie,,,,,Solana White Gold,Base,Cigarette,Base,
Leroy Oreilly,8.03,2401,49.65,https://magiceden.io/item-details/9T9xrryxxPGVKpCfyo72EKxTS4EgMtxDg3rHDrde8t8f,Pink,,,Sunnies On,Bob Ross Hairstyle,,Retro Pendant,Base,,Base,
Sabir Bartels,8.05,3112,40.91,https://magiceden.io/item-details/97zc5XbZLM7SMdXbMnU2RbHFrhbJnmSLomfqRfC688u9,Old White Bricks,,,,,,Yee Haw,Rocky,,Base,
Braedyn Conover,8.3,2244,48.84,https://magiceden.io/item-details/Cwg3c5JR29SxcHvsQjJ7kVraiNok7N1odkf5jGjdaUEa,Purple Frenzy,,,Dracula Glasses,,White Ghetto Bandana,Retro Pendant,Base,,Base,
Gregorio Mosier,8.3,2315,47.98,https://magiceden.io/item-details/8tUmeWU1uZpMcK3SV74d7pRpaxkkuw3qwnqtFkh8FYBH,Orange Fever,,,,,Red Ghetto Bandana,Silver Pendant,Base,Cigarette,Base,
Kendon Sides,8.5,2072,48.9,https://magiceden.io/item-details/HF3dn5VB3g8yfv51nkxhm4VMf7Xt1aRmFSuwCmXi2FUa,80's Retro Sunset,,,Sunnies On,,,Yee Haw,Base,Vape,Base,
Levi Brandon,8.5,554,67.14,https://magiceden.io/item-details/uaioEuG9x1vaSTCRhkiqNTfbwg9RyNfPvGusJDYhASx,Light Blue,Cowboy's Choice,,3D Glasses,,Black Ghetto Bandana,,Light Skin,,Base,
Rowen Vergara,8.5,2617,42.36,https://magiceden.io/item-details/FkEAjvqKzg1tAHQBdXS7399wCCnDx51GcotEkHmdiLdb,Grey,,,Pit Viper,,Snapback,,Base,,Base,
Ocean Mcclain,8.88,1710,49.45,https://magiceden.io/item-details/4eSCLPoNoswHPxrUDXnTS3nHCU5v6AjLJD97QB3aoKQt,Orange Fever,Casual Brown Vest,,Sunnies On,,,,Blood Vessel,,Base,
Jeremih Mckee,8.88,2656,38.09,https://magiceden.io/item-details/2yv7ZDDbRApyvhp1uyiEfQvkQfgRMTVJmffW3oxa1UxZ,Grey,,,,,,Silver Pendant,Cerulean,,Base,
Montgomery Niles,9,64,68.03,https://magiceden.io/item-details/984KGQ5z31aqKgUWaTKp2k2D2wQFRyUeN9qqX5HsPqFF,Light Blue,,Devil's Spark Eyes,Dracula Glasses,,White Ghetto Bandana,Yee Haw,Rocky,I Want My Cigar,Base,
Devlin Daley,9.49,868,53.47,https://magiceden.io/item-details/H569hESF36CKUYsaeUTtfBcZ1XL3GnssfJ6VtbgDy8Lg,Light Blue,Sailor Red,,,,Red Ghetto Bandana,,Base,,Base,Archangel's Wings
Olin Mcarthur,9.5,1761,42.64,https://magiceden.io/item-details/7rexffkdgZdvwHH3FnV5QK8BnsCPPLZvL1XtW26js5mE,Grey,Teenager,,,,,Retro Pendant,Rocky,Vape,Base,
Riddick Baumgartner,9.69,1897,39.11,https://magiceden.io/item-details/7UgWDEYAPzmXCbHAvBJx496rBj3c6UQkaDcpMzxvNhQx,Orange Fever,Gray Ripped Tshirt,,,,,Retro Pendant,Base,I Want My Cigar,Base,
Dilan Cato,9.8,47,60.24,https://magiceden.io/item-details/3uk9EegB6bv2CRRp5VCyP3GYEeMJcHoBugKdAe1EQWjC,Purple Frenzy,Cowboy's Choice,Devil's Spark Eyes,,Bob Ross Hairstyle,,Overpriced Silver Pendant,Rocky,Cigarette,Base,
Atom Jung,9.89,1497,41.91,https://magiceden.io/item-details/5mGG7MVCmPwt7Nj5bHsR7Z2h5UNJMBQYPvwHMdRkbAC8,Old White Bricks,Sailor Red,,,,,,Zombie,Cigarette,Base,
X Æ A-38,9.9,1747,38.81,https://magiceden.io/item-details/HsMkjYWcoaRP8qmpgdhrYRLfTgRNaKaifMzPsXEYnivG,Light Blue,,,Deal With It,,,Retro Pendant,Alien,,Base,
Kidus Ervin,9.9,1149,45.99,https://magiceden.io/item-details/2hGiuDqNDh1Smxo9c68vPRV6jFpsbxKA39dbaavBVLuo,Burgundy Desire,Solana Shirt,,Deal With It,,Snapback,,Base,,Base,
Ayven Landry,9.9,1342,43.68,https://magiceden.io/item-details/6oNZYyhJKkCm6ALjNrp1FRV5Ta9WQQPetwhxJuFdwrd1,Old White Bricks,Solana Singlet,,,,,,Light Skin,Cigarette,Base,
Ronin Vickery,9.99,2750,25.86,https://magiceden.io/item-details/F9DVS4zPq5EFqTS72VYjXz9wxeaEPWYWv6wZ1ZDPb6Ty,Light Blue,,,3D Glasses,,,Silver Pendant,Base,,Base,
Chung Costa,9.99,1709,38.37,https://magiceden.io/item-details/Bjsc3FWVsyhnkHrbTWDUjpbzwjcrc1BPXxvzqYAQWsU9,Burgundy Desire,,,Dracula Glasses,,Indiana Jones Hat,,Base,Vape,Base,
Antone Melendez,9.99,1058,46.19,https://magiceden.io/item-details/83MkqNpJFRBEnKyjfK22UizZxJmFFdhQsuBCcPEN2biL,Trick Or Treat,Cowboy's Choice,,Deal With It,,,,Base,I Want My Cigar,Base,
Nikolas Herrington,10,1404,41.93,https://magiceden.io/item-details/9oNaz66PUTd37baD1wdFGW6hZcaPKxPtJy7GWMqiEJDH,Purple Frenzy,,,,,Purple Ghetto Bandana,Retro Pendant,Without Shell,I Want My Cigar,Base,
X Æ A-24,10,1207,44.3,https://magiceden.io/item-details/CqDGckHxyR1KeBucmb1FDyXFndeGBjKQGmsVRL2f6MKH,Light Blue,Teenager,,,,,,Alien,I Want My Cigar,Base,
Arron Knudsen,10,1311,43.05,https://magiceden.io/item-details/DbLwUzQdicUpvfxbMdAoGa9ymBwvv6LZuj7JFSez43qa,Grey,Forest Green,,Dracula Glasses,Gentlemen's Hairstyle,,Retro Pendant,Base,,Base,
Kerry Denney,10,300,55.2,https://magiceden.io/item-details/BnNu3BaFCDqLQFyV4gsZizBGhQt4goNG1xSyiejFBJCK,Burgundy Desire,Navy Hoodie,,3D Glasses,,Snapback,Gold Chain Pendant,Base,Cigarette,Base,
Edson Allard,10,122,57.33,https://magiceden.io/item-details/DpFs3fAdyfvsa8rn1TGF8eZPprW9AMESjQRigS71TP7Z,Orange Fever,Navy Hoodie,,Laser Flare Eyes,Gentlemen's Hairstyle,,,Rocky,I Want My Cigar,Base,
Teddy Rodrigues,10,2454,29.31,https://magiceden.io/item-details/6mgfgXjwMQAgLDT2fB8SjjS2vDi7YgUizHryEN1aSGEP,Burning Flames,,,,,Pirate's Crown,,Base,Cigarette,Base,
Kruz Chung,10,3074,21.86,https://magiceden.io/item-details/HqUNU1QXtMsvbLzBxHqRhzhQuWK52wtmejZRRdpnH3fb,Grey,,,,,,Silver Pendant,Base,Cigarette,Base,
Brad Newkirk,10,3222,20.09,https://magiceden.io/item-details/DvNSR87WHY6Kc7kMXcfUWU2qSFamzcsfMrTqA5C3SH2W,Light Blue,,,Pit Viper,,,,Base,,Base,
Gauge Leigh,10.69,1985,28.05,https://magiceden.io/item-details/FQBgUk99DhibkLF7L9WZemkMRq2iuf4rYmXGkrxqGzP3,Burning Flames,,,,Gentlemen's Hairstyle,,Retro Pendant,Base,Cigarette,Base,
Antonio Hilton,10.69,834,41.88,https://magiceden.io/item-details/Dqaj36cwUbTp9K1rgTP8Npu8WXhMw8tde7WoAqpBHPgK,Light Blue,,,3D Glasses,,Purple Ghetto Bandana,Solana White Gold,Base,Vape,Base,
X Æ A-10,11,2781,15.38,https://magiceden.io/item-details/3P5aSx1tzvJJ841JNADwDTMYoFk7rKDJ5k8w6gP3XASp,Orange Fever,,,,,,Retro Pendant,Alien,,Base,
Salvatore Monroe,11,874,38.3,https://magiceden.io/item-details/BTayY9ZqJfDvbdEreGvBM2PwRX8i7YsMxsMeNLyyxEcT,Burgundy Desire,,,Deal With It,,,Gold Chain Pendant,Base,,Base,Archangel's Wings
Aviel Minter,11,623,41.31,https://magiceden.io/item-details/G74yLR17YWDxiemxA6UvzX7tbfgdNY63F1AdUq3anmNe,Orange Fever,Oldschool Tee,,,,Pirate's Crown,Yee Haw,Eared,I Want My Cigar,Base,
Kellin Burns,11.99,2764,5.69,https://magiceden.io/item-details/DLL1dGiX13sE8srmcR7fXJC2V72hEAbaNFa1D7dLgZWY,Purple Frenzy,Forest Green,,,,Pirate's Crown,,Base,,Base,
Campbell Dayton,12,1513,20.62,https://magiceden.io/item-details/HFRj7FoqDaPwvWNHn2bYzKRNMiYk5Wo64vvviQrxFzom,Old White Bricks,,,Vintage Sunglasses,,King of the Kings,,Base,I Want My Cigar,Base,
Eduardo Magee,12,3329,0,https://magiceden.io/item-details/AgmgzVbaXcwJqrm62X5iBzaGrVmFoLmpMpWzUHhjGD1n,Burgundy Desire,,,,,,,Base,,Base,
West Edmonds,12,2005,14.71,https://magiceden.io/item-details/5imgNEN7AzxeVkm4Rdga3GfghEVNFgZWJxGdr74Hvg9E,Pink,Teenager,,,,White Ghetto Bandana,,Base,Cigarette,Base,
Aren Barber,12.2,3075,0,https://magiceden.io/item-details/HXVqC6LW3NQCiQ7aazxvrWLcRtcSPTWbDWc73Nyvmn6f,Light Blue,Sailor Red,,,,,,Base,Cigarette,Base,
Sevyn Rider,12.22,2460,7.04,https://magiceden.io/item-details/3XtpF9KsBdVK1AgqmWbNL53sBupDvk6t8Jzyoxxq3Hnn,Grey,Sailor Red,,,,Snapback,Retro Pendant,Base,,Base,
Rocky Fuqua,12.4201,1787,13.13,https://magiceden.io/item-details/HuECZgd2dPbs9hadveGqrT3bQLJxxx7K4iZMz9B6b8D,Orange Fever,White Collar Shirt,,,,Pirate's Crown,,Dark Skin,,Base,
Bruno Barger,13,3065,0,https://magiceden.io/item-details/AtT8GsCcfVHifUrfpttota5is5H3kj5XCMgXSFTMXaHy,Light Blue,,,,,Black Ghetto Bandana,Retro Pendant,Base,,Base,
Blayze Nagy,13.456,2647,0,https://magiceden.io/item-details/9cdydRJRmdqPqrgtxnkaiV6o3s8qytGU642C1B7RsePW,Burgundy Desire,,,3D Glasses,,,,Without Shell,,Base,
Jaquan Khan,13.69,1016,9.69,https://magiceden.io/item-details/DXjEZP2twmWVWCa9qcscKpHHbqBdk3F4oybuzDNv3R25,Orange Fever,Cowboy's Choice,,,,King of the Kings,Silver Pendant,Base,Cigarette,Base,
Price Bartley,14,2674,0,https://magiceden.io/item-details/B2x2ro9aW46WMjSgfifc4ETkRbGvknsVrQsTXsZciUrz,Cerulean Mornings,,,Vintage Sunglasses,,,,Base,I Want My Cigar,Base,
Siddharth Dewey,14,2748,0,https://magiceden.io/item-details/6NwiEpXfrBoYv7NJy33QfF5bAwYUPinN6N1897hgZQEE,Purple Frenzy,Thug,,Vintage Sunglasses,,,,Base,,Base,
Cornell Peck,14.5,1425,0,https://magiceden.io/item-details/9b4nZQ5xjCEvUcQ3pR6fuM4dAXQwUhxwADcV61ntQt1a,Pink,Sailor Red,,,,White Ghetto Bandana,Retro Pendant,Eared,,Base,
Jedediah Plunkett,14.6,2829,0,https://magiceden.io/item-details/GZaBrNbN1vP1onevXDAJkviNHm3LaqCfZmi2zGs7qk46,Light Blue,,,Eye Patch,,,,Base,I Want My Cigar,Base,
Izayah Crow,14.6,2839,0,https://magiceden.io/item-details/E3Ne741Jq2TgebenLyAQwYwsbPdiiifhbmn1c4bLAjpY,Orange Fever,Sailor Red,,,,,Gold Chain Pendant,Base,,Base,
Zavier Robson,14.69,150,10.1,https://magiceden.io/item-details/5T9CmZDgmwjwJm7WYS99JmGgSRvmW6ab5QeP76ff6AkK,80's Retro Sunset,,,,,Solana Hat,Retro Pendant,Base,Vape,Base,Archangel's Wings
Robert Lyman,14.7,2347,0,https://magiceden.io/item-details/7fyWCMV67dXrbVaRv22ftNBuon7YQzjCfqwr8JkBpCUf,Burgundy Desire,,,Dracula Glasses,,,Retro Pendant,Without Shell,,Base,
Rey Girard,14.7,3109,0,https://magiceden.io/item-details/5gcVR1ssWnB4bxJ14MmNDdpJGpq1NHmni1Enf5S5ujPZ,Light Blue,,,Sunnies On,,,,Base,Cigarette,Base,
Kolton Longoria,14.7,2361,0,https://magiceden.io/item-details/EsKGZPFzBX9Ggu8ZwWYWb9LK4k6Zop1M8khdLeRidUxk,Burgundy Desire,Sailor Red,,,,,,Without Shell,Cigarette,Base,
Tatum Mundy,14.8,2219,0,https://magiceden.io/item-details/55x7a2wDYCes2QiH47WBo68MX6cYED1dZ5Ym2awi266m,Purple Frenzy,Casual Brown Vest,,,,,,Eared,Cigarette,Base,
Zion Goodman,14.9,2606,0,https://magiceden.io/item-details/8S2SdEmkmvwEgDMkuQDuoPKW6UHyySJqnrM6JcLHcejk,Orange Fever,Cowboy's Choice,,,,,Retro Pendant,Rocky,,Base,
Zakari Flynn,14.9,1348,0,https://magiceden.io/item-details/AEua1kWkxpZM6JgpUmqmYoz77wx5SiK8eEPuATqGRBxq,Pink,Forest Green,,Vintage Sunglasses,,Purple Ghetto Bandana,Retro Pendant,Base,,Base,
Zak Morris,14.9,2812,0,https://magiceden.io/item-details/CjQEuDneSBuqgeHKBVovKAUR2S5A5KwG1n9MMwveV9FP,Light Blue,,,,,Pirate's Crown,,Base,Vape,Base,
Saleem Napier,15,1413,0,https://magiceden.io/item-details/7reqniyEiAXrBAWabbfMUKVCWaz7XJCZPvmWhAHcigD5,Pink,Cowboy's Choice,,,,Purple Ghetto Bandana,Retro Pendant,Rocky,,Base,
Tamim Huber,15,863,0,https://magiceden.io/item-details/ARKZdPK1onHRRnh3DWhZkevD3nJV3AADrzkHWG5tgKSC,Old White Bricks,,,,Sam's old hairstyle,,Retro Pendant,Dark Skin,Vape,Base,
Donna Whitehead,15,244,5.87,https://magiceden.io/item-details/2wYP4EX93yJUTU7pp9GDKp9yYa49JdanrzFBw5tuVHok,Burgundy Desire,Oldschool Tee,,Sunnies On,,Red Ghetto Bandana,,Woman,I Want My Cigar,Base,
Theresa Perez,15,1796,0,https://magiceden.io/item-details/HGF4uKCXxL8mfkqyZ3uNc2HA6TerNEbjtJzm4HcjQQHq,Burgundy Desire,Metalhead Outfit,,,,,Overpriced Silver Pendant,Woman,,Base,
Aizen Norton,15,1917,0,https://magiceden.io/item-details/B59tGWtet2uJWj8FVbooen3u45oj3149rXevHcfFAwQF,Pink,San Andreas,,,,Red Ghetto Bandana,,Base,I Want My Cigar,Base,
Kodi Stein,15,2201,0,https://magiceden.io/item-details/EfqPfRcK2k9R7PnX2YLVWtYXxNsEjaWin4wgCL3omfES,Burgundy Desire,,,,,Snapback,Gold Chain Pendant,Base,Cigarette,Base,
Nahum Montano,15,1782,0,https://magiceden.io/item-details/EJC5z4GTv5cXZBJmgGtkk2rWG6SX1GLXxivfdxraemwX,Pink,Forest Green,,,Sugar Daddy Hairstyle,,Gold Chain Pendant,Base,,Base,
Emery Siler,15,3128,0,https://magiceden.io/item-details/549XYcav5BdaCRXuzH9ZnUBtcVHwFDadYaSX3UTAt3Jn,Old White Bricks,,,Dracula Glasses,,,,Base,,Base,
Dong Thigpen,15.69,2940,0,https://magiceden.io/item-details/4ueSbzTE21UbKM4h7mZrhF3rnJvRJhb8Fjds6wPt9Yvr,Burgundy Desire,,,,,King of the Kings,Yee Haw,Base,,Base,
Anders Thrasher,16,2033,0,https://magiceden.io/item-details/3GUCgWPKnerMDg42YeHihBSrhrYGJZu8qrHNJAvNWYX1,Purple Frenzy,Casual Brown Vest,,,,,Yee Haw,Cerulean,,Base,
Kelly Derrick,16,1367,0,https://magiceden.io/item-details/9VhCBKp15cx4Egp8CuFKqrhFKKWTHXeW4uaw8t9SyjpN,Pink,,,Pit Viper,,,Retro Pendant,Woman,I Want My Cigar,Base,
Bradford Rhoads,16,1094,0,https://magiceden.io/item-details/6WZp2YrkPwmg8nCYaGH42aoLTESrwKHgkSynhTwsiK3K,Light Blue,Oldschool Tee,,3D Glasses,Sugar Daddy Hairstyle,,Yee Haw,Base,,Base,
Eitan Meador,16.75,65,0,https://magiceden.io/item-details/2bQuHBgZduN5zvaGqsUg3wU8u7r8xJLgRKovbSHPUfny,Light Blue,Sailor Red,,,,Solana Bandana,Solana White Gold,Zombie,I Want My Cigar,Base,
Tyus Butcher,17,1297,0,https://magiceden.io/item-details/5kosnH66AjBrVKftk4gnAfBEEiS9QntWzkx1Vvbu78gx,Grey,White Collar Shirt,,,,Solana Bandana,Solana White Gold,Base,,Base,
Iverson Zepeda,17,2237,0,https://magiceden.io/item-details/GNTxEqpkmetB2zzAbnmqDsbB1yh6Cx5LtJK3KnK97AmS,Burning Flames,Metalhead Outfit,,,,,Overpriced Silver Pendant,Base,,Base,
Basil Reeder,17,1101,0,https://magiceden.io/item-details/6Kccv6PhdFMuU1oSCLPbwWV9gMGwArJdeZBuskgSPBJb,Orange Fever,Casual Brown Vest,,,Bob Ross Hairstyle,,Silver Pendant,Base,Cigarette,Base,
Diego Paxton,17.5,2958,0,https://magiceden.io/item-details/G7d9Sd29QwssLwKAFpofY1aZG8HLxz17VBsyqkVJxZVL,Orange Fever,,,,,King of the Kings,Yee Haw,Base,,Base,
Emari Farr,17.99,1561,0,https://magiceden.io/item-details/4dKTnECof2bRXSH8kPxRC3YSKfwD78FmJbshhBWdJK1x,Pink,Solana Singlet,,3D Glasses,,,,Base,Cigarette,Base,
Jafet Settle,18,927,0,https://magiceden.io/item-details/6gN1jVVsLo7qi7Ba9aCuKaxL4FGibtBVCmdf3rdYWvWu,Old White Bricks,,,Nerd One's Glasses,,,Overpriced Silver Pendant,Skin And Bones,,Base,
Sylar Corbin,18,1559,0,https://magiceden.io/item-details/7fWoU2BWbetWh18sofJftQp7w2Pc5QjpvBQtxnNAfhE5,Burgundy Desire,Cowboy's Choice,,,Sugar Daddy Hairstyle,,Solana White Gold,Base,,Base,
Latrell Barth,18,2394,0,https://magiceden.io/item-details/DpuQdkZRZMq8QjPXfKZawuGezU2g5uCPdiMmDhhaaAvC,Trick Or Treat,,,,,Purple Ghetto Bandana,,Base,Cigarette,Base,
Kaedyn Hatfield,18,283,0,https://magiceden.io/item-details/FjdV635HVV74jwpyUD6TNNftiL1PpMGTvJwbFE1mNjgw,Orange Fever,Forest Green,,Deal With It,,Snapback,Retro Pendant,Light Skin,Cigarette,Base,
Terry Trotter,18,1217,0,https://magiceden.io/item-details/8XWnGSWyzXrsPerc7vVi1NdXW6H5ozqidUEZhPp5ofye,Grey,Forest Green,,,,Pirate's Crown,Yee Haw,Cerulean,,Base,
Morgan Cochran,18.88,512,0,https://magiceden.io/item-details/GkTiEbJZC4L8zEncbrnwXydBFqTJrj1EWxPcU2rmJLH2,Burgundy Desire,Solana Singlet,,Laser Flare Eyes,Gentlemen's Hairstyle,,,Base,,Base,
Raven Danner,19,803,0,https://magiceden.io/item-details/BN3VF3wi9hV9YDZXiKYPvUcVJDeLsWKqk8bjUWUarYS9,Burgundy Desire,Thug,,,,Snapback,Retro Pendant,Cerulean,Cigarette,Base,
Masiah Richard,19.69,368,0,https://magiceden.io/item-details/ocRhv5zwZZYZYKpEHVGTD2NgiQnk3KJNF3DyofVQzaD,Castle In The Sky,Solana Shirt,,,Sugar Daddy Hairstyle,,Overpriced Silver Pendant,Base,I Want My Cigar,Base,
Kameryn Presley,20,1737,0,https://magiceden.io/item-details/qFgmvqnQDN8hyHJ2PBry9zAqCDprLwjoawJNMKQTsWV,Lucky Luke,,,Deal With It,,,Yee Haw,Base,Cigarette,Base,
Brenton Quinlan,20,2171,0,https://magiceden.io/item-details/Hh14ATUJ5MvrvdfR1iFqvE4ysZktpbw7mm74tPb9zkSk,Garden Of Eden,,,,Bob Ross Hairstyle,,Silver Pendant,Base,,Base,
Mikael Chan,20,2295,0,https://magiceden.io/item-details/9h2Au2ECqPKMdLAPRHgnqN6vFMPeLdk7LRZTsdzFTxzw,Light Blue,Sweather Weather,,,Gentlemen's Hairstyle,,,Base,,Base,
Junior Mcmillen,20,2594,0,https://magiceden.io/item-details/GLeghi1HNeV6rVt5n8Qfmq3K26mtmSomX4h4kWCBWfvM,Burgundy Desire,,Magenta Spark Eyes,,,,,Base,,Base,
Salomon Pedroza,20,2817,0,https://magiceden.io/item-details/2iHBQASaVjcrE5BUbKaY4oimy4tyuQd3Lw7EWfP99qqR,Burgundy Desire,,,3D Glasses,,,Retro Pendant,Base,Cigarette,Base,
DOĞRU Mayberry,21.69,1195,0,https://magiceden.io/item-details/DMwP2dBR5LzqUBvNS5F66Jf4MwJboKnw2Si6GmwBaZxN,Burgundy Desire,Solana Shirt,,Dracula Glasses,,,Retro Pendant,Rocky,,Base,
Duane Glover,22,831,0,https://magiceden.io/item-details/2WnbqjfbbZGkRi4YSE5iKXuv3fviUftbdLmUUntYAHKK,Lucky Luke,,,Sunnies On,,Indiana Jones Hat,Gold Chain Pendant,Base,,Base,
